pollgroup,respondents,early_group_size,historical_mean,candidate_mean,value_changes
29101,13,10,0.10544441313672083,0.1028083028083028,13
29112,15,15,0.1515079365079365,0.1515079365079365,0
29114,16,16,0.10700396825396825,0.10700396825396825,0
29109,13,12,0.17986628755859524,0.17861721611721612,13
29108,15,14,0.16789743589743591,0.16704081632653062,15
29102,12,10,0.1939484126984127,0.1904220779220779,11
29115,16,15,0.15694754464285712,0.15625,16
29106,14,13,0.15731494978943958,0.1563840920983778,14
29116,13,13,0.134508547008547,0.134508547008547,0
29107,12,11,0.15052248677248678,0.14927849927849926,12
29110,13,12,0.16588027357258125,0.16472832722832723,13
29111,12,12,0.188510101010101,0.188510101010101,0
29103,12,11,0.1663640873015873,0.1649891774891775,12
29104,13,11,0.11582699351930122,0.11407203907203907,13
29105,11,11,0.2027056277056277,0.2027056277056277,0
29113,16,16,0.15722222222222224,0.1572222222222222,0
