source_row,historical_sample,historical_respondent_id,pollgroup,early_group_size,group_size,historical_gain,candidate_gain,joint_knowledge
1,TRUE,2910001,29101,10,13,0.09971509971509972,0.09722222222222221,0.14285714285714285
2,TRUE,2910002,29112,15,15,0.08571428571428572,0.08571428571428572,0.2857142857142857
3,TRUE,2910003,29114,16,16,0.14285714285714285,0.14285714285714285,0
4,TRUE,2910004,29109,12,13,0.1888111888111888,0.1875,0.42857142857142855
5,TRUE,2910005,29108,14,15,0.08974358974358976,0.0892857142857143,0.42857142857142855
6,TRUE,2910006,29101,10,13,0.09971509971509972,0.09722222222222221,0.14285714285714285
7,TRUE,2910007,29108,14,15,0.14358974358974358,0.14285714285714285,0.2857142857142857
8,TRUE,2910008,29102,10,12,0.2777777777777778,0.2727272727272727,0.14285714285714285
9,TRUE,2910009,29115,15,16,0.16741071428571427,0.16666666666666666,0.14285714285714285
10,TRUE,2910010,29106,13,14,0.10833333333333335,0.10769230769230771,0.2857142857142857
11,TRUE,2910011,29116,13,13,0.18055555555555558,0.18055555555555558,0.14285714285714285
12,TRUE,2910012,29107,11,12,0.16805555555555557,0.16666666666666666,0.14285714285714285
13,TRUE,2910013,29106,13,14,0.21924603174603174,0.21794871794871795,0.14285714285714285
14,TRUE,2910014,29108,14,15,0.21538461538461537,0.21428571428571427,0.7142857142857143
15,TRUE,2910015,29109,12,13,0.23976023976023975,0.23809523809523808,0
16,TRUE,2910016,29110,12,13,0.1006993006993007,0.1,0.2857142857142857
17,TRUE,2910017,29111,12,12,0.19696969696969693,0.19696969696969693,0.14285714285714285
18,TRUE,2910018,29112,15,15,0.21428571428571427,0.21428571428571427,0
19,TRUE,2910019,29114,16,16,0.1111111111111111,0.1111111111111111,0.14285714285714285
20,TRUE,2910020,29110,12,13,0.15384615384615385,0.1527777777777778,0.14285714285714285
21,TRUE,2910021,29116,13,13,0.16666666666666666,0.16666666666666666,0.14285714285714285
22,TRUE,2910022,29103,11,12,0.16805555555555557,0.16666666666666666,0.14285714285714285
23,TRUE,2910023,29111,12,12,0.1818181818181818,0.1818181818181818,0.5714285714285714
24,TRUE,2910024,29103,11,12,0.18333333333333335,0.18181818181818182,0.2857142857142857
25,TRUE,2910025,29104,11,13,0.15714285714285714,0.15476190476190474,0
26,TRUE,2910026,29106,13,14,0.17023809523809522,0.1692307692307692,0.2857142857142857
27,TRUE,2910027,29107,11,12,0.1375,0.13636363636363635,0.42857142857142855
28,TRUE,2910028,29108,14,15,0.19145299145299147,0.1904761904761905,0.14285714285714285
29,TRUE,2910029,29109,12,13,0.0839160839160839,0.08333333333333333,0.42857142857142855
30,TRUE,2910030,29101,10,13,0.06837606837606838,0.06666666666666667,0.2857142857142857
31,TRUE,2910031,29105,11,11,0.21666666666666667,0.21666666666666667,0.14285714285714285
32,TRUE,2910032,29116,13,13,0.020833333333333332,0.020833333333333332,0.42857142857142855
33,TRUE,2910033,29101,10,13,0.1221001221001221,0.11904761904761904,0
34,TRUE,2910034,29101,10,13,0.09971509971509972,0.09722222222222221,0.14285714285714285
35,TRUE,2910035,29112,15,15,0.15476190476190477,0.15476190476190477,0.14285714285714285
36,TRUE,2910036,29106,13,14,0.1392857142857143,0.13846153846153847,0.2857142857142857
37,TRUE,2910037,29107,11,12,0.1375,0.13636363636363635,0.14285714285714285
38,TRUE,2910038,29114,16,16,0.07999999999999999,0.07999999999999999,0.2857142857142857
39,TRUE,2910039,29104,11,13,0.15714285714285714,0.15476190476190474,0
40,TRUE,2910040,29110,12,13,0.1888111888111888,0.1875,0.42857142857142855
41,TRUE,2910041,29113,16,16,0.17777777777777778,0.17777777777777778,0.14285714285714285
42,TRUE,2910042,29105,11,11,0.21666666666666667,0.21666666666666667,0.14285714285714285
43,TRUE,2910043,29111,12,12,0.06818181818181818,0.06818181818181818,0.42857142857142855
44,TRUE,2910044,29102,10,12,0.11574074074074076,0.11363636363636365,0.42857142857142855
45,TRUE,2910045,29113,16,16,0.17777777777777778,0.17777777777777778,0.14285714285714285
46,TRUE,2910046,29103,11,12,0.09166666666666667,0.09090909090909091,0.2857142857142857
47,TRUE,2910047,29109,12,13,0.18181818181818182,0.18055555555555555,0.14285714285714285
48,TRUE,2910048,29108,14,15,0.22564102564102567,0.22448979591836737,0
49,TRUE,2910049,29114,16,16,0.09333333333333334,0.09333333333333334,0.2857142857142857
