caseid,pollgroup,legacy_field,historical_value,approved_value
71100021097,7110,ppage,82,82
71100021355,7123,ppage,76,76
71100021399,713,ppage,75,75
71100021826,713,ppage,52,52
71100023063,7123,ppage,59,59
71200000059,7119,ppage,21,21
71200000069,7119,ppage,78,78
71200000082,7119,ppage,71,71
71200000240,7119,ppage,57,57
71200000314,7119,ppage,48,48
71300000050,7124,ppage,73,73
71300000054,714,ppage,68,68
71300000483,7121,ppage,64,64
71300000641,7124,ppage,50,50
71300000653,7122,ppage,88,88
71300000755,7119,ppage,61,61
71300000831,7124,ppage,45,45
71300000834,7121,ppage,73,73
71300001049,7119,ppage,65,65
71300001243,719,ppage,73,73
71300001262,7121,ppage,55,55
71300001388,7121,ppage,29,29
71300001617,7125,ppage,43,43
71300001673,7117,ppage,19,19
71300001783,7117,ppage,70,70
71300002038,7125,ppage,62,62
71300002655,7119,ppage,39,39
71300002681,7120,ppage,42,42
71300002747,7120,ppage,44,44
71300002837,7121,ppage,56,56
71300002935,7122,ppage,56,56
71300003051,7117,ppage,68,68
71300003068,714,ppage,63,63
71300003081,7120,ppage,45,45
71300003182,7124,ppage,35,35
71300003253,7120,ppage,29,29
71300003445,714,ppage,62,62
71300003495,714,ppage,60,60
71300003559,719,ppage,63,63
71300003839,7122,ppage,62,62
71300004254,7117,ppage,54,54
71300004377,7125,ppage,52,52
71300004543,7125,ppage,72,72
71300004560,719,ppage,61,61
71300004915,7122,ppage,42,42
71300005404,7121,ppage,60,60
71300005509,7124,ppage,36,36
71300005541,7122,ppage,42,42
71300005619,7125,ppage,109,
71300005770,714,ppage,50,50
71300005825,7117,ppage,60,60
71300006067,7125,ppage,68,68
71300006426,7124,ppage,67,67
71300006495,714,ppage,31,31
71300006723,7125,ppage,62,62
71300006906,714,ppage,49,49
71300006962,719,ppage,59,59
71300007176,7117,ppage,21,21
71300007387,7119,ppage,48,48
71300007529,7120,ppage,75,75
71300007599,7122,ppage,46,46
71300007716,7125,ppage,62,62
71300007736,7124,ppage,74,74
71300007757,7124,ppage,61,61
71300007936,7125,ppage,60,60
71300007976,719,ppage,46,46
71300008045,719,ppage,45,45
71400000067,7125,ppage,29,29
71400000077,7125,ppage,34,34
71400000094,7125,ppage,57,57
71400000114,7124,ppage,44,44
71400000132,7124,ppage,40,40
71400000154,7124,ppage,58,58
71500000226,7117,ppage,41,41
71500000320,7117,ppage,58,58
71500001069,7119,ppage,59,59
71500001334,7112,ppage,26,26
71500001458,7117,ppage,34,34
71500001621,7117,ppage,46,46
71500001655,7117,ppage,50,50
71500001892,7119,ppage,35,35
71500002813,7110,ppage,63,63
71500002909,7110,ppage,19,19
71500003227,7120,ppage,40,40
71500003232,7120,ppage,59,59
71500003571,7117,ppage,20,20
71500003604,7110,ppage,50,50
71500004301,7119,ppage,27,27
71500004389,7119,ppage,28,28
71500004449,7110,ppage,54,54
71500004517,7110,ppage,42,42
71500005072,7110,ppage,67,67
71500005257,7112,ppage,42,42
71500005898,7112,ppage,49,49
71500006038,7119,ppage,47,47
71500006146,7110,ppage,39,39
71500006200,7120,ppage,48,48
71500006445,7119,ppage,56,56
71500006618,7117,ppage,40,40
71500007032,7117,ppage,43,43
71500008204,7120,ppage,62,62
71500008248,7120,ppage,44,44
71500008273,7119,ppage,33,33
71600000007,7115,ppage,40,40
71600000010,7115,ppage,50,50
71600000414,7115,ppage,30,30
71600000539,7115,ppage,56,56
71700000047,7121,ppage,44,44
71700000107,7111,ppage,70,70
71700000139,7111,ppage,50,50
71700000180,7110,ppage,35,35
71700000255,712,ppage,37,37
71700000321,714,ppage,60,60
71700000347,7121,ppage,40,40
71700000386,714,ppage,33,33
71700000538,7121,ppage,55,55
71700000550,7110,ppage,53,53
71700000558,714,ppage,62,62
71700000610,713,ppage,51,51
71700000612,7121,ppage,48,48
71700000743,712,ppage,39,39
71700001060,7121,ppage,21,21
71700001103,7110,ppage,41,41
71700001178,712,ppage,73,73
71700001274,714,ppage,77,77
71700001323,7111,ppage,45,45
71700001377,7111,ppage,33,33
71700001380,712,ppage,55,55
71700001386,711,ppage,34,34
71700001431,714,ppage,65,65
71700001477,711,ppage,51,51
71700001486,712,ppage,56,56
71700001508,713,ppage,60,60
71700001523,713,ppage,41,41
71700001541,7110,ppage,64,64
71700001620,713,ppage,43,43
71700001653,7110,ppage,40,40
71700001659,7111,ppage,37,37
71700001692,7121,ppage,62,62
71700001715,713,ppage,48,48
71700001745,7121,ppage,78,78
71700001749,7111,ppage,60,60
71700001868,713,ppage,52,52
71700002121,7110,ppage,74,74
71700002139,712,ppage,47,47
