model,term,estimate,std_error,n,polls,groups,singular,convergence_message
main,(Intercept),0.055094735656317714,0.048604268935636866,5827,22,412,FALSE,
main,k1,0.4780038090346912,0.024813739478737853,5827,22,412,FALSE,
main,educationHigh school,0.12049437781857189,0.0157715314265339,5827,22,412,FALSE,
main,educationBA or more,0.19390342385316206,0.018055165718485765,5827,22,412,FALSE,
main,age_decades,-0.0067906676426285,0.001771979210690829,5827,22,412,FALSE,
main,extremity,-0.007592886715006795,0.017678795910931234,5827,22,412,FALSE,
main,group_size,1.8414402315694966e-4,0.0011942531933262163,5827,22,412,FALSE,
main,group_k1,0.08611777736500408,0.05108809431974614,5827,22,412,FALSE,
main,heterogeneity,0.02457544244267448,0.08205099744258372,5827,22,412,FALSE,
main,female,-0.0249182520472015,0.022778174454989787,5827,22,412,FALSE,
main,p_female,-0.010595867937211479,0.03453055179350931,5827,22,412,FALSE,
main,online,-0.09948928465793677,0.03338201365547717,5827,22,412,FALSE,
main,poll_k1,0.5177208338441531,0.10433497159368832,5827,22,412,FALSE,
main,k1:educationHigh school,-0.047901291717114464,0.02934055171365275,5827,22,412,FALSE,
main,k1:educationBA or more,-0.09873121601095407,0.031629487762873124,5827,22,412,FALSE,
main,female:p_female,0.030158366301996028,0.04392240599245522,5827,22,412,FALSE,
minority,(Intercept),0.08535585147540371,0.05551775852796746,5179,19,363,FALSE,
minority,k1,0.5175546122942889,0.027854450442787393,5179,19,363,FALSE,
minority,educationHigh school,0.13308513127765512,0.017314823759736503,5179,19,363,FALSE,
minority,educationBA or more,0.2140376159579468,0.01968956687915645,5179,19,363,FALSE,
minority,age_decades,-0.0073915236465448815,0.0018191847873953793,5179,19,363,FALSE,
minority,extremity,-0.01725275422592081,0.01783273999408892,5179,19,363,FALSE,
minority,group_size,2.276590442601913e-4,0.0012004481702014365,5179,19,363,FALSE,
minority,group_k1,0.04458863937633433,0.052119647602056056,5179,19,363,FALSE,
minority,heterogeneity,0.013217443024749451,0.08410063206649222,5179,19,363,FALSE,
minority,female,-0.045091584889084296,0.024181279777873536,5179,19,363,FALSE,
minority,p_female,-0.014484987599955236,0.03521595988001778,5179,19,363,FALSE,
minority,online,-0.09601348320657103,0.03526405576398915,5179,19,363,FALSE,
minority,poll_k1,0.5137781368550398,0.11042273440950197,5179,19,363,FALSE,
minority,minority,-0.030906916782798503,0.01478975441633997,5179,19,363,FALSE,
minority,p_minority,-0.03261500046554257,0.034074991850245734,5179,19,363,FALSE,
minority,k1:educationHigh school,-0.09011816865423113,0.03187365114968101,5179,19,363,FALSE,
minority,k1:educationBA or more,-0.1500072365378495,0.03413884682972241,5179,19,363,FALSE,
minority,female:p_female,0.07193975298702963,0.045893106214074435,5179,19,363,FALSE,
minority,minority:p_minority,-0.05385010244060448,0.0499127264427506,5179,19,363,FALSE,
briefing,(Intercept),0.5188932910805657,0.09467568275385915,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,k1,0.5150663810774974,0.12418229232847368,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,educationHigh school,0.07828540095557296,0.04783160076649614,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,educationBA or more,0.1581981515604052,0.048420974108915216,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,age_decades,-0.014442867544057283,0.0036567051659705994,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,extremity,-0.12136299024598166,0.05741063545770678,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,group_size,-0.005341617469207281,0.0033836338269331665,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,group_k1,-0.2049757300111167,0.1136129927937648,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,heterogeneity,0.11655782745209499,0.16447272775200775,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,female,-0.04904605293134617,0.04677201446693628,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,p_female,-0.04649560218499291,0.06773012197370838,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,factor(pollid)92,-0.09612227215241126,0.02333778046315664,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,factor(pollid)96,-0.20038634746635445,0.04435297089135063,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,factor(pollid)1001,-0.07640794780591766,0.024552379244460174,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,read_briefing,0.06487143845939386,0.015574880405921858,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,k1:educationHigh school,-0.0879363335620354,0.13067621310074135,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,k1:educationBA or more,-0.12515947003527378,0.12894083943842088,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,female:p_female,0.06892596525287743,0.08762009506791425,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
