legacy_field,caseid,historical_value,approved_value
swp.t2att3,30000010,0.8,0.5
swp.t2att3,30000020,0.8,0.9
swp.t2att3,30000030,0.9,0.7
swp.t2att3,30000040,0.8,0.85
swp.t2att3,30000050,0.8,0.9
swp.t2att3,30000060,0.7,0.8
swp.t2att3,30000070,0.6,0.75
swp.t2att3,30000080,1,1
swp.t2att3,30000090,1,1
swp.t2att3,30000100,1,1
swp.t2att3,30000110,1,0.9
swp.t2att3,30000120,1,1
swp.t2att3,30000130,1,1
swp.t2att3,30000140,1,1
swp.t2att3,30000150,0.5,0.75
swp.t2att3,30000160,1,0.95
swp.t2att3,30000170,0.5,0.65
swp.t2att3,30000180,1,1
swp.t2att3,30000190,0.9,0.7
swp.t2att3,30000200,0.7,0.7
swp.t2att3,30000210,0.6,0.55
swp.t2att3,30000220,0.8,0.75
swp.t2att3,30000230,1,0.9
swp.t2att3,30000240,1,0.95
swp.t2att3,30000250,1,1
swp.t2att3,30000260,0.8,0.5
swp.t2att3,30000270,0.8,0.9
swp.t2att3,30000280,0.5,0.55
swp.t2att3,30000290,0.8,0.85
swp.t2att3,30000300,0.5,0.5
swp.t2att3,30000310,1,1
swp.t2att3,30000320,0.9,0.95
swp.t2att3,30000330,0.8,0.65
swp.t2att3,30000340,0.5,0.6
swp.t2att3,30000350,1,0.9
swp.t2att3,30000360,1,0.75
swp.t2att3,30000370,0.8,0.9
swp.t2att3,30000380,1,1
swp.t2att3,30000390,1,0.9
swp.t2att3,30000400,1,1
swp.t2att3,30000410,0.7,0.75
swp.t2att3,30000420,0.7,0.7
swp.t2att3,30000430,1,1
swp.t2att3,30000440,0.8,0.8
swp.t2att3,30000450,1,0.95
swp.t2att3,30000460,0.6,0.7
swp.t2att3,30000470,0.9,0.9
swp.t2att3,30000480,0.7,0.7
swp.t2att3,30000490,1,1
swp.t2att3,30000500,1,1
swp.t2att3,30000510,1,1
swp.t2att3,30000520,0.7,0.85
swp.t2att3,30000530,1,1
swp.t2att3,30000540,1,1
swp.t2att3,30000550,1,1
swp.t2att3,30000560,1,1
swp.t2att3,30000570,1,0.85
swp.t2att3,30000580,1,0.85
swp.t2att3,30000590,1,1
swp.t2att3,30000600,1,1
swp.t2att3,30000610,1,0.9
swp.t2att3,30000620,0.9,0.7
swp.t2att3,30000630,1,1
swp.t2att3,30000640,1,1
swp.t2att3,30000650,1,1
swp.t2att3,30000660,1,1
swp.t2att3,30000670,1,0.85
swp.t2att3,30000680,0.9,0.9
swp.t2att3,30000690,1,1
swp.t2att3,30000700,1,1
swp.t2att3,30000710,0.9,0.7
swp.t2att3,30000720,1,0.75
swp.t2att3,30000730,1,1
swp.t2att3,30000740,0.9,0.85
swp.t2att3,30000750,0.8,0.8
swp.t2att3,30000760,0.9,0.85
swp.t2att3,30000770,0.9,0.7
swp.t2att3,30000780,1,1
swp.t2att3,30000790,0.8,0.85
swp.t2att3,30000800,1,1
