outcome,dimension,estimate_historical,estimate_candidate,p_historical,p_candidate,p_two_way_historical,p_two_way_candidate,n_pairs,row_changed,p05_crossing,p_two_way05_crossing
homoex,all,0.0129503731787336,0.0130253620549967,0.00093821405539798,0.000927506603485639,3.2356116870324e-05,3.07853974626795e-05,2480,True,False,False
homofreq,all,0.586290322580645,0.586290322580645,0.000784394053913401,0.000784394053913401,5.00302808728121e-06,5.10376106318261e-06,2480,True,False,False
polarex,all,-0.0221382563936714,-0.0222712452809856,0.019444415134189,0.0184732762414954,0.000908791256228657,0.000821739829666773,2431,True,False,False
polarfreq,all,0.439736733854381,0.439736733854381,0.163780993992093,0.163780993992093,0.0152392010789653,0.0152392010789653,2431,False,False,False
ext_grp,educ,0.0100543080903782,0.0101487382453892,0.00631761563604473,0.00628904063207708,0.00509721774067875,0.00471527365282704,2385,True,False,False
freqgrp_grp,educ,0.522431865828092,0.523270440251572,0.216615831879609,0.205302908435133,0.100209525413823,0.0878036048240294,2385,True,False,False
ext_dis,educ,0.0522646901948174,0.0525384065046076,1.71376413664893e-06,1.81997427147385e-06,5.50868403729015e-17,4.55480982039277e-17,2384,True,False,False
freqdis_grp,educ,0.588087248322147,0.588926174496644,2.9252885342374e-06,3.52930960586012e-06,4.7805708727592e-11,3.92374660063442e-11,2384,True,False,False
ext_adv,educ,-0.0302676652794611,-0.0302723749885733,0.00319034614358988,0.00318496222154165,1.06602458049177e-07,1.06597295374551e-07,2385,True,False,False
freqadv_grp,educ,0.388259958071279,0.388259958071279,0.00031156236338177,0.00031156236338177,1.00191223157305e-10,1.00191223157305e-10,2385,False,False,False
ext_grp,gender,0.00182554892345189,0.00195826484506957,0.612407297284314,0.585473816244025,0.571700136378716,0.541775903079472,2436,True,False,False
freqgrp_grp,gender,0.470853858784893,0.470853858784893,0.0676249922906651,0.0676249922906651,0.019659644369484,0.019597006939297,2436,True,False,False
ext_dis,gender,0.0395772609324749,0.0397339069342563,3.57577052278372e-05,3.36775298052175e-05,6.08890186910789e-15,3.97414624879309e-15,2436,True,False,False
freqdis_grp,gender,0.567733990147783,0.567733990147783,0.00016885504902926,0.00016885504902926,1.2805185783828e-07,1.25897327851144e-07,2436,True,False,False
ext_adv,gender,-0.0366854518209379,-0.0365748587331281,1.17957855595808e-05,1.19847070490667e-05,1.31893572514592e-13,1.39002870253505e-13,2436,True,False,False
freqadv_grp,gender,0.356732348111659,0.356732348111659,5.28913941435245e-07,5.28913941435245e-07,1.51498337457652e-21,1.51498337457652e-21,2436,False,False,False
ext_grp,income,0.00150626359145497,0.00150626359145497,0.729219302455428,0.729219302455428,0.712204556733406,0.712204556733406,1144,False,False,False
freqgrp_grp,income,0.505244755244755,0.505244755244755,0.773034706985812,0.773034706985812,0.746225907643511,0.746225907643511,1144,False,False,False
ext_dis,income,0.0489862534780055,0.0489862534780055,0.011354446435816,0.011354446435816,7.96398988235888e-09,7.96398988235888e-09,1144,False,False,False
freqdis_grp,income,0.567307692307692,0.567307692307692,0.0213820403664832,0.0213820403664832,3.9047778680697e-05,3.9047778680697e-05,1144,False,False,False
ext_adv,income,-0.0325556519693918,-0.0325556519693918,0.00424938394922973,0.00424938394922973,3.21373975776441e-06,3.21373975776441e-06,1144,False,False,False
freqadv_grp,income,0.412587412587412,0.412587412587412,0.0011065561257483,0.0011065561257483,1.66800143524852e-05,1.66800143524852e-05,1144,False,False,False
ext_grp,triple,0.0128518499469045,0.0128518499469045,0.0645976792508515,0.0645976792508515,0.0343104566475965,0.0343104566475965,983,False,False,False
freqgrp_grp,triple,0.51881993896236,0.51881993896236,0.255323694409537,0.255323694409537,0.364588275926651,0.364588275926651,983,False,False,False
ext_dis,triple,0.0294512513677183,0.0294512513677183,0.00408995241244804,0.00408995241244804,2.57255513315602e-05,2.57255513315602e-05,983,False,False,False
freqdis_grp,triple,0.552390640895219,0.552390640895219,0.00883596894336692,0.00883596894336692,0.00578175062973815,0.00578175062973815,983,False,False,False
ext_adv,triple,-0.0641275881127158,-0.0641275881127158,0.00355641152734178,0.00355641152734178,9.5880611346043e-08,9.5880611346043e-08,973,False,False,False
freqadv_grp,triple,0.303186022610484,0.303186022610484,2.5678059271176e-05,2.5678059271176e-05,6.28432522860358e-17,6.28432522860358e-17,973,False,False,False
