output,rows,changed_rows,byte_identical
02_table_2_hom_pol.csv,22,2,False
03_dom_educ_by_group_issue.csv,2437,14,False
03_dom_gender_by_group_issue.csv,2476,14,False
03_dom_income_by_group_issue.csv,1162,0,True
03_dom_triple_by_group_issue.csv,1000,0,True
03_hom_pol_by_group_issue.csv,2480,14,False
04_table_4a_toward_female.csv,22,2,False
04_table_4a_toward_male.csv,22,2,False
04_table_4b_toward_highed.csv,22,2,False
04_table_4b_toward_lowed.csv,22,2,False
04_table_4c_toward_highinc.csv,12,0,True
04_table_4c_toward_lowinc.csv,12,0,True
04_table_4d_toward_triple.csv,12,0,True
04_table_4d_toward_triple_disadv.csv,12,0,True
05_attitude_change.csv,2,2,False
05_attitude_change_by_group_issue.csv,2480,14,False
05_attitude_change_weighting.csv,3,3,False
05_corr_hom_pol.csv,4,4,False
paired_inference.csv,28,13,False
