legacy_field,caseid,historical_value,approved_value
eu.mil_att_11_12_t3,3037,0.375,0.25
eu.free_trade_index_t3,3037,0.75,1
eu.mil_att_11_12_t3,3031,0.3125,0.1875
eu.free_trade_index_t3,3031,0.625,0.625
eu.mil_att_11_12_t3,3007,0.3875,0.3625
eu.free_trade_index_t3,3007,0.8375,0.8875
eu.mil_att_11_12_t3,3028,0.875,0.75
eu.free_trade_index_t3,3028,0.5625,0.5625
eu.mil_att_11_12_t3,3020,0.8375,0.7375
eu.free_trade_index_t3,3020,0.65,0.6
eu.mil_att_11_12_t3,3003,0.7,0.7
eu.free_trade_index_t3,3003,0.6,0.6
eu.mil_att_11_12_t3,2311,0.4125,0.3875
eu.free_trade_index_t3,2311,0.6,
eu.mil_att_11_12_t3,2767,0.5875,0.575
eu.free_trade_index_t3,2767,0.575,0.575
eu.mil_att_11_12_t3,2763,0.4375,0.4375
eu.free_trade_index_t3,2763,0,0.1
eu.mil_att_11_12_t3,2733,0.75,0.65
eu.free_trade_index_t3,2733,0.875,0.775
eu.mil_att_11_12_t3,2606,0.625,0.7
eu.free_trade_index_t3,2606,0.2875,0.4375
eu.mil_att_11_12_t3,2726,0.625,0.6125
eu.free_trade_index_t3,2726,0.6625,0.6125
eu.mil_att_11_12_t3,2670,0.6625,0.5875
eu.free_trade_index_t3,2670,0.625,0.625
eu.mil_att_11_12_t3,2675,0.6875,0.5625
eu.free_trade_index_t3,2675,0.6875,0.6875
eu.mil_att_11_12_t3,1231,0.675,0.6125
eu.free_trade_index_t3,1231,0.65,0.6
eu.mil_att_11_12_t3,1253,0.5875,0.475
eu.free_trade_index_t3,1253,0.75,0.75
eu.mil_att_11_12_t3,1250,0.5625,0.5125
eu.free_trade_index_t3,1250,0.9375,0.9375
eu.mil_att_11_12_t3,1759,0.6625,0.6625
eu.free_trade_index_t3,1759,0.525,0.675
eu.mil_att_11_12_t3,1757,0.6625,0.6499999999999999
eu.free_trade_index_t3,1757,0.625,0.625
eu.mil_att_11_12_t3,1754,0.5125,0.525
eu.free_trade_index_t3,1754,0.5,0.55
eu.mil_att_11_12_t3,1730,0.5,0.375
eu.free_trade_index_t3,1730,0.35,0.55
eu.mil_att_11_12_t3,1784,0.36250000000000004,0.325
eu.free_trade_index_t3,1784,0.6625,0.4625
eu.mil_att_11_12_t3,2466,0.75,0.75
eu.free_trade_index_t3,2466,0.4875,0.6875
eu.mil_att_11_12_t3,1735,0.525,0.6125
eu.free_trade_index_t3,1735,0.675,0.725
eu.mil_att_11_12_t3,1710,0.45,0.4875
eu.free_trade_index_t3,1710,0.775,0.575
eu.mil_att_11_12_t3,1769,0.55,0.6875
eu.free_trade_index_t3,1769,0.125,0.225
eu.mil_att_11_12_t3,1707,0.575,0.6
eu.free_trade_index_t3,1707,0.4875,0.4375
eu.mil_att_11_12_t3,1785,0.7875,0.6875
eu.free_trade_index_t3,1785,0.5875,0.5875
eu.mil_att_11_12_t3,1749,0.5625,0.6
eu.free_trade_index_t3,1749,0.6,0.55
eu.mil_att_11_12_t3,2431,0.65,0.7625
eu.free_trade_index_t3,2431,0.5625,0.3625
eu.mil_att_11_12_t3,2474,0.4,0.35000000000000003
eu.free_trade_index_t3,2474,0.5,0.5
eu.mil_att_11_12_t3,2898,0.4875,0.5125
eu.free_trade_index_t3,2898,0.625,0.575
eu.mil_att_11_12_t3,2895,0.4,0.4625
eu.free_trade_index_t3,2895,0.6625,0.6625
eu.mil_att_11_12_t3,2918,0.5125,0.5875
eu.free_trade_index_t3,2918,0.5625,0.5625
eu.mil_att_11_12_t3,2970,0.4,0.3625
eu.free_trade_index_t3,2970,0.775,0.725
eu.mil_att_11_12_t3,2927,0.425,0.475
eu.free_trade_index_t3,2927,0.4,0.5
eu.mil_att_11_12_t3,2959,0.4583333333333333,0.625
eu.free_trade_index_t3,2959,0.125,0.125
eu.mil_att_11_12_t3,2241,0.4375,0.3625
eu.free_trade_index_t3,2241,0.5625,0.5125
eu.mil_att_11_12_t3,2244,0.725,0.675
eu.free_trade_index_t3,2244,0.2875,0.5375
eu.mil_att_11_12_t3,2195,0.55,0.5625
eu.free_trade_index_t3,2195,0.225,0.225
eu.mil_att_11_12_t3,2210,0.3875,0.32499999999999996
eu.free_trade_index_t3,2210,0.6,0.55
eu.mil_att_11_12_t3,2205,0.75,0.6625
eu.free_trade_index_t3,2205,0.875,0.875
eu.mil_att_11_12_t3,2234,0.4875,0.45416666666666666
eu.free_trade_index_t3,2234,0.5,0.5
eu.mil_att_11_12_t3,879,0.675,0.625
eu.free_trade_index_t3,879,0.625,0.575
eu.mil_att_11_12_t3,923,0.6625,0.75
eu.free_trade_index_t3,923,0.5,0.25
eu.mil_att_11_12_t3,935,0.4375,0.45
eu.free_trade_index_t3,935,0.5375,0.4875
eu.mil_att_11_12_t3,2925,0.48750000000000004,0.475
eu.free_trade_index_t3,2925,0.8875,0.8875
eu.mil_att_11_12_t3,2966,0.6625,0.65
eu.free_trade_index_t3,2966,0.7125,0.5625
eu.mil_att_11_12_t3,2923,0.5,0.4125
eu.free_trade_index_t3,2923,0.7875,0.7875
eu.mil_att_11_12_t3,2919,0.325,0.325
eu.free_trade_index_t3,2919,0.3375,0.4375
eu.mil_att_11_12_t3,2903,0.5,0.5
eu.free_trade_index_t3,2903,0.8125,0.7125
eu.mil_att_11_12_t3,2956,0.4,0.4625
eu.free_trade_index_t3,2956,0.725,0.725
eu.mil_att_11_12_t3,3154,0.3625,0.39999999999999997
eu.free_trade_index_t3,3154,0.675,0.725
eu.mil_att_11_12_t3,3122,0.625,0.5
eu.free_trade_index_t3,3122,0.9375,0.9375
eu.mil_att_11_12_t3,3159,0.575,0.525
eu.free_trade_index_t3,3159,0.7625,0.7625
eu.mil_att_11_12_t3,3142,0.3,0.25
eu.free_trade_index_t3,3142,0.8375,0.6875
eu.mil_att_11_12_t3,100,0.75,0.75
eu.free_trade_index_t3,100,0.25,0.25
eu.mil_att_11_12_t3,2,0.5,0.5
eu.free_trade_index_t3,2,0.3,0.7
eu.mil_att_11_12_t3,107,0.6875,0.6875
eu.free_trade_index_t3,107,0.75,0.75
eu.mil_att_11_12_t3,24,0.675,0.6875
eu.free_trade_index_t3,24,0.55,0.75
eu.mil_att_11_12_t3,51,0.75,0.75
eu.free_trade_index_t3,51,1,1
eu.mil_att_11_12_t3,104,0.7875,0.6625
eu.free_trade_index_t3,104,0.5625,0.625
eu.mil_att_11_12_t3,67,0.8375,0.8
eu.free_trade_index_t3,67,0.5,0.5
eu.mil_att_11_12_t3,90,0.7875,0.775
eu.free_trade_index_t3,90,0.65,0.65
eu.mil_att_11_12_t3,3021,0.4125,0.7125
eu.free_trade_index_t3,3021,0.1875,0.2375
eu.mil_att_11_12_t3,2699,0.8125,0.8
eu.free_trade_index_t3,2699,0.6875,0.7875
eu.mil_att_11_12_t3,2710,0.8374999999999999,0.85
eu.free_trade_index_t3,2710,0.45,0.5
eu.mil_att_11_12_t3,2741,0.725,0.7125
eu.free_trade_index_t3,2741,0.5875,0.4375
eu.mil_att_11_12_t3,2614,0.7375,0.7125
eu.free_trade_index_t3,2614,0.3875,0.2875
eu.mil_att_11_12_t3,2789,0.7875,0.7875
eu.free_trade_index_t3,2789,0.4,0.45
eu.mil_att_11_12_t3,2780,0.525,0.525
eu.free_trade_index_t3,2780,0.9375,0.9375
eu.mil_att_11_12_t3,2669,0.9375,0.8125
eu.free_trade_index_t3,2669,0.9375,0.9375
eu.mil_att_11_12_t3,2749,0.85,0.825
eu.free_trade_index_t3,2749,0.625,0.625
eu.mil_att_11_12_t3,2604,0.7375,0.725
eu.free_trade_index_t3,2604,0.5,0.75
eu.mil_att_11_12_t3,2286,0.625,0.875
eu.free_trade_index_t3,2286,0.5625,0.5625
eu.mil_att_11_12_t3,2319,0.4375,0.6875
eu.free_trade_index_t3,2319,0.75,0.5
eu.mil_att_11_12_t3,2282,0.6499999999999999,0.65
eu.free_trade_index_t3,2282,0.5,0.6
eu.mil_att_11_12_t3,132,0.8374999999999999,0.9125
eu.free_trade_index_t3,132,0.875,0.875
eu.mil_att_11_12_t3,41,0.7125,0.6875
eu.free_trade_index_t3,41,0.6625,0.7125
eu.mil_att_11_12_t3,17,0.8125,0.8125
eu.free_trade_index_t3,17,0.6,0.75
eu.mil_att_11_12_t3,146,0.7625,0.7625
eu.free_trade_index_t3,146,0.9375,0.8875
eu.mil_att_11_12_t3,116,0.6875,0.6499999999999999
eu.free_trade_index_t3,116,0.775,0.775
eu.mil_att_11_12_t3,3,0.125,0.55
eu.free_trade_index_t3,3,0.8125,0.8125
eu.mil_att_11_12_t3,75,0.3125,0.375
eu.free_trade_index_t3,75,0.9375,0.9375
eu.mil_att_11_12_t3,2649,0.625,0.725
eu.free_trade_index_t3,2649,0.625,0.625
