caseid,source_row,pollgroup,baseline_police_raw,post_children_raw,post_tv_raw,post_discipline_raw,pre,historical_post,candidate_post,delta
10004,4,2702,5,5,2,4,0.9166666666666666,0.6666666666666666,0.6666666666666666,0
10005,5,2703,3,4,4,4,0.08333333333333333,0.6666666666666666,0.75,0.08333333333333337
10008,8,2713,5,5,5,5,1,1,1,0
10013,13,2711,5,5,4,5,0.75,0.9166666666666666,0.9166666666666666,0
10014,14,2709,5,3,3,4,0.75,0.75,0.5833333333333334,-0.16666666666666663
10015,15,2704,5,5,4,5,0.8333333333333334,0.9166666666666666,0.9166666666666666,0
10021,21,2710,5,NA,5,NA,1,1,1,0
10026,26,2714,4,5,4,4,0.8333333333333334,0.75,0.8333333333333334,0.08333333333333337
10028,28,2702,5,4,2,4,0.5833333333333334,0.6666666666666666,0.5833333333333334,-0.08333333333333326
10029,29,2707,5,4,5,4,0.5833333333333334,0.9166666666666666,0.8333333333333334,-0.08333333333333326
10032,32,2717,4,4,4,4,0.8333333333333334,0.75,0.75,0
10035,35,2706,5,4,5,5,1,1,0.9166666666666666,-0.08333333333333337
10037,37,2704,5,4,4,5,0.8333333333333334,0.9166666666666666,0.8333333333333334,-0.08333333333333326
10040,40,2705,5,5,5,5,0.9166666666666666,1,1,0
10042,42,2701,5,5,4,5,0.8333333333333334,0.9166666666666666,0.9166666666666666,0
10045,45,2718,5,4,5,4,1,0.9166666666666666,0.8333333333333334,-0.08333333333333326
10050,50,2708,3,4,3,3,0.6666666666666666,0.5,0.5833333333333334,0.08333333333333337
10053,53,2710,4,4,3,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
10054,54,2701,3,5,5,4,0.75,0.75,0.9166666666666666,0.16666666666666663
10056,56,2707,5,5,3,4,0.6666666666666666,0.75,0.75,0
10058,58,2711,5,5,4,4,0.75,0.8333333333333334,0.8333333333333334,0
10059,59,2707,5,4,4,3,0.5833333333333334,0.75,0.6666666666666666,-0.08333333333333337
10061,61,2710,4,4,1,4,0.5,0.5,0.5,0
10072,72,2718,2,5,3,5,0.6666666666666666,0.5833333333333334,0.8333333333333334,0.25
10073,73,2702,5,4,3,5,1,0.8333333333333334,0.75,-0.08333333333333337
10076,76,2717,5,5,5,5,0.9166666666666666,1,1,0
10078,78,2720,5,5,3,4,0.6666666666666666,0.75,0.75,0
10086,86,2715,5,5,3,4,0.8333333333333334,0.75,0.75,0
10088,88,2719,3,4,5,5,0.75,0.8333333333333334,0.9166666666666666,0.08333333333333326
10089,89,2720,4,5,4,5,0.5833333333333334,0.8333333333333334,0.9166666666666666,0.08333333333333326
10091,91,2711,5,4,4,4,0.75,0.8333333333333334,0.75,-0.08333333333333337
10093,93,2716,4,4,3,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
10100,100,2712,5,5,5,5,0.9166666666666666,1,1,0
10101,101,2718,4,5,NA,5,0.75,0.875,1,0.125
10102,102,2719,4,5,4,3,0.9166666666666666,0.6666666666666666,0.75,0.08333333333333337
10104,104,2705,3,4,4,4,0.8333333333333334,0.6666666666666666,0.75,0.08333333333333337
10106,106,2713,4,4,5,5,0.75,0.9166666666666666,0.9166666666666666,0
10110,110,2719,5,5,5,4,0.8333333333333334,0.9166666666666666,0.9166666666666666,0
10118,118,2703,5,5,4,5,1,0.9166666666666666,0.9166666666666666,0
10119,119,2705,4,5,3,4,0.5833333333333334,0.6666666666666666,0.75,0.08333333333333337
10120,120,2706,5,4,5,4,0.6666666666666666,0.9166666666666666,0.8333333333333334,-0.08333333333333326
10121,121,2711,4,3,2,1,0.5833333333333334,0.3333333333333333,0.25,-0.08333333333333331
10126,126,2704,5,5,3,5,0.6666666666666666,0.8333333333333334,0.8333333333333334,0
10127,127,2711,5,5,3,5,0.9166666666666666,0.8333333333333334,0.8333333333333334,0
10133,133,2703,5,5,5,5,1,1,1,0
10134,134,2714,4,5,2,2,0.4166666666666667,0.4166666666666667,0.5,0.08333333333333331
10135,135,2701,5,5,5,5,0.6666666666666666,1,1,0
10140,140,2702,4,5,4,5,0.75,0.8333333333333334,0.9166666666666666,0.08333333333333326
10146,146,2716,5,5,5,5,1,1,1,0
10147,147,2718,4,4,4,4,0.5833333333333334,0.75,0.75,0
10148,148,2718,5,2,5,5,1,1,0.75,-0.25
10153,153,2704,4,5,4,4,0.9166666666666666,0.75,0.8333333333333334,0.08333333333333337
10154,154,2705,4,4,5,5,1,0.9166666666666666,0.9166666666666666,0
10155,155,2706,4,5,2,4,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.08333333333333326
10156,156,2702,4,5,5,5,1,0.9166666666666666,1,0.08333333333333337
10163,163,2707,5,5,2,5,0.5833333333333334,0.75,0.75,0
10166,166,2703,4,5,5,5,1,0.9166666666666666,1,0.08333333333333337
10169,169,2713,3,5,5,5,1,0.8333333333333334,1,0.16666666666666663
10170,170,2706,5,4,4,4,0.6666666666666666,0.8333333333333334,0.75,-0.08333333333333337
10172,172,2701,5,4,4,5,0.9166666666666666,0.9166666666666666,0.8333333333333334,-0.08333333333333326
10177,177,2710,5,5,4,5,0.3333333333333333,0.9166666666666666,0.9166666666666666,0
10188,188,2718,5,5,5,5,1,1,1,0
10189,189,2714,5,5,4,4,0.9166666666666666,0.8333333333333334,0.8333333333333334,0
10195,195,2712,5,5,5,5,1,1,1,0
10198,198,2711,5,4,4,5,0.8333333333333334,0.9166666666666666,0.8333333333333334,-0.08333333333333326
