legacy_field,caseid,historical_value,approved_value
ukeu.eurelat2g,119,0.6666666666666666,0.75
ukeu.eurelat2g,129,0.775,0.875
ukeu.eurelat2g,204,,
ukeu.eurelat2g,207,0.5833333333333334,0.6666666666666666
ukeu.eurelat2g,222,0.7999999999999999,0.9166666666666666
ukeu.eurelat2g,232,0.7833333333333333,0.9166666666666666
ukeu.eurelat2g,235,0.8666666666666667,1
ukeu.eurelat2g,304,0.8666666666666667,1
ukeu.eurelat2g,306,0.8666666666666667,1
ukeu.eurelat2g,312,0.8666666666666667,1
ukeu.eurelat2g,321,0.7999999999999999,0.9166666666666666
ukeu.eurelat2g,328,0.6666666666666666,0.75
ukeu.eurelat2g,337,0.8666666666666667,1
ukeu.eurelat2g,401,0.6666666666666666,0.75
ukeu.eurelat2g,431,0,0
ukeu.eurelat2g,432,0,0
ukeu.eurelat2g,502,,
ukeu.eurelat2g,504,0.6,0.6666666666666666
ukeu.eurelat2g,509,0.8,1
ukeu.eurelat2g,510,0.7999999999999999,0.9166666666666666
ukeu.eurelat2g,519,,
ukeu.eurelat2g,527,0.5166666666666667,0.5833333333333334
ukeu.eurelat2g,532,0.43333333333333335,0.5
ukeu.eurelat2g,602,0.20000000000000004,0.25
ukeu.eurelat2g,606,0.5,0.25
ukeu.eurelat2g,607,0.48333333333333334,0.5833333333333334
ukeu.eurelat2g,613,0.8666666666666667,1
ukeu.eurelat2g,614,0.1,0.125
ukeu.eurelat2g,617,0.6333333333333333,0.75
ukeu.eurelat2g,627,0.7999999999999999,0.9166666666666666
ukeu.eurelat2g,629,0.26666666666666666,0.3333333333333333
ukeu.eurelat2g,632,0,0
ukeu.eurelat2g,701,0.7999999999999999,0.9166666666666666
ukeu.eurelat2g,707,0.35000000000000003,0.4166666666666667
ukeu.eurelat2g,709,0.8666666666666667,1
ukeu.eurelat2g,713,0.13333333333333333,0.16666666666666666
ukeu.eurelat2g,714,0.5166666666666667,0.5833333333333334
ukeu.eurelat2g,716,0.7999999999999999,0.9166666666666666
ukeu.eurelat2g,735,0.7166666666666667,0.8333333333333334
ukeu.eurelat2g,802,,
ukeu.eurelat2g,806,,
ukeu.eurelat2g,812,,
ukeu.eurelat2g,814,,
ukeu.eurelat2g,827,0.8666666666666667,1
ukeu.eurelat2g,829,0.13333333333333333,0.16666666666666666
ukeu.eurelat2g,833,,
ukeu.eurelat2g,908,0.35000000000000003,0.4166666666666667
ukeu.eurelat2g,913,0.8666666666666667,1
ukeu.eurelat2g,926,0.8666666666666667,1
ukeu.eurelat2g,933,,
ukeu.eurelat2g,937,,
ukeu.eurelat2g,1006,0,0
ukeu.eurelat2g,1008,0.15,0.16666666666666666
ukeu.eurelat2g,1032,0.4833333333333334,0.5833333333333334
