field,value_changes,exact_value_changes,missingness_changes,mean_before,mean_after,max_absolute_delta
t1knowcor,28,28,0,0.4290909090909091,0.4223030303030303,0.06666666666666671
t2know,54,54,0,0.648,0.6475151515151515,0.06666666666666676
t1knowrcor,28,28,0,0.4290909090909091,0.4223030303030303,0.06666666666666671
t2knowr,54,54,0,0.648,0.6475151515151515,0.06666666666666676
knowgain,54,54,0,0.10327272541595225,0.10278787693110376,0.06666666666666676
knowgain2,26,39,0,0.21890909090909091,0.22521212121212122,0.06666666666666674
logpk,28,28,0,-1.1247995476539754,-1.223432049141311,6.502290170873971
knowgainr,54,54,0,0.10327272541595225,0.10278787693110376,0.06666666666666676
knowgainr2,26,39,0,0.21890909090909091,0.22521212121212122,0.06666666666666674
meant1knowcor,258,258,0,0.4290909090909091,0.4223030303030303,0.011764705882352955
meant2know,236,236,0,0.648,0.6475151515151515,0.019607843137254832
meant1knowrcor,258,258,0,0.4290909090909091,0.4223030303030303,0.011764705882352955
meant1knowcor_ind,253,255,0,0.4290909090909091,0.4223030303030303,0.012500000000000011
t1knowlevelcor,275,275,0,0.4290909090909091,0.4223030303030303,0.006787878787878787
t2knowlevel,275,275,0,0.648,0.6475151515151515,4.848484848485324e-4
t1knowlevelrcor,275,275,0,0.4290909090909091,0.4223030303030303,0.006787878787878787
grpgain,61,61,0,0.3659696828673163,0.3684218098422046,0.062499999999999944
grpgainr,61,61,0,0.3659696828673163,0.3684218098422046,0.062499999999999944
loggain,61,61,0,-1.026540913578013,-1.020249054094011,0.17701650456426155
