model,term,estimate,std_error,n,polls,groups,singular,convergence_message
main,(Intercept),0.05351839594594718,0.04852312614446917,5827,22,412,FALSE,
main,k1,0.48182502190632476,0.024779035853829772,5827,22,412,FALSE,
main,educationHigh school,0.12161468622956087,0.015749453892011305,5827,22,412,FALSE,
main,educationBA or more,0.19488842257644973,0.01802973890272079,5827,22,412,FALSE,
main,age_decades,-0.006691541224238914,0.0017694829253534694,5827,22,412,FALSE,
main,extremity,-0.006641195777826765,0.01765326283536156,5827,22,412,FALSE,
main,group_size,1.9706711689461003e-4,0.0011912699542236008,5827,22,412,FALSE,
main,group_k1,0.08603289575885023,0.05096093869112908,5827,22,412,FALSE,
main,heterogeneity,0.023296211500062638,0.08186502882363163,5827,22,412,FALSE,
main,female,-0.02494011746326986,0.022745223420339657,5827,22,412,FALSE,
main,p_female,-0.010540149390360168,0.034460624968727156,5827,22,412,FALSE,
main,online,-0.0993863617827974,0.03332826674123778,5827,22,412,FALSE,
main,poll_k1,0.5169952027294666,0.10414481631746156,5827,22,412,FALSE,
main,k1:educationHigh school,-0.051662829789985716,0.029299673187003935,5827,22,412,FALSE,
main,k1:educationBA or more,-0.10238445404302542,0.031585306610935455,5827,22,412,FALSE,
main,female:p_female,0.02994590396595894,0.04385860588769498,5827,22,412,FALSE,
minority,(Intercept),0.08308948350495785,0.055414838552531216,5179,19,363,FALSE,
minority,k1,0.5225877159846861,0.02780625670007025,5179,19,363,FALSE,
minority,educationHigh school,0.13472396198561204,0.01728487979004963,5179,19,363,FALSE,
minority,educationBA or more,0.21552954287639045,0.01965536469318429,5179,19,363,FALSE,
minority,age_decades,-0.0072826220693719135,0.0018160189785283703,5179,19,363,FALSE,
minority,extremity,-0.01624459236111191,0.017801626128763105,5179,19,363,FALSE,
minority,group_size,2.4031346783942646e-4,0.001196989026873802,5179,19,363,FALSE,
minority,group_k1,0.04451592566989568,0.0519710606216925,5179,19,363,FALSE,
minority,heterogeneity,0.011859748852652022,0.08387617290354409,5179,19,363,FALSE,
minority,female,-0.04513898831988867,0.02413816409700016,5179,19,363,FALSE,
minority,p_female,-0.014496442333324878,0.03513209955744303,5179,19,363,FALSE,
minority,online,-0.0959118407304975,0.03520473179040114,5179,19,363,FALSE,
minority,poll_k1,0.5130711391653126,0.11020983346060756,5179,19,363,FALSE,
minority,minority,-0.03064970056464955,0.014763085126347001,5179,19,363,FALSE,
minority,p_minority,-0.03226610986393905,0.0339848805667274,5179,19,363,FALSE,
minority,k1:educationHigh school,-0.09500124415242978,0.0318186386559883,5179,19,363,FALSE,
minority,k1:educationBA or more,-0.15476765097189368,0.034079844172539835,5179,19,363,FALSE,
minority,female:p_female,0.07177543061527492,0.04581100679193499,5179,19,363,FALSE,
minority,minority:p_minority,-0.05407610899248972,0.04982015415872201,5179,19,363,FALSE,
briefing,(Intercept),0.5188932910805657,0.09467568275385915,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,k1,0.5150663810774974,0.12418229232847368,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,educationHigh school,0.07828540095557296,0.04783160076649614,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,educationBA or more,0.1581981515604052,0.048420974108915216,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,age_decades,-0.014442867544057283,0.0036567051659705994,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,extremity,-0.12136299024598166,0.05741063545770678,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,group_size,-0.005341617469207281,0.0033836338269331665,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,group_k1,-0.2049757300111167,0.1136129927937648,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,heterogeneity,0.11655782745209499,0.16447272775200775,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,female,-0.04904605293134617,0.04677201446693628,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,p_female,-0.04649560218499291,0.06773012197370838,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,factor(pollid)92,-0.09612227215241126,0.02333778046315664,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,factor(pollid)96,-0.20038634746635445,0.04435297089135063,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,factor(pollid)1001,-0.07640794780591766,0.024552379244460174,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,read_briefing,0.06487143845939386,0.015574880405921858,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,k1:educationHigh school,-0.0879363335620354,0.13067621310074135,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,k1:educationBA or more,-0.12515947003527378,0.12894083943842088,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
briefing,female:p_female,0.06892596525287743,0.08762009506791425,1289,4,98,TRUE,boundary (singular) fit: see help('isSingular')
