source_row,caseid,historical_sample,group,baseline_raw,post_raw,historical_item,candidate_item,baseline_knowledge,historical_post_knowledge,candidate_post_knowledge,historical_joint_knowledge,candidate_joint_knowledge
1,4416,FALSE,9,4,NA,0,0,0,0,0,0,0
2,8724,FALSE,NA,7,NA,1,0,0.6666666666666666,0.06666666666666667,0,0.06666666666666667,0
3,520,FALSE,NA,7,NA,1,0,0.6000000019868215,0.06666666666666667,0,0.06666666666666667,0
4,6003,FALSE,NA,-8,NA,0,0,0.2000000019868215,0,0,0,0
5,2619,FALSE,NA,6,NA,1,0,0.2000000019868215,0.06666666666666667,0,0.06666666666666667,0
6,7517,FALSE,NA,5,NA,1,0,0.26666666666666666,0.06666666666666667,0,0.06666666666666667,0
7,1224,FALSE,NA,6,NA,1,0,0.46666667064030964,0.06666666666666667,0,0.06666666666666667,0
8,7311,FALSE,NA,4,NA,0,0,0.46666667064030964,0,0,0,0
9,7212,FALSE,NA,4,NA,0,0,0.06666666865348816,0,0,0,0
10,4705,FALSE,NA,5,NA,1,0,0.5333333373069764,0.06666666666666667,0,0.06666666666666667,0
11,3201,FALSE,NA,1,NA,0,0,0.4000000019868215,0,0,0,0
12,1310,FALSE,NA,7,NA,1,0,0.6666666666666666,0.06666666666666667,0,0.06666666666666667,0
13,1725,FALSE,NA,7,NA,1,0,0.5333333373069764,0.06666666666666667,0,0.06666666666666667,0
14,6707,FALSE,NA,7,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
15,7807,FALSE,NA,7,NA,1,0,0.4,0.06666666666666667,0,0.06666666666666667,0
16,7118,FALSE,NA,7,NA,1,0,0.33333333532015486,0.06666666666666667,0,0.06666666666666667,0
17,3419,FALSE,NA,7,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
18,3702,FALSE,NA,5,NA,1,0,0.6666666666666666,0.06666666666666667,0,0.06666666666666667,0
19,8221,FALSE,NA,-8,NA,0,0,0.2,0,0,0,0
20,5505,FALSE,NA,7,NA,1,0,0.6666666666666667,0.06666666666666667,0,0.06666666666666667,0
21,6001,FALSE,NA,7,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
22,519,FALSE,NA,7,NA,1,0,0.4000000019868215,0.06666666666666667,0,0.06666666666666667,0
23,706,FALSE,NA,1,NA,0,0,0.3333333333333333,0,0,0,0
24,1523,FALSE,NA,7,NA,1,0,0.6000000019868215,0.06666666666666667,0,0.06666666666666667,0
25,8313,FALSE,NA,7,NA,1,0,1,0.06666666666666667,0,0.06666666666666667,0
26,3018,FALSE,NA,6,NA,1,0,0.4000000019868215,0.06666666666666667,0,0.06666666666666667,0
27,6118,FALSE,NA,4,NA,0,0,0.4000000019868215,0,0,0,0
28,4918,FALSE,NA,7,NA,1,0,0.7333333333333334,0.06666666666666667,0,0.06666666666666667,0
29,8120,FALSE,NA,-8,NA,0,0,0.13333333730697633,0,0,0,0
30,1016,FALSE,NA,4,NA,0,0,0.2666666706403097,0,0,0,0
31,2920,FALSE,NA,7,NA,1,0,0.4666666666666667,0.06666666666666667,0,0.06666666666666667,0
32,7620,FALSE,NA,6,NA,1,0,0.6666666706403097,0.06666666666666667,0,0.06666666666666667,0
33,909,FALSE,NA,6,NA,1,0,0.4666666666666667,0.06666666666666667,0,0.06666666666666667,0
34,1108,FALSE,NA,4,NA,0,0,0.13333333730697633,0,0,0,0
