legacy_field,caseid,historical_value,approved_value
wtu.t2att3,20000010,0.5714285714285714,0.8235294117647058
wtu.t2att3,20000020,0.2857142857142857,0.4117647058823529
wtu.t2att3,20000030,0.42857142857142855,0.5882352941176471
wtu.t2att3,20000040,1,0.8823529411764706
wtu.t2att3,20000050,0.42857142857142855,0.47058823529411764
wtu.t2att3,20000060,0.2857142857142857,0.5882352941176471
wtu.t2att3,20000070,0.5714285714285714,0.8235294117647058
wtu.t2att3,20000080,1,0.9411764705882353
wtu.t2att3,20000090,0.42857142857142855,0.6470588235294118
wtu.t2att3,20000100,0.8571428571428571,0.9411764705882353
wtu.t2att3,20000110,0.2857142857142857,0.7058823529411765
wtu.t2att3,20000120,0.2857142857142857,0.23529411764705882
wtu.t2att3,20000130,0.7142857142857143,0.8235294117647058
wtu.t2att3,20000140,0.7142857142857143,0.8823529411764706
wtu.t2att3,20000150,1,0.8823529411764706
wtu.t2att3,20000160,1,0.7058823529411765
wtu.t2att3,20000170,0.8571428571428571,0.8823529411764706
wtu.t2att3,20000180,0.8571428571428571,0.9411764705882353
wtu.t2att3,20000190,0.42857142857142855,0.7647058823529411
wtu.t2att3,20000200,0.7142857142857143,0.7647058823529411
wtu.t2att3,20000210,1,0.7058823529411765
wtu.t2att3,20000220,0.2857142857142857,0.47058823529411764
wtu.t2att3,20000230,0.8571428571428571,0.5882352941176471
wtu.t2att3,20000240,1,1
wtu.t2att3,20000250,1,0.7058823529411765
wtu.t2att3,20000260,0.42857142857142855,0.6470588235294118
wtu.t2att3,20000270,0.8571428571428571,0.8235294117647058
wtu.t2att3,20000280,0.8571428571428571,0.7647058823529411
wtu.t2att3,20000290,1,1
wtu.t2att3,20000300,0.7142857142857143,0.47058823529411764
wtu.t2att3,20000310,0.8571428571428571,0.8823529411764706
wtu.t2att3,20000320,0.5714285714285714,0.7647058823529411
wtu.t2att3,20000330,0.7142857142857143,0.6470588235294118
wtu.t2att3,20000340,1,0.4117647058823529
wtu.t2att3,20000350,0.8571428571428571,0.9411764705882353
wtu.t2att3,20000360,1,1
wtu.t2att3,20000370,0.5714285714285714,0.7647058823529411
wtu.t2att3,20000380,0.7142857142857143,0.8823529411764706
wtu.t2att3,20000390,0.7142857142857143,0.8235294117647058
wtu.t2att3,20000400,0.7142857142857143,0.7647058823529411
wtu.t2att3,20000410,0.14285714285714285,0.6470588235294118
wtu.t2att3,20000420,1,1
wtu.t2att3,20000430,1,0.7058823529411765
wtu.t2att3,20000440,1,1
wtu.t2att3,20000450,1,0.9411764705882353
wtu.t2att3,20000460,1,0.8235294117647058
wtu.t2att3,20000470,0.8571428571428571,0.8823529411764706
wtu.t2att3,20000480,1,0.8235294117647058
wtu.t2att3,20000490,0.8571428571428571,0.7647058823529411
wtu.t2att3,20000500,0.2857142857142857,0.4117647058823529
wtu.t2att3,20000510,0.5714285714285714,0.7058823529411765
wtu.t2att3,20000520,1,0.8235294117647058
wtu.t2att3,20000530,1,1
wtu.t2att3,20000540,0.8571428571428571,0.8235294117647058
wtu.t2att3,20000550,1,0.7058823529411765
wtu.t2att3,20000560,1,1
wtu.t2att3,20000570,0.8571428571428571,0.9411764705882353
wtu.t2att3,20000580,0.8571428571428571,0.7647058823529411
wtu.t2att3,20000590,1,1
wtu.t2att3,20000600,1,1
wtu.t2att3,20000610,1,1
wtu.t2att3,20000620,0.2857142857142857,0.47058823529411764
wtu.t2att3,20000630,0.7142857142857143,0.47058823529411764
wtu.t2att3,20000640,0.5714285714285714,0.7058823529411765
wtu.t2att3,20000650,0.8571428571428571,0.9411764705882353
wtu.t2att3,20000660,0.5714285714285714,0.7058823529411765
wtu.t2att3,20000670,1,0.47058823529411764
wtu.t2att3,20000680,1,0.9411764705882353
wtu.t2att3,20000690,0.7142857142857143,0.7058823529411765
wtu.t2att3,20000700,0.2857142857142857,0.4117647058823529
wtu.t2att3,20000710,1,0.7647058823529411
wtu.t2att3,20000720,0.5714285714285714,0.7647058823529411
wtu.t2att3,20000730,0.7142857142857143,0.8235294117647058
wtu.t2att3,20000740,1,0.7058823529411765
wtu.t2att3,20000750,1,0.7058823529411765
wtu.t2att3,20000760,0.5714285714285714,0.8235294117647058
wtu.t2att3,20000770,0.7142857142857143,0.7647058823529411
wtu.t2att3,20000780,1,0.9411764705882353
wtu.t2att3,20000790,0.7142857142857143,0.8823529411764706
wtu.t2att3,20000800,1,1
wtu.t2att3,20000810,0.8571428571428571,0.8823529411764706
wtu.t2att3,20000820,0.7142857142857143,0.7647058823529411
wtu.t2att3,20000830,1,1
wtu.t2att3,20000840,1,0.8823529411764706
wtu.t2att3,20000850,0.7142857142857143,0.8235294117647058
wtu.t2att3,20000860,0.2857142857142857,0.7058823529411765
wtu.t2att3,20000870,0.7142857142857143,0.5882352941176471
wtu.t2att3,20000880,0.14285714285714285,0.5882352941176471
wtu.t2att3,20000890,0.8571428571428571,0.8823529411764706
wtu.t2att3,20000900,0.7142857142857143,0.7647058823529411
wtu.t2att3,20000910,0,0
wtu.t2att3,20000920,0.5714285714285714,0.7647058823529411
wtu.t2att3,20000930,1,1
wtu.t2att3,20000940,1,0.9411764705882353
wtu.t2att3,20000950,1,1
wtu.t2att3,20000960,1,0.8235294117647058
wtu.t2att3,20000970,1,0.8235294117647058
wtu.t2att3,20000980,0.8571428571428571,0.8823529411764706
wtu.t2att3,20000990,1,0.9411764705882353
wtu.t2att3,20001000,0.8571428571428571,0.9411764705882353
wtu.t2att3,20001010,0.5714285714285714,0.7058823529411765
wtu.t2att3,20001020,1,0.7647058823529411
wtu.t2att3,20001030,0.14285714285714285,0.5882352941176471
wtu.t2att3,20001040,1,1
wtu.t2att3,20001050,0.8571428571428571,0.5294117647058824
wtu.t2att3,20001060,0.7142857142857143,0.8235294117647058
wtu.t2att3,20001070,1,1
wtu.t2att3,20001080,1,0.8235294117647058
wtu.t2att3,20001090,0.7142857142857143,0.7647058823529411
wtu.t2att3,20001100,0.8571428571428571,0.5882352941176471
wtu.t2att3,20001110,0.2857142857142857,0.5294117647058824
wtu.t2att3,20001120,1,1
wtu.t2att3,20001130,1,1
wtu.t2att3,20001140,0.42857142857142855,0.7647058823529411
wtu.t2att3,20001150,0.7142857142857143,0.8235294117647058
wtu.t2att3,20001160,1,1
wtu.t2att3,20001170,0.8571428571428571,0.6470588235294118
wtu.t2att3,20001180,0.8571428571428571,0.8823529411764706
wtu.t2att3,20001190,1,1
wtu.t2att3,20001200,0.7142857142857143,0.8235294117647058
wtu.t2att3,20001210,0.7142857142857143,0.7058823529411765
wtu.t2att3,20001220,1,0.8823529411764706
wtu.t2att3,20001230,0.2857142857142857,0.5882352941176471
wtu.t2att3,20001240,1,1
wtu.t2att3,20001250,1,1
wtu.t2att3,20001260,0.8571428571428571,0.7647058823529411
wtu.t2att3,20001270,1,1
wtu.t2att3,20001280,0.42857142857142855,0.7647058823529411
wtu.t2att3,20001290,0.2857142857142857,0.7058823529411765
wtu.t2att3,20001300,1,1
wtu.t2att3,20001310,0.8571428571428571,0.9411764705882353
wtu.t2att3,20001320,1,1
wtu.t2att3,20001330,0.42857142857142855,0.35294117647058826
wtu.t2att3,20001340,0.2857142857142857,0.5294117647058824
wtu.t2att3,20001350,1,1
wtu.t2att3,20001360,0.2857142857142857,0.7058823529411765
wtu.t2att3,20001370,0.42857142857142855,0.6470588235294118
wtu.t2att3,20001380,0.8571428571428571,0.8235294117647058
wtu.t2att3,20001390,1,1
wtu.t2att3,20001400,0.14285714285714285,0.47058823529411764
wtu.t2att3,20001410,0.8571428571428571,0.47058823529411764
wtu.t2att3,20001420,1,1
wtu.t2att3,20001430,0.42857142857142855,0.6470588235294118
wtu.t2att3,20001440,0.42857142857142855,0.7058823529411765
wtu.t2att3,20001450,1,1
wtu.t2att3,20001460,1,1
wtu.t2att3,20001470,1,0.6470588235294118
wtu.t2att3,20001480,0.8571428571428571,0.8235294117647058
wtu.t2att3,20001490,0.8571428571428571,0.9411764705882353
wtu.t2att3,20001500,0.8571428571428571,0.9411764705882353
wtu.t2att3,20001510,0.8571428571428571,0.9411764705882353
wtu.t2att3,20001520,0.8571428571428571,0.47058823529411764
wtu.t2att3,20001530,0.5714285714285714,0.6470588235294118
wtu.t2att3,20001540,1,1
wtu.t2att3,20001550,0.7142857142857143,0.6470588235294118
wtu.t2att3,20001560,0.8571428571428571,0.8823529411764706
wtu.t2att3,20001570,0.8571428571428571,0.7647058823529411
wtu.t2att3,20001580,0.7142857142857143,0.7647058823529411
wtu.t2att3,20001590,1,1
wtu.t2att3,20001600,0.7142857142857143,0.7647058823529411
wtu.t2att3,20001610,0.7142857142857143,0.5882352941176471
wtu.t2att3,20001620,0.2857142857142857,0.4117647058823529
wtu.t2att3,20001630,0.8571428571428571,0.8235294117647058
wtu.t2att3,20001640,0.14285714285714285,0.35294117647058826
wtu.t2att3,20001650,0.5714285714285714,0.5294117647058824
wtu.t2att3,20001660,0.5714285714285714,0.6470588235294118
wtu.t2att3,20001670,1,1
wtu.t2att3,20001680,0.42857142857142855,0.47058823529411764
wtu.t2att3,20001690,1,1
wtu.t2att3,20001700,1,1
wtu.t2att3,20001710,0.7142857142857143,0.7647058823529411
wtu.t2att3,20001720,1,1
wtu.t2att3,20001730,0.8571428571428571,0.7647058823529411
wtu.t2att3,20001740,1,1
wtu.t2att3,20001750,1,1
wtu.t2att3,20001760,1,0.7058823529411765
wtu.t2att3,20001770,0.14285714285714285,0.4117647058823529
wtu.t2att3,20001780,0.42857142857142855,0.5882352941176471
wtu.t2att3,20001790,0.8571428571428571,0.9411764705882353
wtu.t2att3,20001800,0.14285714285714285,0.47058823529411764
wtu.t2att3,20001810,0.5714285714285714,0.6470588235294118
wtu.t2att3,20001820,0.8571428571428571,0.9411764705882353
wtu.t2att3,20001830,1,0.9411764705882353
wtu.t2att3,20001840,0.8571428571428571,0.8823529411764706
wtu.t2att3,20001850,0.2857142857142857,0.7058823529411765
wtu.t2att3,20001860,1,1
wtu.t2att3,20001870,0.14285714285714285,0.23529411764705882
wtu.t2att3,20001880,0.2857142857142857,0.5882352941176471
wtu.t2att3,20001890,0.7142857142857143,0.5294117647058824
wtu.t2att3,20001900,0.8571428571428571,0.9411764705882353
wtu.t2att3,20001910,0,0.29411764705882354
wtu.t2att3,20001920,1,0.7058823529411765
wtu.t2att3,20001930,0.8571428571428571,0.8235294117647058
wtu.t2att3,20001940,1,0.8235294117647058
wtu.t2att3,20001950,1,1
wtu.t2att3,20001960,1,1
wtu.t2att3,20001970,0.7142857142857143,0.7058823529411765
wtu.t2att3,20001980,1,1
wtu.t2att3,20001990,0.2857142857142857,0.47058823529411764
wtu.t2att3,20002000,1,1
wtu.t2att3,20002010,1,0.8823529411764706
wtu.t2att3,20002020,0.5714285714285714,0.7058823529411765
wtu.t2att3,20002030,1,1
wtu.t2att3,20002040,0.7142857142857143,0.6470588235294118
wtu.t2att3,20002050,0.7142857142857143,0.8823529411764706
wtu.t2att3,20002060,0.7142857142857143,0.5882352941176471
wtu.t2att3,20002070,1,0.8823529411764706
wtu.t2att3,20002080,1,0.7647058823529411
wtu.t2att3,20002090,1,1
wtu.t2att3,20002100,1,1
wtu.t2att3,20002110,0,0.23529411764705882
wtu.t2att3,20002120,1,0.8823529411764706
wtu.t2att3,20002130,0.42857142857142855,0.7647058823529411
wtu.t2att3,20002140,0.7142857142857143,0.7058823529411765
wtu.t2att3,20002150,0.7142857142857143,0.8823529411764706
wtu.t2att3,20002160,0.8571428571428571,0.9411764705882353
wtu.t2att3,20002170,0.7142857142857143,0.6470588235294118
wtu.t2att3,20002180,0.7142857142857143,0.8235294117647058
wtu.t2att3,20002190,0.7142857142857143,0.7647058823529411
wtu.t2att3,20002200,0.8571428571428571,0.9411764705882353
wtu.t2att3,20002210,0.7142857142857143,0.5882352941176471
wtu.t2att3,20002220,0.7142857142857143,0.8823529411764706
wtu.t2att3,20002230,1,1
wtu.t2att3,20002240,1,1
wtu.t2att3,20002250,1,1
wtu.t2att3,20002260,0.8571428571428571,0.7647058823529411
wtu.t2att3,20002270,0.5714285714285714,0.8235294117647058
wtu.t2att3,20002280,1,0.9411764705882353
wtu.t2att3,20002290,1,1
wtu.t2att3,20002300,1,0.8823529411764706
