caseid,source_row,pollgroup,legacy_field,historical_value,approved_value
52015,1,5202,chi.t1att2,0.7666666507720947,0.7666666507720947
52026,2,5205,chi.t1att2,0.5,0.5
52262,3,5212,chi.t1att2,1,1
52040,4,5210,chi.t1att2,0.6333333253860474,0.6333333253860474
52039,5,5211,chi.t1att2,0.5333333611488342,0.5333333611488342
52243,6,5206,chi.t1att2,1,1
52003,7,5202,chi.t1att2,0.699999988079071,0.699999988079071
52258,8,5215,chi.t1att2,0.6666666865348816,0.6666666865348816
52012,10,5203,chi.t1att2,0.5,0.5
52032,11,5210,chi.t1att2,0.46666666865348816,0.46666666865348816
52021,12,5208,chi.t1att2,0.6666666865348816,0.6666666865348816
52264,13,5215,chi.t1att2,1,1
52257,14,5202,chi.t1att2,0.6666666865348816,0.6666666865348816
52247,15,5203,chi.t1att2,1,1
52042,16,5215,chi.t1att2,0,0
52249,17,5215,chi.t1att2,0.550000011920929,0.550000011920929
52263,18,5203,chi.t1att2,1,1
52256,19,5206,chi.t1att2,0.25,0.25
52248,20,5205,chi.t1att2,0,0
52255,21,5213,chi.t1att2,1,1
52261,22,5210,chi.t1att2,0.6666666865348816,0.6666666865348816
52043,23,5202,chi.t1att2,0.6333333253860474,0.6333333253860474
52045,24,5203,chi.t1att2,0.30000001192092896,0.30000001192092896
52020,25,5204,chi.t1att2,0.6000000238418579,0.6000000238418579
52034,26,5216,chi.t1att2,0.5,0.5
52004,27,5211,chi.t1att2,0.5,0.5
52016,28,5207,chi.t1att2,0.5,0.5
52267,29,5205,chi.t1att2,0.5,0.5
52005,30,5209,chi.t1att2,0.5,0.5
52018,31,5208,chi.t1att2,1,1
52027,32,5212,chi.t1att2,0.6499999761581421,0.6499999761581421
52010,33,5209,chi.t1att2,0.8500000238418579,0.8500000238418579
52041,34,5207,chi.t1att2,0.6666666865348816,0.6666666865348816
52251,35,5212,chi.t1att2,0.4333333373069763,0.4333333373069763
52037,36,5212,chi.t1att2,0.5,0.5
