repository,repository_commit,working_tree_dirty,path,bytes,sha256,published_paths,archive_paths,reviewed_source_paths,byte_match,reviewed_source
dp-distortions,ffd7aafb017c039726d95d61e90f13ca4521e317,FALSE,data/polardata.csv,10082747,414900c78fd505180b3b90538df3df5958be8043947714fcdbb510924a60134f,,,,no-exact-match,FALSE
dp-distortions,ffd7aafb017c039726d95d61e90f13ca4521e317,FALSE,data/poll_indices.csv,10946,f3aa3b17e072a70404c562dd7113bebda7a1f5afd5f4abe96944d5956fd3d055,,,,no-exact-match,FALSE
dp-learning,a110f15e459be441396002427ff787e78d074485,FALSE,data/control_files.csv,762,c3021a680ce14076f075839d09abfa17dfe4c8e249297e1af7e6d6cd43f44f4b,,,,no-exact-match,FALSE
dp-learning,a110f15e459be441396002427ff787e78d074485,FALSE,data/raw/cor-sood-replication.zip,468335,6cb0fe9b9e0e6f1a381e200277665ad32f78c24b93346c48e55598c156633e7c,evidence/deposits/guessing-and-forgetting.zip,,,published-exact,FALSE
dp-learning,a110f15e459be441396002427ff787e78d074485,FALSE,data/raw/greece.csv,107752,32a031325309136318ba9ab8f2a500956df05f0e2bdaa75b78ee2bff4aa23bb2,data/marousi-2006/participants.csv,,,published-exact,FALSE
dp-learning,a110f15e459be441396002427ff787e78d074485,FALSE,data/raw/polardata.tab,6566439,98153f8fcde1d9c2bcb56b6179d66210834ab344790c835ddcf5f1f1039b448a,evidence/benchmarks/polardata.tab,,,published-exact,FALSE
dp-learning,a110f15e459be441396002427ff787e78d074485,FALSE,data/raw/poll_indices.tab,11978,e849d6a0926712e0193d2f1d7fecd17352170c510fa9c995529566162a206e4a,evidence/benchmarks/attitude-indices.tab,,,published-exact,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/groups.csv,1116,77235b6cc5ab095a027e932fb2301929066f86e872945c27c0269c2093ea9ab6,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/manifest.yaml,1012,33ef4cb478332c8830561739585eea624b1f45016e826b26dd3231db88e29622,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/n.ireland.indices.csv,2419,1a8e7619dc3816bd9839972ec47e4e86b73c0a4ba61ae6c7248de5833345babc,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/n.ireland.indices1.csv,2681,4825290989e16d495cf121d95d7fda01eff00c1b08a31411dee9c8e54f73c34c,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/n_ireland.indices.xlsx,17731,2e75c45d45f231796e8bd6eed55f04e61e9582c0dd9820b7ce79a996dd4d1928,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/ninis/CensusKS02_age.xls,1292288,588c1249a03eda20a9dcb8ea09a8f777b59e7873999f9a2799a358ccb67d4f57,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/ninis/CensusKS04_MS.xls,809984,31f80e346d294de23164fcf03c854b6f9d767ca32a4df22790e5c61a958e4e27,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/ninis/CensusKS07a_religion.xls,857088,38221dbab976a7469245ecdab503d61f6a7571ab89829a33191c10851add959c,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/ninis/CensusKS09A_economic.xls,1135104,723e42e4daa73e283f3e09b5a638ecf35d82ac5447b7b0888b03cbedd22ff52f,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/ninis/CensusKS12A_Occupation.xls,924672,e53b8cc01e993c3b42601c0d5a18719bb7bd727c496a390e8d886a09abfbea78,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/ninis/Census_Commissioned_Qualifications_by_Age_Groups_16-74.xls,1331200,a4b5979348587b73eb688cb9deb58b58bfc31868c9e02219a4cff8d2c7c91270,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/nireland.rdata,271172,cb986ec5f42dbe2187111b1ac384f19a993048954e70b09fe0b1b457385b4587,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/nireland_1.rdata,258981,06a7f08b2e8e8abd60959567078c6d0fa0877f5d94b3e9458b9683e01d28aa52,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/open_ended/coding.open.ended.1.15.xlsx,424540,5f6a0eb0edc566aa62afdf7334317a63575d4dadcd551918d3e253fc65a97978,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/open_ended/coding.open.ended.csv,91606,746c3d0552967da87131bfee510af2ff2478c3902cc60acc5ef618b19333ff40,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/open_ended/coding.open.ended.monty.final.xlsx,563637,922e2d7bf711e98bba9be48814191471955dbf4df5e8191642b95f2a1c4c7d68,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/open_ended/coding.open.ended.xlsx,395631,451df65b2c09a5a08ed00eb9b775f91614d867d2fa4dd5b1d0accdbaeb2a9458,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/open_ended/coding.scheme/Categories for Questions 18-21v10.docx,29027,60f6a8457c776cd149081be4fbcf12d3f73d20ee47a7ef059edfc25252f2bec7,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/open_ended/coding.scheme/Categories for Questions 18-21v11.docx,31278,4074b508751691c51ecfd0609726fd7d2d64011ec9309199966e3a8a958518d0,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/open_ended/coding.scheme/Categories for Questions 18-21v12.docx,31377,c43bd155895d4894c294bd55e059011bee355a825b53c1416b32f3cbcd0545d3,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/open_ended/coding.scheme/Categories for Questions 18-21v13.docx,31296,e294d51f2e51366a158f001d7b0a6a2ab52c552e3e3c7d0b993e7551ae5a192b,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/open_ended/coding.scheme/Categories for Questions 18-21v14.docx,32089,61e2a2478ed8f356785bb48114ff1c2eea5acb526d4c537d8ef959f6a3e1dd44,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/open_ended/coding.scheme/Categories for Questions 18-21v15.docx,32086,b1ba6174b349f995859ef15cd7147203a4a1326d8edba186f89b594e2abc3ea9,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/open_ended/coding.scheme/Categories for Questions 18-21v16.docx,32017,53f2cb6351501d11bfab4475681c2a6e2697e33a795e5ea7ba94b21deca95309,,,,no-exact-match,FALSE
dp-nireland,67a44eae22ec3bab07f41577f1b522f071a80163,FALSE,data/open_ended/coding.scheme/Categories for Questions 18-21v8.docx,137689,be6ead0307e10345f71f58345ddab96bc6425d52d76c6e127c21b092c967aae8,,,,no-exact-match,FALSE
