poll_id,respondent_id,wave,item_id,source_row,source_column,raw_value,correct,response_status,missing_code,battery_row,benchmark_column,deposited_correct,differs
uk-monarchy-1996,source-row-605,2,knowledge-3,605,R5C,4,NA,non_substantive,4,6,knowc2raw,1,TRUE
uk-monarchy-1996,source-row-606,2,knowledge-3,606,R5C,1,1,answered,NA,7,knowc2raw,0,TRUE
uk-monarchy-1996,source-row-607,2,knowledge-3,607,R5C,2,0,answered,NA,8,knowc2raw,1,TRUE
uk-monarchy-1996,source-row-609,2,knowledge-3,609,R5C,1,1,answered,NA,10,knowc2raw,NA,TRUE
uk-monarchy-1996,source-row-610,2,knowledge-3,610,R5C,2,0,answered,NA,11,knowc2raw,1,TRUE
uk-monarchy-1996,source-row-614,2,knowledge-3,614,R5C,1,1,answered,NA,15,knowc2raw,0,TRUE
uk-monarchy-1996,source-row-622,2,knowledge-3,622,R5C,4,NA,non_substantive,4,23,knowc2raw,1,TRUE
uk-monarchy-1996,source-row-628,2,knowledge-3,628,R5C,3,NA,non_substantive,3,29,knowc2raw,1,TRUE
uk-monarchy-1996,source-row-632,2,knowledge-3,632,R5C,1,1,answered,NA,33,knowc2raw,NA,TRUE
uk-monarchy-1996,source-row-641,2,knowledge-3,641,R5C,1,1,answered,NA,42,knowc2raw,NA,TRUE
uk-monarchy-1996,source-row-657,2,knowledge-3,657,R5C,4,NA,non_substantive,4,58,knowc2raw,1,TRUE
uk-monarchy-1996,source-row-659,2,knowledge-3,659,R5C,4,NA,non_substantive,4,60,knowc2raw,1,TRUE
uk-monarchy-1996,source-row-661,2,knowledge-3,661,R5C,3,NA,non_substantive,3,62,knowc2raw,1,TRUE
uk-monarchy-1996,source-row-671,2,knowledge-3,671,R5C,2,0,answered,NA,72,knowc2raw,NA,TRUE
uk-monarchy-1996,source-row-678,2,knowledge-3,678,R5C,2,0,answered,NA,79,knowc2raw,1,TRUE
uk-monarchy-1996,source-row-682,2,knowledge-3,682,R5C,1,1,answered,NA,83,knowc2raw,NA,TRUE
uk-monarchy-1996,source-row-685,2,knowledge-3,685,R5C,3,NA,non_substantive,3,86,knowc2raw,1,TRUE
uk-monarchy-1996,source-row-687,2,knowledge-3,687,R5C,2,0,answered,NA,88,knowc2raw,1,TRUE
uk-monarchy-1996,source-row-689,2,knowledge-3,689,R5C,2,0,answered,NA,90,knowc2raw,NA,TRUE
