poll_id,respondents,matched,unmatched,groups
australia-republic-1999,347,347,0,24
btp-2007,301,301,0,20
btp-general-election-2004,250,250,0,15
btp-health-education-2005,454,454,0,30
btp-online-primaries-2004,328,315,13,16
bulgaria-crime-2002,278,278,0,17
california-whats-next-2011,396,396,0,25
cpl-1996,216,216,0,16
denmark-euro-2000,359,0,359,0
europolis-2009,348,348,0,25
michigan-2009,310,310,0,16
nic-1996,466,466,0,30
northern-ireland-2007,124,124,0,20
san-mateo-2008,239,239,0,26
swepco-1996,232,232,0,14
tomorrows-europe-2007,359,359,0,18
uk-crime-1994,299,299,0,20
uk-eu-1995,224,220,4,15
uk-general-election-1997,275,275,0,15
uk-health-1998,230,230,0,15
uk-monarchy-1996,258,258,0,15
vermont-energy-2007,146,0,146,0
wtu-1996,230,230,0,14
