poll_id,source_column,raw_value,correct,response_status,missing_code,respondents
northern-ireland-2007,t1q21,1,0,answered,NA,3
northern-ireland-2007,t1q21,2,0,answered,NA,3
northern-ireland-2007,t1q21,3,0,answered,NA,12
northern-ireland-2007,t1q21,4,1,answered,NA,30
northern-ireland-2007,t1q21,5,0,answered,NA,24
northern-ireland-2007,t1q21,9,NA,non_substantive,9,49
northern-ireland-2007,t1q21,10,NA,non_substantive,10,3
northern-ireland-2007,t1q22,1,0,answered,NA,14
northern-ireland-2007,t1q22,2,0,answered,NA,19
northern-ireland-2007,t1q22,3,0,answered,NA,6
northern-ireland-2007,t1q22,4,1,answered,NA,23
northern-ireland-2007,t1q22,5,0,answered,NA,14
northern-ireland-2007,t1q22,9,NA,non_substantive,9,48
northern-ireland-2007,t1q23,1,1,answered,NA,26
northern-ireland-2007,t1q23,2,0,answered,NA,37
northern-ireland-2007,t1q23,3,0,answered,NA,9
northern-ireland-2007,t1q23,4,0,answered,NA,25
northern-ireland-2007,t1q23,9,NA,non_substantive,9,27
northern-ireland-2007,t1q24,1,0,answered,NA,10
northern-ireland-2007,t1q24,2,0,answered,NA,25
northern-ireland-2007,t1q24,3,0,answered,NA,11
northern-ireland-2007,t1q24,4,1,answered,NA,36
northern-ireland-2007,t1q24,9,NA,non_substantive,9,42
northern-ireland-2007,t1q25,1,0,answered,NA,12
northern-ireland-2007,t1q25,2,0,answered,NA,7
northern-ireland-2007,t1q25,3,1,answered,NA,36
northern-ireland-2007,t1q25,4,0,answered,NA,37
northern-ireland-2007,t1q25,9,NA,non_substantive,9,32
northern-ireland-2007,t1q26,1,1,answered,NA,28
northern-ireland-2007,t1q26,2,0,answered,NA,43
northern-ireland-2007,t1q26,3,0,answered,NA,7
northern-ireland-2007,t1q26,9,NA,non_substantive,9,46
northern-ireland-2007,t1q27,1,0,answered,NA,25
northern-ireland-2007,t1q27,2,0,answered,NA,28
northern-ireland-2007,t1q27,3,0,answered,NA,28
northern-ireland-2007,t1q27,4,1,answered,NA,10
northern-ireland-2007,t1q27,9,NA,non_substantive,9,33
northern-ireland-2007,t2q11,1,0,answered,NA,1
northern-ireland-2007,t2q11,2,0,answered,NA,10
northern-ireland-2007,t2q11,3,1,answered,NA,44
northern-ireland-2007,t2q11,4,0,answered,NA,21
northern-ireland-2007,t2q11,9,NA,non_substantive,9,46
northern-ireland-2007,t2q11,10,NA,non_substantive,10,2
northern-ireland-2007,t2q12,1,0,answered,NA,3
northern-ireland-2007,t2q12,2,0,answered,NA,11
northern-ireland-2007,t2q12,3,0,answered,NA,7
northern-ireland-2007,t2q12,4,1,answered,NA,59
northern-ireland-2007,t2q12,5,0,answered,NA,13
northern-ireland-2007,t2q12,9,NA,non_substantive,9,31
northern-ireland-2007,t2q13,1,1,answered,NA,93
northern-ireland-2007,t2q13,2,0,answered,NA,13
northern-ireland-2007,t2q13,3,0,answered,NA,6
northern-ireland-2007,t2q13,4,0,answered,NA,4
northern-ireland-2007,t2q13,9,NA,non_substantive,9,7
northern-ireland-2007,t2q13,10,NA,non_substantive,10,1
northern-ireland-2007,t2q14,1,0,answered,NA,8
northern-ireland-2007,t2q14,2,0,answered,NA,17
northern-ireland-2007,t2q14,3,0,answered,NA,7
northern-ireland-2007,t2q14,4,1,answered,NA,78
northern-ireland-2007,t2q14,9,NA,non_substantive,9,14
northern-ireland-2007,t2q15,1,0,answered,NA,12
northern-ireland-2007,t2q15,2,0,answered,NA,9
northern-ireland-2007,t2q15,3,1,answered,NA,54
northern-ireland-2007,t2q15,4,0,answered,NA,28
northern-ireland-2007,t2q15,9,NA,non_substantive,9,21
northern-ireland-2007,t2q16,1,1,answered,NA,98
northern-ireland-2007,t2q16,2,0,answered,NA,13
northern-ireland-2007,t2q16,3,0,answered,NA,4
northern-ireland-2007,t2q16,9,NA,non_substantive,9,9
northern-ireland-2007,t2q17,1,0,answered,NA,22
northern-ireland-2007,t2q17,2,0,answered,NA,29
northern-ireland-2007,t2q17,3,0,answered,NA,39
northern-ireland-2007,t2q17,4,1,answered,NA,11
northern-ireland-2007,t2q17,9,NA,non_substantive,9,23
uk-health-1998,sopha1,-9,NA,non_substantive,-9,8
uk-health-1998,sopha1,-8,NA,non_substantive,-8,32
uk-health-1998,sopha1,0,1,answered,NA,175
uk-health-1998,sopha1,1,0,answered,NA,15
uk-health-1998,sopha2,-9,NA,non_substantive,-9,16
uk-health-1998,sopha2,-8,NA,non_substantive,-8,7
uk-health-1998,sopha2,0,1,answered,NA,191
uk-health-1998,sopha2,1,0,answered,NA,14
uk-health-1998,sopha2,NA,NA,source_missing,system,2
uk-health-1998,sophb1,-9,NA,non_substantive,-9,3
uk-health-1998,sophb1,-8,NA,non_substantive,-8,9
uk-health-1998,sophb1,0,0,answered,NA,12
uk-health-1998,sophb1,1,1,answered,NA,206
uk-health-1998,sophb2,-9,NA,non_substantive,-9,6
uk-health-1998,sophb2,-8,NA,non_substantive,-8,4
uk-health-1998,sophb2,0,0,answered,NA,8
uk-health-1998,sophb2,1,1,answered,NA,210
uk-health-1998,sophb2,NA,NA,source_missing,system,2
uk-health-1998,sophc1,-9,NA,non_substantive,-9,4
uk-health-1998,sophc1,-8,NA,non_substantive,-8,48
uk-health-1998,sophc1,0,0,answered,NA,38
uk-health-1998,sophc1,1,1,answered,NA,140
uk-health-1998,sophc2,-9,NA,non_substantive,-9,12
uk-health-1998,sophc2,-8,NA,non_substantive,-8,30
uk-health-1998,sophc2,0,0,answered,NA,37
uk-health-1998,sophc2,1,1,answered,NA,149
uk-health-1998,sophc2,NA,NA,source_missing,system,2
uk-health-1998,sophd1,-9,NA,non_substantive,-9,3
uk-health-1998,sophd1,-8,NA,non_substantive,-8,18
uk-health-1998,sophd1,0,1,answered,NA,182
uk-health-1998,sophd1,1,0,answered,NA,27
uk-health-1998,sophd2,-9,NA,non_substantive,-9,12
uk-health-1998,sophd2,-8,NA,non_substantive,-8,8
uk-health-1998,sophd2,0,1,answered,NA,189
uk-health-1998,sophd2,1,0,answered,NA,19
uk-health-1998,sophd2,NA,NA,source_missing,system,2
uk-health-1998,sophe1,-9,NA,non_substantive,-9,3
uk-health-1998,sophe1,-8,NA,non_substantive,-8,20
uk-health-1998,sophe1,0,1,answered,NA,43
uk-health-1998,sophe1,1,0,answered,NA,164
uk-health-1998,sophe2,-9,NA,non_substantive,-9,11
uk-health-1998,sophe2,-8,NA,non_substantive,-8,8
uk-health-1998,sophe2,0,1,answered,NA,85
uk-health-1998,sophe2,1,0,answered,NA,124
uk-health-1998,sophe2,NA,NA,source_missing,system,2
uk-health-1998,sophf1,-9,NA,non_substantive,-9,6
uk-health-1998,sophf1,-8,NA,non_substantive,-8,30
uk-health-1998,sophf1,0,1,answered,NA,162
uk-health-1998,sophf1,1,0,answered,NA,32
uk-health-1998,sophf2,-9,NA,non_substantive,-9,10
uk-health-1998,sophf2,-8,NA,non_substantive,-8,15
uk-health-1998,sophf2,0,1,answered,NA,193
uk-health-1998,sophf2,1,0,answered,NA,10
uk-health-1998,sophf2,NA,NA,source_missing,system,2
