poll_id,field,respondents,compared_values,missingness_differences,value_differences,max_absolute_difference,tolerance
uk-health-1998,ukhealth.t1payhlt,230,204,0,0,0,1e-10
uk-health-1998,ukhealth.t1poora,230,223,0,0,0,1e-10
uk-health-1998,ukhealth.t1option,230,218,0,0,0,1e-10
uk-health-1998,ukhealth.t1hlthfu,230,225,0,0,3.3306690738754696e-16,1e-10
uk-health-1998,ukhealth.t1ctexpt,230,225,0,0,3.3306690738754696e-16,1e-10
uk-health-1998,ukhealth.t1pritre,230,224,0,0,3.3306690738754696e-16,1e-10
uk-health-1998,ukhealth.t1severi,230,204,0,0,0,1e-10
uk-health-1998,ukhealth.t1preven,230,212,0,0,0,1e-10
uk-health-1998,ukhealth.t1dispub,230,215,0,0,0,1e-10
uk-health-1998,ukhealth.t2payhlt,230,217,0,0,0,1e-10
uk-health-1998,ukhealth.t2poora,230,218,0,0,0,1e-10
uk-health-1998,ukhealth.t2option,230,223,0,0,0,1e-10
uk-health-1998,ukhealth.t2hlthfu,230,222,0,0,3.3306690738754696e-16,1e-10
uk-health-1998,ukhealth.t2ctexpt,230,221,0,0,3.3306690738754696e-16,1e-10
uk-health-1998,ukhealth.t2pritre,230,217,0,0,3.3306690738754696e-16,1e-10
uk-health-1998,ukhealth.t2severi,230,204,0,0,3.3306690738754696e-16,1e-10
uk-health-1998,ukhealth.t2preven,230,214,0,0,0,1e-10
uk-health-1998,ukhealth.t2dispub,230,200,0,0,0,1e-10
