poll_id,legacy_field,definition_id,respondents,compared_values,missingness_differences,value_differences,max_absolute_difference,tolerance
uk-eu-1995,readbrief,readbrief@historical-v1,238,0,0,0,0,1e-10
uk-eu-1995,t1know,t1know@historical-v1,238,238,0,0,0,1e-10
uk-eu-1995,t1knowr,t1know@historical-v1,238,238,0,0,0,1e-10
uk-eu-1995,t1knowcor,t1knowcor@historical-v1,238,238,0,0,0,1e-10
uk-eu-1995,t2know,t2know@historical-v1,238,238,0,0,0,1e-10
uk-eu-1995,ppage,ppage@historical-v1,238,237,0,0,0,1e-10
uk-eu-1995,educ4,educ4@historical-v1,238,230,0,0,0,1e-10
uk-eu-1995,minority,minority@historical-v1,238,233,0,0,0,1e-10
uk-eu-1995,hhincome,hhincome@historical-v1,238,0,0,0,0,1e-10
uk-eu-1995,female,female@historical-v1,238,238,0,0,0,1e-10
uk-eu-1995,attextreme,attextreme@historical-v1,238,238,0,0,3.885780586188048e-16,1e-10
uk-eu-1995,highinc,highinc@historical-v1,238,0,0,0,0,1e-10
uk-eu-1995,t1polint,t1polint@historical-v1,238,238,0,0,0,1e-10
uk-eu-1995,t1knowcor2,t1knowcor2@historical-v1,238,0,0,0,0,1e-10
uk-eu-1995,t12know,t12know@historical-v1,238,0,0,0,0,1e-10
uk-eu-1995,t12knowcor,t12knowcor@historical-v1,238,0,0,0,0,1e-10
uk-eu-1995,attextreme2,attextreme2@historical-v1,238,0,0,0,0,1e-10
uk-eu-1995,t1knowrcor,t1knowcor@historical-v1,238,238,0,0,0,1e-10
uk-eu-1995,t2knowr,t2know@historical-v1,238,238,0,0,0,1e-10
uk-eu-1995,knowgain,knowgain@historical-v1,238,238,0,0,1.1102230246251565e-16,1e-10
uk-eu-1995,knowgain2,knowgain2@historical-v1,238,238,0,0,1.1102230246251565e-16,1e-10
uk-eu-1995,logpk,logpk@historical-v1,238,238,0,0,1.7763568394002505e-15,1e-10
uk-eu-1995,tobitpk,tobitpk@historical-v1,238,238,0,0,0,1e-10
uk-eu-1995,knowgainr,knowgain@historical-v1,238,238,0,0,1.1102230246251565e-16,1e-10
uk-eu-1995,knowgainr2,knowgain2@historical-v1,238,238,0,0,1.1102230246251565e-16,1e-10
uk-eu-1995,educ3,educ3@historical-v1,238,230,0,0,0,1e-10
uk-eu-1995,ukeu.eurelat1g,ukeu.eurelat1g@historical-v1,238,238,0,0,3.3306690738754696e-16,1e-10
uk-eu-1995,ukeu.euscope1g,ukeu.euscope1g@historical-v1,238,237,0,0,0,1e-10
uk-eu-1995,ukeu.commies1r,ukeu.commies1r@historical-v1,238,238,0,0,0,1e-10
uk-eu-1995,ukeu.favref1r,ukeu.favref1r@historical-v1,238,238,0,0,0,1e-10
uk-eu-1995,ukeu.eurelat2g,ukeu.eurelat2g@historical-v1,238,224,0,0,4.440892098500626e-16,1e-10
uk-eu-1995,ukeu.euscope2g,ukeu.euscope2g@historical-v1,238,238,0,0,3.885780586188048e-16,1e-10
uk-eu-1995,ukeu.commies2r,ukeu.commies2r@historical-v1,238,221,0,0,0,1e-10
uk-eu-1995,ukeu.favref2r,ukeu.favref2r@historical-v1,238,224,0,0,0,1e-10
uk-eu-1995,bettered,bettered@historical-v1,238,230,0,0,0,1e-10
uk-health-1998,readbrief,readbrief@historical-v1,230,0,0,0,0,1e-10
uk-health-1998,t1know,t1know@historical-v1,230,230,0,0,3.3306690738754696e-16,1e-10
uk-health-1998,t1knowr,t1know@historical-v1,230,230,0,0,3.3306690738754696e-16,1e-10
uk-health-1998,t1knowcor,t1knowcor@historical-v1,230,230,0,0,3.3306690738754696e-16,1e-10
uk-health-1998,t2know,t2know@historical-v1,230,230,0,0,3.3306690738754696e-16,1e-10
uk-health-1998,ppage,ppage@historical-v1,230,230,0,0,0,1e-10
uk-health-1998,educ4,educ4@historical-v1,230,228,0,0,0,1e-10
uk-health-1998,minority,minority@historical-v1,230,230,0,0,0,1e-10
uk-health-1998,hhincome,hhincome@historical-v1,230,206,0,0,3.3306690738754696e-16,1e-10
uk-health-1998,female,female@historical-v1,230,230,0,0,0,1e-10
uk-health-1998,attextreme,attextreme@historical-v1,230,230,0,0,4.996003610813204e-16,1e-10
uk-health-1998,highinc,highinc@historical-v1,230,206,0,0,0,1e-10
uk-health-1998,t1polint,t1polint@historical-v1,230,0,0,0,0,1e-10
uk-health-1998,t1knowcor2,t1knowcor2@historical-v1,230,0,0,0,0,1e-10
uk-health-1998,t12know,t12know@historical-v1,230,0,0,0,0,1e-10
uk-health-1998,t12knowcor,t12knowcor@historical-v1,230,0,0,0,0,1e-10
uk-health-1998,attextreme2,attextreme2@historical-v1,230,0,0,0,0,1e-10
uk-health-1998,t1knowrcor,t1knowcor@historical-v1,230,230,0,0,3.3306690738754696e-16,1e-10
uk-health-1998,t2knowr,t2know@historical-v1,230,230,0,0,3.3306690738754696e-16,1e-10
uk-health-1998,knowgain,knowgain@historical-v1,230,230,0,0,3.885780586188048e-16,1e-10
uk-health-1998,knowgain2,knowgain2@historical-v1,230,230,0,0,3.885780586188048e-16,1e-10
uk-health-1998,logpk,logpk@historical-v1,230,230,0,0,4.884981308350689e-15,1e-10
uk-health-1998,tobitpk,tobitpk@historical-v1,230,230,0,0,0,1e-10
uk-health-1998,knowgainr,knowgain@historical-v1,230,230,0,0,3.885780586188048e-16,1e-10
uk-health-1998,knowgainr2,knowgain2@historical-v1,230,230,0,0,3.885780586188048e-16,1e-10
uk-health-1998,educ3,educ3@historical-v1,230,228,0,0,0,1e-10
uk-health-1998,ukhealth.t1payhlt,ukhealth.t1payhlt@historical-v1,230,204,0,0,0,1e-10
uk-health-1998,ukhealth.t1poora,ukhealth.t1poora@historical-v1,230,223,0,0,0,1e-10
uk-health-1998,ukhealth.t1option,ukhealth.t1option@historical-v1,230,218,0,0,0,1e-10
uk-health-1998,ukhealth.t1hlthfu,ukhealth.t1hlthfu@historical-v1,230,225,0,0,3.3306690738754696e-16,1e-10
uk-health-1998,ukhealth.t1ctexpt,ukhealth.t1ctexpt@historical-v1,230,225,0,0,3.3306690738754696e-16,1e-10
uk-health-1998,ukhealth.t1pritre,ukhealth.t1pritre@historical-v1,230,224,0,0,3.3306690738754696e-16,1e-10
uk-health-1998,ukhealth.t1severi,ukhealth.t1severi@historical-v1,230,204,0,0,0,1e-10
