CaseId	WEIGHT1	WEIGHT2	P_DELEGATE	P_TREATMENT	T2P_OPTION	FINAL_ATTEND	ROOM	ROOMLANG	SESSION1	SESSION2	SESSION3	SESSION4	OPTION1_LINKS	OPTION2_LINKS	DELEGATE2019	CONG_DIST	INDUSTRY_SECTOR	OCCUPATION_CATEGORY	HL025	RND_01	Q0A	Q0B	Q0C	Q1A	Q1B	Q1C	Q1D	Q1E	Q2A	Q2B	Q2C	Q3A	Q3B	Q4A	Q4B	Q4C	Q4D	Q4E	Q5ORDER1	Q5ORDER2	Q5ORDER3	Q5ORDER4	Q5ORDER5	Q5ORDER6	Q5ORDER7	Q5ORDER8	Q5ORDER9	Q5ORDER10	Q5ORDER11	Q5ORDER12	Q5ORDER13	Q5ORDER14	Q5ORDER15	Q5ORDER16	Q5ORDER17	Q5ORDER18	Q5ORDER19	Q5ORDER20	Q5ORDER21	Q5A	Q5B	Q5D	Q5E	Q5F	Q5G	Q5H	Q5I	Q5J	Q5K	Q5L	Q5M	Q5N	Q5O	Q5P	Q5Q	Q5R	Q5S	Q5T	Q5U	Q5V	Q6A	Q6B	Q6C	Q6D	Q6E	Q6F	Q7A	Q7B	Q7C	Q7D	Q7E	Q8A	Q8B	Q8C	Q8D	Q8E	Q9A	Q9B	Q9C	Q9D	Q9E	Q9F	Q10ORDER1	Q10ORDER2	Q10ORDER3	Q10ORDER4	Q10ORDER5	Q10ORDER6	Q10ORDER7	Q10A	Q10B	Q10C	Q10D	Q10E	Q10F	Q10G	Q11A	Q11B	Q12A	Q12B	Q13A	Q13B	Q13C	Q13D	Q14A	Q14B	Q14C	Q14D	Q14E	Q15A	Q15B	Q15C	Q15D	Q15E	Q15F	Q15G	Q15H	Q15I	Q16A	Q16B	Q16C	Q17	Q17_TIMER_TOTALTIME	Q18	Q18_TIMER_TOTALTIME	Q19	Q19_TIMER_TOTALTIME	Q20	Q20_TIMER_TOTALTIME	Q21	Q21_TIMER_TOTALTIME	Q22	Q22_TIMER_TOTALTIME	Q23	Q23_TIMER_TOTALTIME	Q24	Q24_TIMER_TOTALTIME	PA003	PA006	M1	M2	M3	M4	M5	D1	D2D	D2R	D2I	PartyID7	PARTYID3	LIBCONV	Q30_1	Q30_2	TECH1_1A	TECH1_1B	TECH1_1C	TECH1_1D	DOV_TECH	TECH1_2_1	TECH1_2_2	TECH1_2_3	TECH1_2_4	TECH1_2_SKP	TECH2A_1	TECH2A_2	TECH2A_3	TECH2A_4	TECH2A_5	TECH2A_SKP	TECH2B_1	TECH2B_2	TECH2B_3	TECH2B_4	TECH2B_5	TECH2B_SKP	TECH2C_1	TECH2C_2	TECH2C_3	TECH2C_4	TECH2C_5	TECH2C_SKP	TECH2D_1	TECH2D_2	TECH2D_3	TECH2D_4	TECH2D_5	TECH2D_SKP	TECH3A_1	TECH3A_2	TECH3A_3	TECH3A_4	TECH3A_5	TECH3A_SKP	TECH3B_1	TECH3B_2	TECH3B_3	TECH3B_4	TECH3B_5	TECH3B_SKP	TECH3C_1	TECH3C_2	TECH3C_3	TECH3C_4	TECH3C_5	TECH3C_SKP	TECH3D_1	TECH3D_2	TECH3D_3	TECH3D_4	TECH3D_5	TECH3D_SKP	TECH4A_1	TECH4A_2	TECH4A_3	TECH4A_4	TECH4A_5	TECH4A_5_OE	TECH4A_SKP	TECH4B_1	TECH4B_2	TECH4B_3	TECH4B_4	TECH4B_5	TECH4B_5_OE	TECH4B_SKP	TECH4C_1	TECH4C_2	TECH4C_3	TECH4C_4	TECH4C_5	TECH4C_5_OE	TECH4C_SKP	TECH4D_1	TECH4D_2	TECH4D_3	TECH4D_4	TECH4D_5	TECH4D_5_OE	TECH4D_SKP	R1	T2RND_01	T2Q0A	T2Q0B	T2Q0C	T2Q1A	T2Q1B	T2Q1C	T2Q1D	T2Q1E	T2Q2A	T2Q2B	T2Q2C	T2Q3A	T2Q3B	T2Q4A	T2Q4B	T2Q4C	T2Q4D	T2Q4E	T2Q5ORDER1	T2Q5ORDER2	T2Q5ORDER3	T2Q5ORDER4	T2Q5ORDER5	T2Q5ORDER6	T2Q5ORDER7	T2Q5ORDER8	T2Q5ORDER9	T2Q5ORDER10	T2Q5ORDER11	T2Q5ORDER12	T2Q5ORDER13	T2Q5ORDER14	T2Q5ORDER15	T2Q5ORDER16	T2Q5ORDER17	T2Q5ORDER18	T2Q5ORDER19	T2Q5ORDER20	T2Q5ORDER21	T2Q5A	T2Q5B	T2Q5D	T2Q5E	T2Q5F	T2Q5G	T2Q5H	T2Q5I	T2Q5J	T2Q5K	T2Q5L	T2Q5M	T2Q5N	T2Q5O	T2Q5P	T2Q5Q	T2Q5R	T2Q5S	T2Q5T	T2Q5U	T2Q5V	T2Q6A	T2Q6B	T2Q6C	T2Q6D	T2Q6E	T2Q6F	T2Q7A	T2Q7B	T2Q7C	T2Q7D	T2Q7E	T2Q8A	T2Q8B	T2Q8C	T2Q8D	T2Q8E	T2Q9A	T2Q9B	T2Q9C	T2Q9D	T2Q9E	T2Q9F	T2Q10ORDER1	T2Q10ORDER2	T2Q10ORDER3	T2Q10ORDER4	T2Q10ORDER5	T2Q10ORDER6	T2Q10ORDER7	T2Q10A	T2Q10B	T2Q10C	T2Q10D	T2Q10E	T2Q10F	T2Q10G	T2Q11A	T2Q11B	T2Q12A	T2Q12B	T2Q13A	T2Q13B	T2Q13C	T2Q13D	T2Q14A	T2Q14B	T2Q14C	T2Q14D	T2Q14E	T2Q15A	T2Q15B	T2Q15C	T2Q15D	T2Q15E	T2Q15F	T2Q15G	T2Q15H	T2Q15I	T2Q16A	T2Q16B	T2Q16C	T2Q17	T2Q17_TIMER_TOTALTIME	T2Q18	T2Q18_TIMER_TOTALTIME	T2Q19	T2Q19_TIMER_TOTALTIME	T2Q20	T2Q20_TIMER_TOTALTIME	T2Q21	T2Q21_TIMER_TOTALTIME	T2Q22	T2Q22_TIMER_TOTALTIME	T2Q23	T2Q23_TIMER_TOTALTIME	T2Q24	T2Q24_TIMER_TOTALTIME	T2PA003	T2PA006	T2M1	T2M2	T2M3	T2M4	T2M5	T2D1	T2D2D	T2D2R	T2D2I	T2PartyID7	T2PARTYID3	T2LIBCONV	T2Q30_1	T2Q30_2	T2E1	T2E2	T2E3	T2E4	T2E5A	T2E5B	T2E5C	T2E5D	T2E5E	T2MEDIAOPTIN	STARTDT	ENDDT	duration	SURV_MODE	SURV_LANG	Device	T2STARTDT	T2ENDDT	T2duration	T2SURV_MODE	T2SURV_LANG	T2DEVICE	GENDER	AGE	AGE4	AGE7	RACETHNICITY	EDUC5	MARITAL	EMPLOY	INCOME	INCOME4	INCOME9	STATE	REGION4	REGION9	METRO	INTERNET	HOUSING	HOME_TYPE	PHONESERVICE	HHSIZE	HH01	HH25	HH612	HH1317	HH18OV	ESACCULTURATION	URBAN	LGBT	T3CaseId	T3WEIGHT1	T3WEIGHT2	T3QUAL	T3P_DELEGATE	T3RND_01	T3Q0A	T3Q0B	T3Q0C	T3Q1A	T3Q1B	T3Q1C	T3Q1D	T3Q1E	T3Q2A	T3Q2B	T3Q2C	T3Q3A	T3Q3B	T3Q5ORDER1	T3Q5ORDER2	T3Q5ORDER3	T3Q5ORDER4	T3Q5ORDER5	T3Q5ORDER6	T3Q5ORDER7	T3Q5ORDER8	T3Q5ORDER9	T3Q5ORDER10	T3Q5ORDER11	T3Q5ORDER12	T3Q5ORDER13	T3Q5ORDER14	T3Q5ORDER15	T3Q5ORDER16	T3Q5A	T3Q5B	T3Q5D	T3Q5J	T3Q5N	T3Q5O	T3Q5Q	T3Q5R	T3Q5U	T3Q5V	T3Q5E	T3Q5F	T3Q5G	T3Q5H	T3Q5I	T3Q5P	T3Q6A	T3Q6B	T3Q6D	T3Q6E	T3Q6F	T3Q7A	T3Q7D	T3Q7E	T3Q8A	T3Q9A	T3Q9C	T3Q9D	T3Q9E	T3Q9F	T3Q10G	T3Q13A	T3Q13B	T3Q13C	T3Q13D	T3Q13D3	T3Q13D2	T3Q13D2A	T3Q14A	T3Q14B	T3Q14C	T3Q14D	T3Q14E	T3Q15A	T3Q15B	T3Q15C	T3Q15D	T3Q15E	T3Q15F	T3Q15G	T3Q15H	T3Q15I	T3Q16A	T3Q16B	T3Q16C	T3QPA23	T3TALK1	T3TALK2	T3Q17	T3Q17_TIMER_TOTALTIME	T3Q18	T3Q18_TIMER_TOTALTIME	T3Q19	T3Q19_TIMER_TOTALTIME	T3Q20	T3Q20_TIMER_TOTALTIME	T3Q21	T3Q21_TIMER_TOTALTIME	T3Q22	T3Q22_TIMER_TOTALTIME	T3Q23	T3Q23_TIMER_TOTALTIME	T3Q24	T3Q24_TIMER_TOTALTIME	T3PA003	T3PA006	T3M1	T3M2	T3M3	T3M4	T3M5	T3D1	T3D2D	T3D2R	T3D2I	T3PARTYID7	T3LIBCONV	T3Q30_1	T3Q30_2	T3Q31	T3Q32A	T3Q32	T3ELECT3ORDER1	T3ELECT3ORDER2	T3ELECT3ORDER3	T3ELECT3ORDER4	T3ELECT3ORDER5	T3ELECT3ORDER6	T3ELECT3ORDER7	T3ELECT3ORDER8	T3ELECT3ORDER9	T3ELECT3A	T3ELECT3B	T3ELECT3C	T3ELECT3D	T3ELECT3E	T3ELECT3F	T3ELECT3G	T3ELECT3H	T3ELECT3I	T3ELECT4	T3ELECT5	T3CONSENT1	T3STARTDT	T3ENDDT	T3duration	T3SURV_MODE	T3SURV_LANG	T3DEVICE	T3GENDER	T3AGE	T3AGE4	T3AGE7	T3RACETHNICITY	T3EDUC	T3EDUC5	T3MARITAL	T3EMPLOY	T3INCOME	T3INCOME4	T3INCOME9	T3STATE	T3REGION4	T3REGION9	T3METRO	T3INTERNET	T3HOUSING	T3HOME_TYPE	T3PHONESERVICE	T3HHSIZE	T3HH01	T3HH25	T3HH612	T3HH1317	T3HH18OV
19117	1.6684805861	1.3774359233	1	1	1	8	"2-ah"	"English"	1	1	1	1	"Yes"	""	1	"Congressional District 9 - PA"				0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	6	12	14	2	16	18	21	7	4	9	5	17	13	15	20	19	8	10	11	22	1	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	10	10	10	10	10	10	0	10	10	0	5	3	1	2	4	7	6	10	10	10	10	10	10	10	10	10	0	10	0	0	0	10	0	5	5	10	10	5	10	0	10	10	5	10	10	0	0	0	0	1	5	1	2	3	16	3	15	5	4	1	5	1	8	1	3	3	4	0	0	7	2	2	4			1	3	3	1	17	4	2	1	2	1	2	0	1	0	1	0							1	0	0	0	0	0							1	0	1	0	0	0							1	0	0	0	0	0							0	0	0	0	1	0						""		1	0	0	0	0	""	0						""		1	0	0	0	0	""	0	1	1	7	7	7	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	22	20	15	10	8	19	2	14	17	16	9	6	21	11	12	7	1	13	5	4	18	10	10	10	10	10	10	10	10	10	10	10	10	5	10	10	10	7	10	10	10	10	10	10	10	5	10	10	10	5	9	10	0	10	10	6	7	9	3	6	5	5	6	1	7	4	1	5	3	6	2	6	8	7	7	7	7	10	8	8	1	9	3	0	0	10	5	10	2	6	10	5	7	4	7	10	4	10	10	0	0	0	0	1	3	1	2	3	10	1	9	5	7	1	7	1	7	1	4	3	5	0	0	7	2	5	1	1			1	1	1	19	5	10	7	10	10	5	5	3	5	4	1	"8/26/2021 18:56"	"8/26/2021 19:10"	14	2	1	"Desktop"	"9/23/2021 19:52"	"9/23/2021 20:14"	22	2	1	"Desktop"	1	23	1	1	1	3	5	1	11	3	6	"PA"	1	2	1	1	1	1	2	4	0	0	0	0	3		2	2	200			2	1																																																																																																																																																""	""				""	1	25	1	2	1	10	3	5	1	11	3	6	"PA"	1	2	1	1	1	1	2	4	0	0	0	0	3
15357			-99	1		3	""	""					""	""	0	"Congressional District 6 - GA"	52	43	2	1	4	6	8	10	8	10	10	10	10	8	8	5	8	7	7	7	9	9	4	5	16	17	18	6	10	9	22	8	12	1	7	11	21	15	20	13	14	19	2	9	8	4	4	4	8	2	7	9	4	7	6	5	8	8	10	8	10	7	7	7	6	6	8	7	9	9	10	6	10	8	10	4	8	9	9	9	9	7	2	9	10	4	6	7	1	4	3	2	5	10	10	10	9	10	7	9	7	7	5	10	2	2	4	7	7	10	6	6	10	8	10	5	5	10	8	10	10	9	5	5	5	1	9	1	5	4	19	3	47	5	10	1	34	1	67	1	39	2	4	7	0	1	3	1	1	1			1	1	2	95	1	2	1	2	1	2	0	1	0	1	0							1	0	0	0	0	0							1	0	0	0	0	0							1	0	0	0	0	0							0	1	0	0	0	0						""		1	0	0	0	0	""	0						""		1	0	0	0	0	""	0	1																																																																																																																																																																					"8/19/2021 20:19"	"8/19/2021 20:45"	26	2	1	"Smartphone"	""	""				""	2	61	4	5	2	5	4	2	9	2	5	"GA"	3	5	1	1	2	3	4	3	0	0	0	0	3		2	2																																																																																																																																																					""	""				""													""													
4222			-99	1		3	""	""					""	""	0	"Congressional District 38 - CA"			2	0	6	6	8	9	8	7	5	7	4	6	7	5	7	7	5	7	5	5	16	13	8	11	10	21	12	4	6	20	17	1	18	19	22	7	15	5	2	9	14	5	6	7	7	6	4	8	8	8	6	8	7	6	8	9	7	5	5	6	7	7	4	3	5	3	6	5	5	5	4	6	4	5	4	6	4	6	5	5	7	8	6	8	3	7	2	5	6	4	1	6	8	5	6	6	5	7	5	7	5	4	6	7	8	5	6	8	4	4	5	8	7	9	6	5	8	8	9	6	5	6	8	1	4	1	3	77	8	77	6	5	9	1	8	4	7	4	4	2	4	5	4	3	6	5	1	1			1	1	5	90	72	1	1	1	1	4	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	""	0	1	0	0	0	0	""	0	1	0	0	0	0	""	0	1	0	0	0	0	""	0	2																																																																																																																																																																					"8/14/2021 14:45"	"8/14/2021 14:57"	13	2	1	"Desktop"	""	""				""	1	71	4	6	6	4	1	5	9	2	5	"CA"	4	9	1	1	1	1	3	2	0	0	0	0	2		2	2																																																																																																																																																					""	""				""													""													
11437			-99	1		3	""	""					""	""	0	"Congressional District 35 - TX"			2	1	3	2	5	10	8	10	10	7	8	8	8	8	7	10	10	10	8	10	20	13	12	5	17	4	7	9	6	14	22	1	11	18	2	10	8	19	15	21	16	4	9	10	4	10	10	8	98	10	8	10	9	10	8	10	10	9	9	6	10	8	9	9	8	7	9	10	10	10	9	10	8	8	9	8	10	9	8	9	10	8	8	0	2	3	1	6	4	5	7	10	10	10	10	9	10	10	8	10	8	10	7	10	7	9	10	8	7	10	9	8	10	10	7	10	8	10	10	9	8	7	5	1	5	1	4	3	27	1	9	5	7	1	6	2	7	1	5	3	4	0	0	7	4	2	1	2			2	1	4	83	74	1	1	1	1	4	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	""	0	1	0	0	0	0	""	0	1	0	0	0	0	""	0	1	0	0	1	0	""	0	1																																																																																																																																																																					"8/19/2021 12:55"	"8/19/2021 13:37"	42	2	1	"Desktop"	""	""				""	1	41	2	3	4	4	1	1	16	4	9	"TX"	3	7	1	1	1	1	4	3	0	1	0	0	2		2	2																																																																																																																																																					""	""				""													""													
19118			-99	1		3	""	""					""	""	0	"Congressional District 7 - VA"	53	43	2	1	2	98	2	2	2	2	2	0	0	0	0	0	2	4	0	0	77	4	5	17	22	20	10	8	13	15	1	21	2	11	14	9	4	19	12	7	16	6	18	5	5	77	0	2	2	3	3	5	77	77	77	1	77	2	5	7	77	3	2	5	77	77	77	77	77	77	77	77	77	77	77	2	2	77	77	77	0	0	10	0	10	2	3	7	5	6	2	4	1	10	10	10	10	77	77	10	0	0	10	0	0	10	10	10	10	10	10	77	10	10	10	10	10	5	0	5	5	5	0	5	5	1	5	1	3	77	14	1	18	5	10	1	6	2	9	1	9	3	3	5	2	7	4	2	3			2	5	3	6	29	71	1	2	1	1	3	1	0	0	1	0	1	0	0	0	0	0							1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0							1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	""	0						""		0	0	1	0	0	""	0	0	0	0	1	0	""	0	1																																																																																																																																																																					"8/19/2021 21:40"	"8/19/2021 22:54"	28	2	1	"Desktop"	""	""				""	2	71	4	6	1	2	1	1	16	4	9	"VA"	3	5	0	1	1	1	3	4	0	1	0	0	3		3	2																																																																																																																																																					""	""				""													""													
19119			-99	1		10	"2-z"	"English"	0	0	0	0	""	"Yes"	0	"Congressional District 9 - NY"				1	5	5	5	6	6	6	6	6	5	4	5	5	5	7	7	7	5	5	13	15	14	7	11	22	17	20	5	16	10	18	12	21	6	8	9	19	2	4	1	5	77	4	5	5	5	5	5	77	5	5	5	5	98	5	5	5	6	5	5	5	5	5	4	6	5	77	77	77	5	6	4	5	5	5	98	98	77	77	77	77	5	6	2	4	1	6	7	3	5	5	5	4	5	77	7	6	5	5	4	77	77	77	8	4	5	5	6	5	6	10	4	4	10	10	10	5	10	5	5	5	5	77	1	77	2	77	2	77	1	77	1	98	1	98	1	77	1	98	3	3	3	2	2	3	4			3	4	3	8	777	777	2	1	1	2	2	0	1	1	0	0							0	0	1	1	0	0	0	0	1	1	0	0													0	1	0	0	0	0	0	0	0	0	1	0												""		0	0	0	0	0	""	1	0	0	0	0	0	""	1						""		1																																																																																																																																																																					"8/19/2021 18:24"	"8/19/2021 18:31"	7	2	1	"Smartphone"	""	""				""	2	26	1	2	4	3	5	1	6	1	3	"NY"	1	2	1	1	2	3	4	1	0	0	0	0	1		1	2																																																																																																																																																					""	""				""													""													
15361			-99	1		3	""	""					""	""	0	"Congressional District 32 - TX"	62	15	2	1	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	14	19	2	21	22	20	8	7	16	15	18	13	6	11	12	1	10	17	5	4	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	3	4	1	5	2	6	7	10	10	10	10	10	10	10	10	10	0	10	0	0	0	10	10	10	77	10	10	6	10	10	10	10	10	10	10	10	0	0	0	1	5	1	5	2	22	2	17	5	7	1	9	2	20	1	13	2	5	7	0	7	7	6	1	1			1	1	2	100	1	2	1	2	1	2	0	1	0	1	0							1	0	1	1	0	0							1	1	1	1	0	0							1	0	0	0	0	0							0	0	0	1	0	0						""		1	1	1	0	0	""	0						""		1	0	0	0	0	""	0	1																																																																																																																																																																					"9/1/2021 15:07"	"9/1/2021 15:25"	18	2	1	"Smartphone"	""	""				""	1	43	2	3	2	3	5	1	8	2	4	"TX"	3	7	1	1	2	3	2	1	0	0	0	0	1		1	2																																																																																																																																																					""	""				""													""													
53	0.6845048238	0.6177485480	0	0		1	""	""					""	""	0	"Congressional District 19 - CA"	54	13		0	7	8	9	8	7	5	8	6	5	6	5	77	77	8	2	7	77	4	9	6	20	13	21	16	1	15	4	5	2	12	7	8	18	19	22	11	10	14	17	2	8	77	8	7	5	5	7	8	8	5	7	7	7	8	10	77	10	7	7	6	77	77	77	77	5	77	9	5	10	8	8	77	3	5	7	8	2	6	6	5	6	7	7	4	2	6	3	5	1	5	6	5	8	7	5	77	6	6	77	8	4	4	5	2	8	8	2	5	7	8	8	6	8	10	4	9	7	3	5	2	3	1	5	1	2	3	12	1	8	5	7	77	8	1	9	1	6	2	3	7	6	6	2	2	4			1	3	3	5	71	48	2	1	1	1	3	0	1	1	1	0							1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0							1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0						""		1	0	1	0	0	""	0	0	0	1	0	0	""	0	0	0	1	0	0	""	0		0	7	8	9	10	9	8	77	9	8	8	6	8	8	9	7	9	8	7	13	2	7	5	17	8	10	6	15	18	16	11	9	21	12	22	1	19	20	4	14	1	8	77	7	7	6	6	7	8	9	77	7	9	8	7	10	77	9	8	77	7	77	77	7	77	7	7	7	77	10	7	5	5	1	7	7	8	4	7	5	3	7	8	4	1	6	2	7	5	3	6	8	9	6	8	5	7	6	6	6	5	3	5	6	7	6	6	5	4	8	6	6	6	7	9	2	8	6	3	4	3	3	1	15	2	1	3	29	1	16	5	10	77	3	77	15	1	5	2	3	2	7	2	1	2	4			1	3	3	5	75	42											"8/10/2021 20:41"	"8/10/2021 21:03"	22	2	1	"Smartphone"	"9/20/2021 9:41"	"9/20/2021 10:01"	21	2	1	"Desktop"	2	67	4	6	1	3	3	5	10	2	6	"CA"	4	9	1	1	1	1	2	1	0	0	0	0	1		1	2	201	0.5556015498	0.5058560011	3	0	0	7	8	8	9	9	9	8	10	8	8	7	8	7	22	18	10	15	4	2	17	1	21	14	5	6	7	8	9	16	5	8	77	9	8	8	10	7	6	8	6	8	8	6	7	9	77	77	77	77	77	7	8	7	5	5	4	5	8	8	4	3	4	5	4	7	6	5	7	8	5	6	8	8	3	5	8	10	1	8	6	2	3	3	1	8	3	4	2	6	1	2	3	27	1	11	5	15	77	5	1	10	1	9	2	3	4	7	1	0	2	4			1	3	4	67	54	8	1	1	8	2	9	5	6	3	1	7	4	8	8	7	8	7	6	8	7	7	3	2		"10/14/2022 12:53"	"10/14/2022 13:14"	2	2	1	"Desktop"	2	68	4	6	1	10	3	3	5	11	3	6	"CA"	4	9	1	1	1	1	4	1	0	0	0	0	1
25848			-99	1		3	""	""					""	""	0	"Congressional District 8 - VA"				0	3	6	8	9	8	3	7	4	6	5	5	6	6	10	7	8	8	8	20	12	17	15	22	4	6	2	7	9	1	5	18	8	21	11	10	14	16	13	19	7	6	6	6	6	8	4	7	8	10	7	6	6	6	6	7	6	6	7	9	6	5	5	5	5	5	8	8	6	10	6	6	6	7	6	5	7	4	5	6	4	7	7	5	6	3	4	2	7	1	5	5	6	5	5	5	5	6	4	3	7	3	5	10	3	3	6	2	4	6	6	5	5	5	6	5	6	6	4	0	0	0	77	9	77	2	3	14	1	8	5	9	77	6	2	16	77	7	3	2	1	0	5	2	1	3			2	5	3	6	42	41	1	1	1	1	4	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	""	0	1	1	0	0	0	""	0	0	0	0	1	0	""	0	1	0	0	0	0	""	0	3																																																																																																																																																																					"9/1/2021 23:00"	"9/1/2021 23:17"	18	2	1	"Smartphone"	""	""				""	1	33	2	2	1	5	1	1	16	4	9	"VA"	3	5	1	1	1	1	4	5	3	0	0	0	2		2	2																																																																																																																																																					""	""				""													""													
359			-99	1		3	""	""					""	""	0	"Congressional District 2 - MD"			2	1	0	5	5	10	10	10	10	10	10	77	77	77	10	10	10	10	10	10	14	8	11	2	1	12	18	6	13	16	20	17	15	5	7	10	4	22	9	19	21	0	10	77	5	77	10	10	77	10	77	77	77	5	77	10	10	5	10	10	10	10	77	5	5	10	10	10	10	10	10	77	77	10	77	77	0	10	77	10	77	77	5	10	5	7	6	2	3	1	4	10	10	10	10	10	10	10	0	5	77	10	0	10	5	10	10	10	10	77	77	10	10	10	10	10	10	10	10	77	10	5	0	1	14	1	6	3	101	1	32	5	17	77	14	2	44	4	41	3	5	7	0	0	0	6	1	1			1	1	4	93	9	2	2	1	1	2	0	0	1	0	0													0	1	0	0	0	0	0	0	1	0	0	0													0	1	0	0	0	0	0	0	0	1	0	0						""							""		0	0	0	1	0	""	0	1	0	0	0	0	""	0	3																																																																																																																																																																					"8/10/2021 15:36"	"8/10/2021 16:42"	65	2	1	"Desktop"	""	""				""	2	81	4	7	2	1	3	5	3	1	2	"MD"	3	5	1	0	2	3	2	1	0	0	0	0	1		2	2																																																																																																																																																					""	""				""													""													
