ID,Group,weight_group,Weight,Time,Country,gender,urban_global,education_ISCE,age,a_1,a_2,a_3,a_4,a_5,proposal_01,proposal_02,proposal_03,proposal_04,proposal_05,proposal_06,proposal_07,proposal_08,proposal_09,proposal_10,proposal_11,proposal_12,proposal_13,proposal_14,proposal_15,proposal_16,proposal_17,proposal_18,proposal_19,proposal_20,proposal_21,proposal_22,proposal_23,proposal_24,proposal_25,proposal_26,proposal_27,proposal_28,proposal_29,proposal_30,proposal_31,proposal_32,proposal_33,proposal_34,proposal_35,proposal_36,proposal_37,proposal_38,proposal_39,proposal_40,proposal_41,proposal_42,proposal_43,proposal_44,proposal_45,statement_01,statement_02,statement_03,statement_04,statement_05,statement_06,statement_07,statement_08,statement_09,statement_10,statement_11,statement_12,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,civic_1,civic_2,civic_3,civic_4,civic_5,civic_6,civic_7,disagree_1,disagree_2,disagree_3,disagree_4,disagree_5,disagree_6,disagree_7,disagree_8,disagree_9,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,knowledge_1,knowledge_2,knowledge_3,knowledge_4,knowledge_5,knowledge_6,b_01,b_02,b_03,b_04,b_05,b_06,b_07,b_08_1,b_08_2,b_08_3,b_08_4,b_08_5,b_09,b_10_01,b_10_02,b_10_03,b_10_04,b_10_05,b_10_06,b_10_07,b_10_08,b_10_09,b_10_10,b_10_11,b_10_12,b_10_13,b_10_14,b_10_15,b_10_16,eval_01,eval_02,eval_03,eval_04,eval_05,eval_06,eval_07,eval_08,eval_09,eval_10,eval_11,eval_12,eval_13,eval_14,eval_15,eval_16,eval_17,eval_18
IN_6176435016,0,India_Control,0.218816368769874,0,3,1,1,4,51,9,7,0,,,6,8,7,7,6,6,3,4,7,2,9,3,7,3,8,3,8,7,3,9,7,1,8,3,9,2,3,9,7,2,9,3,1,9,7,10,2,2,3,9,8,2,9,8,7,8,3,9,8,1,2,9,7,3,9,2,3,10,7,2,1,9,8,2,2,9,3,2,9,3,8,9,2,9,8,2,1,9,3,5,9,1,8,3,9,8,9,,,,5,,5,,,,,,,,,,,,,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
IN_6176435016,0,India_Control,0.218816368769874,1,3,1,1,4,51,9,9,1,9,9,8,9,9,8,9,8,9,8,9,8,9,8,8,8,9,8,9,8,9,8,9,8,9,9,8,9,9,8,9,8,7,9,10,8,7,9,7,8,10,8,7,6,10,8,9,7,9,8,10,6,9,7,6,9,8,6,5,9,7,5,10,6,9,5,7,10,8,9,7,9,10,9,7,10,6,9,5,6,9,6,9,9,8,9,10,8,8,2,,,5,,5,1,2,2,1,1,2,2,0,0,1,0,0,70,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
IN_6176625372,1,India_Treatment,1.13135134536301,0,3,0,0,3,68,7,5,0,,,10,10,,10,10,2,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,10,10,10,10,10,10,,10,,10,,10,10,10,10,10,10,10,10,,10,10,10,5,,10,10,10,10,,10,,10,10,10,10,10,10,10,2,,,5,,5,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,
IN_6176625372,1,India_Treatment,1.13135134536301,1,3,0,0,3,68,10,8,0,,,10,10,10,5,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,5,10,10,10,,10,10,10,,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,5,10,,10,,10,10,10,10,10,8,10,4,,5,5,3,5,1,4,2,1,1,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,0,10
IN_6176919874,1,India_Treatment,0.475499486002062,0,3,1,0,6,35,6,5,1,3,2,9,9,7,7,6,7,9,9,9,8,8,9,7,5,5,10,10,8,,6,7,8,8,8,8,8,7,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,,7,8,7,7,7,7,9,7,6,7,7,8,7,7,7,8,7,5,5,5,5,5,5,5,5,6,5,5,5,5,4,5,6,5,6,8,7,9,8,8,7,,,5,5,,5,,,,,,2,1,1,0,0,0,0,,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,
IN_6176919874,1,India_Treatment,0.475499486002062,1,3,1,0,6,35,5,1,1,2,1,7,7,7,6,5,,5,6,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,8,8,7,7,7,5,,,6,6,6,6,5,6,6,7,7,5,5,,5,5,7,7,7,7,7,5,5,5,5,5,5,5,5,5,6,8,9,9,7,7,7,7,7,7,7,7,6,7,6,6,6,6,7,7,5,5,,,8,8,8,8,3,4,1,5,,,,,,,,2,1,0,1,1,0,0,54,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,6,10,8,9,9,8,7,7,9,7,8,8,8,7,8,9,8,9
IN_6176959268,1,India_Treatment,2.11454902837799,0,3,0,0,3,54,8,9,1,9,9,9,9,6,6,8,8,7,8,7,7,4,5,5,5,6,5,5,5,5,6,6,5,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,6,6,5,5,5,5,6,5,5,5,6,5,5,5,5,5,5,5,5,5,5,,,1,4,,3,1,,,4,4,3,4,0,1,0,0,0,51,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
IN_6176959268,1,India_Treatment,2.11454902837799,1,3,0,0,3,54,9,8,1,5,5,10,7,10,7,6,8,9,5,7,8,7,5,5,8,10,10,10,7,9,10,8,8,8,,5,10,10,8,7,5,8,8,10,10,9,10,6,9,8,8,7,5,6,7,10,6,4,4,8,9,7,7,6,5,6,6,6,6,6,6,9,9,7,8,8,3,9,3,7,7,5,6,7,5,,7,6,7,7,3,7,3,2,8,8,5,7,2,,5,5,,5,1,,,8,8,2,1,0,1,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,9,10,8,9,9,5,9,8,9,9,9,8,8,5,10,9,8
IN_6176629494,0,India_Control,1.6318381617589,0,3,0,0,3,19,8,6,0,,,8,8,6,5,9,5,9,5,8,5,5,8,7,7,10,10,10,5,5,7,6,6,6,4,5,5,5,6,6,7,5,9,8,8,4,4,9,8,7,8,5,8,8,8,6,8,8,6,7,8,6,7,8,6,7,8,7,4,6,8,9,7,7,8,6,6,7,8,7,6,6,6,5,5,5,5,5,6,5,,5,5,6,8,8,7,7,,4,5,5,,5,1,3,3,2,2,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
IN_6176629494,0,India_Control,1.6318381617589,1,3,0,0,3,19,7,8,0,,,8,7,7,6,5,6,7,7,7,6,6,6,7,7,5,6,7,7,8,6,7,6,7,7,5,7,7,7,6,6,7,6,6,6,6,6,6,6,6,7,8,9,7,7,7,7,7,6,6,6,6,6,7,8,7,6,5,7,7,7,7,8,6,5,7,7,6,6,6,7,7,8,6,7,7,7,7,7,6,6,6,7,6,7,8,7,8,,,,,,,1,2,3,1,1,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
