source_column,source_value,value_label
morind1r,0,Strongly disagree
morind1r,0.25,Somewhat disagree
morind1r,0.5,Neither agree nor disagree
morind1r,0.75,Somewhat agree
morind1r,1,Strongly agree
morind2r,0,Strongly disagree
morind2r,0.25,Somewhat disagree
morind2r,0.5,Neither agree nor disagree
morind2r,0.75,Somewhat agree
morind2r,1,Strongly agree
morind3r,0,Strongly disagree
morind3r,0.25,Somewhat disagree
morind3r,0.5,Neither agree nor disagree
morind3r,0.75,Somewhat agree
morind3r,1,Strongly agree
stanwor1r,0,Strongly disagree
stanwor1r,0.25,Somewhat disagree
stanwor1r,0.5,Neither agree nor disagree
stanwor1r,0.75,Somewhat agree
stanwor1r,1,Strongly agree
stanwor2r,0,Strongly disagree
stanwor2r,0.25,Somewhat disagree
stanwor2r,0.5,Neither agree nor disagree
stanwor2r,0.75,Somewhat agree
stanwor2r,1,Strongly agree
stanwor3r,0,Strongly disagree
stanwor3r,0.25,Somewhat disagree
stanwor3r,0.5,Neither agree nor disagree
stanwor3r,0.75,Somewhat agree
stanwor3r,1,Strongly agree
qbritn1r,0,Strongly disagree
qbritn1r,0.25,Somewhat disagree
qbritn1r,0.5,Neither agree nor disagree
qbritn1r,0.75,Somewhat agree
qbritn1r,1,Strongly agree
qbritn2r,0,Strongly disagree
qbritn2r,0.25,Somewhat disagree
qbritn2r,0.5,Neither agree nor disagree
qbritn2r,0.75,Somewhat agree
qbritn2r,1,Strongly agree
qbritn3r,0,Strongly disagree
qbritn3r,0.25,Somewhat disagree
qbritn3r,0.5,Neither agree nor disagree
qbritn3r,0.75,Somewhat agree
qbritn3r,1,Strongly agree
pmpwr1r,0,strongly agree
pmpwr1r,0.25,somewhat agree
pmpwr1r,0.5,Neither
pmpwr1r,0.75,somewhat disagree
pmpwr1r,1,Strongly disagree
pmpwr2r,0,strongly agree
pmpwr2r,0.25,somewhat agree
pmpwr2r,0.5,Neither
pmpwr2r,0.75,somewhat disagree
