source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
caseid,double,numeric,,Case identification number,F8.0,,,TRUE,Retained
caseid3,double,numeric,,ACRS Case Identification Number (use to match with ACRS data),F8.0,,,TRUE,Retained
apcht1t2,double,numeric,,"recoded approve1 and approve 2, for t1 and t2",F8.2,,,TRUE,Retained
knind1_1,double,numeric,,Knowledge index 1 (with 4 debatable items) at t1,F8.2,,,TRUE,Retained
knind2_1,double,numeric,,Knowledge index 2 (w/out 4 debatable items) at t1,F8.2,,,TRUE,Retained
knind1_t2,double,numeric,,Knowledge index 1 (with 4 debatable items) at t2,F8.4,,,TRUE,Retained
knind2_t2,double,numeric,,Knowledge index 2 (w/out 4 debatable items) at t2,F8.4,,,TRUE,Retained
knind1_t3,double,numeric,,Knowledge index 1(with 4 debatable items) at t3,F8.4,,,TRUE,Retained
knind2_t3,double,numeric,,Knowledge index 2 (w/out 4 debatable items) at t3,F8.4,,,TRUE,Retained
Autind1,double,numeric,,"T1 ""National autonomy"" index - average: ""moreindr,"" ""stanworr,"" ""qbritinr""",F8.4,,,TRUE,Retained
workind1,double,numeric,,"T1 ""Workability"" index - average: ""pmpowerr,"" ""polstabr,"" ""confronr,"" ""stweakr,"" ""repexpr, ""constrdr""",F8.4,,,TRUE,Retained
Demind1,double,numeric,,"T1 ""Democracy"" index - average: ""moredemr,"" ""quedemr""",F8.4,,,TRUE,Retained
Tradind1,double,numeric,,"T1 ""Tradition"" index - average: ""britherr,"" ""preservr""",F8.4,,,TRUE,Retained
Polind1,double,numeric,,"T1 ""Politicization"" index - average: ""prespolr,"" ""ppchprer""",F8.4,,,TRUE,Retained
autind2,double,numeric,,"T2 ""National autonomy"" index - average: ""moreindr,"" ""stanworr,"" ""qbritinr""",F8.4,,,TRUE,Retained
workind2,double,numeric,,"T2 ""Workability"" index - average: ""pmpowerr,"" ""polstabr,"" ""confronr,"" ""stweakr,"" ""repexpr, ""constrdr""",F8.4,,,TRUE,Retained
demind2,double,numeric,,"T2 ""Democracy"" index - average: ""moredemr,"" ""quedemr""",F8.4,,,TRUE,Retained
tradind2,double,numeric,,"T2 ""Tradition"" index - average: ""britherr,"" ""preservr""",F8.4,,,TRUE,Retained
polind2,double,numeric,,"T2 ""Politicization"" index - average: ""prespolr,"" ""ppchprer""",F8.4,,,TRUE,Retained
autind3,double,numeric,,"T3 ""National autonomy"" index - average: ""moreindr,"" ""stanworr,"" ""qbritinr""",F8.4,,,TRUE,Retained
workind3,double,numeric,,"T3 ""Workability"" index - average: ""pmpowerr,"" ""polstabr,"" ""confronr,"" ""stweakr,"" ""repexpr, ""constrdr""",F8.4,,,TRUE,Retained
demind3,double,numeric,,"T3 ""Democracy"" index - average: ""moredemr,"" ""quedemr""",F8.4,,,TRUE,Retained
polind3,double,numeric,,"T3 ""Politicization"" index - average: ""prespolr,"" ""ppchprer""",F8.4,,,TRUE,Retained
morind1r,double,haven_labelled|vctrs_vctr|double,,"T1 Recoded moreind1 -- 0-1 scale, strong agree = 1",F8.4,,,TRUE,Retained
morind2r,double,haven_labelled|vctrs_vctr|double,,"T2 Recoded moreind2 -- 0-1 scale, strong agree = 1",F8.4,,,TRUE,Retained
morind3r,double,haven_labelled|vctrs_vctr|double,,"T3 Recoded moreind3 -- 0-1 scale, strong agree = 1",F8.4,,,TRUE,Retained
stanwor1r,double,haven_labelled|vctrs_vctr|double,,"T1 recoded stanwor1 -- 0-1 scale, strong agree = 1",F8.4,,,TRUE,Retained
stanwor2r,double,haven_labelled|vctrs_vctr|double,,"T2 recoded stanwor2 -- 0-1 scale, strong agree = 1",F8.4,,,TRUE,Retained
stanwor3r,double,haven_labelled|vctrs_vctr|double,,"T3 recoded stanwor3 -- 0-1 scale, strong agree = 1",F8.4,,,TRUE,Retained
qbritn1r,double,haven_labelled|vctrs_vctr|double,,"T1 recoded qbritin1 -- 0-1 scale, strong agree = 1",F8.4,,,TRUE,Retained
qbritn2r,double,haven_labelled|vctrs_vctr|double,,"T2 recoded qbritin2 -- 0-1 scale, strong agree = 1",F8.4,,,TRUE,Retained
qbritn3r,double,haven_labelled|vctrs_vctr|double,,"T3 recoded qbritin3 -- 0-1 scale, strong agree = 1",F8.4,,,TRUE,Retained
pmpwr1r,double,haven_labelled|vctrs_vctr|double,,"T1 Recoded pmpower1 -- on to 0-1 scale, strong disagree=1",F8.2,,,TRUE,Retained
ipmpw1r,double,numeric,,"Indicator variable for pmpwr1r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
pmpwr2r,double,haven_labelled|vctrs_vctr|double,,"T2 Recoded pmpower2 -- on to 0-1 scale, strong disagree=1",F8.2,,,TRUE,Retained
ipmpw2r,double,numeric,,"Indicator variable for pmpwr2r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
pmpwr3r,double,haven_labelled|vctrs_vctr|double,,"T3 Recoded pmpower3 -- on to 0-1 scale, strong disagree=1",F8.2,,,TRUE,Retained
ipmpw3r,double,numeric,,"Indicator variable for pmpwr3r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
polstb1r,double,haven_labelled|vctrs_vctr|double,,"T1 recoded polstab1 -- on 0 to 1 scale, strong disagree=1",F8.2,,,TRUE,Retained
ipolst1r,double,haven_labelled|vctrs_vctr|double,,"Indicator variable for polstb1r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
polstb2r,double,haven_labelled|vctrs_vctr|double,,"T2 recoded polstab2 -- on 0 to 1 scale, strong disagree=1",F8.2,,,TRUE,Retained
ipolst2r,double,haven_labelled|vctrs_vctr|double,,"Indicator variable for polstb2r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
polstb3r,double,haven_labelled|vctrs_vctr|double,,"T3 recoded polstab3 -- on 0 to 1 scale, strong disagree=1",F8.2,,,TRUE,Retained
ipolst3r,double,haven_labelled|vctrs_vctr|double,,"Indicator variable for polstb3r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
cnfrn1r,double,haven_labelled|vctrs_vctr|double,,"T1 recoded confron1 -- on 0 to 1 scale, strong disagree=1",F8.2,,,TRUE,Retained
icnfrn1r,double,haven_labelled|vctrs_vctr|double,,"Indicator variable for cnfrn1r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
cnfrn2r,double,haven_labelled|vctrs_vctr|double,,"T2 recoded confron2 -- on 0 to 1 scale, strong disagree=1",F8.2,,,TRUE,Retained
icnfrn2r,double,haven_labelled|vctrs_vctr|double,,"Indicator variable for cnfrn2r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
cnfrn3r,double,haven_labelled|vctrs_vctr|double,,"T3 recoded confron3 -- on 0 to 1 scale, strong disagree=1",F8.2,,,TRUE,Retained
icnfrn3r,double,haven_labelled|vctrs_vctr|double,,"Indicator variable for cnfrn3r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
stweak1r,double,haven_labelled|vctrs_vctr|double,,"T1 recoded stweak1 -- on 0 to 1 scale, strong disagree=1",F8.2,,,TRUE,Retained
istwea1r,double,haven_labelled|vctrs_vctr|double,,"Indicator variable for stweak1r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
stweak2r,double,haven_labelled|vctrs_vctr|double,,"T2 recoded stweak2 -- on 0 to 1 scale, strong disagree=1",F8.2,,,TRUE,Retained
istwea2r,double,haven_labelled|vctrs_vctr|double,,"Indicator variable for stweak2r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
stweak3r,double,haven_labelled|vctrs_vctr|double,,"T3 recoded stweak3 -- on 0 to 1 scale, strong disagree=1",F8.2,,,TRUE,Retained
istwea3r,double,haven_labelled|vctrs_vctr|double,,"Indicator variable for stweak3r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
repexp1r,double,haven_labelled|vctrs_vctr|double,,"T1 recoded repexp1 -- on 0 to 1 scale, strong disagree=1",F8.2,,,TRUE,Retained
irepxp1r,double,haven_labelled|vctrs_vctr|double,,"Indicator variable for repexp1r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
repexp2r,double,haven_labelled|vctrs_vctr|double,,"T2 recoded repexp2 -- on 0 to 1 scale, strong disagree=1",F8.2,,,TRUE,Retained
irepxp2r,double,haven_labelled|vctrs_vctr|double,,"Indicator variable for repexp2r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
repexp3r,double,haven_labelled|vctrs_vctr|double,,"T3 recoded repexp3 -- on 0 to 1 scale, strong disagree=1",F8.2,,,TRUE,Retained
irepxp3r,double,haven_labelled|vctrs_vctr|double,,"Indicator variable for repexp3r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
constr1r,double,haven_labelled|vctrs_vctr|double,,"T1 recoded constrd1 -- on 0 to 1 scale, strong disagree=1",F8.2,,,TRUE,Retained
icnstr1r,double,haven_labelled|vctrs_vctr|double,,"Indicator variable for constr1r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
constr2r,double,haven_labelled|vctrs_vctr|double,,"T2 recoded constrd2 -- on 0 to 1 scale, strong disagree=1",F8.2,,,TRUE,Retained
icnstr2r,double,haven_labelled|vctrs_vctr|double,,"Indicator variable for constr2r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
constr3r,double,haven_labelled|vctrs_vctr|double,,"T3 recoded constrd3 -- on 0 to 1 scale, strong disagree=1",F8.2,,,TRUE,Retained
icnstr3r,double,haven_labelled|vctrs_vctr|double,,"Indicator variable for constr3r (1 if valid value, 0 if missing data/DK/refused, etc)",F8.2,,,TRUE,Retained
mordem1r,double,haven_labelled|vctrs_vctr|double,,"T1 recoded moredem1 -- on 0 to 1 scale, 1=strong agree",F8.2,,,TRUE,Retained
mordem2r,double,haven_labelled|vctrs_vctr|double,,"T2 recoded moredem2 -- on 0 to 1 scale, 1=strong agree",F8.2,,,TRUE,Retained
mordem3r,double,haven_labelled|vctrs_vctr|double,,"T3 recoded moredem3 -- on 0 to 1 scale, 1=strong agree",F8.2,,,TRUE,Retained
quedem1r,double,haven_labelled|vctrs_vctr|double,,"T1 recoded quedem1 -- on 0 to 1 scale, 1=strong disagree",F8.2,,,TRUE,Retained
quedem2r,double,haven_labelled|vctrs_vctr|double,,"T2 recoded quedem2 -- on 0 to 1 scale, 1=strong disagree",F8.2,,,TRUE,Retained
quedem3r,double,haven_labelled|vctrs_vctr|double,,"T3 recoded quedem3 -- on 0 to 1 scale, 1=strong disagree",F8.2,,,TRUE,Retained
brther1r,double,haven_labelled|vctrs_vctr|double,,"T1 recoded brither1 -- on 0 to 1 scale, 1=strongly agree",F8.2,,,TRUE,Retained
brther2r,double,haven_labelled|vctrs_vctr|double,,"T2 recoded brither2 -- on 0 to 1 scale, 1=strongly agree",F8.2,,,TRUE,Retained
presrv1r,double,haven_labelled|vctrs_vctr|double,,"T1 recoded preserv1 -- on 0 to 1 scale, 1=strongly agree",F8.2,,,TRUE,Retained
presrv2r,double,haven_labelled|vctrs_vctr|double,,"T2 recoded preserv2 -- on 0 to 1 scale, 1=strongly agree",F8.2,,,TRUE,Retained
prespl1r,double,haven_labelled|vctrs_vctr|double,,"T1 recoded prespol1 -- on 0 to 1 scale, 1=strongly disagree",F8.2,,,TRUE,Retained
prespl2r,double,haven_labelled|vctrs_vctr|double,,"T2 recoded prespol2 -- on 0 to 1 scale, 1=strongly disagree",F8.2,,,TRUE,Retained
prespl3r,double,haven_labelled|vctrs_vctr|double,,"T3 recoded prespol3 -- on 0 to 1 scale, 1=strongly disagree",F8.2,,,TRUE,Retained
ppchpr1r,double,haven_labelled|vctrs_vctr|double,,"T1 recoded ppchpre1 -- on 0 to 1 scale, 1= strongly agree",F8.2,,,TRUE,Retained
ppchpr2r,double,haven_labelled|vctrs_vctr|double,,"T2 recoded ppchpre2 -- on 0 to 1 scale, 1= strongly agree",F8.2,,,TRUE,Retained
ppchpr3r,double,haven_labelled|vctrs_vctr|double,,"T3 recoded ppchpre3 -- on 0 to 1 scale, 1= strongly agree",F8.2,,,TRUE,Retained
votetri,double,haven_labelled|vctrs_vctr|double,,Trichotomous variable for change in vote preference,F8.2,,,TRUE,Retained
dichvt1,double,haven_labelled|vctrs_vctr|double,,Dichotmous vote intention T1 (Yes or No),F8.4,,,TRUE,Retained
gmndicvt,double,numeric,,Small group mean on T1 vote intention (excluding respondent),F8.4,,,TRUE,Retained
distvt1,double,numeric,,Respondent's distance from small group mean on vote intention at T1 (dichvt1 - gmdicvt),F8.4,,,TRUE,Retained
difautin,double,numeric,,T2 - T1 difference on autonomy index (autind2 - autind1),F8.4,,,TRUE,Retained
gmnaut1,double,numeric,,Small group T1 mean on autonomy index (excluding respondent),F8.4,,,TRUE,Retained
distaut1,double,numeric,,Respondent's distance from small group mean on autonomy index at T1 (autind1 - gmnaut1),F8.4,,,TRUE,Retained
difwrkin,double,numeric,,T2 - T1 difference on workability index (workind2 - workind1),F8.4,,,TRUE,Retained
gmnwrk1,double,numeric,,Small group T1 mean on workability index (excluding respondent),F8.4,,,TRUE,Retained
distwrk1,double,numeric,,Respondent's distance from small group mean on workabilityy index at T1 (workind1 - gmnwrk1),F8.4,,,TRUE,Retained
difdema,double,numeric,,T2 - T1 difference on democracy index version A (mordem2r - mordem1r),F8.4,,,TRUE,Retained
gmndema1,double,numeric,,Small group T1 mean on democracy index version A -- mordem1r (excluding respondent),F8.4,,,TRUE,Retained
distdma1,double,numeric,,Respondent's distance from small group mean on democracy index version A at T1 (mordem1r - gmndema1),F8.4,,,TRUE,Retained
difdemb,double,numeric,,T2 - T1 difference on democracy index version B (quedem2r - quedem1r),F8.4,,,TRUE,Retained
gmndemb1,double,numeric,,Small group T1 mean on democracy index version B -- quedem1r (excluding respondent),F8.4,,,TRUE,Retained
distdmb1,double,numeric,,Respondent's distance from small group mean on democracy index version B at T1 quedem1r - gmndemb1),F8.4,,,TRUE,Retained
diftrad,double,numeric,,T2 - T1 difference on tradition index (tradind2 - tradind1),F8.4,,,TRUE,Retained
gmntrad1,double,numeric,,Small group T1 mean on tradition index (excluding respondent),F8.4,,,TRUE,Retained
disttra1,double,numeric,,Respondent's distance from small group mean on tradition index at T1 (tradind1 - gmntrad1),F8.4,,,TRUE,Retained
difpola,double,numeric,,T2 - T1 difference on politicization index version A (prespl2r - prespl1r),F8.4,,,TRUE,Retained
gmnpola1,double,numeric,,Small group T1 mean on politicization index version A -- prespl1r (excluding respondent),F8.4,,,TRUE,Retained
dispola1,double,numeric,,Respondent's distance from small group mean on politicization index version A at T1 (prespl1r - gmnpola1),F8.4,,,TRUE,Retained
difpolb,double,numeric,,T2 - T1 difference on politicization index version B (ppchpr2r - ppchpr1r),F8.4,,,TRUE,Retained
gmnpolb1,double,numeric,,Small group T1 mean on politicization index version B -- ppchpr1r (excluding respondent),F8.4,,,TRUE,Retained
dispolb1,double,numeric,,Respondent's distance from small group mean on politicization index version B at T1 (ppchpr1r - gmnpolb1),F8.4,,,TRUE,Retained
part,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,Participant in T2,F8.0,,94|103,TRUE,Retained
partfull,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,Full Breakdown Participant in T2,F8.0,,94|103,TRUE,Retained
region,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,Region in which R resides T1,F8.0,,94|103,TRUE,Retained
eligvote,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,Are you eligible to vote T1 (Q1),F8.0,,94|103,TRUE,Retained
gender,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,R's gender T1 (Q2),F8.0,,94|103,TRUE,Retained
agecat,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,R's age category T1 (Q3),F8.0,,94|103,TRUE,Retained
age,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,R's age T1 (Q4),F8.0,,94|103,TRUE,Retained
workstat,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,Employment status T1 (Q5),F8.0,,94|103,TRUE,Retained
