source_column,source_value,value_label
PRE_Q1,1,I did not vote
PRE_Q1,2,"I thought about voting, but didn't"
PRE_Q1,3,"I usually vote, but didn't that time"
PRE_Q1,4,I am sure I voted
PRE_Q1,99,Don't know
PRE_Q1,998,Skipped
PRE_Q1,999,T2 only group
PRE_Q2x,1,Very unlikely
PRE_Q2x,2,Somewhat unlikely
PRE_Q2x,3,Neither likely nor unlikely
PRE_Q2x,4,Somewhat likely
PRE_Q2x,5,Very likely
PRE_Q2x,99,Don't know
PRE_Q2x,998,Skipped
PRE_Q2x,999,T2 only group
PRE_Q3x,1,Very unlikely
PRE_Q3x,2,Somewhat unlikely
PRE_Q3x,3,Neither likely nor unlikely
PRE_Q3x,4,Somewhat likely
PRE_Q3x,5,Very likely
PRE_Q3x,99,Don't know
PRE_Q3x,998,Skipped
PRE_Q3x,999,T2 only group
PRE_Q4a,0,Completely unimportant0
PRE_Q4a,1,1
PRE_Q4a,2,2
PRE_Q4a,3,3
PRE_Q4a,4,4
PRE_Q4a,5,Neither important nor unimportant5
PRE_Q4a,6,6
PRE_Q4a,7,7
PRE_Q4a,8,8
PRE_Q4a,9,9
PRE_Q4a,10,Extremely important10
PRE_Q4a,99,No opinion
PRE_Q4a,998,Skipped
PRE_Q4a,999,T2 only group
PRE_Q4b,0,Completely unimportant0
PRE_Q4b,1,1
PRE_Q4b,2,2
PRE_Q4b,3,3
PRE_Q4b,4,4
PRE_Q4b,5,Neither important nor unimportant5
PRE_Q4b,6,6
PRE_Q4b,7,7
PRE_Q4b,8,8
PRE_Q4b,9,9
PRE_Q4b,10,Extremely important10
PRE_Q4b,99,No opinion
PRE_Q4b,998,Skipped
PRE_Q4b,999,T2 only group
PRE_Q4c,0,Completely unimportant0
PRE_Q4c,1,1
PRE_Q4c,2,2
PRE_Q4c,3,3
PRE_Q4c,4,4
PRE_Q4c,5,Neither important nor unimportant5
PRE_Q4c,6,6
PRE_Q4c,7,7
PRE_Q4c,8,8
PRE_Q4c,9,9
PRE_Q4c,10,Extremely important10
PRE_Q4c,99,No opinion
PRE_Q4c,998,Skipped
PRE_Q4c,999,T2 only group
PRE_Q4d,0,Completely unimportant0
PRE_Q4d,1,1
PRE_Q4d,2,2
PRE_Q4d,3,3
PRE_Q4d,4,4
PRE_Q4d,5,Neither important nor unimportant5
PRE_Q4d,6,6
PRE_Q4d,7,7
PRE_Q4d,8,8
PRE_Q4d,9,9
PRE_Q4d,10,Extremely important10
PRE_Q4d,99,No opinion
PRE_Q4d,998,Skipped
PRE_Q4d,999,T2 only group
PRE_Q5a,1,Favor strongly
PRE_Q5a,2,Favor somewhat
PRE_Q5a,3,Neither favor nor oppose
PRE_Q5a,4,Oppose somewhat
PRE_Q5a,5,Oppose strongly
PRE_Q5a,99,No opinion
PRE_Q5a,998,Skipped
PRE_Q5a,999,T2 only group
PRE_Q5b,1,Favor strongly
PRE_Q5b,2,Favor somewhat
PRE_Q5b,3,Neither favor nor oppose
PRE_Q5b,4,Oppose somewhat
PRE_Q5b,5,Oppose strongly
PRE_Q5b,99,No opinion
PRE_Q5b,998,Skipped
PRE_Q5b,999,T2 only group
PRE_Q5c,1,Favor strongly
PRE_Q5c,2,Favor somewhat
PRE_Q5c,3,Neither favor nor oppose
PRE_Q5c,4,Oppose somewhat
PRE_Q5c,5,Oppose strongly
PRE_Q5c,99,No opinion
PRE_Q5c,998,Skipped
PRE_Q5c,999,T2 only group
PRE_Q5d,1,Favor strongly
PRE_Q5d,2,Favor somewhat
PRE_Q5d,3,Neither favor nor oppose
PRE_Q5d,4,Oppose somewhat
PRE_Q5d,5,Oppose strongly
PRE_Q5d,99,No opinion
PRE_Q5d,998,Skipped
PRE_Q5d,999,T2 only group
PRE_Q5e,1,Favor strongly
PRE_Q5e,2,Favor somewhat
PRE_Q5e,3,Neither favor nor oppose
PRE_Q5e,4,Oppose somewhat
PRE_Q5e,5,Oppose strongly
PRE_Q5e,99,No opinion
PRE_Q5e,998,Skipped
PRE_Q5e,999,T2 only group
PRE_Q6a,0,Completely ineffective0
PRE_Q6a,1,1
PRE_Q6a,2,2
PRE_Q6a,3,3
PRE_Q6a,4,4
PRE_Q6a,5,Neither effective nor ineffective5
PRE_Q6a,6,6
PRE_Q6a,7,7
PRE_Q6a,8,8
PRE_Q6a,9,9
PRE_Q6a,10,Completely effective10
PRE_Q6a,99,No opinion
PRE_Q6a,998,Skipped
PRE_Q6a,999,T2 only group
PRE_Q6b,0,Completely ineffective0
PRE_Q6b,1,1
PRE_Q6b,2,2
PRE_Q6b,3,3
PRE_Q6b,4,4
PRE_Q6b,5,Neither effective nor ineffective5
PRE_Q6b,6,6
PRE_Q6b,7,7
PRE_Q6b,8,8
PRE_Q6b,9,9
PRE_Q6b,10,Completely effective10
PRE_Q6b,99,No opinion
PRE_Q6b,998,Skipped
PRE_Q6b,999,T2 only group
PRE_Q6c,0,Completely ineffective0
PRE_Q6c,1,1
PRE_Q6c,2,2
PRE_Q6c,3,3
PRE_Q6c,4,4
PRE_Q6c,5,Neither effective nor ineffective5
PRE_Q6c,6,6
PRE_Q6c,7,7
PRE_Q6c,8,8
PRE_Q6c,9,9
PRE_Q6c,10,Completely effective10
PRE_Q6c,99,No opinion
PRE_Q6c,998,Skipped
PRE_Q6c,999,T2 only group
PRE_Q6d,0,Completely ineffective0
PRE_Q6d,1,1
PRE_Q6d,2,2
PRE_Q6d,3,3
PRE_Q6d,4,4
PRE_Q6d,5,Neither effective nor ineffective5
PRE_Q6d,6,6
PRE_Q6d,7,7
PRE_Q6d,8,8
PRE_Q6d,9,9
PRE_Q6d,10,Completely effective10
PRE_Q6d,99,No opinion
PRE_Q6d,998,Skipped
PRE_Q6d,999,T2 only group
PRE_Q6e,0,Completely ineffective0
PRE_Q6e,1,1
PRE_Q6e,2,2
PRE_Q6e,3,3
PRE_Q6e,4,4
PRE_Q6e,5,Neither effective nor ineffective5
PRE_Q6e,6,6
PRE_Q6e,7,7
PRE_Q6e,8,8
PRE_Q6e,9,9
PRE_Q6e,10,Completely effective10
PRE_Q6e,99,No opinion
PRE_Q6e,998,Skipped
PRE_Q6e,999,T2 only group
PRE_Q7x,0,Completely unimportant0
PRE_Q7x,1,1
PRE_Q7x,2,2
PRE_Q7x,3,3
PRE_Q7x,4,4
PRE_Q7x,5,Neither important nor unimportant5
PRE_Q7x,6,6
PRE_Q7x,7,7
PRE_Q7x,8,8
PRE_Q7x,9,9
PRE_Q7x,10,Extremely important10
PRE_Q7x,99,No opinion
PRE_Q7x,998,Skipped
PRE_Q7x,999,T2 only group
PRE_Q8a,1,Agree strongly
PRE_Q8a,2,Agree somewhat
PRE_Q8a,3,Neither agree nor disagree
PRE_Q8a,4,Disagree somewhat
PRE_Q8a,5,Disagree strongly
PRE_Q8a,99,No opinion
PRE_Q8a,998,Skipped
PRE_Q8a,999,T2 only group
PRE_Q8b,1,Agree strongly
PRE_Q8b,2,Agree somewhat
PRE_Q8b,3,Neither agree nor disagree
PRE_Q8b,4,Disagree somewhat
PRE_Q8b,5,Disagree strongly
PRE_Q8b,99,No opinion
PRE_Q8b,998,Skipped
PRE_Q8b,999,T2 only group
PRE_Q8c,1,Agree strongly
PRE_Q8c,2,Agree somewhat
PRE_Q8c,3,Neither agree nor disagree
PRE_Q8c,4,Disagree somewhat
PRE_Q8c,5,Disagree strongly
PRE_Q8c,99,No opinion
PRE_Q8c,998,Skipped
PRE_Q8c,999,T2 only group
PRE_Q8d,1,Agree strongly
PRE_Q8d,2,Agree somewhat
PRE_Q8d,3,Neither agree nor disagree
PRE_Q8d,4,Disagree somewhat
PRE_Q8d,5,Disagree strongly
PRE_Q8d,99,No opinion
PRE_Q8d,998,Skipped
PRE_Q8d,999,T2 only group
PRE_Q9a,1,Favor strongly
PRE_Q9a,2,Favor somewhat
PRE_Q9a,3,Neither favor nor oppose
PRE_Q9a,4,Oppose somewhat
PRE_Q9a,5,Oppose strongly
PRE_Q9a,99,No opinion
PRE_Q9a,998,Skipped
PRE_Q9a,999,T2 only group
PRE_Q9b,1,Favor strongly
PRE_Q9b,2,Favor somewhat
PRE_Q9b,3,Neither favor nor oppose
PRE_Q9b,4,Oppose somewhat
PRE_Q9b,5,Oppose strongly
PRE_Q9b,99,No opinion
PRE_Q9b,998,Skipped
PRE_Q9b,999,T2 only group
PRE_Q9c,1,Favor strongly
PRE_Q9c,2,Favor somewhat
PRE_Q9c,3,Neither favor nor oppose
PRE_Q9c,4,Oppose somewhat
PRE_Q9c,5,Oppose strongly
PRE_Q9c,99,No opinion
PRE_Q9c,998,Skipped
PRE_Q9c,999,T2 only group
PRE_Q9d,1,Favor strongly
PRE_Q9d,2,Favor somewhat
PRE_Q9d,3,Neither favor nor oppose
PRE_Q9d,4,Oppose somewhat
