source_column,source_value,value_label
ppeducat,1,less than hs
ppeducat,2,hs
ppeducat,3,some college
ppeducat,4,bachelor's degree or higher
ppeducat,99,missing
ppincimp,1,"less than $5,000"
ppincimp,2,"$5,000 to $7,499"
ppincimp,3,"$7,500 to $9,999"
ppincimp,4,"$10,000 to $12,499"
ppincimp,5,"$12,500 to $14,999"
ppincimp,6,"$15,000 to $19,999"
ppincimp,7,"$20,000 to $24,999"
ppincimp,8,"$25,000 to $29,999"
ppincimp,9,"$30,000 to $34,999"
ppincimp,10,"$35,000 to $39,999"
ppincimp,11,"$40,000 to $49,999"
ppincimp,12,"$50,000 to $59,999"
ppincimp,13,"$60,000 to $74,999"
ppincimp,14,"$75,000 to $84,999"
ppincimp,15,"$85,000 to $99,999"
ppincimp,16,"$100,000 to $124,999"
ppincimp,17,"$125,000 or more"
ppincimp,99,missing
dop1,0,"dop participant, but not in this wave"
dop1,1,dop participant in this wave
dop1,2,control case in this wave
dop1,3,control case not in this wave
dop2,0,"dop participant, but not in this wave"
dop2,1,dop participant in this wave
dop2,2,control case in this wave
dop2,3,control case not in this wave
dop3,0,"dop participant, but not in this wave"
dop3,1,dop participant in this wave
dop3,2,control case in this wave
dop3,3,control case not in this wave
dop4,0,"dop participant, but not in this wave"
dop4,1,dop participant in this wave
dop4,2,control case in this wave
dop4,3,control case not in this wave
dop1pct,-4,n/a:  control case
dop1pct,-3,n/a as not a dop member within this wave
dop2pct,-4,n/a:  control case
dop2pct,-3,n/a as not a dop member within this wave
dop3pct,-4,n/a:  control case
dop3pct,-3,n/a as not a dop member within this wave
dop4pct,-4,n/a:  control case
dop4pct,-3,n/a as not a dop member within this wave
dop1_no,-4,n/a:  control case
dop1_no,-3,n/a as not a dop member within this wave
dop2_no,-4,n/a:  control case
dop2_no,-3,n/a as not a dop member within this wave
dop3_no,-4,n/a:  control case
dop3_no,-3,n/a as not a dop member within this wave
dop4_no,-4,n/a:  control case
dop4_no,-3,n/a as not a dop member within this wave
w4allstr,-4,case in not in wave of data collection
w4allstr,-3,"case in wave, no survey on file"
w4allstr,1,chat session participant (previous)
w4allstr,2,chat session participant (fresh)
w4allstr,3,control group (fall baseline/followup) partial treatment
w4allstr,4,control group (fall baseline/followup) no treatment
w4allstr,5,control group (fall followup only)
dopever,0,never a dop participant
dopever,1,dop participant at least once
w3serial,-4,case in not in wave of data collection
w3serial,-3,"case in wave, no survey on file"
w4serial,-4,case in not in wave of data collection
w4serial,-3,"case in wave, no survey on file"
w1bdtst,-4,case in not in wave of data collection
w1bdtst,-3,"case in wave, no survey on file"
w1btmst,-4,case in not in wave of data collection
w1btmst,-3,"case in wave, no survey on file"
w1bdtend,-4,case in not in wave of data collection
w1bdtend,-3,"case in wave, no survey on file"
w1tmend,-4,case in not in wave of data collection
w1tmend,-3,"case in wave, no survey on file"
w1bdur,-4,case in not in wave of data collection
w1bdur,-3,"case in wave, no survey on file"
w1bres,-4,case in not in wave of data collection
w1bres,-3,"case in wave, no survey on file"
w1bres,0,not a resumed interview (duration less than 100 minutes)
w1bres,1,resumed interview (duration 100 minutes or more)
w1a_stdt,-4,case in not in wave of data collection
w1a_stdt,-3,"case in wave, no survey on file"
w1a_sttm,-4,case in not in wave of data collection
w1a_sttm,-3,"case in wave, no survey on file"
w1a_endt,-4,case in not in wave of data collection
w1a_endt,-3,"case in wave, no survey on file"
w1a_entm,-4,case in not in wave of data collection
w1a_entm,-3,"case in wave, no survey on file"
w1a_dur,-4,case in not in wave of data collection
w1a_dur,-3,"case in wave, no survey on file"
w1a_res,-4,case in not in wave of data collection
w1a_res,-3,"case in wave, no survey on file"
w1a_res,0,not a resumed interview (duration less than 100 minutes)
w1a_res,1,resumed interview (duration 100 minutes or more)
w1a_q1,-4,case in not in wave of data collection
w1a_q1,-3,"case in wave, no survey on file"
w1a_q1,-2,not asked
w1a_q1,-1,refused
w1a_q1,1,agree strongly
w1a_q1,2,agree somewhat
w1a_q1,3,neither agree nor disagree
w1a_q1,4,disagree somewhat
w1a_q1,5,disagree strongly
w1a_q1,6,don't know
w1a_q2,-4,case in not in wave of data collection
w1a_q2,-3,"case in wave, no survey on file"
w1a_q2,-2,not asked
w1a_q2,-1,refused
w1a_q2,1,agree strongly
w1a_q2,2,agree somewhat
w1a_q2,3,neither agree nor disagree
w1a_q2,4,disagree somewhat
w1a_q2,5,disagree strongly
w1a_q2,6,don't know
w2bdtst,-4,case in not in wave of data collection
w2bdtst,-3,"case in wave, no survey on file"
w2btmst,-4,case in not in wave of data collection
w2btmst,-3,"case in wave, no survey on file"
w2bdtend,-4,case in not in wave of data collection
w2bdtend,-3,"case in wave, no survey on file"
w2btmend,-4,case in not in wave of data collection
w2btmend,-3,"case in wave, no survey on file"
w2bdur,-4,case in not in wave of data collection
w2bdur,-3,"case in wave, no survey on file"
w2bdurct,-4,case in not in wave of data collection
w2bdurct,-3,"case in wave, no survey on file"
w2bdurct,1,less than 5 minutes
w2bdurct,2,5 - 9:59
w2bdurct,3,10 - 14:59
w2bdurct,4,15 - 19:59
w2bdurct,5,20 - 24:59
w2bdurct,6,25 - 29:59
w2bdurct,7,30 - 34:59
w2bdurct,8,35 - 39:59
w2bdurct,9,40 - 44:59
w2bdurct,10,45 - 49:59
w2bdurct,11,50 - 54:59
w2bdurct,12,55 - 59:59
w2bdurct,13,60 - 64:59
w2bdurct,14,65 - 69:59
w2bdurct,15,70 - 74:59
w2bdurct,16,75 - 79:59
w2bdurct,17,80 - 84:59
w2bdurct,18,85 - 89:59
w2bdurct,19,90 - 94:59
w2bdurct,20,95 - 99:59
w2bdurct,21,more than 100 minutes
w3jan03,-4,case in not in wave of data collection
w3jan03,-3,"case in wave, no survey on file"
w3jan03,1,yes
w3jan03,2,no
w3sep03,-4,case in not in wave of data collection
w3sep03,-3,"case in wave, no survey on file"
w3sep03,1,yes
w3sep03,2,no
w3jan03s,-4,case in not in wave of data collection
w3jan03s,-3,"case in wave, no survey on file"
w3jan03s,1,broadband
w3jan03s,2,dialup
w3jan03s,3,pc
w3compf1,-4,case in not in wave of data collection
w3compf1,-3,"case in wave, no survey on file"
w3compf1,1,yes
w3compf1,2,no
w3bdst,-4,case in not in wave of data collection
w3bdst,-3,"case in wave, no survey on file"
w3btst,-4,case in not in wave of data collection
w3btst,-3,"case in wave, no survey on file"
w3bdend,-4,case in not in wave of data collection
w3bdend,-3,"case in wave, no survey on file"
w3btend,-4,case in not in wave of data collection
w3btend,-3,"case in wave, no survey on file"
w3bdur,-4,case in not in wave of data collection
w3bdur,-3,"case in wave, no survey on file"
