poll_id,artifact_id,artifact_type,title,location,source_id,original_archive_path,sha256,rights_status,disclosure_status,publication_status,notes
btp-health-education-2005,cor-sood-btp-health-education-2005,data,Cor-Sood scored knowledge battery,data/btp-health-education-2005/knowledge-battery.csv,cor-sood-btp-health-education-2005,replication/data.zip:data/btp05.csv,318b5bc500f7140b339ff77f448a76555feab454db55e4f3aa63e83002aaec0b,public-license,approved-public,published,Scored binary items; row number is not a respondent identifier
btp-health-education-2005,cdd-btp-health-education-2005-survey,data,Reviewed poll-level survey,data/btp-health-education-2005/survey.parquet,cdd-btp-health-education-2005-survey,data/BTP/2005/data/btp05_hlm.dta,4e673dbc67a6901e4fe506e99f4c39b6d21eb0bd8947e548f4c4450a582f1825,owner-approved,approved-redacted,published,Reviewed source; archive path and hash retained; source license not inferred
btp-health-education-2005,cdd-btp-health-education-2005-survey-variables,codebook,Source variables,data/btp-health-education-2005/variables.csv,cdd-btp-health-education-2005-survey-variables,data/BTP/2005/data/btp05_hlm.dta,9b9ace3749e7c41f755696256997a7375d6bb912dd31d47f6d6a376962b1f171,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
btp-health-education-2005,cdd-btp-health-education-2005-survey-value-labels,codebook,Source value-labels,data/btp-health-education-2005/value-labels.csv,cdd-btp-health-education-2005-survey-value-labels,data/BTP/2005/data/btp05_hlm.dta,1e71e0c147979273ea00bbf9b5e0427bbc6c05386842d28d0dc868fca60d2359,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
btp-health-education-2005,cdd-btp-health-education-2005-questionnaire-pre,questionnaire,Original questionnaire-pre.doc,data/btp-health-education-2005/questionnaire-pre.doc,cdd-btp-health-education-2005-questionnaire-pre,data/BTP/2005 Health Education/2005cddnhjl_pre.doc,9b1f2caf35f016d228f92ee5ff707de333bcefee82693cdf6a4b852373a43100,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
btp-health-education-2005,cdd-btp-health-education-2005-questionnaire-post,questionnaire,Original questionnaire-post.doc,data/btp-health-education-2005/questionnaire-post.doc,cdd-btp-health-education-2005-questionnaire-post,data/BTP/2005 Health Education/2005cddnhjl_post.doc,7473098bd96ce449008ac7369b509402ae776cfaa9ad14ace9ef9d36645ec05e,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
btp-health-education-2005,material-4163f7e9106b2ce3-btp-health-education-2005,briefing-material,btp2005-education,data/btp-health-education-2005/briefing-materials/btp2005-education.pdf,material-4163f7e9106b2ce3,meta_data/briefing_materials/btp2005-education.pdf,4163f7e9106b2ce3176e75d178a41e2adef5f0027307bcd68932e9d15f692940,review-required,approved-public,published,Historical metadata archive; content classified for reference. Instrument-to-variable and version-specific comparisons remain required. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
btp-health-education-2005,material-0faa7eba55720f6b-btp-health-education-2005,briefing-material,btp2005-health,data/btp-health-education-2005/briefing-materials/btp2005-health.pdf,material-0faa7eba55720f6b,meta_data/briefing_materials/btp2005-health.pdf,0faa7eba55720f6b182ef5cc25b697e805b2ace5342c8c42595238551fdb6878,review-required,approved-public,published,Historical metadata archive; content classified for reference. Instrument-to-variable and version-specific comparisons remain required. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
btp-health-education-2005,material-14f09619eb8626fc-btp-health-education-2005,codebook,AllPollIndices,data/shared/codebooks/attitude_indices/allpollindices.csv,material-14f09619eb8626fc,meta_data/attitude_indices/AllPollIndices.csv,14f09619eb8626fc7861fe1bd3ca498a35fec8cfdcc8ba9728ff6e80b9e56992,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
btp-health-education-2005,material-e0ff5cf4f836a41b-btp-health-education-2005,codebook,AllPollIndices_withEmpiricalPremises,data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv,material-e0ff5cf4f836a41b,meta_data/attitude_indices/AllPollIndices_withEmpiricalPremises.csv,e0ff5cf4f836a41b9bb66245130d5246dd7a942668872045c5ee66be48d1f2f5,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
