source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
caseid_original,double,numeric,float64,case identifier,%12.0g,,,TRUE,Retained
q1,double,haven_labelled|vctrs_vctr|double,float64,q1pre:  community public school grade,%8.0g,,,TRUE,Retained
q2,double,haven_labelled|vctrs_vctr|double,float64,q2pre:  national public school grade,%8.0g,,,TRUE,Retained
q3,double,haven_labelled|vctrs_vctr|double,float64,q3pre:  reform current or find alternative system,%8.0g,,,TRUE,Retained
q4,double,haven_labelled|vctrs_vctr|double,float64,q4pre:  emphasis on standardized testing,%8.0g,,,TRUE,Retained
q5,double,haven_labelled|vctrs_vctr|double,float64,q5pre:  increase standardized testing,%8.0g,,,TRUE,Retained
q6,double,haven_labelled|vctrs_vctr|double,float64,q6pre:  state or local decision on testing,%8.0g,,,TRUE,Retained
q7_a,double,haven_labelled|vctrs_vctr|double,float64,q7apre:  fund charter schools with public school money,%8.0g,,,TRUE,Retained
q7_b,double,haven_labelled|vctrs_vctr|double,float64,q7bpre:  provide vouchers to defer private school cost,%8.0g,,,TRUE,Retained
q7_c,double,haven_labelled|vctrs_vctr|double,float64,q7cpre:  provide more money to troubled schools,%8.0g,,,TRUE,Retained
q7_d,double,haven_labelled|vctrs_vctr|double,float64,q7dpre:  provide more money for smaller classrooms,%8.0g,,,TRUE,Retained
q7_e,double,haven_labelled|vctrs_vctr|double,float64,q7epre:  provide more money for new technology,%8.0g,,,TRUE,Retained
q7_f,double,haven_labelled|vctrs_vctr|double,float64,q7fpre:  provide more money to pay teachers,%8.0g,,,TRUE,Retained
q8_a,double,haven_labelled|vctrs_vctr|double,float64,q8apre:  importance of academic standards,%8.0g,,,TRUE,Retained
q8_b,double,haven_labelled|vctrs_vctr|double,float64,q8bpre:  importance of class size,%8.0g,,,TRUE,Retained
q8_c,double,haven_labelled|vctrs_vctr|double,float64,q8cpre:  importance of parental involvement,%8.0g,,,TRUE,Retained
q8_d,double,haven_labelled|vctrs_vctr|double,float64,q8dpre:  importance of teacher quality,%8.0g,,,TRUE,Retained
q8_e,double,haven_labelled|vctrs_vctr|double,float64,q8epre:  importance of school administration,%8.0g,,,TRUE,Retained
q8_f,double,haven_labelled|vctrs_vctr|double,float64,q8fpre:  importance of funding,%8.0g,,,TRUE,Retained
q8_g,double,haven_labelled|vctrs_vctr|double,float64,q8gpre:  importance of safety,%8.0g,,,TRUE,Retained
q8_h,double,haven_labelled|vctrs_vctr|double,float64,q8hpre:  importance of technology,%8.0g,,,TRUE,Retained
q9,double,haven_labelled|vctrs_vctr|double,float64,q9pre:  most important priority for schools,%8.0g,,,TRUE,Retained
q10,double,haven_labelled|vctrs_vctr|double,float64,q10pre:  second most important priority for schools,%8.0g,,,TRUE,Retained
q11,double,haven_labelled|vctrs_vctr|double,float64,q11pre:  washington representatives share respondent educat,%8.0g,,,TRUE,Retained
q12,double,haven_labelled|vctrs_vctr|double,float64,q12pre:  nclb approval,%8.0g,,,TRUE,Retained
q13,double,haven_labelled|vctrs_vctr|double,float64,q13pre:  effect of money on education,%8.0g,,,TRUE,Retained
q14,double,haven_labelled|vctrs_vctr|double,float64,q14pre:  class size affects student performance,%8.0g,,,TRUE,Retained
q15,double,haven_labelled|vctrs_vctr|double,float64,q15pre:  us rank in math skills,%8.0g,,,TRUE,Retained
q16,double,haven_labelled|vctrs_vctr|double,float64,q16pre:  ease of foreign obtainment of work permits,%8.0g,,,TRUE,Retained
q17,double,haven_labelled|vctrs_vctr|double,float64,q17pre:  gap between minorities and whites,%8.0g,,,TRUE,Retained
q19_a,double,haven_labelled|vctrs_vctr|double,float64,q19apre:  importance of health insurance cost,%8.0g,,,TRUE,Retained
q19_b,double,haven_labelled|vctrs_vctr|double,float64,q19bpre:  importance of uninsured americans,%8.0g,,,TRUE,Retained
q19_c,double,haven_labelled|vctrs_vctr|double,float64,q19cpre:  importance of prescription drug cost,%8.0g,,,TRUE,Retained
q19_d,double,haven_labelled|vctrs_vctr|double,float64,q19dpre:  importance of medical errors,%8.0g,,,TRUE,Retained
q19_e,double,haven_labelled|vctrs_vctr|double,float64,q19epre:  importance of malpractice system,%8.0g,,,TRUE,Retained
q19_f,double,haven_labelled|vctrs_vctr|double,float64,q19fpre:  importance of quality of services to the insured,%8.0g,,,TRUE,Retained
q20,double,haven_labelled|vctrs_vctr|double,float64,q20pre:  most important priority for health care,%8.0g,,,TRUE,Retained
q21,double,haven_labelled|vctrs_vctr|double,float64,q21pre:  second most important priority for health care,%8.0g,,,TRUE,Retained
q22,double,haven_labelled|vctrs_vctr|double,float64,q22pre:  washington representatives share respondent health,%8.0g,,,TRUE,Retained
q23,double,haven_labelled|vctrs_vctr|double,float64,q23pre:  would respondent pay more so others have coverage,%8.0g,,,TRUE,Retained
q24a,double,haven_labelled|vctrs_vctr|double,float64,q24apre:  single payer system adoption,%8.0g,,,TRUE,Retained
q24b,double,haven_labelled|vctrs_vctr|double,float64,q24bpre:  require employer-sponsored coverage,%8.0g,,,TRUE,Retained
q24c,double,haven_labelled|vctrs_vctr|double,float64,q24cpre:  require individual coverage,%8.0g,,,TRUE,Retained
q24d,double,haven_labelled|vctrs_vctr|double,float64,q24dpre:  financial assistance to the uninsured,%8.0g,,,TRUE,Retained
q24e,double,haven_labelled|vctrs_vctr|double,float64,q24epre:  financial breaks for businesses to offset insuran,%8.0g,,,TRUE,Retained
q24f,double,haven_labelled|vctrs_vctr|double,float64,q24fpre:  increase medicare and medicaid funding,%8.0g,,,TRUE,Retained
q25_a,double,haven_labelled|vctrs_vctr|double,float64,q25apre:  effectiveness of increasing co-pays,%8.0g,,,TRUE,Retained
q25_b,double,haven_labelled|vctrs_vctr|double,float64,q25bpre:  effectiveness of relying on managed care,%8.0g,,,TRUE,Retained
q25_c,double,haven_labelled|vctrs_vctr|double,float64,q25cpre:  effectiveness of limiting government funds,%8.0g,,,TRUE,Retained
q25_d,double,haven_labelled|vctrs_vctr|double,float64,q25dpre:  effectiveness of increasing government control,%8.0g,,,TRUE,Retained
q26,double,haven_labelled|vctrs_vctr|double,float64,q26pre:  number of uninsured americans,%8.0g,,,TRUE,Retained
q27,double,haven_labelled|vctrs_vctr|double,float64,q27pre:  number of aging,%8.0g,,,TRUE,Retained
q28,double,haven_labelled|vctrs_vctr|double,float64,q28pre:  share of uninsured from low-income,%8.0g,,,TRUE,Retained
q29a,double,haven_labelled|vctrs_vctr|double,float64,q29apre:  first priority to help the worst off,%8.0g,,,TRUE,Retained
q29b,double,haven_labelled|vctrs_vctr|double,float64,q29bpre:  first priority to help country prosper,%8.0g,,,TRUE,Retained
q29c,double,haven_labelled|vctrs_vctr|double,float64,q29cpre:  first priority to let people make choices,%8.0g,,,TRUE,Retained
q30a,double,haven_labelled|vctrs_vctr|double,float64,q30apre:  issues are too complicated,%8.0g,,,TRUE,Retained
q30b,double,haven_labelled|vctrs_vctr|double,float64,q30bpre:  public officials care about people like me,%8.0g,,,TRUE,Retained
q30c,double,haven_labelled|vctrs_vctr|double,float64,q30cpre:  people like me do not have a say,%8.0g,,,TRUE,Retained
q32,double,haven_labelled|vctrs_vctr|double,float64,q32:  school age children,%8.0g,,,TRUE,Retained
q33,double,haven_labelled|vctrs_vctr|double,float64,q33pre:  people with views different from mine have good re,%8.0g,,,TRUE,Retained
q34,double,haven_labelled|vctrs_vctr|double,float64,q34pre:  3 point party identification,%8.0g,,,TRUE,Retained
q34a,double,haven_labelled|vctrs_vctr|double,float64,q34apre:  7 point party identification,%8.0g,,,TRUE,Retained
q35,double,haven_labelled|vctrs_vctr|double,float64,q35pre:  7 point ideology,%8.0g,,,TRUE,Retained
q36,double,haven_labelled|vctrs_vctr|double,float64,q36pre:  tv news in the past 7 days,%8.0g,,,TRUE,Retained
q37,double,haven_labelled|vctrs_vctr|double,float64,q37pre:  newspaper in the past 7 days,%8.0g,,,TRUE,Retained
q38,double,haven_labelled|vctrs_vctr|double,float64,q38pre:  newspaper online in the past 7 days,%8.0g,,,TRUE,Retained
q39,double,haven_labelled|vctrs_vctr|double,float64,q39pre:  frequency of conversations about political affairs,%8.0g,,,TRUE,Retained
q40,double,haven_labelled|vctrs_vctr|double,float64,q40pre:  interest in us politics,%8.0g,,,TRUE,Retained
q41a,double,haven_labelled|vctrs_vctr|double,float64,q41a:  religious services attendance,%8.0g,,,TRUE,Retained
q1post,double,haven_labelled|vctrs_vctr|double,float64,q1post:  community public school grade,%8.0g,,,TRUE,Retained
q2post,double,haven_labelled|vctrs_vctr|double,float64,q2post:  national public school grade,%8.0g,,,TRUE,Retained
q3post,double,haven_labelled|vctrs_vctr|double,float64,q3post:  reform current or find alternative system,%8.0g,,,TRUE,Retained
q4post,double,haven_labelled|vctrs_vctr|double,float64,q4post:  emphasis on standardized testing,%8.0g,,,TRUE,Retained
q5post_m,double,haven_labelled|vctrs_vctr|double,float64,q5post:  increase standardized testing,%8.0g,,,TRUE,Retained
q6post,double,haven_labelled|vctrs_vctr|double,float64,q6post:  state or local decision on testing,%8.0g,,,TRUE,Retained
q7post_a,double,haven_labelled|vctrs_vctr|double,float64,q7apost:  fund charter schools with public school money,%8.0g,,,TRUE,Retained
q7post_b,double,haven_labelled|vctrs_vctr|double,float64,q7bpost:  provide vouchers to defer private school cost,%8.0g,,,TRUE,Retained
q7post_c,double,haven_labelled|vctrs_vctr|double,float64,q7cpost:  provide more money to troubled schools,%8.0g,,,TRUE,Retained
q7post_d,double,haven_labelled|vctrs_vctr|double,float64,q7dpost:  provide more money for smaller classrooms,%8.0g,,,TRUE,Retained
q7post_e,double,haven_labelled|vctrs_vctr|double,float64,q7epost:  provide more money for new technology,%8.0g,,,TRUE,Retained
q7post_f,double,haven_labelled|vctrs_vctr|double,float64,q7fpost:  provide more money to pay teachers,%8.0g,,,TRUE,Retained
q8post_a,double,haven_labelled|vctrs_vctr|double,float64,q8apost:  importance of academic standards,%8.0g,,,TRUE,Retained
q8post_b,double,haven_labelled|vctrs_vctr|double,float64,q8bpost:  importance of class size,%8.0g,,,TRUE,Retained
q8post_c,double,haven_labelled|vctrs_vctr|double,float64,q8cpost:  importance of parental involvement,%8.0g,,,TRUE,Retained
q8post_d,double,haven_labelled|vctrs_vctr|double,float64,q8dpost:  importance of teacher quality,%8.0g,,,TRUE,Retained
q8post_e,double,haven_labelled|vctrs_vctr|double,float64,q8epost:  importance of school administration,%8.0g,,,TRUE,Retained
q8post_f,double,haven_labelled|vctrs_vctr|double,float64,q8fpost:  importance of funding,%8.0g,,,TRUE,Retained
q8post_g,double,haven_labelled|vctrs_vctr|double,float64,q8gpost:  importance of safety,%8.0g,,,TRUE,Retained
q8post_h,double,haven_labelled|vctrs_vctr|double,float64,q8hpost:  importance of technology,%8.0g,,,TRUE,Retained
q9post,double,haven_labelled|vctrs_vctr|double,float64,q9post:  most important priority for schools,%8.0g,,,TRUE,Retained
q10post,double,haven_labelled|vctrs_vctr|double,float64,q10post:  second most important priority for schools,%8.0g,,,TRUE,Retained
q11post,double,haven_labelled|vctrs_vctr|double,float64,q11post:  washington representatives share respondent educat,%8.0g,,,TRUE,Retained
q12post,double,haven_labelled|vctrs_vctr|double,float64,q12post:  nclb approval,%8.0g,,,TRUE,Retained
q13post,double,haven_labelled|vctrs_vctr|double,float64,q13post:  effect of money on education,%8.0g,,,TRUE,Retained
q14post,double,haven_labelled|vctrs_vctr|double,float64,q14post:  class size affects student performance,%8.0g,,,TRUE,Retained
q15post,double,haven_labelled|vctrs_vctr|double,float64,q15post:  us rank in math skills,%8.0g,,,TRUE,Retained
q16post,double,haven_labelled|vctrs_vctr|double,float64,q16post:  ease of foreign obtainment of work permits,%8.0g,,,TRUE,Retained
q17post,double,haven_labelled|vctrs_vctr|double,float64,q17post:  gap between minorities and whites,%8.0g,,,TRUE,Retained
q19post,double,haven_labelled|vctrs_vctr|double,float64,q19apost:  importance of health insurance cost,%8.0g,,,TRUE,Retained
q19pos_a,double,haven_labelled|vctrs_vctr|double,float64,q19bpost:  importance of uninsured americans,%8.0g,,,TRUE,Retained
q19pos_b,double,haven_labelled|vctrs_vctr|double,float64,q19cpost:  importance of prescription drug cost,%8.0g,,,TRUE,Retained
q19pos_c,double,haven_labelled|vctrs_vctr|double,float64,q19dpost:  importance of medical errors,%8.0g,,,TRUE,Retained
q19pos_d,double,haven_labelled|vctrs_vctr|double,float64,q19epost:  importance of malpractice system,%8.0g,,,TRUE,Retained
q19pos_e,double,haven_labelled|vctrs_vctr|double,float64,q19fpost:  importance of quality of services to the insured,%8.0g,,,TRUE,Retained
q20post,double,haven_labelled|vctrs_vctr|double,float64,q20post:  most important priority for health care,%8.0g,,,TRUE,Retained
q21post,double,haven_labelled|vctrs_vctr|double,float64,q21post:  second most important priority for health care,%8.0g,,,TRUE,Retained
q22post,double,haven_labelled|vctrs_vctr|double,float64,q22post:  washington representatives share respondent health,%8.0g,,,TRUE,Retained
q23post,double,haven_labelled|vctrs_vctr|double,float64,q23post:  would respondent pay more so others have coverage,%8.0g,,,TRUE,Retained
q24apost,double,haven_labelled|vctrs_vctr|double,float64,q24apost:  single payer system adoption,%8.0g,,,TRUE,Retained
