source_column,source_value,value_label
strata,1,broadband
strata,2,dialup
strata,3,pc
resume,0,not a resumed interview (duration less than 100 minutes)
resume,1,resumed interview (duration 100 minutes or more)
f_resume,0,not a resumed interview (duration less than 100 minutes)
f_resume,1,resumed interview (duration 100 minutes or more)
qb1,-2,not asked
qb1,-1,refused
qb1,1,"a lot for the better,"
qb1,2,"somewhat for the better,"
qb1,3,"somewhat for the worse,"
qb1,4,"a lot for the worse,"
qb1,5,"not much in either direction,"
qb1,6,haven't thought much about this
qb2a,-2,not asked
qb2a,-1,refused
qb2b,-2,not asked
qb2b,-1,refused
qb2c,-2,not asked
qb2c,-1,refused
qb2d,-2,not asked
qb2d,-1,refused
qb2e,-2,not asked
qb2e,-1,refused
qb2f,-2,not asked
qb2f,-1,refused
qb2g,-2,not asked
qb2g,-1,refused
qb2h,-2,not asked
qb2h,-1,refused
qb2i,-2,not asked
qb2i,-1,refused
qb2j,-2,not asked
qb2j,-1,refused
qb3,-2,not asked
qb3,-1,refused
qb3,1,"agree strongly,"
qb3,2,"agree somewhat,"
qb3,3,"fall somewhere in between,"
qb3,4,"disagree somewhat,"
qb3,5,"disagree strongly,"
qb3,6,or haven't you thought much about this?
qb4,-2,not asked
qb4,-1,refused
qb4,1,"agree strongly,"
qb4,2,"agree somewhat,"
qb4,3,"fall somewhere in between,"
qb4,4,"disagree somewhat,"
qb4,5,"disagree strongly,"
qb4,6,or haven't you thought much about this?
qb5,-2,not asked
qb5,-1,refused
qb5,1,"agree strongly,"
qb5,2,"agree somewhat,"
qb5,3,"fall somewhere in between,"
qb5,4,"disagree somewhat,"
qb5,5,"disagree strongly,"
qb5,6,or haven't you thought much about this?
qb6,-2,not asked
qb6,-1,refused
qb6,1,"agree strongly,"
qb6,2,"agree somewhat,"
qb6,3,"fall somewhere in between,"
qb6,4,"disagree somewhat,"
qb6,5,"disagree strongly,"
qb6,6,or haven't you thought much about this?
qb7,-2,not asked
qb7,-1,refused
qb7,1,"very important,"
qb7,2,"somewhat important,"
qb7,3,"not very important,"
qb7,4,"not important at all, or"
qb7,5,haven't you thought much about this?
qb8,-2,not asked
qb8,-1,refused
qb8,1,"very important,"
qb8,2,"somewhat important,"
qb8,3,"not very important,"
qb8,4,"not important at all, or"
qb8,5,haven't you thought much about this?
qb9,-2,not asked
qb9,-1,refused
qb9,1,"very important,"
qb9,2,"somewhat important,"
qb9,3,"not very important,"
qb9,4,"not important at all, or"
qb9,5,haven't you thought much about this?
qb10,-2,not asked
qb10,-1,refused
qb10,1,"very important,"
qb10,2,"somewhat important,"
qb10,3,"not very important,"
qb10,4,"not important at all, or"
qb10,5,haven't you thought much about this?
qb11,-2,not asked
qb11,-1,refused
qb11,1,"very serious,"
qb11,2,"somewhat serious,"
qb11,3,"not too serious,"
qb11,4,"not serious at all,"
qb11,5,haven't thought much about this
qb12,-2,not asked
qb12,-1,refused
qb12,1,"it is caused mostly by human activities, like driving cars a"
qb12,2,"it is caused mostly by natural changes in the climate,"
qb12,3,"it is not occurring at all, or"
qb12,4,haven't you thought much about this?
qb13,-2,not asked
qb13,-1,refused
qb13,1,"support,"
qb13,2,"oppose,"
qb13,3,"neither support nor oppose,"
qb13,4,or haven't you thought much about this?
qb14,-2,not asked
qb14,-1,refused
qb14,1,"support,"
qb14,2,"oppose,"
qb14,3,"neither support nor oppose,"
qb14,4,or haven't you thought much about this?
qb15a,-2,not asked
qb15a,-1,refused
qb15b,-2,not asked
qb15b,-1,refused
qb15c,-2,not asked
qb15c,-1,refused
qb16,-2,not asked
qb16,-1,refused
qb16,1,"agree strongly,"
qb16,2,"agree somewhat,"
qb16,3,"fall somewhere in between,"
qb16,4,"disagree somewhat,"
qb16,5,"disagree strongly,"
qb16,6,or haven't you thought much about this?
qb17,-2,not asked
qb17,-1,refused
qb17,1,"agree strongly,"
qb17,2,"agree somewhat,"
qb17,3,"fall somewhere in between,"
qb17,4,"disagree somewhat,"
qb17,5,"disagree strongly,"
qb17,6,or haven't you thought much about this?
qb18,-2,not asked
qb18,-1,refused
qb18,1,supports
qb18,2,opposes
qb18,3,haven't heard anything about this
qb19,-2,not asked
qb19,-1,refused
qb19,1,"very serious,"
qb19,2,"somewhat serious,"
qb19,3,"not too serious,"
qb19,4,"not serious at all,"
qb19,5,haven't thought much about this
qb20,-2,not asked
qb20,-1,refused
qb20,1,agree with (1) more strongly
qb20,2,agree with (2) more strongly
qb20,3,agree with both about equally
qb20,4,haven't thought much about this
qb21,-2,not asked
qb21,-1,refused
qb21,1,agree with (1) more strongly
qb21,2,agree with (2) more strongly
qb21,3,agree with both about equally
qb21,4,haven't thought much about this
qb22,-2,not asked
qb22,-1,refused
qb22,1,agree with (1) more strongly
qb22,2,agree with (2) more strongly
qb22,3,agree with both about equally
qb22,4,haven't thought much about this
qb23a,-2,not asked
qb23a,-1,refused
qb23b,-2,not asked
qb23b,-1,refused
qb23c,-2,not asked
qb23c,-1,refused
qb23d,-2,not asked
qb23d,-1,refused
qb23e,-2,not asked
qb23e,-1,refused
qb23f,-2,not asked
qb23f,-1,refused
qb24,-2,not asked
qb24,-1,refused
qb24,1,increased
qb24,2,reduced
qb24,3,kept about the same
qb24,4,haven't thought much about this
qb25a,-2,not asked
qb25a,-1,refused
qb25b,-2,not asked
qb25b,-1,refused
qb25c,-2,not asked
qb25c,-1,refused
qb25d,-2,not asked
qb25d,-1,refused
qb25e,-2,not asked
qb25e,-1,refused
qb26,-2,not asked
qb26,-1,refused
qb26,1,increase
qb26,2,decrease
qb26,3,keep it the same
qb26,4,haven't heard anything about this
qb27,-2,not asked
qb27,-1,refused
qb27,1,"support strongly,"
qb27,2,"support somewhat,"
qb27,3,"neither support nor oppose this,"
qb27,4,"oppose somewhat,"
qb27,5,"oppose strongly,"
qb27,6,or haven't you thought much about this?
qb28,-2,not asked
qb28,-1,refused
qb28,1,"support strongly,"
qb28,2,"support somewhat,"
qb28,3,"neither support nor oppose this,"
qb28,4,"oppose somewhat,"
qb28,5,"oppose strongly,"
qb28,6,or haven't you thought much about this?
qb29,-2,not asked
qb29,-1,refused
qb29,1,"support strongly,"
qb29,2,"support somewhat,"
qb29,3,"neither support nor oppose this,"
qb29,4,"oppose somewhat,"
qb29,5,"oppose strongly,"
qb29,6,or haven't you thought much about this?
qb30,-2,not asked
qb30,-1,refused
qb30,1,"support strongly,"
qb30,2,"support somewhat,"
qb30,3,"neither support nor oppose this,"
qb30,4,"oppose somewhat,"
qb30,5,"oppose strongly,"
qb30,6,or haven't you thought much about this?
qb31,-2,not asked
qb31,-1,refused
qb31,1,"support strongly,"
qb31,2,"support somewhat,"
qb31,3,"neither support nor oppose this,"
qb31,4,"oppose somewhat,"
qb31,5,"oppose strongly,"
qb31,6,or haven't you thought much about this?
qb32a,-2,not asked
qb32a,-1,refused
qb32a,1,to work with other countries one by one to establish agreeme
qb32a,2,to work with groups of countries through international insti
qb32a,3,"to leave things as they are,"
qb32a,4,haven't thought much about this
qb32b,-2,not asked
qb32b,-1,refused
qb32b,1,to work with other countries one by one to establish agreeme
qb32b,2,to work with groups of countries through international insti
qb32b,3,"to leave things as they are,"
qb33,-2,not asked
qb33,-1,refused
qb33,1,"repeal the north american free trade agreement, called nafta"
