poll_id,artifact_id,artifact_type,title,location,source_id,original_archive_path,sha256,rights_status,disclosure_status,publication_status,notes
btp-online-primaries-2004,cor-sood-btp-online-primaries-2004,data,Cor-Sood scored knowledge battery,data/btp-online-primaries-2004/knowledge-battery.csv,cor-sood-btp-online-primaries-2004,replication/data.zip:data/btp04.csv,e4fd9e789c06146f9ccb06a3e3fc28423531fd719540213c5e7ed10cd0e148c8,public-license,approved-public,published,Scored binary items; row number is not a respondent identifier
btp-online-primaries-2004,cdd-btp-online-primaries-2004-survey,data,Reviewed poll-level survey,data/btp-online-primaries-2004/survey.parquet,cdd-btp-online-primaries-2004-survey,data/BTP/2004OnlinePrimaries/data/2004 online primaries_hlm.dta,06c3022d9f92aed8a3a67b3b46c8e35955d50ccfcafb23536390bd1ba3f0df0e,owner-approved,approved-redacted,published,Reviewed source; archive path and hash retained; source license not inferred
btp-online-primaries-2004,cdd-btp-online-primaries-2004-survey-variables,codebook,Source variables,data/btp-online-primaries-2004/variables.csv,cdd-btp-online-primaries-2004-survey-variables,data/BTP/2004OnlinePrimaries/data/2004 online primaries_hlm.dta,c8ca35bfa8866ad66d1a20bdf5b9c48c91b3e69d2d207b851a78dcbda0733773,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
btp-online-primaries-2004,cdd-btp-online-primaries-2004-survey-value-labels,codebook,Source value-labels,data/btp-online-primaries-2004/value-labels.csv,cdd-btp-online-primaries-2004-survey-value-labels,data/BTP/2004OnlinePrimaries/data/2004 online primaries_hlm.dta,958d470a79f5ccb69badbe6a0cfbebb532c7abc68ef97ce19cb7d7300552633b,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
btp-online-primaries-2004,cdd-btp-online-primaries-2004-questionnaires,questionnaire,Original questionnaires.doc,data/btp-online-primaries-2004/questionnaires.doc,cdd-btp-online-primaries-2004-questionnaires,data/BTP/ONLINE DPOLL SURVEYS - COMPREHENSIVE.doc,bbb51cacedc8a5abbfb5642e588467dcbacea3578a916bff125f371c15dd55b4,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
btp-online-primaries-2004,material-f3671213505686ab-btp-online-primaries-2004,paper,presidential-nomination,data/shared/papers/presidential-nomination.pdf,material-f3671213505686ab,meta_data/cdd_papers/presidential-nomination.pdf,f3671213505686abc0e58b69c631797ea3f38a02b5065db797738ac9bad88528,review-required,approved-public,published,Historical metadata archive; content classified for reference. Instrument-to-variable and version-specific comparisons remain required. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
btp-online-primaries-2004,material-fe97b92d2e9a1c8e-btp-online-primaries-2004,paper,Deliberative Preferences in the Presidential Nomination Campaign,data/shared/papers/primaries-paper.pdf,material-fe97b92d2e9a1c8e,,fe97b92d2e9a1c8ecc786f267fd806b11e8ac19b9bff0b57cd5e913336f2ab80,review-required,approved-public,published,"Iyengar, Luskin and Fishkin, 29 November 2005. Event starts 19 January 2004. Two repository primary cohorts remain unresolved; shared reference does not establish their equivalence. Source URL: https://drive.google.com/file/d/1I32t0i1kXuz9iTXWPPArgleFmawQq_4Z/view?usp=sharing. Retrieved 2026-09-23. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply."
btp-online-primaries-2004,material-7ad6c3c2eb5f0731-btp-online-primaries-2004,paper,Deliberation and Net Attitude Change,data/shared/papers/deliberation-net-change-paper.pdf,material-7ad6c3c2eb5f0731,,7ad6c3c2eb5f0731dfef055365cfd661fe3ef5be00f7d8ceb5136972fefd58ac,review-required,approved-public,published,"ECPR September 2007 manuscript. Introduction and tables differ in stated coverage; Table 1/2 sample sizes and index counts are version checks, not an independently established scoring contract. Source URL: https://drive.google.com/file/d/1IZQTpQMml7XSlwSU1GNOqzZb-mDecS5g/view?usp=sharing. Retrieved 2026-09-23. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply."
btp-online-primaries-2004,material-26eecc72a0695bd8-btp-online-primaries-2004,questionnaire,Original questionnaires.doc (PDF preview),data/btp-online-primaries-2004/questionnaires.pdf,material-26eecc72a0695bd8,,26eecc72a0695bd832effa9a8416ed5e22d95224f3455108c544c2e64f2199ce,review-required,approved-public,published,Generated from data/btp-online-primaries-2004/questionnaires.doc. Original retained unchanged. See metadata/document_previews.csv for converter and verification details.
btp-online-primaries-2004,material-e603bbecfa97be6b-btp-online-primaries-2004,paper,"Wang and Siu(2009), Refined or Biased Opinions? Examining Self-selected Participation in Deliberation and Post-survey in On-line Deliberative Polls",data/btp-national-2003/papers/refined-or-biased-opinions-2009.pdf,material-e603bbecfa97be6b,http://www.asasrms.org/Proceedings/y2009/Files/400061.pdf,e603bbecfa97be6b3af0c89355b26b4b74de85ad51e13bf7881c36a1fcff60e6,review-required,approved-public,published,ASA/AAPOR2009proceedings pp6092–6107; full text checked. OfficialHTTPSendpoint has certificate hostname mismatch; officialHTTPendpoint servedPDF.
