caseid,historical_group_order
950100,1
950156,2
950224,3
950117,4
950222,5
950126,6
950245,7
950216,8
950119,9
950201,10
950243,11
950159,12
950196,13
950149,14
950142,15
950098,16
950121,17
950085,18
950037,19
950179,20
950095,21
950075,22
950125,23
950148,24
950220,25
950184,26
950200,27
950042,28
950194,29
950233,30
950127,31
950013,32
950106,33
950235,34
950096,35
950610,36
950217,37
950141,38
950024,39
950419,40
950129,41
950150,42
950170,43
950023,44
950110,45
950467,46
950031,47
950006,48
950047,49
950181,50
950118,51
950088,52
950241,53
950113,54
950656,55
950152,56
950051,57
950208,58
950195,59
950203,60
950061,61
950017,62
950202,63
950015,64
950197,65
950008,66
950035,67
950107,68
950154,69
950028,70
950018,71
950155,72
950198,73
950228,74
950063,75
950232,76
950175,77
950016,78
950036,79
950132,80
950190,81
950032,82
950010,83
950161,84
950248,85
950189,86
950087,87
950060,88
950104,89
950033,90
950205,91
950001,92
950191,93
950227,94
950230,95
950240,96
950124,97
950180,98
950140,99
950171,100
950206,101
950168,102
950883,103
950157,104
950052,105
950054,106
950086,107
950062,108
950134,109
950004,110
950092,111
950163,112
950188,113
950089,114
950199,115
950660,116
950114,117
950003,118
950165,119
950122,120
950331,121
950112,122
950130,123
950029,124
950111,125
950014,126
950137,127
950055,128
950144,129
950146,130
950068,131
950074,132
950488,133
950139,134
951180,135
950027,136
950078,137
950237,138
950214,139
950209,140
950223,141
950210,142
950059,143
950192,144
950166,145
950174,146
950225,147
950138,148
950177,149
950083,150
950084,151
950020,152
950081,153
950009,154
950072,155
950131,156
950145,157
950158,158
950238,159
950176,160
950167,161
950090,162
950099,163
950067,164
950136,165
950049,166
950193,167
950204,168
950133,169
951286,170
950247,171
950128,172
950120,173
950021,174
950160,175
950094,176
950226,177
950007,178
950105,179
950229,180
950073,181
950236,182
950231,183
950053,184
950080,185
950056,186
950011,187
950019,188
950135,189
950046,190
950215,191
950187,192
950997,193
950076,194
950069,195
950151,196
950183,197
950212,198
950101,199
950242,200
950234,201
950025,202
950026,203
950093,204
950213,205
950838,206
950682,207
950116,208
950123,209
950041,210
950066,211
950002,212
950178,213
950082,214
950185,215
950091,216
950207,217
