poll_id,artifact_id,artifact_type,title,location,source_id,original_archive_path,sha256,rights_status,disclosure_status,publication_status,notes
california-whats-next-2011,cor-sood-california-whats-next-2011,data,Cor-Sood scored knowledge battery,data/california-whats-next-2011/knowledge-battery.csv,cor-sood-california-whats-next-2011,replication/data.zip:data/ca.csv,bbc6a39043ff5be47e03abe4b29550ca29be08195cb6d51cb40f8d9971199063,public-license,approved-public,published,Scored binary items; row number is not a respondent identifier
california-whats-next-2011,cdd-california-whats-next-2011-survey,data,Reviewed poll-level survey,data/california-whats-next-2011/survey.parquet,cdd-california-whats-next-2011-survey,data/California/data/California_Merged_t1-t2-t3_6-28-11.dta,2dc4c32d089805365e25b264264c0ae56608be391af7f23d0445d3c8a2d693c7,owner-approved,approved-redacted,published,Reviewed source; archive path and hash retained; source license not inferred
california-whats-next-2011,cdd-california-whats-next-2011-survey-variables,codebook,Source variables,data/california-whats-next-2011/variables.csv,cdd-california-whats-next-2011-survey-variables,data/California/data/California_Merged_t1-t2-t3_6-28-11.dta,be11ff63f3b08e89eb82097da51ec3430110231d8f2b03d68d74961399cf8f61,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
california-whats-next-2011,cdd-california-whats-next-2011-survey-value-labels,codebook,Source value-labels,data/california-whats-next-2011/value-labels.csv,cdd-california-whats-next-2011-survey-value-labels,data/California/data/California_Merged_t1-t2-t3_6-28-11.dta,890196189d84e5eb147e90ab550a16ce3e061491174f61b112c81de02dafbfe1,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
california-whats-next-2011,cdd-california-whats-next-2011-questionnaire-pre,questionnaire,Original questionnaire-pre.doc,data/california-whats-next-2011/questionnaire-pre.doc,cdd-california-whats-next-2011-questionnaire-pre,data/California/questionnaire/Ca Draft T1 Questionnaire_6-1-11 (1).doc,5cb8718dc08fab6de8708ebc7d97a356ae314b3ea7f9364ea5fa229ac5632515,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
california-whats-next-2011,cdd-california-whats-next-2011-questionnaire-post,questionnaire,Original questionnaire-post.doc,data/california-whats-next-2011/questionnaire-post.doc,cdd-california-whats-next-2011-questionnaire-post,data/California/questionnaire/Ca Draft T3 Questionnaire_departure_v1_POP.doc,bb884ed587bc5550b1345379f117b0a3f2a75d99672966279be867d031c1afef,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
california-whats-next-2011,cdd-california-whats-next-2011-codebook,codebook,Original codebook.pdf,data/california-whats-next-2011/codebook.pdf,cdd-california-whats-next-2011-codebook,data/California/data/STAN0051_CODEBOOK.pdf,15653df2886b48a7bf92ee43517b1024178f34fa1714ba87d1f47ebd0c629db2,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
california-whats-next-2011,material-0b2e0edeea3aca9c-california-whats-next-2011,event-report,What is Next California: final report,data/california-whats-next-2011/reports/california-report.pdf,material-0b2e0edeea3aca9c,,0b2e0edeea3aca9c6d7f5c6b31822da2ab4852fd672ac4cea8783ff9ffeba979,review-required,approved-public,published,"2011 government-reform event report; use for recruitment, attendance and published item results. Source URL: https://drive.google.com/uc?export=download&id=1CwVaL7QNPzimECeb1sEv2mnv2ZPnfO-i. Retrieved 2026-09-23. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply."
california-whats-next-2011,material-e989fb089d4108a1-california-whats-next-2011,briefing-material,What’s Next California participant guide,data/california-whats-next-2011/briefing-materials/california-participant-guide.pdf,material-e989fb089d4108a1,https://drive.google.com/file/d/11IXDrnAl67-zzf8Ca0HBrbYx6yjUNckH/view,e989fb089d4108a135dc459fea11dacc6b255be3f4d53991c1cd90d577533805,review-required,approved-public,published,Downloaded public source linked by Stanford event page.
california-whats-next-2011,material-5cb1d017f73d4742-california-whats-next-2011,paper,Deliberative Agenda Setting: Piloting Reform of Direct Democracy in California,data/california-whats-next-2011/papers/deliberative-agenda-setting.pdf,material-5cb1d017f73d4742,https://drive.google.com/file/d/181NRBiYHZfURqG6KX6w8R2q3QjWOghPk/view,5cb1d017f73d474224b0cc060d324bdd0a69930c4cc3342842d9993d4b35fa26,review-required,approved-public,published,Downloaded public source linked by Stanford event page.
california-whats-next-2011,material-b2154c788abf1656-california-whats-next-2011,research-design,Deliberative Agenda Setting: Online Appendix,data/california-whats-next-2011/papers/deliberative-agenda-setting-appendix.pdf,material-b2154c788abf1656,https://drive.google.com/uc?export=download&id=11rG4YlB8z_lLTOTZ8G-fLOz92V7bwuhJ,b2154c788abf1656de42fc44a3f2a9ca29e22744f874ddc108e256e5d7fd1463,review-required,approved-public,published,Public research source; content and title checked before registration.
california-whats-next-2011,material-8ceb736e99dfd792-california-whats-next-2011,questionnaire,Original questionnaire-post.doc (PDF preview),data/california-whats-next-2011/questionnaire-post.pdf,material-8ceb736e99dfd792,,8ceb736e99dfd79212a7b37bcd177bfcdc32e7e76a5011e5238d07aa8032886c,review-required,approved-public,published,Generated from data/california-whats-next-2011/questionnaire-post.doc. Original retained unchanged. See metadata/document_previews.csv for converter and verification details.
california-whats-next-2011,material-709925920eef907d-california-whats-next-2011,questionnaire,Original questionnaire-pre.doc (PDF preview),data/california-whats-next-2011/questionnaire-pre.pdf,material-709925920eef907d,,709925920eef907d3cba38cd521f10b0585d7b7bc0ed46af411d2a1519445037,review-required,approved-public,published,Generated from data/california-whats-next-2011/questionnaire-pre.doc. Original retained unchanged. See metadata/document_previews.csv for converter and verification details.
