source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
gender,double,numeric,,RS GENDER,F9.2,,,TRUE,Retained
part,double,numeric,,PARTICIPANT OR NON-PARTICIPANT?,F9.2,,,TRUE,Retained
caseid,double,numeric,,CASE IDENTIFICATION NUMBER,F9.2,,,TRUE,Retained
group,double,numeric,,RS GROUP,F9.2,,,TRUE,Retained
future2,double,numeric,,"POST: PRESERVE COAL, GAS, OIL FOR FUTURE",F9.2,,,TRUE,Retained
grow2,double,numeric,,POST: PROMOTE ECON GROWTH IN COMMUNITY,F9.2,,,TRUE,Retained
poll2,double,numeric,,POST: REDUCE POLLUTION,F9.2,,,TRUE,Retained
needs2,double,numeric,,POST:ENSURE EVERYONE HAS BASIC NEEDS MET,F9.2,,,TRUE,Retained
invest2,double,numeric,,POST: MINIMIZE RISK WHEN INVESTING MONEY,F9.2,,,TRUE,Retained
resch2,double,numeric,,POST: RESEARCH EVEN IF HIGHER ELEC RATES,F9.2,,,TRUE,Retained
fedrch2,double,numeric,,POST: FED GOV RESEARCH NEW TECH (CPL),F9.2,,,TRUE,Retained
reduce2,double,numeric,,"POST: REDUCE COAL, GAS BY EFFICIENT USE",F9.2,,,TRUE,Retained
jobs2,double,numeric,,POST: NUMBER OF JOBS CREATED,F9.2,,,TRUE,Retained
tax2,double,numeric,,POST: IMPACT ON COMMUNITYS TAX BASE,F9.2,,,TRUE,Retained
lowinc2,double,numeric,,POST:LOW INOME CUSTOMERS TREATED FAIRLY,F9.2,,,TRUE,Retained
growto2,double,numeric,,POST: TRADEOFF: ECO GROWTH & POLLUTION,F9.2,,,TRUE,Retained
pollto2,double,numeric,,POST: TRADEOFF: REDUCE POLL & INC COSTS,F9.2,,,TRUE,Retained
needto2,double,numeric,,POST: TRADEOFF: BASIC NEEDS & INC COSTS,F9.2,,,TRUE,Retained
invsto2,double,numeric,,POST: TRADEOFF: MIN RISK & LOW RETURN,F9.2,,,TRUE,Retained
lowest2,double,numeric,,POST: RESOURCES WITH LOWEST COST ELEC,F9.2,,,TRUE,Retained
envmt2,double,numeric,,POST:RESOURCES THAT MAINTAIN ENVIRONMENT,F9.2,,,TRUE,Retained
jobsst2,double,numeric,,POST:REOURCES CREATE JOBS IN S TX (CPL),F9.2,,,TRUE,Retained
renew2,double,numeric,,"POST: RENEWABLE RESOURCES LIKE WIND, SUN",F9.2,,,TRUE,Retained
im1cpl2,double,numeric,,POST: MOST IMP. FACTOR IN CPL SURVEY,F9.2,,,TRUE,Retained
im2cpl2,double,numeric,,POST: 2ND MOST IMP. FACTOR IN CPL SURVEY,F9.2,,,TRUE,Retained
im3cpl2,double,numeric,,POST: 3RD MOST IMP. FACTOR IN CPL SURVEY,F9.2,,,TRUE,Retained
pref2,double,numeric,,POST: DOES R PREFER AN OPTION?,F9.2,,,TRUE,Retained
pr12,double,numeric,,POST: RS FIRST PREFERENCE,F9.2,,,TRUE,Retained
pr22,double,numeric,,POST: RS SECOND PREFERENCE,F9.2,,,TRUE,Retained
pr32,double,numeric,,POST: RS THIRD PREFERENCE,F9.2,,,TRUE,Retained
costs2,double,numeric,,POST: CONSTRCTN COSTS VS OPERATING COSTS,F9.2,,,TRUE,Retained
stlteq2,double,numeric,,POST: SHORT VS LONG TERM SOLUTIONS (CPL),F9.2,,,TRUE,Retained
winter2,double,numeric,,POST: RS WINTER ELECTRICITY COSTS,F9.2,,,TRUE,Retained
summer2,double,numeric,,POST: RS SUMMER ELECTRICITY COSTS,F9.2,,,TRUE,Retained
