source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
DELNR,double,numeric,float64,Deltagernr.,F11.0,,,TRUE,Retained
S1_2,double,haven_labelled|vctrs_vctr|double,float64,"1. Danmark deltager på grund af sit forbehold ikke i den fælles mønt, euroen. Hvad vil du stemme til folkeafstemningen den 28. september om dansk deltagelse i den fælles mønt? Vil du stemme...?",F8.0,,,TRUE,Retained
S1B_2,double,haven_labelled|vctrs_vctr|double,float64,"1b. Hvis du skulle tage stilling for eller imod dansk deltagelse i den fælles mønt, euroen, hvad ville du så vælge?",F8.0,,,TRUE,Retained
S2_2,double,haven_labelled|vctrs_vctr|double,float64,"2. Er det sandsynligt, at du vil ændre holdning på baggrund af euro-debatten inden folkeafstemningen den 28. september?",F8.0,,,TRUE,Retained
S3A_2,double,haven_labelled|vctrs_vctr|double,float64,3a. Medlemskab af EU er positivt for Danmark,F8.0,,,TRUE,Retained
S3B_2,double,haven_labelled|vctrs_vctr|double,float64,3b. Det er en vigtig opgave for EU at få nye lande optaget i unionen hurtigst muligt,F8.0,,,TRUE,Retained
S3C_2,double,haven_labelled|vctrs_vctr|double,float64,3c. Dansk deltagelse i den fælles mønt forringer dansk selvstændighed,F8.0,,,TRUE,Retained
S3D_2,double,haven_labelled|vctrs_vctr|double,float64,3d. Dansk deltagelse i den fælles mønt giver bedre vilkår for dansk erhvervsliv,F8.0,,,TRUE,Retained
S3E_2,double,haven_labelled|vctrs_vctr|double,float64,3e. Dansk deltagelse i den fælles mønt er en trussel mod danskheden,F8.0,,,TRUE,Retained
S3F_2,double,haven_labelled|vctrs_vctr|double,float64,3f. Dansk deltagelse i den fælles mønt giver en lavere rente i Danmark end i dag,F8.0,,,TRUE,Retained
S3G_2,double,haven_labelled|vctrs_vctr|double,float64,3g. Dansk deltagelse i den fælles mønt vil medføre forringelse i den danske velfærdsmodel,F8.0,,,TRUE,Retained
S3H_2,double,haven_labelled|vctrs_vctr|double,float64,3h. Dansk deltagelse i den fælles mønt giver mere indflydelse for Danmark på EUs beslutninger,F8.0,,,TRUE,Retained
S3I_2,double,haven_labelled|vctrs_vctr|double,float64,3i. Det at have en dansk krone er vigtigere end en eventuel økonomisk gevinst ved deltagelse i den fælles mønt,F8.0,,,TRUE,Retained
S3J_2,double,haven_labelled|vctrs_vctr|double,float64,3j. Euro-samarbejdet er et skridt mod Europas forenede stater,F8.0,,,TRUE,Retained
S3K_2,double,haven_labelled|vctrs_vctr|double,float64,3k. Dansk deltagelse i den fælles mønt giver en økonomisk gevinst for Danmark,F8.0,,,TRUE,Retained
S3L_2,double,haven_labelled|vctrs_vctr|double,float64,3l. Dansk deltagelse i den fælles mønt forringer lønmodtagernes vilkår,F8.0,,,TRUE,Retained
S3M_2,double,haven_labelled|vctrs_vctr|double,float64,3m. Dansk deltagelse i den fælles mønt forbedrer de svage gruppers vilkår,F8.0,,,TRUE,Retained
S3N_2,double,haven_labelled|vctrs_vctr|double,float64,"3n. Hvis Danmark går med i den fælles mønt, kan vi ikke melde os ud igen",F8.0,,,TRUE,Retained
S3O_2,double,haven_labelled|vctrs_vctr|double,float64,3o. Euro-samarbejde understøtter fred og stabilitet i Europa,F8.0,,,TRUE,Retained
S3P_2,double,haven_labelled|vctrs_vctr|double,float64,3p. Euro-samarbejdet er udemokratisk,F8.0,,,TRUE,Retained
S3Q_2,double,haven_labelled|vctrs_vctr|double,float64,3q. Alt i alt er det fælles mønt-samarbejde positivt for Danmark,F8.0,,,TRUE,Retained
S3R_2,double,haven_labelled|vctrs_vctr|double,float64,3r. Danmark bør vente med at tilslutte sig den fælles mønt,F8.0,,,TRUE,Retained
S4_2,double,haven_labelled|vctrs_vctr|double,float64,"4. Danmark kan som medlem af euro-samarbejdet blive idømt bøder, hvis vi har et for stort underskud på statens finanser. Er det rigtigt eller forkert?",F8.0,,,TRUE,Retained
S5_2,double,haven_labelled|vctrs_vctr|double,float64,"5. Danmark kan selv bestemme rentens størrelse, hvis vi tilslutter os den fælles mønt? Er det rigtigt eller forkert?",F8.0,,,TRUE,Retained
S6_2,double,haven_labelled|vctrs_vctr|double,float64,"6. Danmark kan selv bestemme skatteniveauet, hvis vi tilslutter os den fælles mønt? Er det rigtigt eller forkert?",F8.0,,,TRUE,Retained
S7_2,double,haven_labelled|vctrs_vctr|double,float64,"7. Hvis vi stemmer ja ved folkeafstemningen den 28. september, vil den fælles mønt så være i omløb i Danmark fra år 2001, 2004, 2005 eller 2007?",F8.0,,,TRUE,Retained
S8_2,double,haven_labelled|vctrs_vctr|double,float64,"8. Hvis Danmark tilslutter sig den fælles mønt, vil den danske nationalbank så blive nedlagt, fortsætte stort set som i dag, eller bliver den en del af den Europæiske Centralbank?",F8.0,,,TRUE,Retained
S9_2,double,haven_labelled|vctrs_vctr|double,float64,9. Vil euro-mønter få en national side?,F8.0,,,TRUE,Retained
S10_2,double,haven_labelled|vctrs_vctr|double,float64,"10. Er Danmark med i et valuta-samarbejde i dag, hvor landene hjælper hinanden ved uro på valutamarkedet?",F8.0,,,TRUE,Retained
S11_1_2,double,haven_labelled|vctrs_vctr|double,float64,Folkebevægelsen mod unionen,F8.0,,,TRUE,Retained
S11_2_2,double,haven_labelled|vctrs_vctr|double,float64,Junibevægelsen,F8.0,,,TRUE,Retained
S11_3_2,double,haven_labelled|vctrs_vctr|double,float64,Socialdemokratiet,F8.0,,,TRUE,Retained
S11_4_2,double,haven_labelled|vctrs_vctr|double,float64,Det Radikale Venstre,F8.0,,,TRUE,Retained
S11_5_2,double,haven_labelled|vctrs_vctr|double,float64,Det Konservative Folkeparti,F8.0,,,TRUE,Retained
S11_6_2,double,haven_labelled|vctrs_vctr|double,float64,CentrumDemokraterne,F8.0,,,TRUE,Retained
S11_7_2,double,haven_labelled|vctrs_vctr|double,float64,Socialistisk Folkeparti,F8.0,,,TRUE,Retained
S11_8_2,double,haven_labelled|vctrs_vctr|double,float64,Dansk Folkeparti,F8.0,,,TRUE,Retained
S11_9_2,double,haven_labelled|vctrs_vctr|double,float64,Kristeligt Folkeparti,F8.0,,,TRUE,Retained
S11_10_2,double,haven_labelled|vctrs_vctr|double,float64,Venstre - Danmarks Liberale Parti,F8.0,,,TRUE,Retained
S11_11_2,double,haven_labelled|vctrs_vctr|double,float64,Fremskridtspartiet,F8.0,,,TRUE,Retained
S11_12_2,double,haven_labelled|vctrs_vctr|double,float64,Enhedslisten,F8.0,,,TRUE,Retained
S11_13_2,double,haven_labelled|vctrs_vctr|double,float64,Frihed 2000,F8.0,,,TRUE,Retained
