poll_id,artifact_id,artifact_type,title,location,source_id,original_archive_path,sha256,rights_status,disclosure_status,publication_status,notes
michigan-2009,cor-sood-michigan-2009,data,Cor-Sood scored knowledge battery,data/michigan-2009/knowledge-battery.csv,cor-sood-michigan-2009,replication/data.zip:data/mi.csv,b27a7e29fc57dd658a80ecb204f72ca42c24b689b1b3279309919f0073f85ffe,public-license,approved-public,published,Scored binary items; row number is not a respondent identifier
michigan-2009,cdd-michigan-2009-survey,data,Reviewed poll-level survey,data/michigan-2009/survey.parquet,cdd-michigan-2009-survey,data/Michigan/data/mifin.dta,a827af55e3d8e85c6f1fb06a4a40e5de94e406640bf8e58e9b8635fcddeb1980,owner-approved,approved-redacted,published,Reviewed source; archive path and hash retained; source license not inferred
michigan-2009,cdd-michigan-2009-survey-variables,codebook,Source variables,data/michigan-2009/variables.csv,cdd-michigan-2009-survey-variables,data/Michigan/data/mifin.dta,396b78c56c069dacd26cf14904595e7b92bf2798b21738bc0a992bdca142503d,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
michigan-2009,cdd-michigan-2009-survey-value-labels,codebook,Source value-labels,data/michigan-2009/value-labels.csv,cdd-michigan-2009-survey-value-labels,data/Michigan/data/mifin.dta,355d2acaa276d4e050435819cd1870270f3a2cccddab59f6368ca593c0bf550c,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
michigan-2009,cdd-michigan-2009-questionnaire-pre,questionnaire,Original questionnaire-pre.doc,data/michigan-2009/questionnaire-pre.doc,cdd-michigan-2009-questionnaire-pre,data/Michigan/questionnaires/Michigan_Qaire_IAQ_final_T1.doc,85185d7179ce2e61d4ba5969cb900ed48c44762629b441ff2ede41c62f0a92fc,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
michigan-2009,cdd-michigan-2009-questionnaire-post,questionnaire,Original questionnaire-post.doc,data/michigan-2009/questionnaire-post.doc,cdd-michigan-2009-questionnaire-post,data/Michigan/questionnaires/Michigan FINAL_SAQ_finalnov12.doc,e60eadf90954b03ce3f364b03aa89b7b2aa083402cb1b8d3851af66a474c657b,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
michigan-2009,material-bb554247c8bade38-michigan-2009,event-report,"By the People: Hard Times, Hard Choices",data/michigan-2009/reports/michigan-final-report.pdf,material-bb554247c8bade38,,bb554247c8bade388f32f876bdba16abce17ed251819a9497185b229d6ed2098,review-required,approved-public,published,Final report on Michigan residents deliberating; use published sample and item results after resolving missing-code treatments. Source URL: https://drive.google.com/file/d/191XvRfnhxQujIrl8L8x9Z7VgadWOv-CT/view. Retrieved 2026-09-23. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
michigan-2009,material-d84a83e52feff108-michigan-2009,briefing-material,Hard Times Hard Choices briefing materials,data/michigan-2009/briefing-materials/michigan-participant-guide.pdf,material-d84a83e52feff108,https://drive.google.com/file/d/1en2hu6wpXJYPvBVKdAJmgAERg2Zo_HV6/view,d84a83e52feff108b6f67118e8f429daa680ca8d9fdcca88c0e4744b29193aa8,review-required,approved-public,published,Downloaded public source linked by Stanford event page.
michigan-2009,material-64d5b04279cd5521-michigan-2009,questionnaire,Original questionnaire-post.doc (PDF preview),data/michigan-2009/questionnaire-post.pdf,material-64d5b04279cd5521,,64d5b04279cd5521a712c56fab9420225c61c2e2d7007b325df1bb79b49599c3,review-required,approved-public,published,Generated from data/michigan-2009/questionnaire-post.doc. Original retained unchanged. See metadata/document_previews.csv for converter and verification details.
michigan-2009,material-5d6c49d48feeb864-michigan-2009,questionnaire,Original questionnaire-pre.doc (PDF preview),data/michigan-2009/questionnaire-pre.pdf,material-5d6c49d48feeb864,,5d6c49d48feeb86403684ca1ef18c532a48c9df8e88712681533397ff41ad382,review-required,approved-public,published,Generated from data/michigan-2009/questionnaire-pre.doc. Original retained unchanged. See metadata/document_previews.csv for converter and verification details.
