source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
rownames,double,numeric,float64,,%8.0g,,,TRUE,Retained
postit,double,numeric,float64,,%8.0g,,,TRUE,Retained
idnum,double,numeric,float64,,%12.0g,,,TRUE,Retained
q1,double,numeric,float64,,%8.0g,,,TRUE,Retained
q2,double,numeric,float64,,%8.0g,,,TRUE,Retained
q3,double,numeric,float64,,%8.0g,,,TRUE,Retained
q4,double,numeric,float64,,%8.0g,,,TRUE,Retained
q5,double,numeric,float64,,%8.0g,,,TRUE,Retained
q6,double,numeric,float64,,%8.0g,,,TRUE,Retained
q7,double,numeric,float64,,%8.0g,,,TRUE,Retained
q8,double,numeric,float64,,%8.0g,,,TRUE,Retained
q9,double,numeric,float64,,%8.0g,,,TRUE,Retained
q10,double,numeric,float64,,%8.0g,,,TRUE,Retained
q11a,double,numeric,float64,,%8.0g,,,TRUE,Retained
q11b,double,numeric,float64,,%8.0g,,,TRUE,Retained
q11c,double,numeric,float64,,%8.0g,,,TRUE,Retained
q11d,double,numeric,float64,,%8.0g,,,TRUE,Retained
q12a,double,numeric,float64,,%8.0g,,,TRUE,Retained
q12b,double,numeric,float64,,%8.0g,,,TRUE,Retained
q12c,double,numeric,float64,,%8.0g,,,TRUE,Retained
q12d,double,numeric,float64,,%8.0g,,,TRUE,Retained
q12e,double,numeric,float64,,%8.0g,,,TRUE,Retained
q13a,double,numeric,float64,,%8.0g,,,TRUE,Retained
q13b,double,numeric,float64,,%8.0g,,,TRUE,Retained
q13c,double,numeric,float64,,%8.0g,,,TRUE,Retained
q13d,double,numeric,float64,,%8.0g,,,TRUE,Retained
q13e,double,numeric,float64,,%8.0g,,,TRUE,Retained
q13f,double,numeric,float64,,%8.0g,,,TRUE,Retained
q14,double,numeric,float64,,%8.0g,,,TRUE,Retained
q15,double,numeric,float64,,%8.0g,,,TRUE,Retained
q16,double,numeric,float64,,%8.0g,,,TRUE,Retained
q17,double,numeric,float64,,%8.0g,,,TRUE,Retained
q18,double,numeric,float64,,%8.0g,,,TRUE,Retained
q19,double,numeric,float64,,%8.0g,,,TRUE,Retained
q20,double,numeric,float64,,%8.0g,,,TRUE,Retained
q21,double,numeric,float64,,%8.0g,,,TRUE,Retained
q22,double,numeric,float64,,%8.0g,,,TRUE,Retained
q23,double,numeric,float64,,%8.0g,,,TRUE,Retained
q24,double,numeric,float64,,%8.0g,,,TRUE,Retained
q25,double,numeric,float64,,%8.0g,,,TRUE,Retained
q26,double,numeric,float64,,%8.0g,,,TRUE,Retained
q26oth,character,character,,,%1s,,,FALSE,Excluded; see source_field_exclusions
q27by,double,numeric,float64,,%8.0g,,,TRUE,Retained
q27aa,double,numeric,float64,,%8.0g,,,TRUE,Retained
q27grp,double,numeric,float64,,%8.0g,,,TRUE,Retained
q28,double,numeric,float64,,%8.0g,,,TRUE,Retained
q29,double,numeric,float64,,%8.0g,,,TRUE,Retained
q30,double,numeric,float64,,%8.0g,,,TRUE,Retained
q31,double,numeric,float64,,%8.0g,,,TRUE,Retained
q32,double,numeric,float64,,%8.0g,,,TRUE,Retained
q32oth,character,character,,,%32s,,,FALSE,Excluded; see source_field_exclusions
q33,double,numeric,float64,,%8.0g,,,TRUE,Retained
q34,double,numeric,float64,,%8.0g,,,TRUE,Retained
q35,double,numeric,float64,,%8.0g,,,TRUE,Retained
q36,double,numeric,float64,,%8.0g,,,TRUE,Retained
q37,double,numeric,float64,,%8.0g,,,TRUE,Retained
q38,double,numeric,float64,,%8.0g,,,TRUE,Retained
q39,double,numeric,float64,,%8.0g,,,TRUE,Retained
q40,double,numeric,float64,,%8.0g,,,TRUE,Retained
q40oth,character,character,,,%23s,,,FALSE,Excluded; see source_field_exclusions
q41,double,numeric,float64,,%8.0g,,,TRUE,Retained
q42,double,numeric,float64,,%8.0g,,,TRUE,Retained
q42oth,character,character,,,%11s,,,FALSE,Excluded; see source_field_exclusions
q43,double,numeric,float64,,%8.0g,,,TRUE,Retained
q44,double,numeric,float64,,%8.0g,,,TRUE,Retained
city,character,character,,,%19s,,,FALSE,Excluded; see source_field_exclusions
st,character,character,,,%2s,,,FALSE,Excluded; see source_field_exclusions
zipcode,character,character,,,%5s,,,FALSE,Excluded; see source_field_exclusions
weight,double,numeric,float64,,%9.0g,,,TRUE,Retained
fname,character,character,,,%12s,,,FALSE,Excluded; see source_field_exclusions
lname,character,character,,,%18s,,,FALSE,Excluded; see source_field_exclusions
variabl0,character,character,,,%32s,,,FALSE,Excluded; see source_field_exclusions
phone1,character,character,,,%12s,,,FALSE,Excluded; see source_field_exclusions
phone2,character,character,,,%12s,,,FALSE,Excluded; see source_field_exclusions
email,character,character,,,%32s,,,FALSE,Excluded; see source_field_exclusions
coder_initials_x,character,character,,,%3s,,,FALSE,Excluded; see source_field_exclusions
group_number,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3filter_early,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3filter_bad,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q1,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q2,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q3,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q4,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q5,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q6,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q7,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q8,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q9,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q10,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q11,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q12,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q13,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q14,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q15a,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q15b,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q15c,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q15d,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q15e,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q16,character,character,,,%1s,,,FALSE,Excluded; see source_field_exclusions
t3q17,character,character,,,%1s,,,FALSE,Excluded; see source_field_exclusions
t3q18,character,character,,,%1s,,,FALSE,Excluded; see source_field_exclusions
t3q19,character,character,,,%1s,,,FALSE,Excluded; see source_field_exclusions
t3q20a,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q20b,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q20c,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q20d,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q20e,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q20f,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q21,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q22,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q23a,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q23b,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q23c,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q23d,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q23e,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q23f,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q23g,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q23h,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q24a,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q24b,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q24c,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q24d,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q24e,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q24f,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q24g,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q24h,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q24i,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q25a,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q25b,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q25c,double,numeric,float64,,%8.0g,,,TRUE,Retained
t3q25d,double,numeric,float64,,%8.0g,,,TRUE,Retained
