assigned,historical_caseid
3235,910084
3165,910081
3040,910085
3317,910091
3083,910057
3127,910126
3338,910118
3047,910020
3167,910112
3078,910090
3096,910050
3147,910079
3250,910069
3261,910025
3059,910096
3089,910054
3283,910018
3271,910086
3215,910092
3149,910040
3229,910007
3221,910038
3121,910008
3351,910099
3270,910066
3256,910043
3219,910015
3043,910041
3242,910060
3160,910046
3111,910104
3079,910100
3130,910078
3153,910045
3094,910056
3032,910117
3162,910115
3208,910021
3084,910111
3255,910012
3022,910013
3357,910113
3349,910082
3247,910026
3124,910042
3011,910001
3009,910094
3279,910103
3225,910093
3346,910125
3230,910033
3227,910002
3027,910068
3133,910034
3172,910011
3269,910032
3112,910053
3054,910095
3214,910106
3128,910077
3025,910072
3142,910031
3077,910044
3140,910130
3191,910109
3113,910048
3057,910107
3056,910105
3265,910071
3116,910004
3029,910005
3169,910110
3189,910124
3299,910017
3063,910035
3004,910036
3331,910019
3228,910123
3234,910063
3137,910114
3237,910059
3146,910132
3295,910027
3354,910116
3015,910127
3178,910089
3006,910049
3033,910083
3253,910006
3232,910087
3108,910131
3106,910055
3350,910121
3150,910062
3206,910076
3334,910009
3002,910073
3320,910047
3120,910010
3323,910052
3330,910065
3278,910014
3226,910030
3263,910097
3188,910064
3031,910022
3175,910024
3268,910037
3157,910119
3248,910039
3074,910023
3010,910122
3174,910088
3164,910080
3143,910108
3240,910029
3217,910061
3003,910102
3199,910051
3285,910070
3266,910129
3049,910120
3068,910028
3184,910128
3241,910075
3356,910101
3046,910016
3148,910003
3044,910098
3345,910058
3134,910067
3045,910074
