source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
source_row,integer,integer,float64,,,,,TRUE,Retained
assigned,double,numeric,float64,,,,,TRUE,Retained
group,double,numeric,float64,,,,,TRUE,Retained
pre_q1a,double,numeric,float64,,,,,TRUE,Retained
pre_q1b,double,numeric,float64,,,,,TRUE,Retained
pre_q1c,double,numeric,float64,,,,,TRUE,Retained
pre_q1d,double,numeric,float64,,,,,TRUE,Retained
pre_q1e,double,numeric,float64,,,,,TRUE,Retained
pre_q1f,double,numeric,float64,,,,,TRUE,Retained
pre_q1g,double,numeric,float64,,,,,TRUE,Retained
pre_q1h,double,numeric,float64,,,,,TRUE,Retained
pre_q2,double,numeric,float64,,,,,TRUE,Retained
pre_q3,double,numeric,float64,,,,,TRUE,Retained
pre_q4,double,numeric,float64,,,,,TRUE,Retained
pre_q5,double,numeric,float64,,,,,TRUE,Retained
pre_q6,double,numeric,float64,,,,,TRUE,Retained
pre_q7,double,numeric,float64,,,,,TRUE,Retained
pre_q8,double,numeric,float64,,,,,TRUE,Retained
pre_q9,double,numeric,float64,,,,,TRUE,Retained
pre_q10,double,numeric,float64,,,,,TRUE,Retained
pre_q11,double,numeric,float64,,,,,TRUE,Retained
pre_q12,double,numeric,float64,,,,,TRUE,Retained
pre_q13,double,numeric,float64,,,,,TRUE,Retained
pre_q14,double,numeric,float64,,,,,TRUE,Retained
pre_q15,double,numeric,float64,,,,,TRUE,Retained
pre_q16,double,numeric,float64,,,,,TRUE,Retained
pre_q16a,double,numeric,float64,,,,,TRUE,Retained
pre_q17,double,numeric,float64,,,,,TRUE,Retained
pre_q17a,double,numeric,float64,,,,,TRUE,Retained
pre_q18,double,numeric,float64,,,,,TRUE,Retained
pre_q18a,double,numeric,float64,,,,,TRUE,Retained
pre_q19,double,numeric,float64,,,,,TRUE,Retained
pre_q19a,double,numeric,float64,,,,,TRUE,Retained
pre_q20,double,numeric,float64,,,,,TRUE,Retained
pre_q21,double,numeric,float64,,,,,TRUE,Retained
pre_q22,double,numeric,float64,,,,,TRUE,Retained
pre_q23,double,numeric,float64,,,,,TRUE,Retained
pre_q24,double,numeric,float64,,,,,TRUE,Retained
pre_q25,double,numeric,float64,,,,,TRUE,Retained
pre_q25a,double,numeric,float64,,,,,TRUE,Retained
pre_q26,double,numeric,float64,,,,,TRUE,Retained
pre_q27,double,numeric,float64,,,,,TRUE,Retained
pre_q28,double,numeric,float64,,,,,TRUE,Retained
pre_q31a,double,numeric,float64,,,,,TRUE,Retained
pre_q29,double,numeric,float64,,,,,TRUE,Retained
pre_q30,double,numeric,float64,,,,,TRUE,Retained
pre_q31,double,numeric,float64,,,,,TRUE,Retained
pre_q32,double,numeric,float64,,,,,TRUE,Retained
pre_q33,double,numeric,float64,,,,,TRUE,Retained
pre_q34,double,numeric,float64,,,,,TRUE,Retained
pre_q35,double,numeric,float64,,,,,TRUE,Retained
pre_q36,double,numeric,float64,,,,,TRUE,Retained
pre_q37,double,numeric,float64,,,,,TRUE,Retained
pre_q38,double,numeric,float64,,,,,TRUE,Retained
pre_q39,double,numeric,float64,,,,,TRUE,Retained
pre_q40,double,numeric,float64,,,,,TRUE,Retained
pre_q41,double,numeric,float64,,,,,TRUE,Retained
pre_q42,double,numeric,float64,,,,,TRUE,Retained
pre_q43,double,numeric,float64,,,,,TRUE,Retained
pre_q47,double,numeric,float64,,,,,TRUE,Retained
pre_q48,double,numeric,float64,,,,,TRUE,Retained
pre_q49,double,numeric,float64,,,,,TRUE,Retained
pre_q50,double,numeric,float64,,,,,TRUE,Retained
pre_q51,double,numeric,float64,,,,,TRUE,Retained
pre_q52,double,numeric,float64,,,,,TRUE,Retained
pre_q53,double,numeric,float64,,,,,TRUE,Retained
pre_q54,double,numeric,float64,,,,,TRUE,Retained
pre_q55,double,numeric,float64,,,,,TRUE,Retained
pre_q56,double,numeric,float64,,,,,TRUE,Retained
pre_q57,double,numeric,float64,,,,,TRUE,Retained
pre_q58,double,numeric,float64,,,,,TRUE,Retained
pre_q59,double,numeric,float64,,,,,TRUE,Retained
pre_q60,double,numeric,float64,,,,,TRUE,Retained
pre_q61,double,numeric,float64,,,,,TRUE,Retained
pre_q62,double,numeric,float64,,,,,TRUE,Retained
pre_q63,double,numeric,float64,,,,,TRUE,Retained
pre_q64,double,numeric,float64,,,,,TRUE,Retained
pre_q65,double,numeric,float64,,,,,TRUE,Retained
pre_q66,double,numeric,float64,,,,,TRUE,Retained
pre_q67,double,numeric,float64,,,,,TRUE,Retained
pre_q68,double,numeric,float64,,,,,TRUE,Retained
pre_q69,double,numeric,float64,,,,,TRUE,Retained
pre_q70,double,numeric,float64,,,,,TRUE,Retained
pre_q71,double,numeric,float64,,,,,TRUE,Retained
pre_q72,double,numeric,float64,,,,,TRUE,Retained
mid_q1a,double,numeric,float64,,,,,TRUE,Retained
mid_q1b,double,numeric,float64,,,,,TRUE,Retained
mid_q1c,double,numeric,float64,,,,,TRUE,Retained
mid_q1d,double,numeric,float64,,,,,TRUE,Retained
mid_q1e,double,numeric,float64,,,,,TRUE,Retained
mid_q1f,double,numeric,float64,,,,,TRUE,Retained
mid_q1g,double,numeric,float64,,,,,TRUE,Retained
mid_q1h,double,numeric,float64,,,,,TRUE,Retained
mid_q2,double,numeric,float64,,,,,TRUE,Retained
mid_q3,double,numeric,float64,,,,,TRUE,Retained
mid_q4,double,numeric,float64,,,,,TRUE,Retained
mid_q5,double,numeric,float64,,,,,TRUE,Retained
mid_q6,double,numeric,float64,,,,,TRUE,Retained
mid_q7,double,numeric,float64,,,,,TRUE,Retained
mid_q8,double,numeric,float64,,,,,TRUE,Retained
mid_q9,double,numeric,float64,,,,,TRUE,Retained
mid_q10,double,numeric,float64,,,,,TRUE,Retained
mid_q11,double,numeric,float64,,,,,TRUE,Retained
mid_q12,double,numeric,float64,,,,,TRUE,Retained
mid_q13,double,numeric,float64,,,,,TRUE,Retained
mid_q14,double,numeric,float64,,,,,TRUE,Retained
mid_q15,double,numeric,float64,,,,,TRUE,Retained
mid_q16,double,numeric,float64,,,,,TRUE,Retained
mid_q16a,double,numeric,float64,,,,,TRUE,Retained
