source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
CASEID,double,numeric,float64,RESPONDENTS CASE ID,F9.2,,,TRUE,Retained
IWERID1,double,numeric,float64,INTERVIEWER ID NUMBER,F9.2,,,TRUE,Retained
DATEDUN1,double,numeric,float64,DATE QUEX COMPLETED,F9.2,,,TRUE,Retained
AGE18UP1,double,numeric,float64,HOW MANY PEOPLE IN HU ARE 18+,F9.2,,,TRUE,Retained
BIRTHDY1,double,numeric,float64,DATE OF BIRTH,F9.2,,,TRUE,Retained
BYEAR,double,numeric,float64,YEAR R WAS BORN,F9.2,,,TRUE,Retained
BDAYRTE1,double,numeric,float64,IS BDAY BEFORE 11-1-77 (Q1 IAQ),F9.2,,,TRUE,Retained
SEX1,double,numeric,float64,RS GENDER (Q2 IAQ),F9.2,,,TRUE,Retained
WATCHTV1,double,numeric,float64,FREQUENCY R WATCHES NEWS T1 (Q3 IAQ),F9.2,,,TRUE,Retained
WTCHPUB1,double,numeric,float64,FREQUENCY R WATCHES PUB AFFAIRS T1 (Q4 I,F9.2,,,TRUE,Retained
READNWS1,double,numeric,float64,FREQUENCY R READS NEWS T1 (Q5 IAQ),F9.2,,,TRUE,Retained
NEWSRC1,double,numeric,float64,SOURCE R GETS NEWS FROM T1 (Q6 IAQ),F9.2,,,TRUE,Retained
POLINTR1,double,numeric,float64,RS INTEREST IN POLITICS T1 (Q7 IAQ),F9.2,,,TRUE,Retained
TALKPOL1,double,numeric,float64,FREQUENCY R DISCUSSES POLITICS T1 (Q8 IA,F9.2,,,TRUE,Retained
WORKPOL1,double,numeric,float64,WORKS ON POLITICAL CAMPAIGNS T1 (Q9 IAQ),F9.2,,,TRUE,Retained
SEEPOL1,double,numeric,float64,SEEN/TALKED WITH POLITICIAN T1 (Q10 IAQ),F9.2,,,TRUE,Retained
CAHSPOL1,double,numeric,float64,CONTRIBUTED MONEY TO PARTY T1 (Q11 IAQ),F9.2,,,TRUE,Retained
PARTY1,double,numeric,float64,POLITICAL PARTY AFFILIATION T1 (Q12 IAQ),F9.2,,,TRUE,Retained
PARTYST1,double,numeric,float64,HOW STRONG A PARTY MEMBER T1 (Q12A IAQ),F9.2,,,TRUE,Retained
CLOSER1,double,numeric,float64,CLOSER TO DEMOCRAT OR REPUBLICAN T1 (Q12,F9.2,,,TRUE,Retained
VOTED1,double,numeric,float64,DID R VOTE FOR PRESIDENT IN 1992 T1 (Q13,F9.2,,,TRUE,Retained
VOTEWHO1,double,numeric,float64,WHO R VOTED FOR T1 (Q13A IAQ),F9.2,,,TRUE,Retained
RELHUM1,double,numeric,float64,R IS RELIGIOUS OR HUMANIST T1 (Q14 IAQ),F9.2,,,TRUE,Retained
INTERST1,double,numeric,float64,INTEREST OF AMERICA 1ST OR OTHERS T1 (Q1,F9.2,,,TRUE,Retained
RESAUTH1,double,numeric,float64,RESPECT AUTHORITY OR DO BEST T1 (Q16 IAQ,F9.2,,,TRUE,Retained
PROPRIT1,double,numeric,float64,PROPERTY RIGHTS T1 (Q17 IAQ),F9.2,,,TRUE,Retained
RICHES1,double,numeric,float64,RUGGED INDIVIDUAL VS COLLECTIVISM (T1 (Q,F9.2,,,TRUE,Retained
SACRIFI1,double,numeric,float64,SACRIFICE NOW OR LIVE IN NOW (T1 (Q19 IA,F9.2,,,TRUE,Retained
FOREIGN1,double,numeric,float64,TYPE OF FOREIGN AFFAIRS POLICY T1 (Q20 I,F9.2,,,TRUE,Retained
WORKMOM1,double,numeric,float64,WORKING MOTHER AND CHILDREN T1 (Q21 IAQ),F9.2,,,TRUE,Retained
TRADFAM1,double,numeric,float64,HUSBAND WORKS WIFE STAYS AT HOME T1 (Q22,F9.2,,,TRUE,Retained
MARITAL1,double,numeric,float64,MARITAL STATUS T1 (Q23 IAQ),F9.2,,,TRUE,Retained
FATHERS1,double,numeric,float64,NUMBER OF FATHERS IN HOME T1 (Q24 IAQ),F9.2,,,TRUE,Retained
MALGRD1,double,numeric,float64,NUMBER OF MALE GUARDIANS IN HOME T1 (Q24,F9.2,,,TRUE,Retained
MOTHERS1,double,numeric,float64,NUMBER OF MOTHERS IN HOME T1 (Q24 IAQ),F9.2,,,TRUE,Retained
FEMGRD1,double,numeric,float64,NUMBER OF FEMALE GUARDIANS IN HOME T1 (Q,F9.2,,,TRUE,Retained
BROTHER1,double,numeric,float64,NUMBER OF BROTHERS IN HOME T1 (Q24 IAQ),F9.2,,,TRUE,Retained
