nicid,source_caseid,historical_caseid
359,112598,920001
106,110055,920002
162,110854,920003
334,110505,920004
157,111141,920005
191,112052,920006
243,112785,920007
275,113187,920008
328,111470,920009
233,112185,920010
270,111459,920011
253,113256,920012
204,110154,920013
194,111719,920014
232,110051,920015
346,110814,920016
110,110507,920017
339,111983,920018
412,111939,920019
163,111349,920020
107,110269,920021
147,110752,920022
205,112480,920023
296,112436,920024
167,111789,920025
317,110839,920026
240,112790,920027
225,112100,920028
360,111363,920029
152,111418,920030
183,111940,920031
318,111652,920032
310,111057,920033
266,112322,920034
148,111222,920035
236,111773,920036
150,111310,920037
330,111220,920038
291,113190,920039
171,112270,920040
373,110434,920041
154,110534,920042
324,111688,920043
135,110813,920044
281,110493,920045
294,111098,920046
202,112280,920047
279,112771,920048
116,110270,920049
396,110801,920050
189,112068,920051
323,111917,920052
262,110120,920053
375,110702,920054
261,111506,920055
192,112276,920056
215,112570,920057
134,110834,920058
177,111899,920059
188,111910,920060
357,110882,920061
250,112811,920062
276,110136,920063
158,111153,920064
181,111871,920065
201,110831,920066
366,112470,920067
125,111149,920068
175,110153,920069
140,111317,920070
273,111878,920071
203,110173,920072
137,110586,920073
222,112312,920074
305,112507,920075
212,112463,920076
235,110652,920077
304,110520,920078
168,111804,920079
113,110638,920080
365,111171,920081
131,110489,920082
230,112339,920083
368,110279,920084
187,112208,920085
214,110462,920086
151,111112,920087
242,110573,920088
208,111362,920089
249,111696,920090
398,112399,920091
138,111303,920092
112,110592,920093
155,111339,920094
128,111221,920095
182,111944,920096
297,111097,920097
264,112609,920098
405,113260,920099
386,113094,920100
245,110199,920101
271,113062,920102
159,111030,920103
367,110031,920104
211,111913,920105
259,112701,920106
180,111839,920107
179,110913,920108
193,111834,920109
170,111923,920110
290,111658,920111
329,111329,920112
234,112921,920113
133,111131,920114
145,111077,920115
251,112769,920116
229,111764,920117
115,110124,920118
371,113087,920119
353,111754,920120
252,112955,920121
372,113086,920122
186,111898,920123
286,112073,920124
293,110336,920125
219,111697,920126
114,110614,920127
267,112061,920128
349,112504,920129
226,111530,920130
102,110134,920131
392,111051,920132
160,111491,920133
272,110828,920134
314,110629,920135
165,111780,920136
176,110613,920137
263,110430,920138
197,111287,920139
269,111749,920140
355,111327,920141
260,112615,920142
256,110394,920143
282,112372,920144
196,112552,920145
238,112405,920146
223,112911,920147
228,112518,920148
348,112970,920149
139,111309,920150
123,110018,920151
248,111217,920152
385,112183,920153
257,113113,920154
312,112182,920155
288,112743,920156
399,110040,920157
111,110076,920158
118,110576,920159
363,112847,920160
433,113859,920161
483,111113,920162
409,113291,920163
333,110938,920164
422,112663,920165
456,113014,920166
370,110517,920167
513,110556,920168
351,110748,920169
468,110509,920170
500,113769,920171
320,110584,920172
444,110229,920173
472,113645,920174
461,111827,920175
418,113044,920176
440,113404,920177
522,112798,920178
414,113346,920179
494,110688,920180
345,110521,920181
505,114011,920182
404,113472,920183
426,113659,920184
311,111272,920185
379,111533,920186
362,113248,920187
449,112620,920188
406,113537,920189
105,110634,920190
429,112781,920191
537,112711,920192
571,114165,920193
591,114224,920194
395,110388,920195
584,113136,920196
508,113819,920197
559,114179,920198
435,110951,920199
488,114020,920200
407,113539,920201
529,112199,920202
447,113677,920203
421,113253,920204
595,112862,920205
486,112083,920206
581,113795,920207
548,114129,920208
380,112948,920209
443,112690,920210
474,113916,920211
459,110580,920212
525,113538,920213
534,112857,920214
393,111534,920215
352,110637,920216
572,114194,920217
567,111186,920218
585,112103,920219
369,110457,920220
313,111967,920221
562,114025,920222
481,110698,920223
532,113892,920224
441,112606,920225
410,113545,920226
570,113814,920227
503,113990,920228
476,113473,920229
424,113628,920230
457,113451,920231
227,111104,920232
326,110090,920233
471,110025,920234
523,114155,920235
541,113377,920236
199,110686,920237
546,111194,920238
401,111791,920239
510,113739,920240
565,113940,920241
445,112362,920242
579,113842,920243
419,113487,920244
543,113354,920245
469,113926,920246
432,112693,920247
119,111312,920248
358,112017,920249
573,113292,920250
109,110305,920251
512,113655,920252
550,113690,920253
425,113581,920254
178,110030,920255
588,113146,920256
458,111788,920257
403,112363,920258
536,113458,920259
592,114016,920260
580,114119,920261
136,110264,920262
130,111361,920263
504,112537,920264
416,113376,920265
254,111264,920266
475,111885,920267
438,113504,920268
566,113648,920269
480,112529,920270
516,113931,920271
451,113703,920272
560,111050,920273
506,113468,920274
526,113223,920275
594,112818,920276
146,111080,920277
464,113336,920278
381,112048,920279
555,113649,920280
462,112953,920281
590,112386,920282
479,113599,920283
533,111156,920284
101,110075,920285
400,110516,920286
430,114218,920287
519,114005,920288
446,113011,920289
542,113778,920290
388,113042,920291
417,113268,920292
552,112168,920293
391,110833,920294
509,110777,920295
563,114178,920296
460,113578,920297
593,113469,920298
473,113750,920299
586,113665,920300
496,113550,920301
343,110342,920302
511,113228,920303
556,111268,920304
342,111994,920305
535,114056,920306
289,112010,920307
364,112803,920308
527,113807,920309
413,112774,920310
589,112193,920311
576,113518,920312
439,113530,920313
482,113984,920314
499,113968,920315
319,111965,920316
477,113315,920317
549,113899,920318
408,110412,920319
520,113562,920320
335,112189,920321
577,113909,920322
448,113810,920323
587,113725,920324
420,112674,920325
437,113330,920326
356,112464,920327
484,113445,920328
442,112829,920329
452,111833,920330
423,113717,920331
376,110015,920332
325,112873,920333
501,113352,920334
574,114190,920335
518,113485,920336
467,114014,920337
495,113661,920338
582,113863,920339
561,113427,920340
