poll_id,artifact_id,artifact_type,title,location,source_id,original_archive_path,sha256,rights_status,disclosure_status,publication_status,notes
northern-ireland-2007,cor-sood-northern-ireland-2007,data,Cor-Sood scored knowledge battery,data/northern-ireland-2007/knowledge-battery.csv,cor-sood-northern-ireland-2007,replication/data.zip:data/ire.csv,2cd6a57ebb658aba67f10c98a316e9a6bcdd28f6acafa70af1d9850797d29cee,public-license,approved-public,published,Scored binary items; row number is not a respondent identifier
northern-ireland-2007,cdd-northern-ireland-survey,data,northern-ireland-2007 survey.parquet,data/northern-ireland-2007/survey.parquet,cdd-northern-ireland-survey,data/Ireland/orig_data/nireland.dta,b7ded85f23f5115aef6c45041081d9f1126fb8017b5bcd70d649d9215c9860c1,owner-approved,approved-redacted,published,868 original rows; 80 verbatim fields excluded; numeric values and interview date retained; source_row added
northern-ireland-2007,cdd-northern-ireland-variables,codebook,northern-ireland-2007 variables.csv,data/northern-ireland-2007/variables.csv,cdd-northern-ireland-variables,data/Ireland/orig_data/nireland.dta,2fefb0b85dde5d2f3abddb1ff20310451782b9deae360234675653df97f76811,owner-approved,approved-public,published,Generated from original variable attributes; contains no response text
northern-ireland-2007,cdd-northern-ireland-value-labels,codebook,northern-ireland-2007 value-labels.csv,data/northern-ireland-2007/value-labels.csv,cdd-northern-ireland-value-labels,data/Ireland/orig_data/nireland.dta,5bf170055ce60f92dc6dd8dfd2d2ce097cfa2a77c42aaa9a1655906db3164804,owner-approved,approved-public,published,Generated from original variable attributes; contains no response text
northern-ireland-2007,cdd-northern-ireland-groups,data,northern-ireland-2007 groups.csv,data/northern-ireland-2007/groups.csv,cdd-northern-ireland-groups,data/Ireland/groups.csv,cf7f63cb0c41bdf03f510e9a006b931d818e702bbd0ecd29ad029942b7ead6a1,owner-approved,approved-public,published,Exact headerless archive bytes; 124 unique respondent-to-group mappings
northern-ireland-2007,material-e1ec2452199db976-northern-ireland-2007,paper,fishkin-deep-divides,data/northern-ireland-2007/papers/fishkin-deep-divides.pdf,material-e1ec2452199db976,meta_data/cdd_papers/fishkin-deep-divides.pdf,e1ec2452199db97618205f38f23a61458b6c0e701993391f511e1e7a6472e227,review-required,approved-public,published,Historical metadata archive; content classified for reference. Instrument-to-variable and version-specific comparisons remain required. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
northern-ireland-2007,material-10838bd9c27c047e-northern-ireland-2007,paper,Deliberating across Deep Divides,data/northern-ireland-2007/papers/northern-ireland-paper.pdf,material-10838bd9c27c047e,,10838bd9c27c047e349cd2a8447c7146ec0822351ccad39d543b937a315a8f11,review-required,approved-public,published,"Political Studies paper; compare Omagh parent sample, knowledge, policy and intergroup attitudes. DOI 10.1111/j.1467-9248.2012.01005.x. Source URL: https://drive.google.com/uc?export=download&id=1HXqkj1mpXUeFPDyKp67NfAYS3GkNwABD. Retrieved 2026-09-23. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply."
northern-ireland-2007,material-2001cfa6b043a14c-northern-ireland-2007,event-report,Education: what provision do informed parents in Northern Ireland want?,data/northern-ireland-2007/reports/northern-ireland-final-report.pdf,material-2001cfa6b043a14c,,2001cfa6b043a14ca42d4d951232544d3e5c2d6d78e08261f4bacfc457b81b40,review-required,approved-public,published,Full Omagh education report; consult instrument and reported group/knowledge outcomes. Source URL: https://drive.google.com/file/d/1zrhUz04CymS7Ud9nT9reZb_mVgRlHgt3/view. Retrieved 2026-09-23. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
northern-ireland-2007,northern-ireland-argument-codes,data,Unadjudicated argument coder labels,data/northern-ireland-2007/argument-codes.parquet,northern-ireland-argument-codes,soodoku/dp-nireland@929e45d32213e0dd4516e510731ddb9e2c309006:data/open_ended/fin.csv,6f611737c3089f63cecda665d66874a64542790d4dcbbb9fd398a99c90d06b99,owner-approved,approved-redacted,published,274 respondents; 65760 coder-slot records; respondent_id wave topic side slot coder raw_code. Extracted with R/argument_codes.R from source SHA256 314a9a9abb40c6094dab2e7c9af761041557b791240f0932b3848699e861f39c. Only ID and 240 coder fields retained; verbatim responses excluded. Missing labels preserved; no adjudication or scoring applied. Codes ch and la denote independent coders; monty denotes adjudicator. Source rights retained.
northern-ireland-2007,material-1f8563f84e1fa058-northern-ireland-2007,briefing-material,A Deliberative Poll on Education: briefing document,data/northern-ireland-2007/briefing/education-briefing.pdf,material-1f8563f84e1fa058,https://drive.google.com/uc?export=download&id=16LJyFSWLYZgDll0h6Sd-CmQXe-3o6sID,1f8563f84e1fa058c231c32a9bb6dc6fcece2eef38708fd7d35f0c3ecce78cc6,review-required,approved-public,published,Public source downloaded 2026-09-24; SHA-256 1f8563f84e1fa058c231c32a9bb6dc6fcece2eef38708fd7d35f0c3ecce78cc6
