study_newname,study_oldname,attindexname,prepollvar,postpollvar
Australian Constitutional Referendum,Australia,Democracy,,
Australian Constitutional Referendum,Australia,National Autonomy,,
Australian Constitutional Referendum,Australia,Politicization,,
Australian Constitutional Referendum,Australia,Tradition,,
Australian Constitutional Referendum,Australia,Workability,,
British General Election 1997,British General Election 1997,E.U.,,
British General Election 1997,British General Election 1997,Minimum Wage,,
British General Election 1997,British General Election 1997,Redistribution,,
British General Election 1997,British General Election 1997,Tax,,
UK Europe,Europe,East European Expansion,,
UK Europe,Europe,Favor a Referendum,,
UK Europe,Europe,Scope of EU,,
National Health Service,National Health Service,Cutting Expensive Treatments,,
National Health Service,National Health Service,Discretion,,
National Health Service,National Health Service,Doctors Discretion,,
National Health Service,National Health Service,Healthcare Funding Options,,
National Health Service,National Health Service,Healthcare Payer,,
National Health Service,National Health Service,Healthcare Options,,
National Health Service,National Health Service,Patients have more say,,
National Health Service,National Health Service,Priority to Poor,,
National Health Service,National Health Service,Privatizing Some Treatments,,
National Health Service,National Health Service,Priority to Prevention,,
National Health Service,National Health Service,Quality of Life,,
National Health Service,National Health Service,Waiting List,,
Monarchy,Monarchy,Monarchy and Populism,,
Monarchy,Monarchy,Power of Monarchy,,
Monarchy,Monarchy,Reform HOL,,
Monarchy,Monarchy,Support for Monarchy,,
New Haven,New Haven,Expanding vs. Ending Airport Service,t1dfexenddk_new,t2dfexenddk_new
New Haven,New Haven,Mandatory vs. Voluntary Revenue Sharing,t1man_df_avg_volinc_dkatmdpt_new,t2man_df_avg_volinc_dkatmdpt_new
,Foreign Policy,Fighting Poverty and Suffering,t1avg_volinc_df_lc_dkatmdpt_new,t3avg_volinc_df_lc_dkatmdpt_new
,Foreign Policy,Fighting Terrorism,,
,Foreign Policy,Human Rights,,
,Foreign Policy,Increasing Foreign Aid,,
,Foreign Policy,Internationalism,,
,Foreign Policy,Liberalizing Trade,,
,Foreign Policy,Multilateralism,,
,Foreign Policy,Protecting the Environment,,
,Foreign Policy,Promoting Democracy,,
,Presidential Nomination 2004,Multilateralism,,
,Presidential Nomination 2004,Defense vs. Domestic Issues,,
,Presidential Nomination 2004,Free Trade,,
,Presidential Nomination 2004,Services vs. Taxes,,
,Foreign Policy Online,Democracy,,
,Foreign Policy Online,Fighting Poverty and Suffering,,
,Foreign Policy Online,Fighting Terrorism,,
,Foreign Policy Online,Human Rights,,
,Foreign Policy Online,Increasing Foreign Aid,,
,Foreign Policy Online,Internationalism,,
,Foreign Policy Online,Liberalizing Trade,,
,Foreign Policy Online,Multilateralism,,
,Foreign Policy Online,Protecting the Environment,,
,General Election 2004,Constitutional Rights,,
,General Election 2004,Free Trade,,
,General Election 2004,Gay Marriage,,
,General Election 2004,Health Insurance,,
,General Election 2004,Multilateralism,,
,General Election 2004,Services,,
