group	age[cate]	education	gender(male)	gender(female)	area(midland)	area(UPZ)	area(west)	area(east)	group_statements	statements	group_DQI_Opinions	group_DQI_Reasons	group_DQI_PersonalExperiences	T2_S1	T2_S2	T2_S3	T2_S4	T2_S5	T2_S6	T2_S7	T2_S8	T2_S9	T2_S10	T2_S11	T3_S1	T3_S2	T3_S3	T3_S4	T3_S5	T3_S6	T3_S7	T3_S8	T3_S9	T3_S10	T3_S11	T2_SS_I	T2_SS_II	T2_SS_III	T3_SS_I	T3_SS_II	T3_SS_III	change_SS_I	change_SS_II	change_SS_III
G1	80	1	0	1	0	0	1	0	689	25	0.71988389	0.213352685	0.021770682	1	5	1	1	5	1	1	1	1	5	1	5	5	1	1	3	1	1	1	1	5	1	-1.33333	-2.00000	0.00000	-1.33333	-0.66667	-1.00000	0.00000	1.33333	1.00000
G1	60	2	0	1	1	0	0	0	689	33	0.71988389	0.213352685	0.021770682	1	5	1	1	3	1	1	1	1	1	2	1	2	2	1	1	1	2	1	1	1	1	-0.50000	-2.00000	-1.00000	-0.66667	-1.66667	-1.50000	0.16667	0.33333	0.50000
G1	40	4	0	1	0	0	0	1	689	17	0.71988389	0.213352685	0.021770682	3	5	1	5	5	1	4	4	1	1	2	1	5	1	3	4	1	4	5	1	4	1	0.00000	0.00000	1.50000	-0.50000	-1.33333	1.00000	0.50000	1.33333	0.50000
G1	50	2	0	1	0	0	0	1	689	61	0.71988389	0.213352685	0.021770682	1	5	4	4	1	1	1	1	1	5	1	1	5	4	5	4	1	1	5	1	5	1	-1.33333	0.00000	-2.00000	-0.66667	0.33333	-0.50000	0.66667	0.33333	1.50000
G1	60	2	1	0	0	1	0	0	689	186	0.71988389	0.213352685	0.021770682	1	5	5	1	5	1	5	3	1	5	1	1	5	3	1	5	1	5	1	1	5	1	-1.00000	-0.66667	2.00000	-1.33333	-1.33333	2.00000	0.33333	0.66667	0.00000
G1	60	4	1	0	1	0	0	0	689	184	0.71988389	0.213352685	0.021770682	1	5	3	1	3	1	5	1	1	5	1	2	1	1	1	1	1	5	5	1	5	1	-1.33333	-1.33333	1.00000	-0.66667	-1.66667	0.00000	0.66667	0.33333	1.00000
G1	60	2	1	0	0	0	0	1	689	88	0.71988389	0.213352685	0.021770682	1	1	4	1	5	1	5	3	3	5	2	1	3	3	5	5	1	5	4	4	5	1	-0.50000	-1.00000	2.00000	-0.33333	0.00000	2.00000	0.16667	1.00000	0.00000
G1	50	4	1	0	0	0	0	1	689	87	0.71988389	0.213352685	0.021770682	5	5	3	3	5	1	5	5	3	3	3	4	3	3	3	4	1	4	1	1	5	1	0.33333	0.66667	2.00000	-1.33333	0.33333	1.00000	1.66667	0.33333	1.00000
G2	60	2	1	0	1	0	0	0	530	154	0.867924528	0.266037736	0.020754717	4	5	3	2	5	1	3	4	2	1	2	2	4	3	2	5	1	5	2	2	4	2	0.16667	0.00000	1.00000	-0.66667	-0.66667	2.00000	0.83333	0.66667	1.00000
G2	60	4	1	0	0	1	0	0	530	112	0.867924528	0.266037736	0.020754717	5	5	1	3	5	1	1	3	1	3	3	5	5	3	3	5	1	3	3	3	3	3	-0.33333	0.00000	0.00000	0.00000	0.66667	1.00000	0.33333	0.66667	1.00000
