source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
GENDER,double,numeric,,Rs Gender,%8.0g,,,TRUE,Retained
PART,double,numeric,,Participant or Non-Participant?,%8.0g,,,TRUE,Retained
CASEID,double,numeric,,Case Identification Number,%12.0g,,,TRUE,Retained
GROUP,double,numeric,,Rs Group,%8.0g,,,TRUE,Retained
FUTURE2,double,numeric,,"Post: Preserve Coal, Gas, Oil for Future",%8.0g,,,TRUE,Retained
GROW2,double,numeric,,Post: Promote Econ Growth in Community,%8.0g,,,TRUE,Retained
POLL2,double,numeric,,Post: Reduce Pollution,%8.0g,,,TRUE,Retained
NEEDS2,double,numeric,,Post:Ensure Everyone Has Basic Needs Met,%8.0g,,,TRUE,Retained
INVEST2,double,numeric,,Post: Minimize Risk When Investing Money,%8.0g,,,TRUE,Retained
RESCH2,double,numeric,,Post: Research Even If Higher Elec Rates,%8.0g,,,TRUE,Retained
FEDRCH2,double,numeric,,Post: Fed Gov Research New Tech (CPL),%8.0g,,,TRUE,Retained
REDUCE2,double,numeric,,"Post: Reduce Coal, Gas by Efficient Use",%8.0g,,,TRUE,Retained
JOBS2,double,numeric,,Post: Number of Jobs Created,%8.0g,,,TRUE,Retained
TAX2,double,numeric,,Post: Impact on Communitys Tax Base,%8.0g,,,TRUE,Retained
LOWINC2,double,numeric,,Post:Low Inome Customers Treated Fairly,%8.0g,,,TRUE,Retained
GROWTO2,double,numeric,,Post: Tradeoff: Eco Growth & Pollution,%8.0g,,,TRUE,Retained
POLLTO2,double,numeric,,Post: Tradeoff: Reduce Poll & Inc Costs,%8.0g,,,TRUE,Retained
NEEDTO2,double,numeric,,Post: Tradeoff: Basic Needs & Inc Costs,%8.0g,,,TRUE,Retained
INVSTO2,double,numeric,,Post: Tradeoff: Min Risk & Low Return,%8.0g,,,TRUE,Retained
LOWEST2,double,numeric,,Post: Resources With Lowest Cost Elec,%8.0g,,,TRUE,Retained
ENVMT2,double,numeric,,Post:Resources That Maintain Environment,%8.0g,,,TRUE,Retained
JOBSST2,double,numeric,,Post:Reources Create Jobs in S TX (CPL),%8.0g,,,TRUE,Retained
RENEW2,double,numeric,,"Post: Renewable Resources like Wind, Sun",%8.0g,,,TRUE,Retained
IM1CPL2,double,numeric,,Post: Most Imp. Factor in CPL Survey,%8.0g,,,TRUE,Retained
IM2CPL2,double,numeric,,Post: 2nd Most Imp. Factor in CPL Survey,%8.0g,,,TRUE,Retained
IM3CPL2,double,numeric,,Post: 3rd Most Imp. Factor in CPL Survey,%8.0g,,,TRUE,Retained
PREF2,double,numeric,,Post: Does R Prefer an Option?,%8.0g,,,TRUE,Retained
PR12,double,numeric,,Post: Rs First Preference,%8.0g,,,TRUE,Retained
PR22,double,numeric,,Post: Rs Second Preference,%8.0g,,,TRUE,Retained
PR32,double,numeric,,Post: Rs Third Preference,%8.0g,,,TRUE,Retained
COSTS2,double,numeric,,Post: Constrctn Costs vs Operating Costs,%8.0g,,,TRUE,Retained
STLTEQ2,double,numeric,,Post: Short vs Long Term Solutions (CPL),%8.0g,,,TRUE,Retained
WINTER2,double,numeric,,Post: Rs Winter Electricity Costs,%8.0g,,,TRUE,Retained
SUMMER2,double,numeric,,Post: Rs Summer Electricity Costs,%8.0g,,,TRUE,Retained
WIND2,double,numeric,,Post: Wind and Solar Power,%8.0g,,,TRUE,Retained
ADDFAC2,double,numeric,,Post: Reduce Need for Add Electric Facs,%8.0g,,,TRUE,Retained
FUELS2,double,numeric,,"Post: Fuels Like Natl Gas, Coal",%8.0g,,,TRUE,Retained
BUYPWR2,double,numeric,,Post: Build Facilities/Buy Pwr Elsewhere,%8.0g,,,TRUE,Retained
ENVPCT2,double,numeric,,Post: Additional Environmental Protectn,%8.0g,,,TRUE,Retained
PAYWND2,double,numeric,,Post: How Much Pay: Wind and Solar,%8.0g,,,TRUE,Retained
PAYFAC2,double,numeric,,Post: How Much Pay: Reduce Need Add Fac,%8.0g,,,TRUE,Retained
PAYGAS2,double,numeric,,"Post: How Much Pay: Natl Gas, Coal",%8.0g,,,TRUE,Retained
PAYBUY2,double,numeric,,Post: How Much Pay: Buy Power Elsewhere,%8.0g,,,TRUE,Retained
PAYENV2,double,numeric,,Post: How Much Pay: Addl Environ Protect,%8.0g,,,TRUE,Retained
PAYTOT2,double,numeric,,Post: How Much Pay: Total,%8.0g,,,TRUE,Retained
SOURCE2,double,numeric,,Post: The Source of CPLs Electricity,%8.0g,,,TRUE,Retained
USE2,double,numeric,,Post: Group Uses Most Electricity (CPL),%8.0g,,,TRUE,Retained
RT2,double,numeric,,Post: Group Pays Highest Rate (CPL),%8.0g,,,TRUE,Retained
