source_column,source_value,value_label
qa,1,AT
qa,2,BE
qa,3,BG
qa,4,CH
qa,5,CY
qa,6,CZ
qa,7,DK
qa,8,EE
qa,9,EG/WG
qa,10,EL
qa,11,ES
qa,12,FI
qa,13,FR
qa,14,GB
qa,15,HR
qa,16,HU
qa,17,IE
qa,18,IS
qa,19,IT
qa,20,LT
qa,21,LU
qa,22,LV
qa,23,MT
qa,24,NC
qa,25,NI
qa,26,NL
qa,27,NO
qa,28,PL
qa,29,PT
qa,30,RO
qa,31,SE
qa,32,SI
qa,33,SK
qa,34,TR
qa,35,DK
qrs,1,National
qrs,2,National plus other nationalities
qrs,3,NOT a national
qrs,4,DK
qrs,5,Refused
q35,1,Male
q35,2,Female
q35,3,DK
q36,1,18 - 24 years old
q36,2,25 - 39 years old
q36,3,40 - 54 years old
q36,4,55 - 69 years old
q36,5,70 years old and more
q36,6,DK
q37,1,Single (never married)
q37,2,Married
q37,3,Unmarried but living with a partner
q37,4,Separated or divorced
q37,5,Widowed
q37,6,No answer
q38,1,Working full-time
q38,2,Working part-time
q38,3,Not working (seeking work)
q38,4,On a government training scheme
q38,5,Retired
q38,6,In full-time education
q38,7,Looking after the home
q38,8,Permanently sick or disabled
q38,9,Not working (and not seeking work)
q38,10,Caring for an elderly or disabled person full-time
q38,11,Other
q38,12,No answer
q39,1,Did not finish secondary school
q39,2,Finished secondary school
q39,3,Some university
q39,4,University degree
q39,5,Some postgraduate
q39,6,Postgraduate degree
q39,7,No answer
qqa,1,Yes
qqa,2,No
qqa,3,Maybe
qqa,4,DK
qlg,1,Bulgarian
qlg,2,Czech
qlg,3,Danish
qlg,4,Dutch
qlg,5,English
qlg,6,Estonian
qlg,7,Finnish
qlg,8,French
qlg,9,German
qlg,10,Greek
qlg,11,Hungarian
qlg,12,Italian
qlg,13,Latvian
qlg,14,Lithuanian
qlg,15,Polish
qlg,16,Portuguese
qlg,17,Romanian
qlg,18,Slovak
qlg,19,Slovenian
qlg,20,Spanish
qlg,21,Swedish
qlg,22,DK
qp1,1,08/25
qp1,2,08/26
qp1,3,08/27
qp1,4,08/28
qp1,5,08/29
qp1,6,08/30
qp1,7,08/31
qp1,8,09/01
qp1,9,09/02
qp1,10,09/03
qp1,11,09/04
qp1,12,09/05
qp1,13,09/06
qp1,14,09/07
qp1,15,09/08
qp1,16,09/09
qp1,17,09/10
qp1,18,09/11
qp1,19,09/12
q1_1,1,0
q1_1,2,1
q1_1,3,2
q1_1,4,3
q1_1,5,4
q1_1,6,5
q1_1,7,6
q1_1,8,7
q1_1,9,8
q1_1,10,9
q1_1,11,10
q1_1,12,REF
q1_1,13,DK
q2_1,1,0
q2_1,2,1
q2_1,3,2
q2_1,4,3
q2_1,5,4
q2_1,6,5
q2_1,7,6
q2_1,8,7
q2_1,9,8
q2_1,10,9
q2_1,11,10
q2_1,12,REF
q2_1,13,DK
q3a_1,1,Agree strongly
q3a_1,2,Agree somewhat
q3a_1,3,Neither agree nor disagree
q3a_1,4,Disagree somewhat
q3a_1,5,Disagree strongly
q3a_1,6,No opinion
q3a_1,7,REF
q3a_1_ST1,0,No
q3a_1_ST1,1,Yes
q3a_1_ST2,0,No
q3a_1_ST2,1,Yes
q3b_1,1,Agree strongly
q3b_1,2,Agree somewhat
q3b_1,3,Neither agree nor disagree
q3b_1,4,Disagree somewhat
q3b_1,5,Disagree strongly
q3b_1,6,No opinion
q3b_1,7,REF
q3b_1_ST1,0,No
q3b_1_ST1,1,Yes
q3b_1_ST2,0,No
q3b_1_ST2,1,Yes
q4_1,1,0
q4_1,2,1
q4_1,3,2
q4_1,4,3
q4_1,5,4
q4_1,6,5
q4_1,7,6
q4_1,8,7
q4_1,9,8
q4_1,10,9
q4_1,11,10
q4_1,12,REF
q4_1,13,DK
q5a_1,1,Favour it strongly
q5a_1,2,Favour it somewhat
q5a_1,3,Neither favour nor oppose it
q5a_1,4,Oppose it somewhat
q5a_1,5,Oppose it strongly
q5a_1,6,No opinion
q5a_1,7,REF
q5a_1_ST1,0,No
q5a_1_ST1,1,Yes
q5a_1_ST2,0,No
q5a_1_ST2,1,Yes
q5b_1,1,Favour it strongly
q5b_1,2,Favour it somewhat
q5b_1,3,Neither favour nor oppose it
q5b_1,4,Oppose it somewhat
q5b_1,5,Oppose it strongly
q5b_1,6,No opinion
q5b_1,7,REF
q5b_1_ST1,0,No
q5b_1_ST1,1,Yes
q5b_1_ST2,0,No
q5b_1_ST2,1,Yes
q5c_1,1,Favour it strongly
q5c_1,2,Favour it somewhat
q5c_1,3,Neither favour nor oppose it
q5c_1,4,Oppose it somewhat
q5c_1,5,Oppose it strongly
q5c_1,6,No opinion
q5c_1,7,REF
q5c_1_ST1,0,No
q5c_1_ST1,1,Yes
q5c_1_ST2,0,No
q5c_1_ST2,1,Yes
q6a_1,1,Agree strongly
q6a_1,2,Agree somewhat
q6a_1,3,Neither agree nor disagree
q6a_1,4,Disagree somewhat
q6a_1,5,Disagree strongly
q6a_1,6,No opinion
q6a_1,7,REF
q6a_1_ST1,0,No
q6a_1_ST1,1,Yes
q6a_1_ST2,0,No
q6a_1_ST2,1,Yes
q6b_1,1,Agree strongly
q6b_1,2,Agree somewhat
q6b_1,3,Neither agree nor disagree
q6b_1,4,Disagree somewhat
q6b_1,5,Disagree strongly
q6b_1,6,No opinion
q6b_1,7,REF
q6b_1_ST1,0,No
q6b_1_ST1,1,Yes
q6b_1_ST2,0,No
q6b_1_ST2,1,Yes
q7a_1,1,Favour it strongly
q7a_1,2,Favour it somewhat
q7a_1,3,Neither favour nor oppose it
q7a_1,4,Oppose it somewhat
q7a_1,5,Oppose it strongly
q7a_1,6,No opinion
q7a_1,7,REF
q7a_1_ST1,0,No
q7a_1_ST1,1,Yes
q7a_1_ST2,0,No
q7a_1_ST2,1,Yes
q7b_1,1,Favour it strongly
q7b_1,2,Favour it somewhat
q7b_1,3,Neither favour nor oppose it
q7b_1,4,Oppose it somewhat
q7b_1,5,Oppose it strongly
q7b_1,6,No opinion
q7b_1,7,REF
q7b_1_ST1,0,No
q7b_1_ST1,1,Yes
q7b_1_ST2,0,No
q7b_1_ST2,1,Yes
q7c_1,1,Favour it strongly
q7c_1,2,Favour it somewhat
q7c_1,3,Neither favour nor oppose it
q7c_1,4,Oppose it somewhat
q7c_1,5,Oppose it strongly
q7c_1,6,No opinion
q7c_1,7,REF
q7c_1_ST1,0,No
q7c_1_ST1,1,Yes
q7c_1_ST2,0,No
q7c_1_ST2,1,Yes
q8_1,1,0
q8_1,2,1
q8_1,3,2
q8_1,4,3
q8_1,5,4
q8_1,6,5
q8_1,7,6
q8_1,8,7
q8_1,9,8
q8_1,10,9
q8_1,11,10
q8_1,12,REF
q8_1,13,DK
q9a_1,1,Agree strongly
q9a_1,2,Agree somewhat
q9a_1,3,Neither agree nor disagree
q9a_1,4,Disagree somewhat
q9a_1,5,Disagree strongly
q9a_1,6,No opinion
q9a_1,7,REF
q9a_1_ST1,0,No
q9a_1_ST1,1,Yes
q9a_1_ST2,0,No
q9a_1_ST2,1,Yes
q9b_1,1,Agree strongly
q9b_1,2,Agree somewhat
q9b_1,3,Neither agree nor disagree
q9b_1,4,Disagree somewhat
q9b_1,5,Disagree strongly
q9b_1,6,No opinion
q9b_1,7,REF
q9b_1_ST1,0,No
q9b_1_ST1,1,Yes
q9b_1_ST2,0,No
q9b_1_ST2,1,Yes
q10a_1,1,0
q10a_1,2,1
q10a_1,3,2
q10a_1,4,3
