source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
v_b,double,numeric,float64,B Interview number,F5.0,,,TRUE,Retained
qa,double,haven_labelled|vctrs_vctr|double,float64,A  Country code,F5.0,,,TRUE,Retained
v_a,double,numeric,float64,A  Country code - Numeric,F2.0,,,TRUE,Retained
qrs,double,haven_labelled|vctrs_vctr|double,float64,RS  Nationality,F5.0,,,TRUE,Retained
q35,double,haven_labelled|vctrs_vctr|double,float64,Q35  Gender,F5.0,,,TRUE,Retained
q36,double,haven_labelled|vctrs_vctr|double,float64,Q36  Age,F5.0,,,TRUE,Retained
v_q36,double,numeric,float64,Q36  Age - Numeric,F4.0,,,TRUE,Retained
q37,double,haven_labelled|vctrs_vctr|double,float64,Q37  Marital status,F5.0,,,TRUE,Retained
q38,double,haven_labelled|vctrs_vctr|double,float64,Q38  Occupation,F5.0,,,TRUE,Retained
q39,double,haven_labelled|vctrs_vctr|double,float64,Q39  Education level,F5.0,,,TRUE,Retained
qqa,double,haven_labelled|vctrs_vctr|double,float64,QA  Participation intention,F5.0,,,TRUE,Retained
qlg,double,haven_labelled|vctrs_vctr|double,float64,LG  Interview language,F5.0,,,TRUE,Retained
qp1,double,haven_labelled|vctrs_vctr|double,float64,P1  Date of interview,F5.0,,,TRUE,Retained
v_p3,double,numeric,float64,P3 Length of interview,F3.0,,,TRUE,Retained
q1_1,double,haven_labelled|vctrs_vctr|double,float64,Q1_1  Opinion about own country EU membership,F5.0,,,TRUE,Retained
v_q1_1,double,numeric,float64,Q1_1  Opinion about own country EU membership - Numeric,F2.0,,,TRUE,Retained
q2_1,double,haven_labelled|vctrs_vctr|double,float64,Q2_1  Opinion about work flexibility,F5.0,,,TRUE,Retained
v_q2_1,double,numeric,float64,Q2_1  Opinion about work flexibility - Numeric,F2.0,,,TRUE,Retained
q3a_1,double,haven_labelled|vctrs_vctr|double,float64,Q3a_1  Allowing employers more freedom in hiring and firing increases economic growth,F5.0,,,TRUE,Retained
q3a_1_ST1,double,haven_labelled|vctrs_vctr|double,float64,Q3a_1  Allowing employers more freedom in hiring and firing increases economic growth  ** ST Agree,F2.0,,,TRUE,Retained
q3a_1_ST2,double,haven_labelled|vctrs_vctr|double,float64,Q3a_1  Allowing employers more freedom in hiring and firing increases economic growth  ** ST Disagree,F2.0,,,TRUE,Retained
q3b_1,double,haven_labelled|vctrs_vctr|double,float64,Q3b_1  Increasing job security allows all workers to become more skilled,F5.0,,,TRUE,Retained
q3b_1_ST1,double,haven_labelled|vctrs_vctr|double,float64,Q3b_1  Increasing job security allows all workers to become more skilled  ** ST Agree,F2.0,,,TRUE,Retained
q3b_1_ST2,double,haven_labelled|vctrs_vctr|double,float64,Q3b_1  Increasing job security allows all workers to become more skilled  ** ST Disagree,F2.0,,,TRUE,Retained
q4_1,double,haven_labelled|vctrs_vctr|double,float64,Q4_1  Opinion about retirement pensions,F5.0,,,TRUE,Retained
v_q4_1,double,numeric,float64,Q4_1  Opinion about retirement pensions - Numeric,F2.0,,,TRUE,Retained
q5a_1,double,haven_labelled|vctrs_vctr|double,float64,Q5a_1  Letting more immigrants enter the labour market,F5.0,,,TRUE,Retained
q5a_1_ST1,double,haven_labelled|vctrs_vctr|double,float64,Q5a_1  Letting more immigrants enter the labour market  ** ST Favour,F2.0,,,TRUE,Retained
q5a_1_ST2,double,haven_labelled|vctrs_vctr|double,float64,Q5a_1  Letting more immigrants enter the labour market  ** ST Oppose,F2.0,,,TRUE,Retained
q5b_1,double,haven_labelled|vctrs_vctr|double,float64,Q5b_1  Making it more attractive to work longer before retiring,F5.0,,,TRUE,Retained
q5b_1_ST1,double,haven_labelled|vctrs_vctr|double,float64,Q5b_1  Making it more attractive to work longer before retiring  ** ST Favour,F2.0,,,TRUE,Retained
q5b_1_ST2,double,haven_labelled|vctrs_vctr|double,float64,Q5b_1  Making it more attractive to work longer before retiring  ** ST Oppose,F2.0,,,TRUE,Retained
q5c_1,double,haven_labelled|vctrs_vctr|double,float64,Q5c_1  Raising the retirement age,F5.0,,,TRUE,Retained
q5c_1_ST1,double,haven_labelled|vctrs_vctr|double,float64,Q5c_1  Raising the retirement age  ** ST Favour,F2.0,,,TRUE,Retained
q5c_1_ST2,double,haven_labelled|vctrs_vctr|double,float64,Q5c_1  Raising the retirement age  ** ST Oppose,F2.0,,,TRUE,Retained
q6a_1,double,haven_labelled|vctrs_vctr|double,float64,Q6a_1  Keeping the retirement rules the way they are will bankrupt the retirement system,F5.0,,,TRUE,Retained
q6a_1_ST1,double,haven_labelled|vctrs_vctr|double,float64,Q6a_1  Keeping the retirement rules the way they are will bankrupt the retirement system  ** ST Agree,F2.0,,,TRUE,Retained
