source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
area,double,numeric,,TYPE OF AREA,F9.2,,,TRUE,Retained
region,double,numeric,,REGION,F9.2,,,TRUE,Retained
region2,double,numeric,,"REGION, 5 CATS.",F9.2,,,TRUE,Retained
sex,double,numeric,,SEX: 1 = MALE (A1),F9.2,,,TRUE,Retained
age,double,numeric,,,F9.2,,,TRUE,Retained
nchild,double,numeric,,NUMBER OF CHILDREN,F9.2,,,TRUE,Retained
ageyoung,double,numeric,,AGE OF YOUNGEST CHILD,F9.2,,,TRUE,Retained
marstat,double,numeric,,MARITAL STATUS (A4),F9.2,,,TRUE,Retained
marstat2,double,numeric,,REVISED MARITAL STATUS,F9.2,,,TRUE,Retained
worry,double,numeric,,WORRY BEING CRIME VICTIM? (A5),F9.2,,,TRUE,Retained
walk,double,numeric,,HOW SAFE WALKING ALONE AFTER DARK? (A6),F9.2,,,TRUE,Retained
howburg,double,numeric,,HOW MUCH BURGLARY IN THIS AREA? (A7),F9.2,,,TRUE,Retained
howtheft,double,numeric,,HOW MUCH STREET ATTACKS & THEFTS? (A8),F9.2,,,TRUE,Retained
worryatt,double,numeric,,HOW WORRIED BEING ATTACKED? (A9),F9.2,,,TRUE,Retained
crimexp,double,numeric,,"EXPERIENCE OF CRIME, PAST 2 YRS.: 1=YES",F9.2,,,TRUE,Retained
carstln,double,numeric,,"CAR, VAN, MOTOR STOLEN? 1=YES (A10A)",F9.2,,,TRUE,Retained
carbrk,double,numeric,,"CAR, VAN, MOTOR BROKEN INTO? (A10B)",F9.2,,,TRUE,Retained
hsestln,double,numeric,,"HOUSE BROKEN INTO, THINGS STOLEN? (A10C)",F9.2,,,TRUE,Retained
carrystl,double,numeric,,SOMETHING CARRYING STOLEN? (A10D),F9.2,,,TRUE,Retained
hityou,double,numeric,,HIT OR VIOLENTLY ATTACKED? (A10E),F9.2,,,TRUE,Retained
rptcrime,double,numeric,,REPORTED CRIME/ACCIDENT? 1=YES (A11),F9.2,,,TRUE,Retained
confpol,double,numeric,,HOW CONF. POLICE CATCHES BURGLAR (A12A),F9.2,,,TRUE,Retained
confgds,double,numeric,,HOW CONF. STOLEN GOODS RETURN? (A12B),F9.2,,,TRUE,Retained
