source_column,source_value,value_label
educreco,0,other quals
educreco,1,a-levels/nvq3+
mastreco,1,married/committed
mastreco,2,single/divorced/widowed
carereco,-9,not answered
carereco,-8,don't know
carereco,0,care a little
carereco,1,care a lot
hndoreco,-8,dk
hndoreco,0,agree
hndoreco,1,agree strongly
rdstreco,-9,not answered
rdstreco,-8,dk
rdstreco,0,agree
rdstreco,1,agree strongly
bgbsreco,-9,not answered
bgbsreco,-8,dk
bgbsreco,0,agree
bgbsreco,1,agree strongly
blksreco,-9,not answered
blksreco,-8,dk
blksreco,0,agree
blksreco,1,agree strongly
dflwreco,-9,not answered
dflwreco,-8,dk
dflwreco,0,agree
dflwreco,1,agree strongly
mgmtreco,-9,not answered
mgmtreco,-8,dk
mgmtreco,0,agree
mgmtreco,1,agree strongly
dbstreco,-9,not answered
dbstreco,-8,dk
dbstreco,0,agree
dbstreco,1,agree strongly
pidreco,-9,not answered/dk/refused
pidreco,0,none
pidreco,1,conservative
pidreco,2,labour
pidreco,3,liberal democrat
pidreco,4,other
pilnreco,-9,refused/dk/no ans
pilnreco,-1,n/a
pilnreco,0,none
pilnreco,1,conservative
pilnreco,2,labour
pilnreco,3,liberal democrat
pilnreco,4,other
pidsreco,-9,not answered/dk
pidsreco,1,not v. strong
pidsreco,2,fairly strong
pidsreco,3,very strong
emplreco,-9,missing
emplreco,1,employed ft
emplreco,2,employed pt
emplreco,3,unemployed
emplreco,4,retired
emplreco,5,homemaker
emplreco,6,education/training
emplreco,7,perm disabled
emplreco,8,other
ciereco,0,no
ciereco,1,yes
increco,-9,not answered/dk
increco,1,less than 10k
increco,2,"10k to 19,999"
increco,3,"20k to 31,999"
increco,4,"32k to 40,999"
increco,5,more than 41k
truareco,0,most of the time
truareco,1,just about always
trubreco,0,most of the time
trubreco,1,just about always
int1reco,-9,not answered
int1reco,-8,don't know
int1reco,1,not at all
int1reco,2,not very much
int1reco,3,some
int1reco,4,quite a lot
int1reco,5,a great deal
flcn1rec,-9,not ans/dk
flcn1rec,0,in favour
flcn1rec,1,strongly in favour
feellab1,-9,not ans/dk
feellab1,-8,don't know
feellab1,0,in favour
feellab1,1,strongly in favour
flla1rec,-9,not ans/dk
flla1rec,0,in favour
flla1rec,1,strongly in favour
flld1rec,-9,not ans/dk
flld1rec,0,in favour
flld1rec,1,strongly in favour
ecr1reco,-9,not answered
ecr1reco,-8,dk
ecr1reco,0,got a little stronger
ecr1reco,1,got a lot stronger
inr1reco,-9,not answered
inr1reco,-8,dk
inr1reco,0,gone up a little
inr1reco,1,gone up a lot
unr1reco,-9,not answered
unr1reco,-8,dk
unr1reco,0,gone up a little
unr1reco,1,gone up a lot
txr1reco,-9,not answered
txr1reco,-8,dk
txr1reco,0,gone up a little
txr1reco,1,gone up a lot
hcr1reco,-9,not answered
hcr1reco,-8,dk
hcr1reco,0,gone up a little
hcr1reco,1,gone up a lot
edr1reco,-9,not answered
edr1reco,-8,dk
edr1reco,0,gone up a little
edr1reco,1,gone up a lot
prcn1rec,-9,not answered
prcn1rec,-8,dk
prcn1rec,0,get a little stronger
prcn1rec,1,get a lot stronger
prlb1rec,-9,not answered
prlb1rec,-8,dk
prlb1rec,0,get a little stronger
prlb1rec,1,get a lot stronger
prcni1re,-9,not answered
prcni1re,-8,dk
prcni1re,0,go up a little
prcni1re,1,go up a lot
prcnu1re,-9,not answered
prcnu1re,-8,dk
prcnu1re,0,go up a little
prcnu1re,1,go up a lot
prcnt1re,-9,not answered
prcnt1re,-8,dk
prcnt1re,0,go up a little
prcnt1re,1,go up a lot
prcnh1re,-9,not answered
prcnh1re,-8,dk
prcnh1re,0,go up a little
prcnh1re,1,go up a lot
prcne1re,-9,not answered
prcne1re,-8,dk
prcne1re,0,go up a little
prcne1re,1,go up a lot
prlbi1re,-9,not answered
prlbi1re,-8,dk
prlbi1re,0,go up a little
prlbi1re,1,go up a lot
prlbu1re,-9,not answered
prlbu1re,-8,dk
prlbu1re,0,go up a little
prlbu1re,1,go up a lot
prlbt1re,-9,not answered
prlbt1re,-8,dk
prlbt1re,0,go up a little
prlbt1re,1,go up a lot
prlbh1re,-9,not answered
prlbh1re,-8,dk
prlbh1re,0,go up a little
prlbh1re,1,go up a lot
prlbe1re,-9,not answered
prlbe1re,-8,dk
prlbe1re,0,go up a little
prlbe1re,1,go up a lot
pcktb1re,-9,not answered
pcktb1re,-8,don't know
pcktb1re,0,a little better of under labour than under conservative
pcktb1re,1,much better off under labour than conservative
txfr1rec,-9,not answered
txfr1rec,-8,don't know
txfr1rec,0,quite fair
txfr1rec,1,very fair
txrch1re,-9,not answered
txrch1re,-8,don't know
txrch1re,0,agree somewhat
txrch1re,1,disagree somewhat
rdstr1re,-9,not answered
rdstr1re,-8,don't know
rdstr1re,0,6/7
rdstr1re,1,gov. try to hard to make income more equal (7/7)
rdstr1_a,0,6/7
rdstr1_a,1,gov. try to hard to make income more equal (7/7)
rdstc1co,0,wrong/dk/not ans
rdstc1co,1,correct
rdstc1re,-9,not answered
rdstc1re,-8,don't know
rdstc1re,0,6/7
rdstc1re,1,gov. try to hard to make income more equal (7/7)
rdstc1_a,0,6/7
rdstc1_a,1,gov. try to hard to make income more equal (7/7)
rdstl1co,0,wrong/dk/not ans
rdstl1co,1,correct
rdstl1re,-9,not answered
rdstl1re,-8,don't know
rdstl1re,0,6/7
rdstl1re,1,gov. try to hard to make income more equal (7/7)
rdstl1_a,0,6/7
rdstl1_a,1,gov. try to hard to make income more equal (7/7)
rdstld1c,0,wrong/dk/not ans
rdstld1c,1,correct
rdstld1r,-9,not answered
rdstld1r,-8,don't know
rdstld1r,0,6/7
rdstld1r,1,gov. try to hard to make income more equal (7/7)
rdstld_a,0,6/7
rdstld_a,1,gov. try to hard to make income more equal (7/7)
txr1re,-9,not answered
txr1re,-8,don't know
txr1re,0,6/7
txr1re,1,"gov. spend lot, tax lot (7/7)"
txr1redk,0,6/7
txr1redk,1,"gov. spend lot, tax lot (7/7)"
taxc1cor,0,wrong/dk/not ans
taxc1cor,1,correct
txc1re,-9,not answered
txc1re,-8,don't know
txc1re,0,6/7
txc1re,1,"gov. spend lot, tax lot (7/7)"
txc1redk,0,6/7
txc1redk,1,"gov. spend lot, tax lot (7/7)"
taxl1cor,0,wrong/dk/not ans
taxl1cor,1,correct
txl1re,-9,not answered
txl1re,-8,don't know
txl1re,0,6/7
txl1re,1,"gov. spend lot, tax lot (7/7)"
txl1redk,0,6/7
txl1redk,1,"gov. spend lot, tax lot (7/7)"
taxld1co,0,wrong/dk/not ans
taxld1co,1,correct
txld1re,-9,not answered
txld1re,-8,don't know
