poll_id,artifact_id,artifact_type,title,location,source_id,original_archive_path,sha256,rights_status,disclosure_status,publication_status,notes
uk-health-1998,cor-sood-uk-health-1998,data,Cor-Sood scored knowledge battery,data/uk-health-1998/knowledge-battery.csv,cor-sood-uk-health-1998,replication/data.zip:data/ukhealth.csv,671bf82144935f33351d627b7996c05b91585f7adf192734b94a2e655ad960b2,public-license,approved-public,published,Scored binary items; row number is not a respondent identifier
uk-health-1998,cdd-uk-health-survey,data,uk-health-1998 survey.sav,data/uk-health-1998/survey.sav,cdd-uk-health-survey,data/british_health/britishhealth.sav,d6c46a1c9c83930a8779a5ae6a9b5cec3cf0ef0399d6f340e8b28371d1f8d234,owner-approved,approved-public,published,Exact original SPSS bytes; telephone fields encode household and recording status
uk-health-1998,cdd-uk-health-variables,codebook,uk-health-1998 variables.csv,data/uk-health-1998/variables.csv,cdd-uk-health-variables,data/british_health/britishhealth.sav,03ab409aa778db7b0a90d466493333fc2d180b693477b883cdae76b9844e44c8,owner-approved,approved-public,published,Generated from original variable attributes; contains no response text
uk-health-1998,cdd-uk-health-value-labels,codebook,uk-health-1998 value-labels.csv,data/uk-health-1998/value-labels.csv,cdd-uk-health-value-labels,data/british_health/britishhealth.sav,d7101ddfa53b9c8c793a4ffb1458b2b5c8f7fa90a20ae0cbf0db1e8035852011,owner-approved,approved-public,published,Generated from original variable attributes; contains no response text
uk-health-1998,material-6eaeae118f40db64-uk-health-1998,paper,Sturgis-30-65,data/shared/papers/sturgis-30-65.pdf,material-6eaeae118f40db64,meta_data/cdd_papers/Sturgis-30-65.pdf,6eaeae118f40db646e57aa003315d5f1099de02f580f4731cc4f4baa133e1adc,review-required,approved-public,published,Historical metadata archive; content classified for reference. Instrument-to-variable and version-specific comparisons remain required. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply. Cleanup review: Published five-British-poll analysis; referenced across those polls. Read extracted text/methods/tables and checked existing poll_references. No pipeline reads this paper.
uk-health-1998,material-14f09619eb8626fc-uk-health-1998,codebook,AllPollIndices,data/shared/codebooks/attitude_indices/allpollindices.csv,material-14f09619eb8626fc,meta_data/attitude_indices/AllPollIndices.csv,14f09619eb8626fc7861fe1bd3ca498a35fec8cfdcc8ba9728ff6e80b9e56992,review-required,approved-public,published,"Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply. Cleanup review: Genuine cross-poll coding evidence. Required build input read by scripts/12_build_polardata.R; 129 attitude targets plus header, canonical historical registry."
uk-health-1998,material-e0ff5cf4f836a41b-uk-health-1998,codebook,AllPollIndices_withEmpiricalPremises,data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv,material-e0ff5cf4f836a41b,meta_data/attitude_indices/AllPollIndices_withEmpiricalPremises.csv,e0ff5cf4f836a41b9bb66245130d5246dd7a942668872045c5ee66be48d1f2f5,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply. Cleanup review: Genuine cross-poll coding evidence. 144 rows plus header; includes empirical-premise indices deliberately absent from current 129-row build registry. Unique evidence for future corrections.
uk-health-1998,material-a6eea8ca19a00fe8-uk-health-1998,codebook,Appendix A -9-14-14,data/shared/codebooks/knowledge_indices/appendix-a-9-14-14.docx,material-a6eea8ca19a00fe8,meta_data/knowledge_indices/Appendix A -9-14-14.docx,a6eea8ca19a00fe84b2b3bab798a67aec325c43ae5be66f3a51525976e1032d1,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply. Cleanup review: Genuine cross-poll coding evidence. 273-paragraph cross-poll knowledge-item appendix extends January content; retain complete version.
uk-health-1998,material-7af1872d80219bc0-uk-health-1998,codebook,Rosetta Stone,data/shared/codebooks/rosetta_stone/rosetta-stone.xls,material-7af1872d80219bc0,meta_data/rosetta_stone/Rosetta Stone.xls,7af1872d80219bc0f745e63c426cec847e480a8c2aa180072f6e2a838b4974c3,review-required,approved-public,published,"Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply. Cleanup review: Genuine cross-poll coding evidence. 136×8 cross-poll dataset URLs, filters, group identifiers and 0–1 index mapping; retain single content representative."
uk-health-1998,material-7731a4ce1a2d98a7-uk-health-1998,research-design,Appendix - Poll Details- 5-18-14--e,data/shared/design/poll_details/appendix-poll-details-5-18-14-e.docx,material-7731a4ce1a2d98a7,meta_data/poll_details/Appendix - Poll Details- 5-18-14--e.docx,7731a4ce1a2d98a79b7ae2657648c01a1625bad2d4be07c3bd97c2b029d869d1,review-required,approved-public,published,"Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply. Cleanup review: Already cited across21 poll references; includes24 polls and four source-linked duration comments. Compared all14 DOCX table rows plus comments XML, and corresponding PDF texts. No executable code reads these appendices."
