source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
serial_a,double,haven_labelled|vctrs_vctr|double,,arf serial number  (serial_a),F8.0,,,TRUE,Retained
field,double,haven_labelled|vctrs_vctr|double,,field area (field),F8.0,,,TRUE,Retained
region,double,haven_labelled|vctrs_vctr|double,,region,F8.0,,,TRUE,Retained
tnc,double,haven_labelled|vctrs_vctr|double,,total number of calls to complete interview (tnc),F8.0,,,TRUE,Retained
units,double,haven_labelled|vctrs_vctr|double,,number of occupied dwelling units (arf3),F8.0,,,TRUE,Retained
selunit,double,haven_labelled|vctrs_vctr|double,,selected dwelling unit  (arf8),F8.0,,,TRUE,Retained
adults,double,haven_labelled|vctrs_vctr|double,,number of adults in household  (arf11),F8.0,,,TRUE,Retained
selper,double,haven_labelled|vctrs_vctr|double,,person number of selected person  (arf15),F8.0,,,TRUE,Retained
recruit,double,haven_labelled|vctrs_vctr|double,,outcome of recruitment to manchester  (arf19),F8.0,,,TRUE,Retained
passinfo,double,haven_labelled|vctrs_vctr|double,,pass on information to  granada (arf20),F8.0,,,TRUE,Retained
recnumb,double,haven_labelled|vctrs_vctr|double,,telephone number  (arf24a),F8.0,,,TRUE,Retained
agerange,double,haven_labelled|vctrs_vctr|double,,respondents age  (arf25a),F8.0,,,TRUE,Retained
sex,double,haven_labelled|vctrs_vctr|double,,respondents sex  (arf25c),F8.0,,,TRUE,Retained
workstat,double,haven_labelled|vctrs_vctr|double,,respondent's working status (arf26),F8.0,,,TRUE,Retained
class,double,haven_labelled|vctrs_vctr|double,,social class (arf27b),F8.0,,,TRUE,Retained
serial_m,double,haven_labelled|vctrs_vctr|double,,serial number (serial_m),F8.0,,,TRUE,Retained
batch,double,haven_labelled|vctrs_vctr|double,,batch number  (batch),F12.0,,,TRUE,Retained
gender,double,haven_labelled|vctrs_vctr|double,,sex of respondent (a1),F8.0,,,TRUE,Retained
age,double,haven_labelled|vctrs_vctr|double,,age in years (a2),F8.0,,,TRUE,Retained
kid,double,haven_labelled|vctrs_vctr|double,,number of children aged 17 or younger (a3a),F8.0,,,TRUE,Retained
kids5,double,haven_labelled|vctrs_vctr|double,,number of children under age 5 (a3b_i),F8.0,,,TRUE,Retained
kids11,double,haven_labelled|vctrs_vctr|double,,number between 5 and 11 (a3b_ii),F8.0,,,TRUE,Retained
kids15,double,haven_labelled|vctrs_vctr|double,,number of children between 12 and 15 (a3b_iii),F8.0,,,TRUE,Retained
kids17,double,haven_labelled|vctrs_vctr|double,,number of children  between 16 and 17 (a3b_iv),F8.0,,,TRUE,Retained
marstat,double,haven_labelled|vctrs_vctr|double,,marital status (a4),F8.0,,,TRUE,Retained
newsyn,double,haven_labelled|vctrs_vctr|double,,read paper at least 3 times a week (a5a),F8.0,,,TRUE,Retained
newsp,double,haven_labelled|vctrs_vctr|double,,newspaper read most frequently (a5b),F8.0,,,TRUE,Retained
gpappt,double,haven_labelled|vctrs_vctr|double,,gps' appointment systems (a6a),F8.0,,,TRUE,Retained
qualgps,double,haven_labelled|vctrs_vctr|double,,quality of medical treatment by gps (a6b),F8.0,,,TRUE,Retained
waitlist,double,haven_labelled|vctrs_vctr|double,,hospital waiting lists for non-emergency (a6c),F8.0,,,TRUE,Retained
qualhosp,double,haven_labelled|vctrs_vctr|double,,quality of medical treatment in hospitals (a6d),F8.0,,,TRUE,Retained
waitappt,double,haven_labelled|vctrs_vctr|double,,waiting time for appointments (a6e),F8.0,,,TRUE,Retained
waitout,double,haven_labelled|vctrs_vctr|double,,time spent waiting in outpatient depts  (a6f),F8.0,,,TRUE,Retained
waitacc,double,haven_labelled|vctrs_vctr|double,,time spent waiting in a&e for doctor (a6g),F8.0,,,TRUE,Retained
fend,double,haven_labelled|vctrs_vctr|double,,people should fend for themselves (a7a),F8.0,,,TRUE,Retained
govsp,double,haven_labelled|vctrs_vctr|double,,govt spending to improve (a7b),F8.0,,,TRUE,Retained
earn,double,haven_labelled|vctrs_vctr|double,,everyone should earn/keep as much as they can (a7c),F8.0,,,TRUE,Retained
liveprs,double,haven_labelled|vctrs_vctr|double,,people should live for the present (a7d),F8.0,,,TRUE,Retained
pid,double,haven_labelled|vctrs_vctr|double,,party id (b1a),F8.0,,,TRUE,Retained
pidlean,double,haven_labelled|vctrs_vctr|double,,closer to a party (b1b),F8.0,,,TRUE,Retained
employ,double,haven_labelled|vctrs_vctr|double,,employment status (b2),F8.0,,,TRUE,Retained
hshldsz,double,haven_labelled|vctrs_vctr|double,,number of adults aged 18 or over in household (b3),F8.0,,,TRUE,Retained
cie,double,haven_labelled|vctrs_vctr|double,,chief income earner (b4),F8.0,,,TRUE,Retained
cieemp,double,haven_labelled|vctrs_vctr|double,,current status of chief income earner (b5),F8.0,,,TRUE,Retained
selfemp,double,haven_labelled|vctrs_vctr|double,,employee or self-employed (b7),F8.0,,,TRUE,Retained
superv,double,haven_labelled|vctrs_vctr|double,,supervisor or responsibility for others (b8),F8.0,,,TRUE,Retained
manywork,double,haven_labelled|vctrs_vctr|double,,number of people at place of employment (b9a),F8.0,,,TRUE,Retained
semanywk,double,haven_labelled|vctrs_vctr|double,,employees (b10a),F8.0,,,TRUE,Retained
soc,double,haven_labelled|vctrs_vctr|double,,soc codes,F8.0,,,TRUE,Retained
es,double,haven_labelled|vctrs_vctr|double,,employment status of respondent (es is a summary),F8.0,,,TRUE,Retained
segfull,double,haven_labelled|vctrs_vctr|double,,seg codes,F8.0,,,TRUE,Retained
educa,double,haven_labelled|vctrs_vctr|double,,highest qualification at or after school (b11),F8.0,,,TRUE,Retained
educb,double,haven_labelled|vctrs_vctr|double,,highest qualification (b12),F8.0,,,TRUE,Retained
pastgp,double,haven_labelled|vctrs_vctr|double,,visited an nhs gp (b13a),F8.0,,,TRUE,Retained
pastout,double,haven_labelled|vctrs_vctr|double,,outpatient in an nhs hospital (b13b),F8.0,,,TRUE,Retained
pastin,double,haven_labelled|vctrs_vctr|double,,inpatient in an nhs hospital (b13c),F8.0,,,TRUE,Retained
pastvis,double,haven_labelled|vctrs_vctr|double,,visited patient in an nhs hospital (b13d),F8.0,,,TRUE,Retained
pastpat,double,haven_labelled|vctrs_vctr|double,,treatment as a private patient (b13e),F8.0,,,TRUE,Retained
privins,double,haven_labelled|vctrs_vctr|double,,private health insurance scheme (b14),F8.0,,,TRUE,Retained
health,double,haven_labelled|vctrs_vctr|double,,general health for your age (b15a),F8.0,,,TRUE,Retained
wrryhlth,double,haven_labelled|vctrs_vctr|double,,worry about your health (b15b),F8.0,,,TRUE,Retained
smokstat,double,haven_labelled|vctrs_vctr|double,,smoking status (b16),F8.0,,,TRUE,Retained
ethnic,double,haven_labelled|vctrs_vctr|double,,ethnic group (b17),F8.0,,,TRUE,Retained
income,double,haven_labelled|vctrs_vctr|double,,total income of your household (b18),F8.0,,,TRUE,Retained
solpro,double,haven_labelled|vctrs_vctr|double,,standard of living change (b19),F8.0,,,TRUE,Retained
trusta,double,haven_labelled|vctrs_vctr|double,,trust govt nation over politics (b20a),F8.0,,,TRUE,Retained
trustb,double,haven_labelled|vctrs_vctr|double,,trust british journalists (b20b),F8.0,,,TRUE,Retained
trustc,double,haven_labelled|vctrs_vctr|double,,trust top civil servants (b20c),F8.0,,,TRUE,Retained
trustd,double,haven_labelled|vctrs_vctr|double,,trust hospital doctors (b20d),F8.0,,,TRUE,Retained
truste,double,haven_labelled|vctrs_vctr|double,,trust police (b20e),F8.0,,,TRUE,Retained
phone,double,haven_labelled|vctrs_vctr|double,,telephone in household (b21a),F8.0,,,TRUE,Retained
canring,double,haven_labelled|vctrs_vctr|double,,satisfactory interview check (b21b),F8.0,,,TRUE,Retained
duration,double,haven_labelled|vctrs_vctr|double,,interview duration (b22b),F8.0,,,TRUE,Retained
dateofi,double,haven_labelled|vctrs_vctr|double,,interview date (b22c),F8.0,,,TRUE,Retained
interno,double,haven_labelled|vctrs_vctr|double,,interviewer number (b22f),F8.0,,,TRUE,Retained
soclss,double,haven_labelled|vctrs_vctr|double,,social class,F8.0,,,TRUE,Retained
mtneed1,double,haven_labelled|vctrs_vctr|double,,nhs meets everyone's medical needs t1 (q1),F8.0,,,TRUE,Retained
options1,double,haven_labelled|vctrs_vctr|double,,government options t1 (q2),F8.0,,,TRUE,Retained
comp1,double,haven_labelled|vctrs_vctr|double,,complaints taken seriously t1 (q3a),F8.0,,,TRUE,Retained
well1,double,haven_labelled|vctrs_vctr|double,,well enough to leave hospital t1 (q3b),F8.0,,,TRUE,Retained
trtmt1,double,haven_labelled|vctrs_vctr|double,,views on your treatment taken seriously t1 (q3c),F8.0,,,TRUE,Retained
oper1,double,haven_labelled|vctrs_vctr|double,,operation at set time t1 (q3d),F8.0,,,TRUE,Retained
hlth1,double,haven_labelled|vctrs_vctr|double,,views on health care t1 (q4),F8.0,,,TRUE,Retained
payhlth1,double,haven_labelled|vctrs_vctr|double,,payment for health care t1 (q5),F8.0,,,TRUE,Retained
payown1,double,haven_labelled|vctrs_vctr|double,,pay for own health care  t1 (q6),F8.0,,,TRUE,Retained
cuts1,double,haven_labelled|vctrs_vctr|double,,cutting treatments t1 (q7),F8.0,,,TRUE,Retained
resrcs1,double,haven_labelled|vctrs_vctr|double,,future nhs resources t1 (q8),F8.0,,,TRUE,Retained
sopha1,double,haven_labelled|vctrs_vctr|double,,standard charge for prescription t1 (q9a),F8.0,,,TRUE,Retained
sophb1,double,haven_labelled|vctrs_vctr|double,,proportion of old people getting larger t1 (q9b),F8.0,,,TRUE,Retained
sophc1,double,haven_labelled|vctrs_vctr|double,,spending on nhs doubled in last 20 years t1 (q9c),F8.0,,,TRUE,Retained
sophd1,double,haven_labelled|vctrs_vctr|double,,people use private medical treatment t1 (q9d),F8.0,,,TRUE,Retained
sophe1,double,haven_labelled|vctrs_vctr|double,,free breast cancer screening t1 (q9e),F8.0,,,TRUE,Retained
sophf1,double,haven_labelled|vctrs_vctr|double,,cosmetic surgery never available on nhs t1 (q9f),F8.0,,,TRUE,Retained
prsmoka1,double,haven_labelled|vctrs_vctr|double,,smoking affects treatment priority t1 (q10a),F8.0,,,TRUE,Retained
prsmokb1,double,haven_labelled|vctrs_vctr|double,,r's view on smoking and priority t1 (q10b),F8.0,,,TRUE,Retained
agea1,double,haven_labelled|vctrs_vctr|double,,age matters in treatment priority t1 (q11a),F8.0,,,TRUE,Retained
ageb1,double,haven_labelled|vctrs_vctr|double,,respondent's age priority t1 (q11b),F8.0,,,TRUE,Retained
treata1,double,haven_labelled|vctrs_vctr|double,,lower priority to expensive treatments t1 (q12a),F8.0,,,TRUE,Retained
treatb1,double,haven_labelled|vctrs_vctr|double,,nhs actions on expensive treatments t1 (q12b),F8.0,,,TRUE,Retained
lifea1,double,haven_labelled|vctrs_vctr|double,,quality of life t1 (q13a),F8.0,,,TRUE,Retained
lifeb1,double,haven_labelled|vctrs_vctr|double,,nhs priority to quality of life t1 (q13b),F8.0,,,TRUE,Retained
preva1,double,haven_labelled|vctrs_vctr|double,,priority to prevention t1 (q14a),F8.0,,,TRUE,Retained
prevb1,double,haven_labelled|vctrs_vctr|double,,nhs priority to prevention t1 (q14b),F8.0,,,TRUE,Retained
severa1,double,haven_labelled|vctrs_vctr|double,,priority to severity t1 (q15a),F8.0,,,TRUE,Retained
severb1,double,haven_labelled|vctrs_vctr|double,,respondent's priority to severity t1 (q15b),F8.0,,,TRUE,Retained
lista1,double,haven_labelled|vctrs_vctr|double,,priority to waiting list t1 (q16a),F8.0,,,TRUE,Retained
listb1,double,haven_labelled|vctrs_vctr|double,,nhs priority to waiting list t1 (q16b),F8.0,,,TRUE,Retained
poora1,double,haven_labelled|vctrs_vctr|double,,priority to poor t1 (q17a),F8.0,,,TRUE,Retained
poorb1,double,haven_labelled|vctrs_vctr|double,,nhs priority to the poor t1 (q17b),F8.0,,,TRUE,Retained
ingova1,double,haven_labelled|vctrs_vctr|double,,amount of govt input t1 (q18a_a),F8.0,,,TRUE,Retained
ingpa1,double,haven_labelled|vctrs_vctr|double,,amount of gp input t1 (q18a_b),F8.0,,,TRUE,Retained
inhma1,double,haven_labelled|vctrs_vctr|double,,hospital or health service manager input t1 (q18a_c),F8.0,,,TRUE,Retained
indoca1,double,haven_labelled|vctrs_vctr|double,,amount of doctor input t1 (q18a_d),F8.0,,,TRUE,Retained
