source_column,source_value,value_label
ARF22,1,yes - will go
ARF22,2,provisional/unsure
ARF22,3,no - probable refusa
ARF22,4,no - definite refusa
WEEKEND,1,weekend
AGEGP,1,18-34
AGEGP,2,35-49
AGEGP,3,50+
AGEGP,4,ref/dk/na
AGESEX,1,men 18-34
AGESEX,2,men 35-49
AGESEX,3,men 50+
AGESEX,4,women 18-34
AGESEX,5,women 35-49
AGESEX,6,women 50+
AGESEX,7,ref/dk/na
CHILD,1,no children < 18
CHILD,2,1 child
CHILD,3,2 plus children
CHILD,4,not answered
YCHILD,1,no children <18
YCHILD,2,youngest 0-4
YCHILD,3,youngest 5-11
YCHILD,4,youngest 12-17
YCHILD,5,not answered
MARSTAT,1,married/living as
MARSTAT,2,sep/div/widowed
MARSTAT,3,"single, never marrie"
MARSTAT,4,not answered
NEWSPAP,1,none read regularly
NEWSPAP,2,tory tabloid
NEWSPAP,3,other tabloid
NEWSPAP,4,broadsheet
NEWSPAP,5,"other, na"
POLINT,1,very/fairly interest
POLINT,2,not very/not at all
POLINT,3,can't say/na
PARTY,1,conservative
PARTY,2,labour
PARTY,3,liberal democrat
PARTY,4,other/none/ref/dk/na
PARTY,5,not answered
STATUS,1,working
STATUS,2,unemployed
STATUS,3,retired
STATUS,4,looking after home/f
STATUS,5,other
STATUS,6,not answered
SEGFULL,1,"professional, employ"
SEGFULL,2,intermediate/junior
SEGFULL,3,skilled manual & own
SEGFULL,4,semi-skilled manual
SEGFULL,5,unskilled manual
SEGFULL,6,armed forces/insuff
SEGFULL,7,never had job
SEGFULL,8,not answered
CLASS,1,non manual
CLASS,2,manual
CLASS,3,never had job/armed
CLASS,4,not answered
EDUCAGE,1,14 or under
EDUCAGE,2,15-16
EDUCAGE,3,17-18
EDUCAGE,4,19+
EDUCAGE,5,not yet fin
EDUCAGE,6,not answered
ACQUALS,1,a-level or higher
ACQUALS,2,other academic quals
ACQUALS,3,no academic quals
ACQUALS,4,not answered
VOQUALS,1,nvq level 3 or highe
VOQUALS,2,other vocational qua
VOQUALS,3,no vocational quals
VOQUALS,4,not answered
QUALSUM,1,a level/nvq3 or high
QUALSUM,2,other qualifications
QUALSUM,3,no qualifications
QUALSUM,4,not answered
IDENT,1,british
IDENT,2,english
IDENT,3,scottish
IDENT,4,welsh
IDENT,5,irish
IDENT,6,northern irish
IDENT,7,european
IDENT,8,other
IDENT,9,none of these
IDENT,10,not answered
RELIG,1,c of e
RELIG,2,roman catholic
RELIG,3,other christian
RELIG,4,non-christian
RELIG,5,no religion
RELIG,6,not answered
TRUST,1,11-16 low trust
TRUST,2,4-10 higher trust
TRUST,3,not answered
PATRIOT,1,5-12 more patriotic
PATRIOT,2,13-17 middle
PATRIOT,3,18-25 less patriotic
PATRIOT,4,not answered
CHANCES,1,wrong that wealth gi
CHANCES,2,ok that wealth gives
CHANCES,3,neither/dk/na
TRADS,1,gb should stick to t
TRADS,2,gb should leave past
TRADS,3,neither/dk/na
SCHOOLS,1,education should be
SCHOOLS,2,parents should be ab
SCHOOLS,3,neither/dk/na
WEALTH,1,wrong that rich so r
WEALTH,2,nothing wrong that r
WEALTH,3,neither/dk/na
REG,1,london/south east
REG,2,north
REG,3,midlands/east anglia
REG,4,wales/south west
REG,5,scotland
REG,6,not answered
CNTRY,1,england
CNTRY,2,scotland
CNTRY,3,wales
CNTRY,4,not answered
GROUP,1,00
GROUP,2,01
GROUP,3,02
GROUP,4,03
GROUP,5,04
GROUP,6,05
GROUP,7,06
GROUP,8,07
GROUP,9,08
GROUP,10,09
GROUP,11,10
GROUP,12,11
GROUP,13,12
GROUP,14,13
GROUP,15,14
GROUP,16,15
REGION,1,north
REGION,2,yorks+humberside
REGION,3,north west
REGION,4,east mids
REGION,5,west mids
REGION,6,east anglia
REGION,7,south east
REGION,8,south west
REGION,9,wales
REGION,10,scotland
REGION,11,greater london
REGION,12,not answered
SEX,1,male
SEX,2,female
AGEB,1,96+
AGEB,2,18-19
AGEB,3,20-29
AGEB,4,30-39
AGEB,5,40-49
AGEB,6,50-59
AGEB,7,60-69
AGEB,8,70-79
AGEB,9,80-89
AGEB,10,90+
AGEB,11,refused
AGEB,12,don't know
AGEB,13,not answered
A3AB,1,none
A3AB,2,01
A3AB,3,02
A3AB,4,03
A3AB,5,04
A3AB,6,05
A3AB,7,06
A3AB,8,07
A3AB,9,08
A3AB,10,09
A3AB,11,10
A3AB,12,not answered
A3B_1B,1,none
A3B_1B,2,1
A3B_1B,3,2
A3B_1B,4,3
A3B_1B,5,4
A3B_1B,6,5
A3B_1B,7,6
A3B_1B,8,7
A3B_1B,9,8
A3B_1B,10,not answered
A3B_2B,1,none
A3B_2B,2,1
A3B_2B,3,2
A3B_2B,4,3
A3B_2B,5,4
A3B_2B,6,5
A3B_2B,7,6
A3B_2B,8,7
A3B_2B,9,8
A3B_2B,10,not answered
A3B_3B,1,none
A3B_3B,2,1
A3B_3B,3,2
A3B_3B,4,3
A3B_3B,5,4
A3B_3B,6,5
A3B_3B,7,6
A3B_3B,8,7
A3B_3B,9,8
A3B_3B,10,not answered
A3B_4B,1,none
A3B_4B,2,1
A3B_4B,3,2
A3B_4B,4,3
A3B_4B,5,4
A3B_4B,6,5
A3B_4B,7,6
A3B_4B,8,7
A3B_4B,9,8
A3B_4B,10,not answered
A4,1,"married,"
A4,2,"living as married,"
A4,3,separated or divorce
A4,4,widowed
A4,5,single and never mar
A4,6,not answered
A5A,1,yes
A5A,2,no
A5A,3,not answered
A5B,1,(scottish) daily exp
A5B,2,daily mail
A5B,3,daily mirror/record
A5B,4,daily star
A5B,5,the sun
A5B,6,today
A5B,7,daily telegraph
A5B,8,financial times
A5B,9,the guardian
A5B,10,the independent
A5B,11,the times
A5B,12,other daily morning
A5B,13,not answered
A6,1,very interested
A6,2,fairly interested
A6,3,not very interested
A6,4,not at all intereste
A6,5,can't say
A6,6,not answered
A7A,1,agree strongly
A7A,2,agree
A7A,3,neither agree nor di
A7A,4,disagree
A7A,5,disagree strongly
A7A,6,not answered
A7B,1,agree strongly
A7B,2,agree
A7B,3,neither agree nor di
A7B,4,disagree
A7B,5,disagree strongly
A7B,6,not answered
A7C,1,agree strongly
A7C,2,agree
A7C,3,neither agree nor di
A7C,4,disagree
A7C,5,disagree strongly
A7C,6,not answered
A7D,1,agree strongly
A7D,2,agree
A7D,3,neither agree nor di
A7D,4,disagree
A7D,5,disagree strongly
A7D,6,not answered
B1A,1,none/no
B1A,2,conservative
B1A,3,labour
B1A,4,liberal democrat
B1A,5,scottish nationnalis
B1A,6,plaid cymru
B1A,7,green party
B1A,8,other party
B1A,9,refused
B1A,10,don't know
B1A,11,not answered
B1B,1,none/no
B1B,2,conservative
B1B,3,labour
B1B,4,liberal democrat
B1B,5,scottish nationnalis
B1B,6,plaid cymru
B1B,7,green party
B1B,8,other party
B1B,9,refused
B1B,10,don't know
B1B,11,not answered
B1C,1,very strong
B1C,2,fairly strong
B1C,3,not very strong
B1C,4,don't know
B1C,5,not answered
B2,1,in full-time educati
B2,2,on government traini
B2,3,in part-time work (u
B2,4,in full-time paid wo
B2,5,waiting to take up p
B2,6,unemployed and looki
B2,7,"unemployed, but not"
B2,8,permanently sick or
B2,9,wholly retired from
B2,10,looking after home o
B2,11,something else
B2,12,not answered
B3,1,respondent only pers
B3,2,2+ adults in househo
B3,3,not answered
B4,1,respondent is c.i.e
B4,2,other household memb
B4,3,not answered
B5,1,in full-time educati
B5,2,on government traini
B5,3,in part-time work (u
B5,4,in full-time paid wo
B5,5,waiting to take up p
B5,6,unemployed and looki
B5,7,"unemployed, but not"
B5,8,permanently sick or
B5,9,wholly retired from
B5,10,looking after home o
B5,11,something else
B5,12,not answered
B7,1,an employee
B7,2,self-employed
B7,3,never worked
B7,4,not answered
B8,1,none
B8,2,1 to 24
B8,3,25 or more
B8,4,not answered
B9,1,1 to 24
B9,2,25 or more
B9,3,not known
B9,4,not answered
B10A,1,none
B10A,2,1 to 24
B10A,3,25 or more
B10A,4,not answered
SOC,1,managers and adminis
SOC,2,professional occupat
SOC,3,assoc professional a
SOC,4,clerical & secretari
SOC,5,craft & related occu
SOC,6,personal & protectiv
SOC,7,sales occupations
SOC,8,plant & machine oper
SOC,9,other occupations
SOC,10,never had job
SOC,11,not answered/inadequ
ES,1,01  self-employed (2
ES,2,02  self-employed (1
ES,3,03  self-employed (n
ES,4,04  self-employed (n
ES,5,05  manager (establi
ES,6,06  manager (establi
ES,7,07  manager (size of
ES,8,08  foreman/supervis
ES,9,09  other employee
ES,10,10  employee (not kn
ES,11,11  na/insufficient
SEG,1,01  employers - larg
SEG,2,02  managers - large
SEG,3,03  employers - smal
SEG,4,04  managers - small
SEG,5,05  professional - s
SEG,6,06  professional - e
SEG,7,07  intermediate non
SEG,8,08  intermediate non
SEG,9,09  junior non-manua
SEG,10,10  personal service
SEG,11,11  foremen and supe
SEG,12,12  skilled manual
SEG,13,13  semi - skilled m
SEG,14,14  unskilled manual
SEG,15,15  own account (oth
SEG,16,16  farmers - employ
SEG,17,17  farmers - own ac
SEG,18,18  agricultural
SEG,19,19  armed forces
SEG,20,20  inadequately des
B11,1,not yet finished
B11,2,never went to school
B11,3,14 or under
B11,4,15
B11,5,16
B11,6,17
B11,7,18
B11,8,19 or over
B11,9,not answered
B12A,1,no qualifications ob
B12A,2,cse grades 2-5 gcse
B12A,3,cse grade 1 gce `o'
B12A,4,gce 'a' level/'s' le
B12A,5,overseas school leav
B12A,6,not answered
B12B,1,no qualifications ob
B12B,2,nvq/svq level 1/gnvq
B12B,3,city & guilds craft/
B12B,4,nvq/svq level 3/gnvq
B12B,5,nvq/svq level 4
B12B,6,rsa/other clerical a
B12B,7,teachers training qu
B12B,8,nursing qualificatio
B12B,9,professional qualifi
B12B,10,"degree, including hi"
B12B,11,nvq/svq level 5
B12B,12,other technical or b
B12B,13,other
B12B,14,not answered
B14,1,one code ringed
B14,2,more than one code
B14,3,not answered
B15,1,british
B15,2,english
B15,3,scottish
B15,4,welsh
B15,5,irish
B15,6,northern irish
B15,7,european
B15,8,other
B15,9,none of these
B15,10,not answered
B16,1,white
B16,2,black - caribbean
B16,3,black - african
B16,4,india
B16,5,bangladesh
B16,6,chinese
B16,7,other
B16,8,refused
B16,9,not answered
B17,1,no religion
B17,2,christian - no denom
B17,3,roman catholic
B17,4,anglican/c of e
B17,5,methodist
B17,6,baptist
B17,7,presbyterian/church
B17,8,free presbyterian
B17,9,brethren
B17,10,united reform church
B17,11,other protestant
B17,12,other christian
B17,13,hindu
B17,14,jewish
B17,15,islam/muslim
B17,16,sikh
B17,17,buddhist
B17,18,other non-christian
B17,19,not answered
B18A,1,just about always
B18A,2,most of the time
B18A,3,some of the time
B18A,4,almost never
B18A,5,not answered
B18B,1,just about always
B18B,2,most of the time
B18B,3,some of the time
B18B,4,almost never
B18B,5,not answered
B18C,1,just about always
B18C,2,most of the time
B18C,3,some of the time
B18C,4,almost never
B18C,5,not answered
B18D,1,just about always
B18D,2,most of the time
B18D,3,some of the time
B18D,4,almost never
B18D,5,not answered
B19A,1,agree strongly
B19A,2,agree
B19A,3,neither agree or dis
B19A,4,disagree
B19A,5,disagree strongly
B19A,6,can't say
B19A,7,not answered
B19B,1,agree strongly
B19B,2,agree
B19B,3,neither agree or dis
B19B,4,disagree
B19B,5,disagree strongly
B19B,6,can't say
B19B,7,not answered
B19C,1,agree strongly
B19C,2,agree
B19C,3,neither agree or dis
B19C,4,disagree
B19C,5,disagree strongly
B19C,6,can't say
B19C,7,not answered
B19D,1,agree strongly
B19D,2,agree
B19D,3,neither agree or dis
B19D,4,disagree
B19D,5,disagree strongly
B19D,6,can't say
B19D,7,not answered
B19E,1,agree strongly
B19E,2,agree
B19E,3,neither agree or dis
B19E,4,disagree
B19E,5,disagree strongly
B19E,6,can't say
B19E,7,not answered
B20A,1,wrong to have better
B20A,2,good luck to them
B20A,3,can't choose/neither
B20A,4,not answered
B20B,1,strongly agree
B20B,2,just agree
B20B,3,not answered
B20C,1,strongly agree
B20C,2,just agree
B20C,3,not answered
B21A,1,stick to traditional
B21A,2,leave past behind
B21A,3,can't choose/neither
B21A,4,not answered
B21B,1,strongly agree
