source_column,source_value,value_label
Q1,0,Not at all
Q1,5,Exactly in the middle
Q1,10,A great deal
Q1,88,No opinion / Don't Know
Q1,99,No Answer / Refused
Q2,1,Increase efficiency
Q2,4,Exactly in the middle
Q2,7,Generate and buy more
Q2,8,No Opinion / Don't Know
Q2,9,No Answer / Refused
Q3,888,No Opinion / Don't Know
Q3,999,No Answer / Refused
Q4,888,No Opinion / Don't Know
Q4,999,No Answer / Refused
Q5,888,No Opinion / Don't Know
Q5,999,No Answer / Refused
Q6,888,No Opinion / Don't Know
Q6,999,No Answer / Refused
Q7,888,No Opinion / Don't Know
Q7,999,No Answer / Refused
Q8,888,No Opinion / Don't Know
Q8,999,No Answer / Refused
Q9,888,No Opinion / Don't Know
Q9,999,No Answer / Refused
Q10,888,No Opinion / Don't Know
Q10,999,No Answer / Refused
Q11,888,No Opinion / Don't Know
Q11,999,No Answer / Refused
Q12,1,Agree strongly
Q12,2,Agree somewhat
Q12,3,Neither agree nor disagree
Q12,4,Disagree somewhat
Q12,5,Disagree strongly
Q12,8,No Opinion / Don't Know
Q12,9,No Answer / Refused
Q13,1,Agree strongly
Q13,2,Agree somewhat
Q13,3,Neither agree nor disagree
Q13,4,Disagree somewhat
Q13,5,Disagree strongly
Q13,8,No Opinion / Don't Know
Q13,9,No Answer / Refused
Q14,1,Agree strongly
Q14,2,Agree somewhat
Q14,3,Neither agree nor disagree
Q14,4,Disagree somewhat
Q14,5,Disagree strongly
Q14,8,No Opinion / Don't Know
Q14,9,No Answer / Refused
Q15,1,Agree strongly
Q15,2,Agree somewhat
Q15,3,Neither agree nor disagree
Q15,4,Disagree somewhat
Q15,5,Disagree strongly
Q15,8,No Opinion / Don't Know
Q15,9,No Answer / Refused
Q16,888,No Opinion / Don't Know
Q16,999,No Answer / Refused
Q17,0,Strongly opposed
Q17,5,Exactly in the middle
Q17,10,Strongly in favor
Q17,88,No Opinion / Don't Know
Q17,99,No Answer / Refused
Q18,0,Strongly opposed
Q18,5,Exactly in the middle
Q18,10,Strongly in favor
Q18,88,No Opinion / Don't Know
Q18,99,No Answer / Refused
