source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
CASEID,double,numeric,,,F15.0,,,TRUE,Retained
Q1,double,haven_labelled|vctrs_vctr|double,,How much do you care about how electricity is produced,F2.0,,,TRUE,Retained
Q2,double,haven_labelled|vctrs_vctr|double,,Increasing efficiency vs buying/generating power,F1.0,,,TRUE,Retained
Q3,double,haven_labelled|vctrs_vctr|double,,What percentage would you like from wind,F3.0,,,TRUE,Retained
Q4,double,haven_labelled|vctrs_vctr|double,,What percentage would you like from oil,F3.0,,,TRUE,Retained
Q5,double,haven_labelled|vctrs_vctr|double,,What percentage would you like from natural gas,F3.0,,,TRUE,Retained
Q6,double,haven_labelled|vctrs_vctr|double,,What percentage would you like from coal,F3.0,,,TRUE,Retained
Q7,double,haven_labelled|vctrs_vctr|double,,What percentage would you like from nuclear,F3.0,,,TRUE,Retained
Q8,double,haven_labelled|vctrs_vctr|double,,What percentage would you like from solar,F3.0,,,TRUE,Retained
Q9,double,haven_labelled|vctrs_vctr|double,,What percentage would you like from hydro,F3.0,,,TRUE,Retained
Q10,double,haven_labelled|vctrs_vctr|double,,What percentage would you like from wood,F3.0,,,TRUE,Retained
Q11,double,haven_labelled|vctrs_vctr|double,,What percentage would you like from methane,F3.0,,,TRUE,Retained
Q12,double,haven_labelled|vctrs_vctr|double,,Continue to buy electricity from Hydro Quebec,F1.0,,,TRUE,Retained
Q13,double,haven_labelled|vctrs_vctr|double,,Continue to buy electricity from VT Yankee nuclear,F1.0,,,TRUE,Retained
Q14,double,haven_labelled|vctrs_vctr|double,,Continue to buy electricity from independent producers,F1.0,,,TRUE,Retained
Q15,double,haven_labelled|vctrs_vctr|double,,Should require minimum from renewable resources,F1.0,,,TRUE,Retained
Q16,double,haven_labelled|vctrs_vctr|double,,What percentage mandated from renewables,F3.0,,,TRUE,Retained
Q17,double,haven_labelled|vctrs_vctr|double,,Build facilities for wind power,F2.0,,,TRUE,Retained
Q18,double,haven_labelled|vctrs_vctr|double,,Build facilities for natural gas,F2.0,,,TRUE,Retained
Q19,double,haven_labelled|vctrs_vctr|double,,Build facilities for biomass,F2.0,,,TRUE,Retained
Q20,double,haven_labelled|vctrs_vctr|double,,Build facilities for hydropower,F2.0,,,TRUE,Retained
Q21,double,haven_labelled|vctrs_vctr|double,,Build facilities for oil,F2.0,,,TRUE,Retained
Q22,double,haven_labelled|vctrs_vctr|double,,Build facilities for methane,F2.0,,,TRUE,Retained
Q23,double,haven_labelled|vctrs_vctr|double,,Stable electric bills vs. market price,F1.0,,,TRUE,Retained
Q24,double,haven_labelled|vctrs_vctr|double,,Few large plants vs. many small ones,F1.0,,,TRUE,Retained
Q25,double,haven_labelled|vctrs_vctr|double,,Support or oppose visible wind farm,F1.0,,,TRUE,Retained
Q26,double,haven_labelled|vctrs_vctr|double,,Increase or decrease funding for efficiency program,F1.0,,,TRUE,Retained
Q27,double,haven_labelled|vctrs_vctr|double,,Increase or decrease electricity from renewables,F1.0,,,TRUE,Retained
Q28,double,haven_labelled|vctrs_vctr|double,,How many dollars per month for no greenhouse gases,F4.0,,,TRUE,Retained
Q29,double,haven_labelled|vctrs_vctr|double,,Divide costs among all vs. buy only enough to meet demand,F1.0,,,TRUE,Retained
Q30,double,haven_labelled|vctrs_vctr|double,,How environmentally friendly is wind,F2.0,,,TRUE,Retained
Q31,double,haven_labelled|vctrs_vctr|double,,How environmentally friendly is oil,F2.0,,,TRUE,Retained
Q32,double,haven_labelled|vctrs_vctr|double,,How environmentally friendly is natural gas,F2.0,,,TRUE,Retained
Q33,double,haven_labelled|vctrs_vctr|double,,How environmentally friendly is coal,F2.0,,,TRUE,Retained
Q34,double,haven_labelled|vctrs_vctr|double,,How environmentally friendly is nuclear,F2.0,,,TRUE,Retained
Q35,double,haven_labelled|vctrs_vctr|double,,How environmentally friendly is solar,F2.0,,,TRUE,Retained
Q36,double,haven_labelled|vctrs_vctr|double,,How environmentally friendly is hydro,F2.0,,,TRUE,Retained
Q37,double,haven_labelled|vctrs_vctr|double,,How environmentally friendly is wood,F2.0,,,TRUE,Retained
Q38,double,haven_labelled|vctrs_vctr|double,,How environmentally friendly is methane,F2.0,,,TRUE,Retained
Q39,double,haven_labelled|vctrs_vctr|double,,How environmentally friendly is energy efficiency,F2.0,,,TRUE,Retained
Q40,double,haven_labelled|vctrs_vctr|double,,How concerned - radioactive waste,F2.0,,,TRUE,Retained
Q41,double,haven_labelled|vctrs_vctr|double,,How concerned - greenhouse gases,F2.0,,,TRUE,Retained
Q42,double,haven_labelled|vctrs_vctr|double,,How concerned - other air pollution,F2.0,,,TRUE,Retained
Q43,double,haven_labelled|vctrs_vctr|double,,How concerned - damage to river habitats,F2.0,,,TRUE,Retained
Q44,double,haven_labelled|vctrs_vctr|double,,How concerned - visual impact of wind farms,F2.0,,,TRUE,Retained
Q45,double,haven_labelled|vctrs_vctr|double,,How much threat - coal fired plant,F2.0,,,TRUE,Retained
Q46,double,haven_labelled|vctrs_vctr|double,,How much threat - natural gas plant,F2.0,,,TRUE,Retained
Q47,double,haven_labelled|vctrs_vctr|double,,How much threat - utility wind farm,F2.0,,,TRUE,Retained
Q48,double,haven_labelled|vctrs_vctr|double,,How much threat - residential wind farm,F2.0,,,TRUE,Retained
Q49,double,haven_labelled|vctrs_vctr|double,,How much threat - transmission lines,F2.0,,,TRUE,Retained
Q50,double,haven_labelled|vctrs_vctr|double,,What percentage reduced by 2017 through efficiency,F3.0,,,TRUE,Retained
Q52,double,haven_labelled|vctrs_vctr|double,,Percentage possible by 2017 - wind,F3.0,,,TRUE,Retained
Q53,double,haven_labelled|vctrs_vctr|double,,Percentage possible by 2017 - oil,F3.0,,,TRUE,Retained
Q54,double,haven_labelled|vctrs_vctr|double,,Percentage possible by 2017 - natural gas,F3.0,,,TRUE,Retained
Q55,double,haven_labelled|vctrs_vctr|double,,Percentage possible by 2017 - coal,F3.0,,,TRUE,Retained
Q56,double,haven_labelled|vctrs_vctr|double,,Percentage possible by 2017 - nuclear,F3.0,,,TRUE,Retained
Q57,double,haven_labelled|vctrs_vctr|double,,Percentage possible by 2017 - solar,F3.0,,,TRUE,Retained
Q58,double,haven_labelled|vctrs_vctr|double,,Percentage possible by 2017 - hydro,F3.0,,,TRUE,Retained
Q59,double,haven_labelled|vctrs_vctr|double,,Percentage possible by 2017 - wood,F3.0,,,TRUE,Retained
Q60,double,haven_labelled|vctrs_vctr|double,,Percentage possible by 2017 - methane,F3.0,,,TRUE,Retained
Q61,double,haven_labelled|vctrs_vctr|double,,Cleaner energy costs more in short run,F1.0,,,TRUE,Retained
Q62,double,haven_labelled|vctrs_vctr|double,,Cleaner energy costs more in long run,F1.0,,,TRUE,Retained
Q63,double,haven_labelled|vctrs_vctr|double,,Normal variation vs. lasting climate change,F1.0,,,TRUE,Retained
Q64,double,haven_labelled|vctrs_vctr|double,,Human activity or natural causes,F1.0,,,TRUE,Retained
Q65,double,haven_labelled|vctrs_vctr|double,,Only direct costs vs. indirect costs as well,F1.0,,,TRUE,Retained
Q66,double,haven_labelled|vctrs_vctr|double,,How important - low rates,F2.0,,,TRUE,Retained
