poll_id,artifact_id,artifact_type,title,location,source_id,original_archive_path,sha256,rights_status,disclosure_status,publication_status,notes
zeguo-2005,material-200a7dbb56cc4ee8-zeguo-2005,paper,China Zeguo BJPS,data/zeguo-2005/papers/china-zeguo-bjps.pdf,material-200a7dbb56cc4ee8,meta_data/cdd_papers/China_Zeguo_BJPS.pdf,200a7dbb56cc4ee854b73c15e456b361f77d79525ad4c74d17b7c7ef7ff41620,review-required,approved-public,published,Historical metadata archive; content classified for reference. Instrument-to-variable and version-specific comparisons remain required. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
zeguo-2005,material-14f09619eb8626fc-zeguo-2005,codebook,AllPollIndices,data/shared/codebooks/attitude_indices/allpollindices.csv,material-14f09619eb8626fc,meta_data/attitude_indices/AllPollIndices.csv,14f09619eb8626fc7861fe1bd3ca498a35fec8cfdcc8ba9728ff6e80b9e56992,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
zeguo-2005,material-e0ff5cf4f836a41b-zeguo-2005,codebook,AllPollIndices_withEmpiricalPremises,data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv,material-e0ff5cf4f836a41b,meta_data/attitude_indices/AllPollIndices_withEmpiricalPremises.csv,e0ff5cf4f836a41b9bb66245130d5246dd7a942668872045c5ee66be48d1f2f5,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
zeguo-2005,material-9408908108592c63-zeguo-2005,codebook,Appendix A -1-13-14,data/shared/codebooks/knowledge_indices/appendix-a-1-13-14.docx,material-9408908108592c63,meta_data/knowledge_indices/Appendix A -1-13-14.docx,9408908108592c6339ae1041bd0d118c210451535cd317be4c431871b0c5e75c,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
zeguo-2005,material-a6eea8ca19a00fe8-zeguo-2005,codebook,Appendix A -9-14-14,data/shared/codebooks/knowledge_indices/appendix-a-9-14-14.docx,material-a6eea8ca19a00fe8,meta_data/knowledge_indices/Appendix A -9-14-14.docx,a6eea8ca19a00fe84b2b3bab798a67aec325c43ae5be66f3a51525976e1032d1,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
zeguo-2005,material-7af1872d80219bc0-zeguo-2005,codebook,Rosetta Stone,data/shared/codebooks/rosetta_stone/rosetta-stone.xls,material-7af1872d80219bc0,meta_data/rosetta_stone/Rosetta Stone.xls,7af1872d80219bc0f745e63c426cec847e480a8c2aa180072f6e2a838b4974c3,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
zeguo-2005,material-7731a4ce1a2d98a7-zeguo-2005,research-design,Appendix - Poll Details- 5-18-14--e,data/shared/design/poll_details/appendix-poll-details-5-18-14-e.docx,material-7731a4ce1a2d98a7,meta_data/poll_details/Appendix - Poll Details- 5-18-14--e.docx,7731a4ce1a2d98a79b7ae2657648c01a1625bad2d4be07c3bd97c2b029d869d1,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
zeguo-2005,material-a8dcbc6a800da6df-zeguo-2005,event-report,Zeguo February 2008 results,data/zeguo-2005/reports/zeguo-results.pdf,material-a8dcbc6a800da6df,,a8dcbc6a800da6df4592dbc6b79a7bfa896a5a1772ff41c2cdea83bf99199939,review-required,approved-public,published,"DIFFERENT EVENT. Header explicitly says February 2008; retained as a comparison source only, never a benchmark for the 2005 infrastructure poll. Source URL: https://drive.google.com/file/d/13cdizBfzmkubSlf4ZdxtBZPAwEXOjWUG/view?usp=sharing. Retrieved 2026-09-23. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply."
zeguo-2005,material-8e14cef76edb31bd-zeguo-2005,paper,Deliberative Democracy in an Unlikely Place,data/zeguo-2005/papers/zeguo-research-paper.pdf,material-8e14cef76edb31bd,,8e14cef76edb31bdbabf4f9416e23c868dcfa6a254dbd1c4ff92aaf06244f2c9,review-required,approved-public,published,Study of the 2005 Zeguo infrastructure decision. Published version already archived; keep PDF versions distinct by hash. Source URL: https://drive.google.com/file/d/1aLPo8LmBIsJ6Ez5GwQbSygxYhdQseIzq/view. Retrieved 2026-09-23. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
zeguo-2005,cdd-zeguo-2005-survey-source-materials-knowledge-reconciliation-csv,codebook,knowledge reconciliation,data/zeguo-2005/source-materials/knowledge-reconciliation.csv,cdd-zeguo-2005-survey-source-materials-knowledge-reconciliation-csv,,b718cf0b79248d8de811ac6cf691646d4729fc7cd5bb638fa8998c49a10903cf,owner-approved,approved-public,published,Reviewed historical source material; raw-response provenance and deferred coding issues in docs/poll-issues.md.
