source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
p,double,numeric,float64,participant number t1,%8.0g,,,TRUE,Retained
realpnum,double,numeric,float64,,%8.0g,,,TRUE,Retained
groupnum,double,numeric,float64,,%8.0g,,,TRUE,Retained
__,character,character,,participant name t1,%6s,,,FALSE,Excluded; see source_field_exclusions
Gender,double,numeric,float64,gender t1,%8.0g,,,TRUE,Retained
Age,double,numeric,float64,age t1,%8.0g,,,TRUE,Retained
maritalstatus,double,numeric,float64,marital status t1,%8.0g,,,TRUE,Retained
Education,double,numeric,float64,education t1,%8.0g,,,TRUE,Retained
Occupation,double,numeric,float64,occupation t1,%8.0g,,,TRUE,Retained
d2006,double,numeric,float64,q6: wenchang main ave t1,%8.0g,,,TRUE,Retained
d2007,double,numeric,float64,q7: first stage of muchang main road t1,%9.0g,,,TRUE,Retained
d2008,double,numeric,float64,q8: bridge t1,%8.0g,,,TRUE,Retained
d2009,double,numeric,float64,q9: fuxin road (east end) t1,%8.0g,,,TRUE,Retained
d2010,double,numeric,float64,q10: dongcheng road (first gate) t1,%8.0g,,,TRUE,Retained
d2011,double,numeric,float64,q11: dongcheng road (second stage) t1,%8.0g,,,TRUE,Retained
d2012,double,numeric,float64,q12: shuangchen road (first gate) t1,%8.0g,,,TRUE,Retained
d2013,double,numeric,float64,q13: shuangchen road (second stage) t1,%8.0g,,,TRUE,Retained
d2014,double,numeric,float64,q14: tngquao road t1,%8.0g,,,TRUE,Retained
d2015,double,numeric,float64,q15: reconstruction for donghe road t1,%8.0g,,,TRUE,Retained
d2016,double,numeric,float64,q16: donghe main ave t1,%8.0g,,,TRUE,Retained
d2017,double,numeric,float64,q17: xicheng road (first stage) t1,%8.0g,,,TRUE,Retained
d2018,double,numeric,float64,q18: zeguo main ave (second stage) t1,%8.0g,,,TRUE,Retained
d2019,double,numeric,float64,q19: zeguo main ave (third stage) t1,%8.0g,,,TRUE,Retained
d2020,double,numeric,float64,q20: air compressor industrial zone matching environmental constructions t1,%8.0g,,,TRUE,Retained
d2021,double,numeric,float64,q21: auxiliary environmental construction for muyu/lianshu industrial zone t1,%8.0g,,,TRUE,Retained
d2022,double,numeric,float64,q22: chengqu subroad rebuild t1,%8.0g,,,TRUE,Retained
d2023,double,numeric,float64,q23: guojialing hill side reconstruction t1,%8.0g,,,TRUE,Retained
d2024,double,numeric,float64,q24: wenchang park (first stage) t1,%8.0g,,,TRUE,Retained
d2025,double,numeric,float64,q25: wenchang park (second stage) t1,%8.0g,,,TRUE,Retained
d2026,double,numeric,float64,q26: citizen park (first stage) t1,%8.0g,,,TRUE,Retained
d2027,double,numeric,float64,q27: urban environmental construtions t1,%9.0g,,,TRUE,Retained
d2028,double,numeric,float64,q28: danyan hill park t1,%8.0g,,,TRUE,Retained
d2029,double,numeric,float64,q29: muyu hill park t1,%8.0g,,,TRUE,Retained
d2030,double,numeric,float64,q30: urban and countryside environmental projects t1,%8.0g,,,TRUE,Retained
d2031,double,numeric,float64,q31: demonstrative street t1,%8.0g,,,TRUE,Retained
d2032,double,numeric,float64,q32: old street reconstruction t1,%8.0g,,,TRUE,Retained
d2033,double,numeric,float64,q33: muyu environmental project (sewage disposal) t1,%8.0g,,,TRUE,Retained
d2034,double,numeric,float64,q34: danyan environmental project (sewage disposal) t1,%8.0g,,,TRUE,Retained
d2035,double,numeric,float64,"q35: treatment of  sewage, earlier stage t1",%8.0g,,,TRUE,Retained
d20361,double,numeric,float64,what are the priority projects for this year from above 30 projects? rank 1 t1,%8.0g,,,TRUE,Retained
d20362,double,numeric,float64,rank 2 t1,%8.0g,,,TRUE,Retained
d20363,double,numeric,float64,rank 3 t1,%8.0g,,,TRUE,Retained
d20364,double,numeric,float64,rank 4 t1,%8.0g,,,TRUE,Retained
d20365,double,numeric,float64,rank 5 t1,%8.0g,,,TRUE,Retained
d2037,double,numeric,float64,q37: what are the reasons for you to select the top five priority projects? t1,%8.0g,,,TRUE,Retained
d20381,double,numeric,float64,q38-1: how important is this to the economical development? t1,%8.0g,,,TRUE,Retained
d20382,double,numeric,float64,q38-2: how important is this in protecting the environment? t1,%8.0g,,,TRUE,Retained
d20383,double,numeric,float64,q38-3: how important is this to you and your family's daily life convenience? t1,%8.0g,,,TRUE,Retained
d20384,double,numeric,float64,q38-4: how important is this to the image of city? t1,%8.0g,,,TRUE,Retained
d2039,double,numeric,float64,q39: do you think the government will seriously take into account your views and,%8.0g,,,TRUE,Retained
d2040,double,numeric,float64,q40: do you think the government will use the results of the democracy deliberat,%8.0g,,,TRUE,Retained
d2041,double,numeric,float64,"q41: do you agree with the following view? ""most people do not know much about p",%8.0g,,,TRUE,Retained
d2042,double,numeric,float64,"q42: do you agree with the following view? ""common people like me do not have a",%8.0g,,,TRUE,Retained
d3043,double,numeric,float64,q43: by how much did zeguo township's revenue increase from 2003 to 2004? t1,%8.0g,,,TRUE,Retained
d3044,double,numeric,float64,q44: what is the figures for the floating population in zeguo township? t1,%8.0g,,,TRUE,Retained
d3045,double,numeric,float64,q45: which of the below is not a major product of zeguo township? t1,%8.0g,,,TRUE,Retained
d3046,double,numeric,float64,"q46: at the moment, how many parks does zeguo have? t1",%8.0g,,,TRUE,Retained
pp,double,numeric,float64,participant number t2,%8.0g,,,TRUE,Retained
____0p,double,numeric,float64,gender t2,%8.0g,,,TRUE,Retained
____1p,double,numeric,float64,age t2,%8.0g,,,TRUE,Retained
v5p,double,numeric,float64,marital status t2,%8.0g,,,TRUE,Retained
____2p,double,numeric,float64,education t2,%8.0g,,,TRUE,Retained
____3p,double,numeric,float64,occupation t2,%8.0g,,,TRUE,Retained
d2006p,double,numeric,float64,q6: wenchang main ave t2,%8.0g,,,TRUE,Retained
d2007p,double,numeric,float64,q7: first stage of muchang main road t2,%8.0g,,,TRUE,Retained
d2008p,double,numeric,float64,q8: bridge t2,%9.0g,,,TRUE,Retained
d2009p,double,numeric,float64,q9: fuxin road (east end) t2,%8.0g,,,TRUE,Retained
