artifact_id,poll_id,artifact_type,title,location,source_id,original_archive_path,sha256,rights_status,disclosure_status,publication_status,notes
marousi-public-participants,marousi-2006,data,Marousi participant data,data/marousi-2006/participants.csv,dp-learning-greece,,32a031325309136318ba9ab8f2a500956df05f0e2bdaa75b78ee2bff4aa23bb2,owner-approved,approved-public,published,Public downstream source; provenance precedes migration into this repository
tanzania-public-participants,tanzania-2015,data,Tanzania participant data,data/tanzania-2015/participants.dta,tanzania-2015,,38c7faf5bec7538e32e04c3f62b5c4c43b8ad4c2d2b10b5ef00cf80b577b7af8,public-license,approved-public,published,CC0 Dataverse deposit
a1r-public-participants,america-in-one-room-2019,data,America in One Room participant data,data/america-in-one-room-2019/participants.tab,a1r-2019,,06134deebb34b08ffac91068727b55c1ec4dde88df5f388e1552b0bfa54c6818,public-license,approved-public,published,CC0 Dataverse deposit
a1r-climate-public-participants,a1r-climate-2021,data,America in One Room climate participant data,data/a1r-climate-2021/participants.tab,a1r-climate-2021,,5e95a85c1fe356673c2b0a56d1e9aa463ab40e1defe3b33f1940ff83e5eee83a,public-license,approved-public,published,CC0 Dataverse deposit
amr-public-participants,amr-2024,data,Antimicrobial resistance participant data,data/amr-2024/participants.csv,amr-2024,,c2877392f6b4d2e6146d09e40625d8ccf5d51f12b6150e3d07f7ab824c97d065,public-license,approved-public,published,CC BY 4.0 Stanford Digital Repository deposit
distortions-participants,,data,Deliberative Distortions participant benchmark,evidence/benchmarks/polardata.tab,distortions-participants,,98153f8fcde1d9c2bcb56b6179d66210834ab344790c835ddcf5f1f1039b448a,public-license,approved-public,published,Downstream 21-poll file retained only for parity validation
distortions-index-registry,,codebook,Deliberative Distortions index benchmark,evidence/benchmarks/attitude-indices.tab,distortions-indices,,e849d6a0926712e0193d2f1d7fecd17352170c510fa9c995529566162a206e4a,public-license,approved-public,published,Downstream index table retained only for parity validation
guessing-forgetting-replication,,data,Guessing and Forgetting replication deposit,evidence/deposits/guessing-and-forgetting.zip,cor-sood-replication,,6cb0fe9b9e0e6f1a381e200277665ad32f78c24b93346c48e55598c156633e7c,public-license,approved-public,published,Immutable deposit to unpack and audit poll by poll; not a canonical output
historical-merge-01,,script,Historical merge stage 1,vault/cdd/merge_data_scripts/01_gaurav.R,,merge_data_scripts/01_gaurav.R,4ba5790d7069f0db3cf4b19c343c15f4995aa5233906c668446bd5c9808eb503,owner-approved,approved-public,vault-only,Exact bytes retained under the historical-cdd-scripts Git tag
historical-merge-02,,script,Historical merge stage 2,vault/cdd/merge_data_scripts/02_nuri.R,,merge_data_scripts/02_nuri.R,a818113b77a2aa1678843daeb68618e60ccd83928b4b3ec186dd5186413bae04,owner-approved,approved-public,vault-only,Exact bytes retained under the historical-cdd-scripts Git tag
historical-merge-03,,script,Historical merge stage 3,vault/cdd/merge_data_scripts/03_data.R,,merge_data_scripts/03_data.R,d1e47b7cf0e8d8ad7bf39c3831252aecaae5cb51881d73b07e683b1bfbb3b672,owner-approved,approved-public,vault-only,Exact bytes retained under the historical-cdd-scripts Git tag
historical-merge-04,,script,Historical merge stage 4,vault/cdd/merge_data_scripts/04_kyu.R,,merge_data_scripts/04_kyu.R,2a639c55ff96543d62d48dcf9be3a41e259ebd6011d1406801a08e8b7651307a,owner-approved,approved-public,vault-only,Exact bytes retained under the historical-cdd-scripts Git tag
historical-merge-05,,script,Historical merge stage 5,vault/cdd/merge_data_scripts/05_fix_data.R,,merge_data_scripts/05_fix_data.R,ca31e793449c170f7638bfef641b5202cc68db10a00482d2eb0abb9bf56fbb1b,owner-approved,approved-public,vault-only,Exact bytes retained under the historical-cdd-scripts Git tag
historical-merge-06,,script,Historical merge stage 6,vault/cdd/merge_data_scripts/06_add_more_vars.R,,merge_data_scripts/06_add_more_vars.R,868ac6a083f41a4894c3b507afd3fb0bd5408ba57d8f7429d597998627a4f256,owner-approved,approved-public,vault-only,Exact bytes retained under the historical-cdd-scripts Git tag
marousi-questionnaire,marousi-2006,questionnaire,Marousi English questionnaire,data/marousi-2006/questionnaire.pdf,,data/Greece/2006-greece-marousi.pdf,348eeaf5492a3143c01c42336ecfa573fbf8b565135669d2f45d0d7be0309a14,owner-approved,approved-public,published,Inspected questionnaire; contains no respondent records
marousi-knowledge-distributions,marousi-2006,event-report,Marousi knowledge item distributions,data/marousi-2006/knowledge-item-distributions.doc,,data/Greece/Greece Distribution of Knowledge Questions.doc,bcb07e20d82e33724fcd237934e6c588d557a170d9f46856d91c49264ddd0835,owner-approved,approved-public,published,Aggregate distribution output; contains no respondent records
marousi-harmonization-script,marousi-2006,script,Historical Marousi harmonization script,vault/cdd/scripts/greece.R,,scripts/greece.R,84ee96354bec8619ea09c2b95edbbb6c8d71fbd49721a4fcf680bd1bc062d709,owner-approved,approved-public,vault-only,Exact bytes retained under the historical-cdd-scripts Git tag
marousi-candidate-selection-paper,marousi-2006,paper,Returning Deliberative Democracy to Athens,vault/cdd/data/Greece/candidate-selection.pdf,,data/Greece/candidate-selection.pdf,6391eca03e2740236397d56984ba588f6adf5114ce7fc5d79c10378d7a1fc9dc,review-required,approved-public,vault-only,Author manuscript is cataloged but not copied until redistribution rights are confirmed
