legacy_field,measure_name,aggregation_level,respondent_scope
t1knowlevel,poll_baseline_knowledge_mean,poll,poll_sample
groupsize,group_size,group,group_members
avgsd,group_baseline_attitude_sd_mean,group,group_members
genvar,group_baseline_attitude_generalized_variance,group,group_members
grpgain,group_knowledge_gain,group,respondent_specific
avgsd2,group_arrival_attitude_sd_mean,group,group_members
grpgain2,group_arrival_knowledge_gain,group,respondent_specific
grpgainr,group_revised_knowledge_gain,group,respondent_specific
pfemale,group_proportion_female,group,group_members
pminority,group_proportion_minority,group,group_members
varfemale,group_female_variance,group,group_members
sdfemale,group_female_sd,group,group_members
vareduc,group_education_variance,group,group_members
sdeduc,group_education_sd,group,group_members
meaned,group_mean_education,group,group_members
meanage,group_mean_age,group,group_members
phighinc,group_proportion_high_income,group,group_members
meanxtreme,group_mean_attitude_extremity,group,group_members
pfemale_ind,group_proportion_female_excluding_respondent,group,leave_one_out
entropy,group_demographic_entropy,group,group_members
meant1know,group_baseline_knowledge_mean,group,group_members
meant1knowcor,group_baseline_corrected_knowledge_mean,group,group_members
t1knowlevelcor,poll_baseline_corrected_knowledge_mean,poll,poll_sample
meant1know_ind,group_baseline_knowledge_mean_excluding_respondent,group,leave_one_out
meant1knowcor_ind,group_baseline_corrected_knowledge_mean_excluding_respondent,group,leave_one_out
meant2know,group_arrival_knowledge_mean,group,group_members
t2knowlevel,poll_arrival_knowledge_mean,poll,poll_sample
loggain,group_log_knowledge_gain,group,respondent_specific
meant1knowr,group_baseline_revised_knowledge_mean,group,group_members
meant1knowrcor,group_baseline_revised_corrected_knowledge_mean,group,group_members
t1knowlevelrcor,poll_baseline_revised_corrected_knowledge_mean,poll,poll_sample
