"poll_id","pollgroup","attitudes_sha256","n","p"
"uk-eu-1995",2099,"f7fe9e4cb01f50440f429f3ac6d6c6f0d31ac154493f2fcdcde3d29039b68f99",4,4
"btp-health-education-2005",9713,"d7cb277b57143cc98069a961b9dff471071f9c6452bdad6cbf58bbcb9081f7f0",11,11
"btp-health-education-2005",9715,"a630a82d92eae090057731571d2fd9f59915848b590446a73c0f0ea6ed3b0b21",9,11
"san-mateo-2008",9601,"88206bd156b40dd6024217cafbb1dc867debf71d3eb8ef1d9ea4739117d3b150",6,7
"san-mateo-2008",9604,"c38f926d0d93b64c4834220ac27abc2807fe071c7535b8ecfd9bcf49c5af29b3",6,7
"san-mateo-2008",9616,"f664da56de4d10c46ec4c2b2fa3ab016db8307b2f6cfd9cc844a5b6b55c36f8d",7,7
"san-mateo-2008",9617,"f6078f01e617d6df86b5b868ba3cd8aea93d9830c3d2760ed8ea9b40b38571ed",7,7
"san-mateo-2008",9621,"089fcbb43e57136d81cb9dde7818db0afc3b308c53e70727abcfcfc5d23f92bf",5,7
"zeguo-2005",5201,"367ac9d75fbbe06b8f80bb5014ba91c08222f9b581d28ca28aa6dc45de3f710e",16,9
"zeguo-2005",5202,"5d8bbf6512cde0547585ce8b929ec64e05fe8e966d15c6d2531bedf90821775b",15,9
"zeguo-2005",5203,"022b21f703da0085e944aa69dbe13c1b5ca0bb2227b55d80205cc6277292eb6b",16,9
"zeguo-2005",5204,"f5686436874d9e2e416d70e96fecd5dbf394b5b36ac08db795595aeff505b703",14,9
"zeguo-2005",5205,"0ed53e003b729ff715c1e54bc901bcebf1e1b18da526f48563b1dfecf3bf5501",15,9
"zeguo-2005",5206,"e862886faa8b0538a4cd14141703260651bdc43871d6f07ec50f2aa36fd94a10",16,9
"zeguo-2005",5207,"d29cf2db14a9ebc588348179d0a3c9815da5250c24aafd06c13c86d86cfd4f31",16,9
"zeguo-2005",5208,"cdb11ea04832bf99cf48d6f40f248f2e1d98b87014b45754260e2a69114f159b",15,9
"zeguo-2005",5209,"6beca05e40a1594fecfabab2a6150bedc5109ed11938d4d69d4fff545ed36854",14,9
"zeguo-2005",5210,"4ebec61a5fe8d730690d90aebc03268326e6f7fbb3a82b138980697649acc627",11,9
"zeguo-2005",5211,"b830620d8518ff50cb3c535cde12c06452571b4a65cc6242af7a7d09770707b7",17,9
"zeguo-2005",5212,"169c6e15915f73b91a64585ba9123ba2a8c134090dd1c4d9f4e4041e58c158d3",12,9
"zeguo-2005",5213,"be76c38662130857825c4cda743bf66ee6f3d24e59d54d1d3a7a7eaa5c1683fc",15,9
"zeguo-2005",5214,"1543159e0e198d5ffd316b4a67b4474be7db51e95545a21d65b842b163c03183",16,9
"zeguo-2005",5215,"fcb69a01c36a7068c0e9b5f40d3fab2cf18e67eaf72592544302feeba3f1f028",15,9
"zeguo-2005",5216,"b0d0cecfdbab4e18aa7ae43e782fb7653ea2fccd1bc6d6e39462a09dab5c9a23",10,9
