poll_id,system,alias,notes
uk-crime-1994,legacy-pollid,27,
uk-crime-1994,legacy-dpnum,6,
uk-crime-1994,cor-sood-file,ukcrime,
uk-eu-1995,legacy-pollid,20,
uk-eu-1995,legacy-dpnum,1,
uk-eu-1995,cor-sood-file,ukeu,
uk-monarchy-1996,legacy-pollid,23,
uk-monarchy-1996,legacy-dpnum,3,
uk-monarchy-1996,cor-sood-file,ukmon,
nic-1996,legacy-pollid,1001,
nic-1996,legacy-dpnum,20,
nic-1996,cor-sood-file,nic1,
cpl-1996,legacy-pollid,29,
cpl-1996,legacy-dpnum,8,
cpl-1996,cor-sood-file,cpl,
wtu-1996,legacy-pollid,986,
wtu-1996,legacy-dpnum,19,
wtu-1996,cor-sood-file,wtu,
swepco-1996,legacy-pollid,3000,
swepco-1996,legacy-dpnum,21,
swepco-1996,cor-sood-file,swp,
uk-general-election-1997,legacy-pollid,25,
uk-general-election-1997,legacy-dpnum,4,
uk-general-election-1997,cor-sood-file,ukbge,
uk-health-1998,legacy-pollid,22,
uk-health-1998,legacy-dpnum,2,
uk-health-1998,cor-sood-file,ukhealth,
australia-republic-1999,legacy-pollid,26,
australia-republic-1999,legacy-dpnum,5,
australia-republic-1999,cor-sood-file,aus,
denmark-euro-2000,cor-sood-file,dk,
nic2-2003,legacy-pollid,92,
nic2-2003,legacy-dpnum,13,
btp-national-2003,legacy-pollid,93,
btp-national-2003,legacy-dpnum,14,
btp-online-primaries-2004,cor-sood-file,btp04,
btp-presidential-primaries-2004,legacy-pollid,95,
btp-presidential-primaries-2004,legacy-dpnum,16,
btp-general-election-2004,legacy-pollid,94,
btp-general-election-2004,legacy-dpnum,15,
btp-general-election-2004,cor-sood-file,btp04GE,
new-haven-2004,legacy-pollid,91,
new-haven-2004,legacy-dpnum,12,
btp-health-education-2005,legacy-pollid,97,
btp-health-education-2005,legacy-dpnum,18,
btp-health-education-2005,cor-sood-file,btp05,
zeguo-2005,legacy-pollid,52,
zeguo-2005,legacy-dpnum,9,
marousi-2006,legacy-pollid,2000,
tomorrows-europe-2007,legacy-pollid,28,
tomorrows-europe-2007,legacy-dpnum,7,
tomorrows-europe-2007,cor-sood-file,eu2007,
bulgaria-crime-2002,legacy-pollid,53,
bulgaria-crime-2002,legacy-dpnum,10,
bulgaria-crime-2002,cor-sood-file,bul,
northern-ireland-2007,cor-sood-file,ire,
vermont-energy-2007,cor-sood-file,vt,
btp-2007,cor-sood-file,btp07,
san-mateo-2008,legacy-pollid,96,
san-mateo-2008,legacy-dpnum,17,
san-mateo-2008,cor-sood-file,sm,
europolis-2009,legacy-pollid,71,
europolis-2009,legacy-dpnum,11,
europolis-2009,cor-sood-file,eu2009,
michigan-2009,cor-sood-file,mi,
california-whats-next-2011,cor-sood-file,ca,
tanzania-2015,dp-learning-source,tanzania,
america-in-one-room-2019,dp-learning-source,a1r,
a1r-climate-2021,dp-learning-source,climate,
amr-2024,dp-learning-source,amr,
