poll_id,material_type,status,notes,checked_references
nic-1996,questionnaires,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-nic-1996-cdd-nic-1996-questionnaire;us-nic-1996-material-26f8e4dfcdba7271-nic-1996
nic-1996,briefing-materials,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-nic-1996-material-99247b0bb1a1091f-nic-1996
nic-1996,event-reports,external-only,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-nic-1996-stanford-event
nic-1996,papers,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-nic-1996-material-9e22605b26bbd3e3-nic-1996;us-nic-1996-material-f51efc2dc1f9a9a1-nic-1996;us-nic-1996-material-53315bd489de4e58-nic-1996
nic-1996,codebooks,available,Authored poll-specific codebook.txt inspected; additional machine-extracted variable/value dictionaries and shared recode appendices are supplemental.,us-nic-1996-cdd-nic-1996-survey-variables;us-nic-1996-cdd-nic-1996-survey-value-labels;us-nic-1996-cdd-nic-1996-codebook;us-nic-1996-material-14f09619eb8626fc-nic-1996;us-nic-1996-material-e0ff5cf4f836a41b-nic-1996;us-nic-1996-material-9408908108592c63-nic-1996;us-nic-1996-material-7af1872d80219bc0-nic-1996
cpl-1996,questionnaires,partial,"57-page compendium: Entergy pp. 1–8; HL&P pp. 9–29; SPS pp. 30–38; TU pp. 39–57 (versions start on pp. 39 and 51). No verified CPL, WTU or SWEPCO section; retain as related evidence without transferring codes or answer keys.",us-cpl-1996-material-d74cf3d2a3e6254d-cpl-1996
cpl-1996,briefing-materials,not-found,"No poll-specific document verified after reviewing local artifact catalog, archival metadata appendix and official event/material pages plus targeted paper search. This is not evidence that no document exists.",us-cpl-1996-material-1ee4b1a7a598708d-cpl-1996;us-cpl-1996-material-cdd3ff1e869846b9-cpl-1996;us-cpl-1996-material-7731a4ce1a2d98a7-cpl-1996;us-cpl-1996-material-eabf0fc4da9a721a-cpl-1996;us-cpl-1996-material-ee96cf90494a2ada-cpl-1996;us-cpl-1996-stanford-utilities;us-cpl-1996-wang2020
cpl-1996,event-reports,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-cpl-1996-material-ee96cf90494a2ada-cpl-1996;us-cpl-1996-stanford-utilities
cpl-1996,papers,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-cpl-1996-material-1ee4b1a7a598708d-cpl-1996;us-cpl-1996-material-cdd3ff1e869846b9-cpl-1996;us-cpl-1996-material-eabf0fc4da9a721a-cpl-1996;us-cpl-1996-wang2020
cpl-1996,codebooks,available,Authored poll-specific codebook.txt inspected; additional machine-extracted variable/value dictionaries and shared recode appendices are supplemental.,us-cpl-1996-cdd-cpl-1996-variables;us-cpl-1996-cdd-cpl-1996-value-labels;us-cpl-1996-cdd-cpl-1996-codebook;us-cpl-1996-material-14f09619eb8626fc-cpl-1996;us-cpl-1996-material-e0ff5cf4f836a41b-cpl-1996;us-cpl-1996-material-9408908108592c63-cpl-1996;us-cpl-1996-material-7af1872d80219bc0-cpl-1996
wtu-1996,questionnaires,partial,"57-page compendium: Entergy pp. 1–8; HL&P pp. 9–29; SPS pp. 30–38; TU pp. 39–57 (versions start on pp. 39 and 51). No verified CPL, WTU or SWEPCO section; retain as related evidence without transferring codes or answer keys.",us-wtu-1996-material-d74cf3d2a3e6254d-wtu-1996
wtu-1996,briefing-materials,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-wtu-1996-material-d647471b30f926dc-wtu-1996
wtu-1996,event-reports,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-wtu-1996-material-ee96cf90494a2ada-wtu-1996;us-wtu-1996-stanford-utilities
wtu-1996,papers,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-wtu-1996-material-1ee4b1a7a598708d-wtu-1996;us-wtu-1996-material-cdd3ff1e869846b9-wtu-1996;us-wtu-1996-material-eabf0fc4da9a721a-wtu-1996;us-wtu-1996-wang2020
wtu-1996,codebooks,available,Authored poll-specific codebook.txt inspected; additional machine-extracted variable/value dictionaries and shared recode appendices are supplemental.,us-wtu-1996-cdd-wtu-1996-variables;us-wtu-1996-cdd-wtu-1996-value-labels;us-wtu-1996-cdd-wtu-1996-codebook;us-wtu-1996-material-14f09619eb8626fc-wtu-1996;us-wtu-1996-material-e0ff5cf4f836a41b-wtu-1996;us-wtu-1996-material-9408908108592c63-wtu-1996;us-wtu-1996-material-7af1872d80219bc0-wtu-1996
swepco-1996,questionnaires,partial,"57-page compendium: Entergy pp. 1–8; HL&P pp. 9–29; SPS pp. 30–38; TU pp. 39–57 (versions start on pp. 39 and 51). No verified CPL, WTU or SWEPCO section; retain as related evidence without transferring codes or answer keys.",us-swepco-1996-material-d74cf3d2a3e6254d-swepco-1996
swepco-1996,briefing-materials,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-swepco-1996-material-b799c201e709521e-swepco-1996
swepco-1996,event-reports,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-swepco-1996-material-ee96cf90494a2ada-swepco-1996;us-swepco-1996-stanford-utilities
swepco-1996,papers,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-swepco-1996-material-1ee4b1a7a598708d-swepco-1996;us-swepco-1996-material-cdd3ff1e869846b9-swepco-1996;us-swepco-1996-material-eabf0fc4da9a721a-swepco-1996;us-swepco-1996-wang2020
swepco-1996,codebooks,available,Authored poll-specific codebook.txt inspected; additional machine-extracted variable/value dictionaries and shared recode appendices are supplemental.,us-swepco-1996-cdd-swepco-1996-variables;us-swepco-1996-cdd-swepco-1996-value-labels;us-swepco-1996-cdd-swepco-1996-codebook;us-swepco-1996-material-14f09619eb8626fc-swepco-1996;us-swepco-1996-material-e0ff5cf4f836a41b-swepco-1996;us-swepco-1996-material-9408908108592c63-swepco-1996;us-swepco-1996-material-7af1872d80219bc0-swepco-1996
nic2-2003,questionnaires,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-nic2-2003-material-e4be44c4c45bb8d6-nic2-2003;us-nic2-2003-material-1995d0d2d8096db1-nic2-2003
nic2-2003,briefing-materials,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-nic2-2003-material-e22cf114ce27bf82-nic2-2003;us-nic2-2003-material-37d7741249efa6c3-nic2-2003;us-nic2-2003-material-e4d515256fed3e3e-nic2-2003;us-nic2-2003-material-5fd4fcfe9767c285-nic2-2003
nic2-2003,event-reports,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-nic2-2003-material-dd722fd627b2e9f0-nic2-2003;us-nic2-2003-stanford-event;us-nic2-2003-brookings2003
nic2-2003,papers,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-nic2-2003-material-90cbc9c9cb25b21c-nic2-2003;us-nic2-2003-material-7ad6c3c2eb5f0731-nic2-2003
nic2-2003,codebooks,partial,Variable/value-label dictionaries and/or shared recode documentation are available; completeness as an authored poll-specific codebook is not established.,us-nic2-2003-material-14f09619eb8626fc-nic2-2003;us-nic2-2003-material-e0ff5cf4f836a41b-nic2-2003;us-nic2-2003-material-9408908108592c63-nic2-2003;us-nic2-2003-material-7af1872d80219bc0-nic2-2003;us-nic2-2003-cdd-nic2-2003-survey-variables;us-nic2-2003-cdd-nic2-2003-survey-value-labels;us-nic2-2003-cdd-nic2-2003-survey-historical-ids
btp-national-2003,questionnaires,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-btp-national-2003-material-ea98e8b86f693edf-btp-national-2003
btp-national-2003,briefing-materials,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-btp-national-2003-material-e22cf114ce27bf82-btp-national-2003;us-btp-national-2003-material-37d7741249efa6c3-btp-national-2003;us-btp-national-2003-material-e4d515256fed3e3e-btp-national-2003;us-btp-national-2003-material-5fd4fcfe9767c285-btp-national-2003
btp-national-2003,event-reports,partial,Brookings foreign-policy-paper.pdf report concerns Philadelphia face-to-face NIC II. The separate foreign-policy.pdf is a genuine online/face-to-face comparative empirical manuscript. Dedicated online event-report coverage remains partial.,us-btp-national-2003-material-dd722fd627b2e9f0-btp-national-2003
btp-national-2003,papers,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-btp-national-2003-material-90cbc9c9cb25b21c-btp-national-2003;us-btp-national-2003-material-7ad6c3c2eb5f0731-btp-national-2003;us-btp-national-2003-refined-or-biased-opinions-2009;us-btp-national-2003-primaries-methods-cross-reference
btp-national-2003,codebooks,partial,Variable/value-label dictionaries and/or shared recode documentation are available; completeness as an authored poll-specific codebook is not established.,us-btp-national-2003-material-14f09619eb8626fc-btp-national-2003;us-btp-national-2003-material-e0ff5cf4f836a41b-btp-national-2003;us-btp-national-2003-material-9408908108592c63-btp-national-2003;us-btp-national-2003-material-7af1872d80219bc0-btp-national-2003;us-btp-national-2003-cdd-btp-national-2003-survey-variables;us-btp-national-2003-cdd-btp-national-2003-survey-value-labels
btp-online-primaries-2004,questionnaires,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-btp-online-primaries-2004-cdd-btp-online-primaries-2004-questionnaires
btp-online-primaries-2004,briefing-materials,partial,Research paper identifies MacNeil/Lehrer reading material plus Stanford Political Communication Lab multimedia candidateCD; exact completeCD/reading package not recovered. Do not replace with fall-general-election briefing book.,us-btp-online-primaries-2004-material-f3671213505686ab-btp-online-primaries-2004;us-btp-online-primaries-2004-material-7ad6c3c2eb5f0731-btp-online-primaries-2004;us-btp-online-primaries-2004-wang-siu2009
btp-online-primaries-2004,event-reports,not-found,"No poll-specific document verified after reviewing local artifact catalog, archival metadata appendix and official event/material pages plus targeted paper search. This is not evidence that no document exists.",us-btp-online-primaries-2004-material-f3671213505686ab-btp-online-primaries-2004;us-btp-online-primaries-2004-material-7ad6c3c2eb5f0731-btp-online-primaries-2004
btp-online-primaries-2004,papers,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-btp-online-primaries-2004-material-f3671213505686ab-btp-online-primaries-2004;us-btp-online-primaries-2004-material-7ad6c3c2eb5f0731-btp-online-primaries-2004
btp-online-primaries-2004,codebooks,partial,Variable/value-label dictionaries and/or shared recode documentation are available; completeness as an authored poll-specific codebook is not established.,us-btp-online-primaries-2004-cdd-btp-online-primaries-2004-survey-variables;us-btp-online-primaries-2004-cdd-btp-online-primaries-2004-survey-value-labels
btp-presidential-primaries-2004,questionnaires,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-btp-presidential-primaries-2004-cdd-btp-presidential-primaries-2004-survey-source-materials-baseline-questionnaire-doc;us-btp-presidential-primaries-2004-cdd-btp-presidential-primaries-2004-survey-source-materials-followup-questionnaire-doc
btp-presidential-primaries-2004,briefing-materials,partial,Research paper identifies MacNeil/Lehrer reading material plus Stanford Political Communication Lab multimedia candidateCD; exact completeCD/reading package not recovered. Do not replace with fall-general-election briefing book.,us-btp-presidential-primaries-2004-material-f3671213505686ab-btp-presidential-primaries-2004;us-btp-presidential-primaries-2004-material-7731a4ce1a2d98a7-btp-presidential-primaries-2004;us-btp-presidential-primaries-2004-material-7ad6c3c2eb5f0731-btp-presidential-primaries-2004;us-btp-presidential-primaries-2004-wang-siu2009
btp-presidential-primaries-2004,event-reports,not-found,"No poll-specific document verified after reviewing local artifact catalog, archival metadata appendix and official event/material pages plus targeted paper search. This is not evidence that no document exists.",us-btp-presidential-primaries-2004-material-f3671213505686ab-btp-presidential-primaries-2004;us-btp-presidential-primaries-2004-material-7731a4ce1a2d98a7-btp-presidential-primaries-2004;us-btp-presidential-primaries-2004-material-7ad6c3c2eb5f0731-btp-presidential-primaries-2004
btp-presidential-primaries-2004,papers,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-btp-presidential-primaries-2004-material-f3671213505686ab-btp-presidential-primaries-2004;us-btp-presidential-primaries-2004-material-7ad6c3c2eb5f0731-btp-presidential-primaries-2004
btp-presidential-primaries-2004,codebooks,partial,Variable/value-label dictionaries and/or shared recode documentation are available; completeness as an authored poll-specific codebook is not established.,us-btp-presidential-primaries-2004-material-14f09619eb8626fc-btp-presidential-primaries-2004;us-btp-presidential-primaries-2004-material-e0ff5cf4f836a41b-btp-presidential-primaries-2004;us-btp-presidential-primaries-2004-material-9408908108592c63-btp-presidential-primaries-2004;us-btp-presidential-primaries-2004-material-7af1872d80219bc0-btp-presidential-primaries-2004;us-btp-presidential-primaries-2004-cdd-btp-presidential-primaries-2004-survey-variables;us-btp-presidential-primaries-2004-cdd-btp-presidential-primaries-2004-survey-value-labels;us-btp-presidential-primaries-2004-cdd-btp-presidential-primaries-2004-survey-historical-group-order-csv;us-btp-presidential-primaries-2004-cdd-btp-presidential-primaries-2004-survey-source-materials-historical-recoding-txt
btp-general-election-2004,questionnaires,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-btp-general-election-2004-cdd-btp-general-election-2004-questionnaires
btp-general-election-2004,briefing-materials,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-btp-general-election-2004-material-55c92b39754401da-btp-general-election-2004
btp-general-election-2004,event-reports,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-btp-general-election-2004-material-6a7c1093a7155f60-btp-general-election-2004;us-btp-general-election-2004-stanford-event
btp-general-election-2004,papers,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-btp-general-election-2004-material-7ad6c3c2eb5f0731-btp-general-election-2004
btp-general-election-2004,codebooks,partial,Variable/value-label dictionaries and/or shared recode documentation are available; completeness as an authored poll-specific codebook is not established.,us-btp-general-election-2004-cdd-btp-general-election-2004-survey-variables;us-btp-general-election-2004-cdd-btp-general-election-2004-survey-value-labels;us-btp-general-election-2004-material-14f09619eb8626fc-btp-general-election-2004;us-btp-general-election-2004-material-e0ff5cf4f836a41b-btp-general-election-2004;us-btp-general-election-2004-material-9408908108592c63-btp-general-election-2004;us-btp-general-election-2004-material-7af1872d80219bc0-btp-general-election-2004
