file_key,respondents,items,alpha_t1,alpha_t2,score_correlation,cor_poll_name,dpnum,alpha_change,alpha_t2_higher
aus,347,10,0.6142338455,0.6687455589,0.3357260028,Australia Constitutional Referendum,5,0.0545117134,TRUE
btp04,328,7,0.7142731499,0.8134471233,0.6057365024,By the People 2004 Online Primaries,,0.0991739734,TRUE
btp04GE,250,9,0.7845075034,0.7821715282,0.7500881265,By the People 2004 General Election,15,-0.0023359752,FALSE
btp05,454,6,0.3156289587,0.2162185581,0.3901192151,By the People 2005,18,-0.0994104006,FALSE
btp07,301,8,0.5527628599,0.5655714979,0.6439432991,By the People 2007,,0.012808638,TRUE
bul,278,7,0.5917584236,0.580418505,0.2884605541,Bulgaria,10,-0.0113399187,FALSE
ca,401,5,0.5666340714,0.6452675174,0.4302945559,California What's Next,,0.078633446,TRUE
cpl,216,7,0.3503311706,0.2617524441,0.2698887528,Central Power & Light,8,-0.0885787265,FALSE
dk,363,9,0.4046984646,0.652370057,0.3827426678,Denmark: Euro,,0.2476715924,TRUE
eu2007,335,11,0.5096321515,0.6005922369,0.4678351999,Tomorrow's Europe (EU),7,0.0909600855,TRUE
eu2009,348,6,0.0526029236,0.3126176079,0.2115622139,Europolis,11,0.2600146842,TRUE
ire,124,7,0.5277428458,0.5830196473,0.448041678,Northern Ireland,,0.0552768015,TRUE
mi,310,9,0.5841212705,0.6851744642,0.5201361285,Michigan,,0.1010531937,TRUE
nic1,466,8,0.5693678747,0.6423494355,0.5398004258,National Issues Convention,20,0.0729815609,TRUE
sm,239,8,0.3612475866,0.4788206257,0.1054432143,San Mateo,17,0.1175730391,TRUE
swp,232,5,0.2376592195,0.4692250089,0.2234577802,Southwestern Electric Power,21,0.2315657895,TRUE
ukbge,275,15,0.705714471,0.7093079804,0.5347193748,UK General Election,4,0.0035935094,TRUE
ukcrime,299,7,0.5237752881,0.627109428,0.6140481041,UK Crime,6,0.1033341399,TRUE
ukeu,224,5,0.560161391,0.6708043412,0.4482516295,UK EU,1,0.1106429502,TRUE
ukhealth,230,6,0.5226832074,0.6790395581,0.5445515376,UK Health,2,0.1563563508,TRUE
ukmon,258,8,0.4976527425,0.5642259968,0.6167194703,UK Monarchy,3,0.0665732544,TRUE
vt,146,9,0.5420762675,0.2414701925,0.2400089281,Vermont Energy,,-0.300606075,FALSE
wtu,230,5,0.300166128,0.4453711147,0.3864973316,West Texas Utilities,19,0.1452049866,TRUE
