dpnum,poll_name,item_id,wave,linkage_basis,source_row,caseid,female,source_variable,correct
18,By the People: Health and Education,item_1,t1,validated_public_row_position,1,970001,0,t1know1raw,0
18,By the People: Health and Education,item_2,t1,validated_public_row_position,1,970001,0,t1know2raw,0
18,By the People: Health and Education,item_3,t1,validated_public_row_position,1,970001,0,t1know3raw,0
18,By the People: Health and Education,item_4,t1,validated_public_row_position,1,970001,0,t1know4raw,1
18,By the People: Health and Education,item_5,t1,validated_public_row_position,1,970001,0,t1know5raw,0
18,By the People: Health and Education,item_6,t1,validated_public_row_position,1,970001,0,t1know6raw,1
18,By the People: Health and Education,item_1,t1,validated_public_row_position,2,970002,0,t1know1raw,1
18,By the People: Health and Education,item_2,t1,validated_public_row_position,2,970002,0,t1know2raw,0
18,By the People: Health and Education,item_3,t1,validated_public_row_position,2,970002,0,t1know3raw,0
18,By the People: Health and Education,item_4,t1,validated_public_row_position,2,970002,0,t1know4raw,0
18,By the People: Health and Education,item_5,t1,validated_public_row_position,2,970002,0,t1know5raw,1
18,By the People: Health and Education,item_6,t1,validated_public_row_position,2,970002,0,t1know6raw,1
18,By the People: Health and Education,item_1,t1,validated_public_row_position,3,970003,0,t1know1raw,0
18,By the People: Health and Education,item_2,t1,validated_public_row_position,3,970003,0,t1know2raw,1
18,By the People: Health and Education,item_3,t1,validated_public_row_position,3,970003,0,t1know3raw,1
18,By the People: Health and Education,item_4,t1,validated_public_row_position,3,970003,0,t1know4raw,1
18,By the People: Health and Education,item_5,t1,validated_public_row_position,3,970003,0,t1know5raw,1
18,By the People: Health and Education,item_6,t1,validated_public_row_position,3,970003,0,t1know6raw,0
18,By the People: Health and Education,item_1,t1,validated_public_row_position,4,970004,1,t1know1raw,1
18,By the People: Health and Education,item_2,t1,validated_public_row_position,4,970004,1,t1know2raw,1
18,By the People: Health and Education,item_3,t1,validated_public_row_position,4,970004,1,t1know3raw,0
18,By the People: Health and Education,item_4,t1,validated_public_row_position,4,970004,1,t1know4raw,0
18,By the People: Health and Education,item_5,t1,validated_public_row_position,4,970004,1,t1know5raw,1
18,By the People: Health and Education,item_6,t1,validated_public_row_position,4,970004,1,t1know6raw,0
18,By the People: Health and Education,item_1,t1,validated_public_row_position,5,970005,1,t1know1raw,0
18,By the People: Health and Education,item_2,t1,validated_public_row_position,5,970005,1,t1know2raw,0
18,By the People: Health and Education,item_3,t1,validated_public_row_position,5,970005,1,t1know3raw,0
18,By the People: Health and Education,item_4,t1,validated_public_row_position,5,970005,1,t1know4raw,0
18,By the People: Health and Education,item_5,t1,validated_public_row_position,5,970005,1,t1know5raw,0
18,By the People: Health and Education,item_6,t1,validated_public_row_position,5,970005,1,t1know6raw,0
18,By the People: Health and Education,item_1,t1,validated_public_row_position,6,970006,0,t1know1raw,0
18,By the People: Health and Education,item_2,t1,validated_public_row_position,6,970006,0,t1know2raw,0
18,By the People: Health and Education,item_3,t1,validated_public_row_position,6,970006,0,t1know3raw,0
18,By the People: Health and Education,item_4,t1,validated_public_row_position,6,970006,0,t1know4raw,1
18,By the People: Health and Education,item_5,t1,validated_public_row_position,6,970006,0,t1know5raw,0
18,By the People: Health and Education,item_6,t1,validated_public_row_position,6,970006,0,t1know6raw,1
18,By the People: Health and Education,item_1,t1,validated_public_row_position,7,970007,1,t1know1raw,0
18,By the People: Health and Education,item_2,t1,validated_public_row_position,7,970007,1,t1know2raw,0
18,By the People: Health and Education,item_3,t1,validated_public_row_position,7,970007,1,t1know3raw,1
18,By the People: Health and Education,item_4,t1,validated_public_row_position,7,970007,1,t1know4raw,0
18,By the People: Health and Education,item_5,t1,validated_public_row_position,7,970007,1,t1know5raw,0
