X	pollid	caseid	country	mode	t1knowlevel	numitems	pollgroup	groupsize	avgsd	numindices	genvar	readbrief	t1know	t1knowr	t1knowcor	grpgain	t2know	ppage	educ4	minority	hhincome	female	attextreme	highinc	t1polint	avgsd2	grpgain2	t1knowcor2	t12know	t12knowcor	attextreme2	length	timebtw	grpgainr	t1knowrcor	t2knowr	pollname	numissues	pfemale	pminority	varfemale	sdfemale	vareduc	sdeduc	meaned	meanage	phighinc	meanxtreme	pfemale_ind	entropy	meant1know	meant1knowcor	t1knowlevelcor	meant1know_ind	meant1knowcor_ind	meant2know	knowgain	knowgain2	t2knowlevel	logpk	loggain	tobitpk	meant1knowr	meant1knowrcor	t1knowlevelrcor	knowgainr	knowgainr2	educ3	aus.popparl1	aus.popparl2	aus.republican1	aus.republican2	btp04pr.t1trade	btp04pr.t1mindex	btp04pr.t1services	btp04pr.t2trade	btp04pr.t2mindex	btp04pr.t2services	bulgaria.bulgaria.t1tghpc	bulgaria.bulgaria.t1clibe	bulgaria.bulgaria.t1q8_7	bulgaria.bulgaria.t1q8_1	bulgaria.bulgaria.t1q8_8	bulgaria.bulgaria.t1q8_11	bulgaria.bulgaria.t1q10_3	bulgaria.bulgaria.t1q16	bulgaria.bulgaria.t1q21	bulgaria.bulgaria.t1q22	bulgaria.bulgaria.t1q23	bulgaria.bulgaria.t1q19	bulgaria.bulgaria.t2tghpc	bulgaria.bulgaria.t2clibe	bulgaria.bulgaria.t2q8_7	bulgaria.bulgaria.t2q8_1	bulgaria.bulgaria.t2q8_8	bulgaria.bulgaria.t2q8_11	bulgaria.bulgaria.t2q10_3	bulgaria.bulgaria.t2q16	bulgaria.bulgaria.t2q21	bulgaria.bulgaria.t2q22	bulgaria.bulgaria.t2q23	bulgaria.bulgaria.t2q19	chi.t1att1	chi.t1att2	chi.t1att3	chi.t1att4	chi.t1att5	chi.t1att6	chi.t1att7	chi.t1att8	chi.t1att9	chi.t2att1	chi.t2att2	chi.t2att3	chi.t2att4	chi.t2att5	chi.t2att6	chi.t2att7	chi.t2att8	chi.t2att9	cpl.t1res	cpl.t1cons	cpl.t1poor	cpl.t1renew	cpl.t1fossil	cpl.t1buypwr	cpl.t2res	cpl.t2cons	cpl.t2poor	cpl.t2renew	cpl.t2fossil	cpl.t2buypwr	eu.support_eu_membership_t1	eu.att_towards_privatization_t1	eu.attitude_towards_migration_t1	eu.mil_att_11_12_t1	eu.t1q11b	eu.turkey_enlargement_att_t1	eu.eu_veto_support_t1	eu.support_eu_membership_t2	eu.att_towards_privatization_t2	eu.attitude_towards_migration_t2	eu.mil_att_11_12_t2	eu.t2q11br	eu.turkey_enlargement_att_t2	eu.eu_veto_support_t2	eu.pay_for_pension_1_t2_r	eu.free_trade_index_t2	eu.general_enlargement_att_f_t2	eu.eu_level_decision_making_t2	eu.t2q16jr	eu.support_eu_membership_t3	eu.att_towards_privatization_t3	eu.attitude_towards_migration_t3	eu.mil_att_11_12_t3	eu.t3q11br	eu.turkey_enlargement_att_t3	eu.eu_veto_support_t3	eu.pay_for_pension_1_t3_r	eu.free_trade_index_t3	eu.general_enlargement_att_f_t3	eu.eu_level_decision_making_t3	eu.t3q16jr	grk.t1att1	grk.t1att2	grk.t1att3	grk.t1att4	grk.t1att5	grk.t1att6	grk.t2att1	grk.t2att2	grk.t2att3	grk.t2att4	grk.t2att5	grk.t2att6	ukmonarchy.t1supmon	ukmonarchy.t2supmon	ukmonarchy.t1mpop	ukmonarchy.t2mpop	ukmonarchy.t1pwrm	ukmonarchy.t2pwrm	ukmonarchy.t1reflor	ukmonarchy.t2reflor	nic1.t1att1	nic1.t1att2	nic1.t1att3	nic1.t1att4	nic1.t1att5	nic1.t1att6	nic1.t1att7	nic1.t1att8	nic1.t1att9	nic1.t2att1	nic1.t2att2	nic1.t2att3	nic1.t2att4	nic1.t2att5	nic1.t2att6	nic1.t2att7	nic1.t2att8	nic1.t2att9	swp.t1att1	swp.t1att3	swp.t1att4	swp.t1att5	swp.t1att6	swp.t1att7	swp.t2att1	swp.t2att3	swp.t2att4	swp.t2att5	swp.t2att6	swp.t2att7	ukbge.t1redist	ukbge.t1tax	ukbge.t1wage	ukbge.t1eu	ukbge.t2redist	ukbge.t2tax	ukbge.t2wage	ukbge.t2eu	ukcrime.rootcauset1	ukcrime.policet1	ukcrime.punisht1	ukcrime.procrightst1	ukcrime.selfprotectt1	ukcrime.rootcauset2	ukcrime.policet2	ukcrime.punisht2	ukcrime.procrightst2	ukcrime.selfprotectt2	ukeu.eurelat1g	ukeu.euscope1g	ukeu.commies1r	ukeu.favref1r	ukeu.eurelat2g	ukeu.euscope2g	ukeu.commies2r	ukeu.favref2r	ukhealth.t1payhlt	ukhealth.t1poora	ukhealth.t1option	ukhealth.t1hlthfu	ukhealth.t1ctexpt	ukhealth.t1pritre	ukhealth.t1severi	ukhealth.t1preven	ukhealth.t1dispub	ukhealth.t1avgdis	ukhealth.t1moresa	ukhealth.t2payhlt	ukhealth.t2poora	ukhealth.t2option	ukhealth.t2hlthfu	ukhealth.t2ctexpt	ukhealth.t2pritre	ukhealth.t2severi	ukhealth.t2preven	ukhealth.t2dispub	ukhealth.t2avgdis	ukhealth.t2moresa	wtu.t1att1	wtu.t1att3	wtu.t1att4	wtu.t1att5	wtu.t1att6	wtu.t1att7	wtu.t2att1	wtu.t2att3	wtu.t2att4	wtu.t2att5	wtu.t2att6	wtu.t2att7	eu2009.cc1	eu2009.cc2	eu2009.imm1	eu2009.imm2	nh.t1endexp	nh.t1manvol	nh.t1volloc	nh.t2endexp	nh.t2manvol	nh.t2volloc	nic2.t1usseca	nic2.t1humrh2	nic2.t1envir	nic2.t1inter	nic2.t1multi	nic2.t1demo	nic2.t1forai1	nic2.t1global	nic2.t1trade_b	nic2.t2usseca	nic2.t2humrh2	nic2.t2envir	nic2.t2inter	nic2.t2multi	nic2.t2demo	nic2.t2forai1	nic2.t2global	nic2.t2trade_b	btp03.olt1usseca	btp03.olt1humrh2	btp03.olt1envir	btp03.olt1inter	btp03.olt1multi	btp03.olt1demo	btp03.olt1forai1	btp03.olt1global	btp03.olt1trade	btp03.olt2usseca	btp03.olt2humrh2	btp03.olt2envir	btp03.olt2inter	btp03.olt2multi	btp03.olt2demo	btp03.olt2forai1	btp03.olt2global	btp03.olt2trade	btp04.w4b42	btp04.w4b45	btp04.w4b48	btp04.w4b51	btp04.w4b54	btp04.w4b57	btp04.w4f42	btp04.w4f45	btp04.w4f48	btp04.w4f51	btp04.w4f54	btp04.w4f57	btp05.t1reform	btp05.t1fcvsch	btp05.t1mmtaxe	btp05.t1stest	btp05.t1testsl	btp05.t1nclb	btp05.t1govinv	btp05.t1medqual	btp05.t1costcov	btp05.t1emplypay	btp05.t1indivpay	btp05.t2reform	btp05.t2fcvsch	btp05.t2mmtaxe	btp05.t2stest	btp05.t2testsl	btp05.t2nclb	btp05.t2govinv	btp05.t2medqual	btp05.t2costcov	btp05.t2emplypay	btp05.t2indivpay	sm.t1more	sm.t1belowmrkt	sm.t1openspace	sm.t1countyl	sm.t2more	sm.t2belowmrkt	sm.t2openspace	sm.t2countyl	dpnum	bettered
1	20	119	2	0	0.4728888888888889	5	2015	21	0.17893594733805362	4	0.14511311073201177		0	0	0	0.4	0.4	73	0	0		1	0.20833333333333334		0.66									0.4	0	0.4	UK EU	1	0.5238095238095238	0	0.2494331065759637	0.4994327848429293	0.16140947368421052	0.40175797899259014	0.249	49.38095238095238		0.19097222222222224	0.5	0.998363672593813	0.5333333333333333	0.380952380952381	0.40252100840336136	0.5599999999999999	0.4	0.580952380952381	0.4	0.4	0.6756302521008404	-9.210340371976182	-0.916290731874155	0	0.5333333333333333	0.380952380952381	0.40252100840336136	0.4	0.4	0																																																																																																																																																																				0.375		0.25	0.25	0.6666666666666666	0.5		0.5																																																																																																																											1	0
2	20	129	2	0	0.4728888888888889	5	2007	18	0.19758566345819004	4	0.15048649085903257		0.6	0.6	0.4	0.2941176470588236	0.6	38	0.66	0		1	0.125		0.33									0.2941176470588236	0.4	0.6	UK EU	1	0.5555555555555556	0	0.24691358024691357	0.49690399499995325	0.10481625000000004	0.3237533783607517	0.268125	44.833333333333336		0.20891203703703703	0.5294117647058824	1.3006194889885476	0.5444444444444444	0.3333333333333333	0.40252100840336136	0.5411764705882353	0.32941176470588235	0.6	0	0.19999999999999996	0.6756302521008404	-0.916290731874155	-1.2237754316221154	0	0.5444444444444444	0.3333333333333333	0.40252100840336136	0	0.19999999999999996	0.5																																																																																																																																																																				0.375	0.375	0.25	0.5	0.775	0.5833333333333334	0.75	0.75																																																																																																																											1	1
3	20	204	2	0	0.4728888888888889	5	2014	15	0.19682871276142316	4	0.14663506850998675		0.4	0.4	0	0.34285714285714286	0	23	0	0		1	0.125		0									0.34285714285714286	0	0	UK EU	1	0.6	0	0.24	0.4898979485566356	0.16067967032967034	0.40084868757384046	0.3078571428571429	41.266666666666666		0.20347222222222222	0.5714285714285714	2.5670559835450546	0.38666666666666666	0.32	0.40252100840336136	0.3857142857142857	0.34285714285714286	0.7066666666666667	-0.4	0	0.6756302521008404	-9.210340371976182	-1.0704414117014134	0	0.38666666666666666	0.32	0.40252100840336136	-0.4	0	0																																																																																																																																																																				0.5	0.5	0.25	0.25		0																																																																																																																													1	0
4	20	207	2	0	0.4728888888888889	5	2015	21	0.17893594733805362	4	0.14511311073201177		0.6	0.6	0.4	0.35000000000000003	0.8	70	0	0		0	0.13541666666666669		0.66									0.35000000000000003	0.4	0.8	UK EU	1	0.5238095238095238	0	0.2494331065759637	0.4994327848429293	0.16140947368421052	0.40175797899259014	0.249	49.38095238095238		0.19097222222222224	0.55	0.998363672593813	0.5333333333333333	0.380952380952381	0.40252100840336136	0.53	0.38	0.580952380952381	0.20000000000000007	0.4	0.6756302521008404	-0.916290731874155	-1.0498221244986776	0	0.5333333333333333	0.380952380952381	0.40252100840336136	0.20000000000000007	0.4	0																																																																																																																																																																				0.3333333333333333	0.375	0.25	0.5	0.5833333333333334	0.75	0.5	1																																																																																																																											1	0
5	20	222	2	0	0.4728888888888889	5	2004	16	0.20811894770443948	4	0.16379028349868982		0.8	0.8	0.8	0.20000000000000007	1	58	0.33	0		1	0.27083333333333337		0.66									0.20000000000000007	0.8	1	UK EU	1	0.625	0.125	0.234375	0.48412291827592713	0.11723523809523809	0.3423963172921667	0.24266666666666667	52.5		0.23177083333333334	0.6	3.042735163928044	0.5750000000000001	0.425	0.40252100840336136	0.56	0.4	0.7	0.19999999999999996	0.19999999999999996	0.6756302521008404	-0.2231435513142097	-1.6094379124341	1	0.5750000000000001	0.425	0.40252100840336136	0.19999999999999996	0.19999999999999996	0.5																																																																																																																																																																				0.8333333333333334	0.5	0.125	0.125	0.7999999999999999	0.6666666666666667	0.25	0.25																																																																																																																											1	1
6	20	232	2	0	0.4728888888888889	5	2012	11	0.1530794825322642	4	0.11153481100625814		0.4	0.4	0.2	0.3	0.4	21	0.33	0		1	0.1875		0.33									0.3	0.2	0.4	UK EU	1	0.8181818181818182	0	0.14876033057851237	0.385694607919935	0.1419690909090909	0.37678785929099534	0.3009090909090909	39.09090909090909		0.1884469696969697	0.8	2.301228008231757	0.43636363636363634	0.32727272727272727	0.40252100840336136	0.43999999999999995	0.33999999999999997	0.6545454545454545	0	0.2	0.6756302521008404	-1.6094379124341003	-1.2039728043259361	0	0.43636363636363634	0.32727272727272727	0.40252100840336136	0	0.2	0.5																																																																																																																																																																				0.5	0.375	0.25	0.125	0.7833333333333333	0.6666666666666667	0.5	1																																																																																																																											1	1
7	20	235	2	0	0.4728888888888889	5	2002	20	0.18073652948823699	4	0.15593670647991903		0.4	0.4	0.4	0.2982456140350877	0.8	53	0.66	0		0	0.125		0.66									0.2982456140350877	0.4	0.8	UK EU	1	0.5	0.1	0.25	0.5	0.11538947368421056	0.33969026139147784	0.31315789473684214	45		0.190625	0.5263157894736842	3.135127907758714	0.46	0.39	0.40252100840336136	0.46315789473684216	0.38947368421052636	0.76	0.4	0.4	0.6756302521008404	-0.916290731874155	-1.209837923778334	0	0.46	0.39	0.40252100840336136	0.4	0.4	0.5																																																																																																																																																																				0.625	0.375	0.375	0.375	0.8666666666666667	0.6666666666666667	0.75	0.75																																																																																																																											1	1
8	20	304	2	0	0.4728888888888889	5	2011	15	0.18571430316648707	4	0.1322800196729169		1	1	1		1	58	0	0		0	0.1875		0.66										1	1	UK EU	1	0.33333333333333337	0.06666666666666667	0.22222222222222224	0.4714045207910317	0.11723523809523809	0.3423963172921667	0.24266666666666667	48		0.20833333333333334	0.3571428571428572	2.8262649303414777	0.5866666666666667	0.4533333333333333	0.40252100840336136	0.5571428571428572	0.41428571428571426	0.64	0	0	0.6756302521008404	0		1	0.5866666666666667	0.4533333333333333	0.40252100840336136	0	0	0																																																																																																																																																																				0.75	0.75	0.375	0.375	0.8666666666666667	0.8333333333333334	0.75	1																																																																																																																											1	0
9	20	306	2	0	0.4728888888888889	5	2014	15	0.19682871276142316	4	0.14663506850998675		0.8	0.8	0.8	0.07142857142857144	1	40	0	0		0	0.25		1									0.07142857142857144	0.8	1	UK EU	1	0.6	0	0.24	0.4898979485566356	0.16067967032967034	0.40084868757384046	0.3078571428571429	41.266666666666666		0.20347222222222222	0.6428571428571429	2.5670559835450546	0.38666666666666666	0.32	0.40252100840336136	0.35714285714285715	0.2857142857142857	0.7066666666666667	0.19999999999999996	0.19999999999999996	0.6756302521008404	-0.2231435513142097	-2.6390573296152584	1	0.38666666666666666	0.32	0.40252100840336136	0.19999999999999996	0.19999999999999996	0																																																																																																																																																																				1	0.75	0.375	0.375	0.8666666666666667	0.8333333333333334	1	0.5																																																																																																																											1	0
10	20	312	2	0	0.4728888888888889	5	2013	17	0.16517585898819653	4	0.13275441267421767		0.6	0.6	0.2	0.40625	0.4	62	0	0		0	0.20833333333333331		0.33									0.40625	0.2	0.4	UK EU	1	0.5882352941176471	0.05882352941176469	0.2422145328719723	0.4921529567847503	0.05399624999999999	0.23237093191705366	0.103125	47.05882352941177		0.17095588235294118	0.625	1.3001747764255698	0.5294117647058824	0.45882352941176474	0.40252100840336136	0.525	0.47500000000000003	0.7058823529411765	-0.19999999999999996	0.2	0.6756302521008404	-1.6094379124341003	-0.9007865453381898	0	0.5294117647058824	0.45882352941176474	0.40252100840336136	-0.19999999999999996	0.2	0																																																																																																																																																																				0.4166666666666667	0.375	0.125	0.25	0.8666666666666667	0.75	0.75	1																																																																																																																											1	0
